Time,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC,Amart Sports TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2085,0.8586,0.6673,0.7371,0.707,0.7221,0.6743,0.757,0.7157,0.8419,0.873,0.8575
0.1,-0.2464,0.8711,0.6775,0.7441,0.737,0.7406,0.659,0.7522,0.7056,0.8516,0.8691,0.8604
0.2,-0.2755,0.881,0.6891,0.7514,0.7643,0.7578,0.6486,0.7488,0.6987,0.8614,0.8628,0.8621
0.3,-0.2955,0.888,0.7022,0.7589,0.7888,0.7739,0.6427,0.7471,0.6949,0.8712,0.8544,0.8628
0.4,-0.3069,0.8923,0.7165,0.7668,0.8108,0.7888,0.6408,0.7473,0.6941,0.8812,0.8447,0.8629
0.5,-0.3108,0.894,0.7316,0.7749,0.8303,0.8026,0.6423,0.7492,0.6958,0.8911,0.8343,0.8627
0.6,-0.3091,0.8934,0.7471,0.783,0.8476,0.8153,0.6467,0.7525,0.6996,0.9009,0.8239,0.8624
0.7,-0.3029,0.8912,0.7629,0.7912,0.8629,0.827,0.6539,0.7571,0.7055,0.9103,0.8141,0.8622
0.8,-0.2933,0.8879,0.7788,0.7999,0.8764,0.8381,0.6634,0.7628,0.7131,0.9192,0.8055,0.8623
0.9,-0.2806,0.8839,0.7949,0.809,0.8883,0.8487,0.6745,0.7694,0.7219,0.9275,0.7989,0.8632
1,-0.2655,0.8791,0.8108,0.8183,0.8985,0.8584,0.686,0.7766,0.7313,0.9354,0.795,0.8652
1.1,-0.2484,0.8733,0.8262,0.827,0.9069,0.8669,0.6971,0.7842,0.7406,0.9427,0.7938,0.8683
1.2,-0.2304,0.8663,0.8408,0.8345,0.9131,0.8738,0.7073,0.7921,0.7497,0.9488,0.7956,0.8722
1.3,-0.2121,0.8588,0.8547,0.8408,0.9173,0.879,0.7169,0.8006,0.7588,0.9532,0.8004,0.8768
1.4,-0.1944,0.8516,0.8681,0.8463,0.92,0.8831,0.7265,0.81,0.7682,0.9556,0.8085,0.882
1.5,-0.178,0.8453,0.8813,0.8517,0.9217,0.8867,0.7364,0.8206,0.7785,0.9559,0.8198,0.8879
1.6,-0.1629,0.8403,0.8945,0.8577,0.9231,0.8904,0.7472,0.8325,0.7898,0.9544,0.8339,0.8941
1.7,-0.1494,0.8363,0.9073,0.8641,0.9242,0.8942,0.759,0.8451,0.802,0.9511,0.8496,0.9004
1.8,-0.1373,0.8329,0.9192,0.8706,0.9248,0.8977,0.7718,0.8577,0.8148,0.9459,0.8659,0.9059
1.9,-0.1268,0.8301,0.9299,0.8763,0.9247,0.9005,0.785,0.8696,0.8273,0.9381,0.8813,0.9097
2,-0.1181,0.8284,0.9393,0.881,0.9242,0.9026,0.7975,0.8796,0.8385,0.9272,0.8943,0.9107
2.1,-0.1111,0.8288,0.9474,0.8844,0.9236,0.904,0.8081,0.8866,0.8473,0.913,0.9035,0.9082
2.2,-0.106,0.8321,0.9542,0.8869,0.9232,0.9051,0.8164,0.8897,0.853,0.8957,0.9079,0.9018
2.3,-0.1028,0.8387,0.9599,0.889,0.9232,0.9061,0.8226,0.8889,0.8558,0.8764,0.9068,0.8916
2.4,-0.1021,0.8484,0.9647,0.8913,0.9237,0.9075,0.8278,0.8849,0.8564,0.8562,0.9004,0.8783
2.5,-0.1047,0.8606,0.9691,0.8947,0.9249,0.9098,0.8332,0.8784,0.8558,0.8364,0.8894,0.8629
2.6,-0.1114,0.8744,0.9732,0.8997,0.9272,0.9134,0.8395,0.8702,0.8548,0.8177,0.8748,0.8463
