Time,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC,Allianz - Ready for changing vehicles 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0521,0.5751,0.5989,0.5298,0.7034,0.6166,0.6185,0.8297,0.7241,0.7077,0.6216,0.6646
0.1,-0.0509,0.5724,0.6181,0.5324,0.7073,0.6198,0.6306,0.8408,0.7357,0.7153,0.6356,0.6755
0.2,-0.0481,0.5685,0.6384,0.5359,0.7115,0.6237,0.6433,0.8535,0.7484,0.7211,0.6501,0.6856
0.3,-0.0443,0.5632,0.6597,0.5405,0.716,0.6282,0.6567,0.8678,0.7623,0.7244,0.665,0.6947
0.4,-0.0393,0.5565,0.6822,0.5462,0.7206,0.6334,0.6715,0.8834,0.7775,0.7247,0.6802,0.7025
0.5,-0.032,0.5494,0.7058,0.5535,0.725,0.6393,0.6875,0.8995,0.7935,0.7216,0.6952,0.7084
0.6,-0.0212,0.543,0.7307,0.5625,0.7291,0.6458,0.7046,0.9148,0.8097,0.7145,0.7094,0.7119
0.7,-0.007,0.5379,0.7565,0.5727,0.7326,0.6527,0.7223,0.928,0.8251,0.7033,0.7219,0.7126
0.8,0.0091,0.5346,0.7819,0.5834,0.735,0.6592,0.7399,0.9379,0.8389,0.6881,0.732,0.7101
0.9,0.0258,0.5334,0.8048,0.5943,0.7356,0.6649,0.7571,0.9436,0.8504,0.6694,0.7392,0.7043
1,0.0423,0.5344,0.823,0.6055,0.7335,0.6695,0.7736,0.9442,0.8589,0.6473,0.7428,0.695
1.1,0.0586,0.5374,0.8351,0.6167,0.7284,0.6726,0.7892,0.9388,0.864,0.6219,0.7417,0.6818
1.2,0.0745,0.5422,0.8407,0.6275,0.721,0.6742,0.8038,0.9262,0.865,0.5936,0.7353,0.6644
1.3,0.089,0.5487,0.84,0.6378,0.7119,0.6748,0.8173,0.906,0.8617,0.5633,0.7235,0.6434
1.4,0.1013,0.5569,0.8335,0.6477,0.7021,0.6749,0.8295,0.8786,0.8541,0.5323,0.7068,0.6196
1.5,0.1111,0.5671,0.8217,0.6579,0.692,0.6749,0.84,0.8445,0.8423,0.5016,0.6864,0.594
1.6,0.1191,0.5787,0.8056,0.6681,0.6819,0.675,0.8484,0.805,0.8267,0.4715,0.6634,0.5674
1.7,0.1266,0.5908,0.7861,0.6776,0.6721,0.6749,0.8541,0.7612,0.8076,0.4417,0.6386,0.5402
1.8,0.1346,0.6027,0.7643,0.6861,0.663,0.6746,0.8567,0.7149,0.7858,0.4125,0.6127,0.5126
1.9,0.144,0.6141,0.7412,0.6939,0.6555,0.6747,0.8554,0.6684,0.7619,0.3845,0.5872,0.4858
2,0.1553,0.6249,0.7175,0.702,0.6502,0.6761,0.8495,0.6237,0.7366,0.3589,0.5635,0.4612
2.1,0.1691,0.6349,0.6942,0.7108,0.6473,0.6791,0.8386,0.5826,0.7106,0.3367,0.5431,0.4399
2.2,0.1848,0.6435,0.6721,0.7197,0.6467,0.6832,0.823,0.5468,0.6849,0.3183,0.5262,0.4222
2.3,0.2018,0.6502,0.6518,0.7277,0.6482,0.6879,0.8032,0.5172,0.6602,0.303,0.5124,0.4077
2.4,0.2193,0.6553,0.6339,0.7343,0.6514,0.6929,0.78,0.495,0.6375,0.29,0.5012,0.3956
2.5,0.2369,0.6589,0.6185,0.7399,0.6564,0.6981,0.7536,0.4801,0.6168,0.2796,0.4927,0.3862
