Time,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC,American Express - Always A Story To Tell 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2011,0.3726,0.2286,0.4542,0.4624,0.4583,0.8457,0.7229,0.7843,0.6607,0.5175,0.5891
0.1,-0.2061,0.3714,0.2684,0.4411,0.4667,0.4539,0.8419,0.7164,0.7791,0.6596,0.5195,0.5895
0.2,-0.2103,0.3683,0.3063,0.4247,0.4691,0.4469,0.832,0.7064,0.7692,0.6574,0.5233,0.5903
0.3,-0.2135,0.3638,0.3419,0.4055,0.4692,0.4373,0.8158,0.6931,0.7545,0.6532,0.5287,0.591
0.4,-0.2151,0.3577,0.374,0.3836,0.4664,0.425,0.7934,0.6763,0.7349,0.6467,0.5348,0.5907
0.5,-0.2138,0.3506,0.4019,0.3596,0.4603,0.41,0.7656,0.656,0.7108,0.6379,0.5404,0.5892
0.6,-0.2082,0.3441,0.4257,0.3351,0.4516,0.3934,0.7345,0.6332,0.6839,0.6274,0.5449,0.5862
0.7,-0.1968,0.34,0.4465,0.3124,0.4416,0.377,0.7024,0.6101,0.6563,0.6158,0.5474,0.5816
0.8,-0.1784,0.3396,0.4656,0.2935,0.4315,0.3625,0.6718,0.5888,0.6303,0.604,0.5475,0.5758
0.9,-0.1521,0.3432,0.484,0.28,0.4221,0.351,0.6448,0.5704,0.6076,0.5926,0.5462,0.5694
1,-0.1172,0.3503,0.5027,0.2725,0.4135,0.343,0.6227,0.555,0.5888,0.5821,0.5447,0.5634
1.1,-0.0742,0.3603,0.5221,0.2714,0.4055,0.3384,0.6063,0.5424,0.5743,0.5722,0.5441,0.5581
1.2,-0.0253,0.373,0.5423,0.2768,0.3985,0.3377,0.595,0.5321,0.5636,0.5623,0.5446,0.5534
1.3,0.0271,0.3885,0.563,0.289,0.3934,0.3412,0.5876,0.5241,0.5558,0.5514,0.5452,0.5483
1.4,0.081,0.4064,0.5835,0.3075,0.3906,0.3491,0.5824,0.5182,0.5503,0.5388,0.5452,0.542
1.5,0.135,0.4264,0.6028,0.3316,0.3903,0.361,0.5787,0.5142,0.5464,0.5242,0.5443,0.5342
1.6,0.1875,0.4483,0.6207,0.3598,0.392,0.3759,0.5763,0.5117,0.544,0.5083,0.5428,0.5256
1.7,0.2365,0.4715,0.6372,0.3904,0.3951,0.3928,0.5751,0.5106,0.5429,0.4916,0.5411,0.5163
1.8,0.28,0.4952,0.6525,0.4224,0.3992,0.4108,0.575,0.5109,0.5429,0.4741,0.5394,0.5067
1.9,0.3174,0.5186,0.6664,0.4541,0.404,0.429,0.5751,0.5119,0.5435,0.4562,0.5379,0.4971
2,0.3493,0.5406,0.6788,0.4844,0.409,0.4467,0.5749,0.513,0.544,0.439,0.5375,0.4883
2.1,0.3767,0.5605,0.6894,0.5128,0.414,0.4634,0.5738,0.5132,0.5435,0.4244,0.5393,0.4819
2.2,0.4007,0.5777,0.6974,0.5393,0.4186,0.479,0.5715,0.5115,0.5415,0.4137,0.5439,0.4788
2.3,0.4215,0.5919,0.7016,0.5636,0.4223,0.493,0.5673,0.507,0.5372,0.407,0.5511,0.479
2.4,0.4389,0.6023,0.7005,0.5847,0.4245,0.5046,0.5603,0.4988,0.5295,0.4027,0.56,0.4813
2.5,0.4525,0.6089,0.6934,0.601,0.4249,0.5129,0.5494,0.4862,0.5178,0.399,0.5695,0.4843
2.6,0.4618,0.6118,0.6803,0.6115,0.4238,0.5176,0.5341,0.469,0.5016,0.3952,0.5791,0.4871
2.7,0.466,0.6121,0.662,0.6162,0.4218,0.519,0.5148,0.4472,0.481,0.3918,0.589,0.4904
2.8,0.4643,0.6104,0.6394,0.6159,0.4195,0.5177,0.4919,0.422,0.4569,0.3895,0.5996,0.4946
2.9,0.4556,0.6071,0.6133,0.6109,0.4174,0.5141,0.4658,0.3942,0.43,0.3886,0.6109,0.4997
3,0.4389,0.6017,0.5842,0.6009,0.4154,0.5081,0.4368,0.365,0.4009,0.3887,0.6224,0.5056
3.1,0.4141,0.5942,0.553,0.5855,0.4132,0.4994,0.4054,0.3348,0.3701,0.3899,0.6337,0.5118
3.2,0.381,0.5852,0.5208,0.565,0.4113,0.4881,0.373,0.3049,0.3389,0.3924,0.6442,0.5183
3.3,0.3401,0.5758,0.4893,0.5408,0.4105,0.4756,0.3415,0.2764,0.3089,0.3966,0.6539,0.5252
3.4,0.292,0.5673,0.4599,0.5153,0.4118,0.4635,0.3131,0.251,0.282,0.402,0.6623,0.5321
3.5,0.2382,0.5606,0.4334,0.4902,0.4166,0.4534,0.2894,0.2298,0.2596,0.408,0.6686,0.5383
3.6,0.1807,0.5559,0.4104,0.4664,0.4252,0.4458,0.2708,0.2131,0.2419,0.4143,0.6724,0.5434
3.7,0.1214,0.5535,0.3909,0.4443,0.4375,0.4409,0.2573,0.2005,0.2289,0.4212,0.6736,0.5474
3.8,0.0624,0.554,0.375,0.4244,0.4531,0.4387,0.2494,0.1914,0.2204,0.4293,0.6725,0.5509
3.9,0.0046,0.5582,0.3629,0.4078,0.4716,0.4397,0.2471,0.1855,0.2163,0.4389,0.6692,0.554
4,-0.0514,0.5664,0.3546,0.3961,0.4926,0.4443,0.2504,0.1827,0.2166,0.4498,0.6641,0.5569
4.1,-0.1052,0.5777,0.3505,0.3898,0.5146,0.4522,0.2583,0.1826,0.2204,0.4616,0.6573,0.5595
4.2,-0.1557,0.5907,0.3514,0.3892,0.5353,0.4622,0.2691,0.1841,0.2266,0.4742,0.6493,0.5618
4.3,-0.2024,0.6034,0.3578,0.3931,0.5518,0.4724,0.2807,0.1859,0.2333,0.4878,0.6411,0.5644
4.4,-0.2453,0.6144,0.37,0.4,0.562,0.481,0.2915,0.1874,0.2395,0.5027,0.6337,0.5682
4.5,-0.2849,0.6228,0.3881,0.4086,0.5648,0.4867,0.3002,0.1884,0.2443,0.5193,0.6277,0.5735
4.6,-0.3199,0.6277,0.4118,0.418,0.56,0.489,0.3061,0.1897,0.2479,0.5379,0.6238,0.5809
4.7,-0.3475,0.6286,0.4406,0.4276,0.5476,0.4876,0.3092,0.1924,0.2508,0.5589,0.6222,0.5906
4.8,-0.3654,0.625,0.4743,0.4372,0.528,0.4826,0.3102,0.1971,0.2536,0.5822,0.6233,0.6027
4.9,-0.373,0.6173,0.5126,0.4461,0.5023,0.4742,0.3095,0.2039,0.2567,0.6074,0.627,0.6172
5,-0.3728,0.606,0.5546,0.4536,0.4722,0.4629,0.307,0.2124,0.2597,0.6337,0.633,0.6333
5.1,-0.367,0.5923,0.5987,0.459,0.4398,0.4494,0.3021,0.2216,0.2618,0.6599,0.6401,0.65
5.2,-0.3565,0.5771,0.6428,0.4623,0.4073,0.4348,0.2947,0.2297,0.2622,0.6852,0.6475,0.6664
5.3,-0.3413,0.5615,0.6845,0.4635,0.3756,0.4195,0.2852,0.2351,0.2602,0.7093,0.6547,0.682
5.4,-0.3219,0.546,0.7222,0.4627,0.3455,0.4041,0.2746,0.2375,0.2561,0.7315,0.6614,0.6965
5.5,-0.2999,0.531,0.7552,0.4599,0.3181,0.389,0.2637,0.2378,0.2508,0.751,0.6676,0.7093
5.6,-0.2782,0.517,0.7831,0.4551,0.2948,0.3749,0.253,0.2374,0.2452,0.766,0.6731,0.7195
5.7,-0.2595,0.5045,0.8065,0.4483,0.2767,0.3625,0.2424,0.2379,0.2402,0.7752,0.677,0.7261
5.8,-0.2453,0.4939,0.8257,0.4398,0.2648,0.3523,0.2318,0.2406,0.2362,0.7779,0.6788,0.7284
