Time,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC,Anchor - Taste the care in every dollop 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1765,0.5167,0.2274,0.6248,0.3466,0.4857,0.3229,0.2276,0.2752,0.4954,0.5833,0.5394
0.1,0.2306,0.5061,0.2323,0.6033,0.318,0.4607,0.3608,0.2339,0.2973,0.4988,0.599,0.5489
0.2,0.2754,0.4965,0.2377,0.5834,0.2906,0.437,0.3928,0.2369,0.3148,0.4986,0.6135,0.556
0.3,0.3077,0.4883,0.2441,0.5653,0.2653,0.4153,0.4182,0.2383,0.3283,0.4948,0.6263,0.5606
0.4,0.3243,0.4816,0.2521,0.5489,0.2433,0.3961,0.4377,0.2405,0.3391,0.4883,0.6376,0.563
0.5,0.3225,0.4759,0.2621,0.5334,0.2262,0.3798,0.4521,0.2455,0.3488,0.4807,0.6474,0.5641
0.6,0.3009,0.4707,0.2743,0.5184,0.215,0.3667,0.4623,0.2545,0.3584,0.473,0.6557,0.5644
0.7,0.261,0.4657,0.2887,0.5038,0.2103,0.357,0.4687,0.2677,0.3682,0.4657,0.662,0.5638
0.8,0.205,0.4614,0.3052,0.4902,0.2126,0.3514,0.4716,0.2849,0.3783,0.4586,0.6654,0.562
0.9,0.1362,0.4586,0.3231,0.4784,0.222,0.3502,0.4716,0.3058,0.3887,0.4512,0.6654,0.5583
1,0.0573,0.4581,0.3418,0.4689,0.2379,0.3534,0.469,0.3308,0.3999,0.4423,0.6616,0.552
1.1,-0.0288,0.4604,0.3612,0.4615,0.2595,0.3605,0.4646,0.3597,0.4122,0.4314,0.6538,0.5426
1.2,-0.1179,0.4654,0.3813,0.4562,0.2856,0.3709,0.4591,0.3927,0.4259,0.4182,0.6419,0.5301
1.3,-0.2054,0.4728,0.4023,0.4532,0.3143,0.3837,0.4531,0.4292,0.4411,0.403,0.6259,0.5145
1.4,-0.286,0.482,0.4245,0.4524,0.3438,0.3981,0.4472,0.4683,0.4577,0.3862,0.6067,0.4965
