Time,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC,American Express - Dad's Plan 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5189,0.3518,0.674,0.6168,0.3861,0.5015,0.2079,0.8135,0.5107,0.2715,0.3215,0.2965
0.1,-0.5145,0.351,0.6622,0.6228,0.3955,0.5092,0.1822,0.7736,0.4779,0.2595,0.3125,0.286
0.2,-0.5072,0.3508,0.6506,0.627,0.4054,0.5162,0.1643,0.7359,0.4501,0.2505,0.3039,0.2772
0.3,-0.4963,0.3503,0.6399,0.6296,0.415,0.5223,0.1542,0.7014,0.4278,0.2443,0.2958,0.2701
0.4,-0.4829,0.3494,0.6302,0.6307,0.4245,0.5276,0.1508,0.671,0.4109,0.2402,0.2881,0.2641
0.5,-0.4682,0.3488,0.6214,0.6306,0.4342,0.5324,0.1527,0.6455,0.3991,0.2371,0.2798,0.2585
0.6,-0.4527,0.349,0.6137,0.6296,0.4441,0.5368,0.1592,0.6253,0.3923,0.2343,0.2706,0.2524
0.7,-0.4349,0.3498,0.607,0.6281,0.4539,0.541,0.1705,0.61,0.3902,0.2317,0.2604,0.246
0.8,-0.4128,0.3511,0.6018,0.6273,0.4638,0.5455,0.1865,0.5988,0.3927,0.23,0.2497,0.2399
0.9,-0.3852,0.3533,0.5982,0.6284,0.4741,0.5513,0.2076,0.5907,0.3992,0.2298,0.239,0.2344
1,-0.3527,0.357,0.5969,0.6327,0.4857,0.5592,0.234,0.5859,0.4099,0.2316,0.2286,0.2301
1.1,-0.3173,0.3628,0.5988,0.6405,0.4992,0.5698,0.2658,0.5847,0.4252,0.2355,0.2191,0.2273
1.2,-0.2813,0.371,0.6042,0.6511,0.5147,0.5829,0.3022,0.5868,0.4445,0.2418,0.2107,0.2262
1.3,-0.2463,0.3825,0.6119,0.6641,0.532,0.598,0.3413,0.591,0.4661,0.2505,0.2038,0.2271
1.4,-0.2141,0.3981,0.6201,0.6791,0.5513,0.6152,0.3809,0.5964,0.4886,0.2619,0.198,0.23
1.5,-0.1863,0.4184,0.6272,0.6969,0.5728,0.6349,0.4194,0.6026,0.511,0.276,0.1932,0.2346
1.6,-0.1632,0.4428,0.6327,0.7184,0.5965,0.6574,0.4562,0.6097,0.533,0.2927,0.1897,0.2412
1.7,-0.1435,0.4699,0.637,0.7431,0.6217,0.6824,0.4911,0.6177,0.5544,0.3122,0.1887,0.2504
1.8,-0.1251,0.4981,0.6408,0.7698,0.6471,0.7085,0.5232,0.6261,0.5746,0.3352,0.1926,0.2639
1.9,-0.1068,0.5267,0.6446,0.7964,0.6716,0.734,0.5513,0.6344,0.5928,0.3627,0.2034,0.283
2,-0.0893,0.5556,0.649,0.8213,0.6945,0.7579,0.5749,0.6419,0.6084,0.3949,0.2217,0.3083
2.1,-0.0745,0.5847,0.6547,0.8437,0.7157,0.7797,0.5939,0.6489,0.6214,0.4315,0.2471,0.3393
2.2,-0.0631,0.6136,0.6629,0.8633,0.7347,0.799,0.6085,0.6554,0.6319,0.4706,0.2784,0.3745
2.3,-0.0548,0.641,0.674,0.8796,0.7506,0.8151,0.6186,0.6612,0.6399,0.5099,0.3141,0.412
2.4,-0.0477,0.6664,0.688,0.892,0.7626,0.8273,0.6242,0.6661,0.6451,0.5469,0.3524,0.4497
2.5,-0.0406,0.6898,0.7041,0.9001,0.7702,0.8351,0.6252,0.6693,0.6472,0.5806,0.3913,0.486
2.6,-0.0333,0.7112,0.7214,0.9041,0.7736,0.8389,0.6222,0.6701,0.6461,0.6111,0.4294,0.5203
2.7,-0.0269,0.7305,0.7386,0.9043,0.7735,0.8389,0.6165,0.6674,0.6419,0.639,0.4664,0.5527
2.8,-0.0229,0.7474,0.7549,0.9006,0.7704,0.8355,0.6087,0.6606,0.6347,0.6643,0.5017,0.583
2.9,-0.0226,0.762,0.7691,0.8932,0.765,0.8291,0.5995,0.6498,0.6246,0.6866,0.5343,0.6104
3,-0.0265,0.7744,0.7804,0.8822,0.7576,0.8199,0.5887,0.6356,0.6121,0.7049,0.5628,0.6339
3.1,-0.034,0.7844,0.7886,0.8676,0.7488,0.8082,0.5765,0.6192,0.5979,0.7182,0.5865,0.6524
3.2,-0.0437,0.7913,0.7944,0.8496,0.7389,0.7943,0.5637,0.6018,0.5827,0.7264,0.6055,0.666
3.3,-0.054,0.7942,0.7987,0.8283,0.7278,0.7781,0.5507,0.5841,0.5674,0.73,0.6205,0.6753
3.4,-0.0637,0.7931,0.8024,0.8047,0.7162,0.7605,0.5377,0.5667,0.5522,0.7297,0.6326,0.6812
3.5,-0.0723,0.7886,0.8063,0.7806,0.7051,0.7429,0.5249,0.5499,0.5374,0.726,0.6422,0.6841
3.6,-0.0802,0.7823,0.8105,0.7586,0.696,0.7273,0.5124,0.534,0.5232,0.7193,0.6493,0.6843
3.7,-0.0884,0.7753,0.8149,0.7408,0.6901,0.7155,0.5007,0.5193,0.51,0.7096,0.6533,0.6814
3.8,-0.0973,0.768,0.8188,0.7284,0.6877,0.708,0.4902,0.5055,0.4978,0.6965,0.654,0.6753
3.9,-0.1064,0.7605,0.8219,0.7219,0.6882,0.705,0.4812,0.4924,0.4868,0.6801,0.652,0.666
4,-0.1143,0.7527,0.8242,0.7214,0.6911,0.7062,0.4734,0.4799,0.4766,0.6606,0.6477,0.6541
