Time,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC,Anchor - Taste the care in every drip 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.119,0.6616,0.8652,0.3956,0.429,0.4123,0.3305,0.5209,0.4257,-0.4517,0.4856,0.017
0.1,-0.1694,0.6393,0.8691,0.3762,0.4514,0.4138,0.3216,0.5289,0.4252,-0.4435,0.3574,-0.043
0.2,-0.2172,0.6183,0.8716,0.3622,0.4721,0.4171,0.3157,0.5365,0.4261,-0.4228,0.2511,-0.0859
0.3,-0.2584,0.5985,0.8722,0.3532,0.4893,0.4213,0.313,0.5432,0.4281,-0.3941,0.1685,-0.1128
0.4,-0.2905,0.5793,0.871,0.3484,0.5019,0.4252,0.3136,0.5493,0.4315,-0.3603,0.108,-0.1261
0.5,-0.3116,0.5609,0.8688,0.3469,0.5097,0.4283,0.3174,0.5556,0.4365,-0.323,0.0665,-0.1282
0.6,-0.3209,0.5443,0.8661,0.3487,0.513,0.4309,0.3243,0.5629,0.4436,-0.2839,0.0401,-0.1219
0.7,-0.3183,0.531,0.8628,0.3537,0.513,0.4334,0.3339,0.571,0.4524,-0.2443,0.0248,-0.1098
0.8,-0.3043,0.5216,0.8588,0.3611,0.5109,0.436,0.3454,0.5793,0.4624,-0.2055,0.0176,-0.0939
0.9,-0.2799,0.516,0.8541,0.3697,0.5074,0.4385,0.3584,0.5872,0.4728,-0.1681,0.0162,-0.0759
1,-0.2463,0.5132,0.8492,0.3786,0.5028,0.4407,0.3724,0.5945,0.4835,-0.1321,0.0192,-0.0565
1.1,-0.2054,0.5123,0.845,0.3875,0.4971,0.4423,0.3877,0.6013,0.4945,-0.0968,0.0265,-0.0351
1.2,-0.1595,0.5126,0.8417,0.3959,0.4907,0.4433,0.4043,0.6079,0.5061,-0.0612,0.0383,-0.0115
1.3,-0.1101,0.5139,0.8393,0.4034,0.4841,0.4437,0.4221,0.6147,0.5184,-0.0251,0.0543,0.0146
1.4,-0.0584,0.5159,0.8377,0.409,0.4778,0.4434,0.4414,0.6219,0.5317,0.0115,0.0738,0.0427
1.5,-0.0046,0.519,0.8372,0.4124,0.4721,0.4423,0.4633,0.6302,0.5468,0.0478,0.0965,0.0721
1.6,0.0503,0.5232,0.8378,0.4138,0.4677,0.4407,0.4894,0.6406,0.565,0.0832,0.122,0.1026
1.7,0.1041,0.529,0.8392,0.4142,0.4654,0.4398,0.5204,0.6539,0.5871,0.1178,0.1504,0.1341
1.8,0.1533,0.5363,0.8414,0.4144,0.4659,0.4401,0.556,0.6696,0.6128,0.1519,0.1817,0.1668
1.9,0.1944,0.5447,0.8445,0.4151,0.4696,0.4423,0.5944,0.6867,0.6405,0.1858,0.2159,0.2008
2,0.2255,0.5537,0.8492,0.4166,0.4766,0.4466,0.6341,0.7036,0.6689,0.2196,0.2524,0.236
2.1,0.2455,0.5631,0.8559,0.4193,0.4874,0.4534,0.6738,0.7198,0.6968,0.2533,0.2908,0.2721
2.2,0.2546,0.5734,0.8647,0.4238,0.5024,0.4631,0.7127,0.7352,0.7239,0.2868,0.3305,0.3086
2.3,0.2541,0.585,0.8742,0.4306,0.5215,0.476,0.7491,0.7497,0.7494,0.3197,0.3706,0.3451
2.4,0.2461,0.5984,0.8829,0.4402,0.544,0.4921,0.7815,0.7631,0.7723,0.3519,0.4101,0.381
2.5,0.233,0.6136,0.89,0.4534,0.5687,0.5111,0.8091,0.7752,0.7921,0.3833,0.4481,0.4157
2.6,0.2171,0.6302,0.8952,0.4708,0.5944,0.5326,0.8313,0.7862,0.8088,0.4133,0.4838,0.4485
2.7,0.1999,0.6476,0.898,0.4922,0.6197,0.5559,0.8477,0.7963,0.822,0.4417,0.5162,0.4789
2.8,0.1821,0.6655,0.8975,0.5168,0.6438,0.5803,0.8572,0.8057,0.8314,0.4683,0.5449,0.5066
2.9,0.1643,0.6837,0.8935,0.5439,0.6664,0.6052,0.8585,0.8137,0.8361,0.493,0.5691,0.5311
3,0.1467,0.7014,0.8864,0.5733,0.6872,0.6303,0.8507,0.8197,0.8352,0.5157,0.5886,0.5521
3.1,0.1284,0.7179,0.8769,0.6044,0.7054,0.6549,0.8339,0.8231,0.8285,0.536,0.6027,0.5694
3.2,0.1092,0.7325,0.8652,0.6367,0.7203,0.6785,0.8089,0.8232,0.816,0.5535,0.611,0.5822
3.3,0.0892,0.7454,0.8507,0.6698,0.7318,0.7008,0.7772,0.8196,0.7984,0.5674,0.6131,0.5902
3.4,0.0699,0.7573,0.8327,0.7036,0.7408,0.7222,0.7402,0.8124,0.7763,0.577,0.6093,0.5931
3.5,0.0528,0.7684,0.8111,0.7379,0.7475,0.7427,0.6995,0.8021,0.7508,0.5818,0.6003,0.591
3.6,0.0389,0.7787,0.7865,0.7722,0.7519,0.7621,0.6566,0.7895,0.7231,0.582,0.5872,0.5846
3.7,0.0274,0.7873,0.7597,0.8054,0.7534,0.7794,0.613,0.7757,0.6944,0.5782,0.5711,0.5746
3.8,0.0172,0.7942,0.7315,0.8359,0.7525,0.7942,0.5701,0.7619,0.666,0.5712,0.5527,0.562
3.9,0.0067,0.7996,0.703,0.8626,0.7504,0.8065,0.5295,0.7493,0.6394,0.562,0.5325,0.5473
4,-0.0051,0.8036,0.6754,0.8847,0.7484,0.8166,0.4931,0.7389,0.616,0.5516,0.5107,0.5311
4.1,-0.0188,0.8059,0.6497,0.9017,0.7472,0.8245,0.4623,0.7316,0.5969,0.5406,0.488,0.5143
4.2,-0.0349,0.8061,0.6267,0.9131,0.7466,0.8299,0.4382,0.7275,0.5828,0.5299,0.4654,0.4976
4.3,-0.0536,0.8035,0.6072,0.9187,0.7459,0.8323,0.4219,0.7267,0.5743,0.5202,0.4438,0.482
4.4,-0.0746,0.7985,0.5916,0.9182,0.7444,0.8313,0.414,0.7288,0.5714,0.5118,0.424,0.4679
4.5,-0.0976,0.7914,0.5803,0.9109,0.7421,0.8265,0.4143,0.7331,0.5737,0.5045,0.406,0.4553
4.6,-0.1228,0.7827,0.5732,0.8971,0.739,0.8181,0.4214,0.7385,0.58,0.4977,0.3899,0.4438
4.7,-0.1496,0.7727,0.5699,0.8776,0.7353,0.8064,0.4334,0.7442,0.5888,0.4907,0.3757,0.4332
4.8,-0.1762,0.7614,0.5693,0.8538,0.7305,0.7921,0.4482,0.749,0.5986,0.4832,0.3634,0.4233
4.9,-0.1998,0.7488,0.5709,0.8274,0.7241,0.7758,0.4643,0.7522,0.6082,0.475,0.3529,0.4139
5,-0.2185,0.7346,0.5742,0.8001,0.716,0.7581,0.4806,0.7531,0.6168,0.466,0.3438,0.4049
5.1,-0.2322,0.719,0.5791,0.7736,0.7062,0.7399,0.4957,0.7516,0.6237,0.4566,0.3352,0.3959
5.2,-0.241,0.7023,0.5852,0.749,0.6948,0.7219,0.5088,0.7476,0.6282,0.447,0.3264,0.3867
5.3,-0.245,0.6849,0.5916,0.7277,0.6821,0.7049,0.5193,0.7418,0.6305,0.4376,0.317,0.3773
5.4,-0.2439,0.6675,0.5972,0.7104,0.6684,0.6894,0.5267,0.7348,0.6308,0.428,0.3066,0.3673
5.5,-0.238,0.65,0.6007,0.6973,0.6535,0.6754,0.5308,0.727,0.6289,0.4178,0.2944,0.3561
5.6,-0.2277,0.6321,0.6008,0.688,0.6366,0.6623,0.5314,0.718,0.6247,0.406,0.2803,0.3432
5.7,-0.2136,0.6133,0.5975,0.6822,0.6174,0.6498,0.5284,0.7077,0.618,0.392,0.2643,0.3282
5.8,-0.1959,0.5936,0.5912,0.6803,0.596,0.6381,0.522,0.6967,0.6094,0.3757,0.2468,0.3112
