Time,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC,ANZ - It feels good to get a better perspective of your money 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0924,1.0235,0.6155,0.9242,0.9694,0.9468,0.672,0.7817,0.7269,0.5472,0.5708,0.559
0.1,0.0284,1.0322,0.607,0.9175,1.0062,0.9618,0.6882,0.7748,0.7315,0.5637,0.5774,0.5705
0.2,-0.0308,1.0378,0.6044,0.9098,1.0375,0.9736,0.707,0.7708,0.7389,0.5791,0.5839,0.5815
0.3,-0.0826,1.042,0.6063,0.9015,1.062,0.9818,0.727,0.7699,0.7484,0.5942,0.5903,0.5922
0.4,-0.1253,1.0455,0.6112,0.8934,1.0789,0.9862,0.7465,0.7725,0.7595,0.6094,0.5962,0.6028
0.5,-0.1583,1.048,0.6178,0.8862,1.0884,0.9873,0.7644,0.779,0.7717,0.6253,0.6019,0.6136
0.6,-0.1815,1.049,0.6262,0.8804,1.0908,0.9856,0.7797,0.7895,0.7846,0.6426,0.6082,0.6254
0.7,-0.1954,1.0484,0.6367,0.8762,1.0868,0.9815,0.7922,0.8038,0.798,0.6614,0.6163,0.6388
0.8,-0.2006,1.0466,0.6498,0.8732,1.0771,0.9752,0.8011,0.8215,0.8113,0.6813,0.6264,0.6539
