Time,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC,ANZ - Home Loan Check-In 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.4627,0.5885,0.6545,0.4613,0.6863,0.5738,0.4516,0.6504,0.551,0.8183,0.5897,0.704
0.1,-0.4246,0.5625,0.6353,0.4642,0.6613,0.5628,0.4303,0.6335,0.5319,0.7872,0.5942,0.6907
0.2,-0.383,0.539,0.6169,0.4705,0.641,0.5557,0.4116,0.6185,0.5151,0.7524,0.5987,0.6755
0.3,-0.3392,0.5188,0.5994,0.4798,0.6254,0.5526,0.3954,0.6052,0.5003,0.7142,0.6027,0.6585
0.4,-0.2939,0.5017,0.5828,0.492,0.614,0.553,0.3817,0.5934,0.4876,0.6736,0.606,0.6398
0.5,-0.248,0.4875,0.5676,0.5068,0.6061,0.5564,0.3709,0.5836,0.4772,0.6326,0.6087,0.6207
0.6,-0.202,0.4757,0.5543,0.5241,0.601,0.5625,0.3633,0.5762,0.4697,0.5936,0.6109,0.6023
0.7,-0.1562,0.4663,0.5436,0.5434,0.5985,0.5709,0.3591,0.5715,0.4653,0.5581,0.6125,0.5853
0.8,-0.1108,0.4593,0.5352,0.5634,0.598,0.5807,0.3578,0.5687,0.4633,0.5271,0.6127,0.5699
0.9,-0.0655,0.4549,0.5286,0.5827,0.5987,0.5907,0.3587,0.567,0.4628,0.5007,0.6113,0.556
1,-0.0209,0.453,0.5237,0.6005,0.5998,0.6002,0.3613,0.5651,0.4632,0.4791,0.6083,0.5437
1.1,0.0222,0.4533,0.5205,0.6165,0.6007,0.6086,0.3658,0.5625,0.4642,0.4625,0.6046,0.5335
