Time,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC,ANZ Animatic Neon Sign - Overarching Proposition 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.161,0.6736,0.6189,0.6997,0.5936,0.6466,0.5727,0.8427,0.7077,0.3371,0.4112,0.3742
0.1,0.1463,0.6806,0.5991,0.6847,0.6227,0.6537,0.5556,0.8325,0.694,0.3187,0.3941,0.3564
0.2,0.1296,0.6823,0.5794,0.6682,0.6467,0.6575,0.5379,0.817,0.6775,0.303,0.3782,0.3406
0.3,0.1126,0.6791,0.5601,0.6518,0.6654,0.6586,0.5199,0.7957,0.6578,0.2912,0.3642,0.3277
0.4,0.0967,0.672,0.5414,0.637,0.6793,0.6582,0.5025,0.7687,0.6356,0.2843,0.3527,0.3185
0.5,0.0829,0.6617,0.5239,0.6248,0.6891,0.6569,0.4864,0.7375,0.612,0.2828,0.344,0.3134
0.6,0.0716,0.6487,0.5074,0.6154,0.6951,0.6552,0.4723,0.7031,0.5877,0.2865,0.3379,0.3122
0.7,0.0625,0.6331,0.4922,0.6087,0.6972,0.6529,0.46,0.6666,0.5633,0.295,0.3339,0.3144
0.8,0.0552,0.6156,0.4789,0.6047,0.6962,0.6504,0.4496,0.6298,0.5397,0.308,0.3324,0.3202
0.9,0.0489,0.5967,0.4687,0.6038,0.693,0.6484,0.4413,0.5945,0.5179,0.3255,0.3341,0.3298
1,0.0427,0.577,0.4629,0.6064,0.689,0.6477,0.4348,0.5627,0.4987,0.3467,0.3396,0.3431
1.1,0.0349,0.557,0.4618,0.6123,0.6853,0.6488,0.4296,0.5357,0.4827,0.3702,0.3489,0.3595
1.2,0.0249,0.5369,0.4652,0.6206,0.6825,0.6515,0.4258,0.5145,0.4701,0.3946,0.3617,0.3781
1.3,0.0129,0.5168,0.473,0.6305,0.6812,0.6558,0.4238,0.4996,0.4617,0.4186,0.3775,0.3981
1.4,-0.0001,0.4968,0.4852,0.6414,0.6818,0.6616,0.4245,0.4918,0.4581,0.4416,0.3961,0.4188
1.5,-0.013,0.4774,0.5017,0.6527,0.6844,0.6685,0.4281,0.4912,0.4597,0.4632,0.4168,0.44
1.6,-0.025,0.4589,0.5217,0.6639,0.6891,0.6765,0.4342,0.4975,0.4659,0.4833,0.4388,0.4611
1.7,-0.0357,0.4421,0.5436,0.6743,0.6954,0.6848,0.4421,0.509,0.4756,0.5016,0.4611,0.4814
1.8,-0.044,0.4277,0.5654,0.6835,0.7022,0.6928,0.451,0.5237,0.4873,0.5177,0.4828,0.5003
1.9,-0.0487,0.4164,0.5857,0.6907,0.7086,0.6997,0.4607,0.5392,0.5,0.5315,0.5038,0.5177
2,-0.0491,0.4088,0.6043,0.6953,0.7144,0.7048,0.4712,0.5545,0.5128,0.5434,0.5243,0.5339
2.1,-0.0459,0.4047,0.622,0.697,0.7198,0.7084,0.4828,0.5696,0.5262,0.5539,0.5445,0.5492
2.2,-0.0411,0.4035,0.6394,0.6953,0.7249,0.7101,0.4958,0.5851,0.5405,0.5634,0.5639,0.5637
2.3,-0.0367,0.4041,0.6564,0.6893,0.7293,0.7093,0.5098,0.601,0.5554,0.5721,0.5817,0.5769
2.4,-0.0338,0.4061,0.6718,0.6788,0.7319,0.7054,0.5238,0.6161,0.5699,0.5796,0.5971,0.5884
2.5,-0.032,0.4096,0.6847,0.6647,0.7323,0.6985,0.5369,0.6292,0.5831,0.5857,0.6098,0.5978
2.6,-0.0304,0.4153,0.6946,0.6485,0.7306,0.6895,0.5493,0.6401,0.5947,0.59,0.6198,0.6049
2.7,-0.028,0.4232,0.7011,0.6317,0.7271,0.6794,0.5617,0.6488,0.6053,0.5929,0.6267,0.6098
2.8,-0.025,0.4325,0.704,0.6149,0.7219,0.6684,0.5744,0.6557,0.615,0.5952,0.6308,0.613
