Time,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC,ANZ Animatic Neon Sign - Spend Categorisation 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.6742,0.6176,0.5698,0.4527,0.5091,0.4809,0.5244,0.6443,0.5844,0.2076,0.2943,0.251
0.1,0.7458,0.5713,0.5381,0.4496,0.4767,0.4631,0.5349,0.6477,0.5913,0.2277,0.3177,0.2727
0.2,0.8064,0.5219,0.5058,0.4456,0.4438,0.4447,0.5447,0.6504,0.5975,0.2501,0.3416,0.2959
0.3,0.8563,0.4711,0.4736,0.4409,0.4109,0.4259,0.5541,0.6521,0.6031,0.2735,0.3648,0.3192
0.4,0.8959,0.4205,0.442,0.4366,0.3784,0.4075,0.5633,0.6525,0.6079,0.2966,0.3865,0.3416
0.5,0.9263,0.3721,0.4115,0.4344,0.3475,0.3909,0.5723,0.6516,0.612,0.3187,0.406,0.3623
0.6,0.9499,0.3274,0.383,0.436,0.3193,0.3776,0.5815,0.6498,0.6156,0.3392,0.4229,0.3811
0.7,0.9688,0.2876,0.3567,0.4417,0.2946,0.3681,0.5912,0.6473,0.6192,0.3579,0.4374,0.3977
0.8,0.9829,0.2536,0.3325,0.4502,0.2741,0.3621,0.6014,0.6444,0.6229,0.3742,0.4493,0.4118
0.9,0.9886,0.2264,0.3099,0.4595,0.2585,0.359,0.6119,0.6408,0.6264,0.3877,0.4585,0.4231
1,0.9811,0.2076,0.2879,0.4687,0.249,0.3589,0.6228,0.6362,0.6295,0.3981,0.4644,0.4313
1.1,0.9567,0.1985,0.2664,0.4779,0.2468,0.3623,0.6335,0.6309,0.6322,0.4054,0.4665,0.436
1.2,0.9154,0.1994,0.2462,0.4875,0.2522,0.3698,0.6438,0.6256,0.6347,0.4093,0.4648,0.437
1.3,0.8594,0.2099,0.2288,0.4979,0.2647,0.3813,0.6531,0.6217,0.6374,0.4097,0.4595,0.4346
1.4,0.7919,0.2292,0.2153,0.5091,0.2831,0.3961,0.6612,0.6197,0.6404,0.4068,0.4517,0.4293
1.5,0.7163,0.2562,0.2059,0.521,0.306,0.4135,0.6678,0.6193,0.6436,0.4008,0.4424,0.4216
1.6,0.6363,0.2894,0.1998,0.5332,0.3322,0.4327,0.6731,0.6195,0.6463,0.3916,0.4323,0.412
1.7,0.5554,0.327,0.196,0.5456,0.3606,0.4531,0.6764,0.6189,0.6476,0.3792,0.4215,0.4004
1.8,0.4758,0.3668,0.1937,0.5575,0.3905,0.474,0.6769,0.617,0.6469,0.3638,0.4097,0.3867
1.9,0.3989,0.4071,0.1923,0.5685,0.4212,0.4949,0.6736,0.6134,0.6435,0.3458,0.3968,0.3713
2,0.3259,0.4464,0.1919,0.5789,0.4524,0.5157,0.6657,0.6083,0.637,0.3258,0.3832,0.3545
2.1,0.2577,0.4842,0.1928,0.5892,0.4843,0.5367,0.653,0.6019,0.6275,0.3047,0.3694,0.337
2.2,0.1943,0.5198,0.1956,0.6003,0.5171,0.5587,0.6358,0.5944,0.6151,0.2833,0.356,0.3196
2.3,0.1359,0.5522,0.2012,0.6125,0.5501,0.5813,0.6148,0.5857,0.6003,0.2624,0.3438,0.3031
2.4,0.0832,0.5801,0.2098,0.6253,0.582,0.6037,0.5909,0.576,0.5835,0.2429,0.3335,0.2882
2.5,0.0372,0.6024,0.2212,0.638,0.612,0.625,0.5654,0.5655,0.5655,0.2253,0.3256,0.2754
2.6,-0.0009,0.6187,0.2348,0.6499,0.6393,0.6446,0.5398,0.5549,0.5473,0.2102,0.3202,0.2652
2.7,-0.0315,0.629,0.2504,0.6608,0.6639,0.6623,0.5153,0.5448,0.5301,0.1979,0.3173,0.2576
2.8,-0.0566,0.6343,0.2684,0.6703,0.6859,0.6781,0.4927,0.536,0.5144,0.1885,0.3168,0.2526
2.9,-0.079,0.6356,0.2892,0.6777,0.7058,0.6917,0.4722,0.5293,0.5008,0.1817,0.3189,0.2503
3,-0.1003,0.6342,0.3134,0.6824,0.7236,0.703,0.454,0.5255,0.4898,0.1774,0.3244,0.2509
