Time,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30,ANZ Client TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0084,0.5006,0.3993,0.564,0.5367,0.5503,0.4213,0.4728,0.4471,0.3798,0.4342,0.407
0.1,0.0122,0.4925,0.4261,0.5608,0.5237,0.5423,0.4238,0.4838,0.4538,0.4125,0.4706,0.4415
0.2,0.0192,0.4885,0.458,0.5615,0.514,0.5378,0.4308,0.4983,0.4645,0.4512,0.5121,0.4816
0.3,0.0295,0.4885,0.4949,0.566,0.5077,0.5368,0.4422,0.5159,0.4791,0.4948,0.5577,0.5263
0.4,0.0434,0.4923,0.5354,0.5739,0.5044,0.5391,0.458,0.5362,0.4971,0.5423,0.606,0.5742
0.5,0.0613,0.5001,0.578,0.5851,0.5038,0.5444,0.4776,0.5585,0.518,0.5923,0.6552,0.6238
0.6,0.0829,0.5123,0.6209,0.5997,0.5061,0.5529,0.5005,0.5817,0.5411,0.6428,0.7032,0.673
0.7,0.1077,0.529,0.6623,0.6177,0.5118,0.5647,0.5261,0.605,0.5656,0.6916,0.7478,0.7197
0.8,0.135,0.5498,0.7013,0.6384,0.5209,0.5796,0.5534,0.628,0.5907,0.7363,0.7875,0.7619
0.9,0.1633,0.5736,0.7368,0.6605,0.5328,0.5967,0.5817,0.6503,0.616,0.7753,0.8214,0.7984
1,0.191,0.5983,0.7682,0.6826,0.5462,0.6144,0.6096,0.6711,0.6404,0.8081,0.8491,0.8286
1.1,0.2169,0.6221,0.7951,0.703,0.5593,0.6311,0.6359,0.6898,0.6628,0.8345,0.8702,0.8523
1.2,0.2396,0.6436,0.8173,0.7208,0.5711,0.6459,0.6594,0.7052,0.6823,0.8545,0.8844,0.8695
1.3,0.2578,0.662,0.8341,0.7358,0.5806,0.6582,0.6798,0.7168,0.6983,0.8682,0.8918,0.88
1.4,0.2703,0.677,0.8447,0.7476,0.5876,0.6676,0.6967,0.7243,0.7105,0.8758,0.8925,0.8842
1.5,0.276,0.6883,0.8487,0.756,0.5919,0.674,0.7096,0.7277,0.7187,0.8779,0.8869,0.8824
1.6,0.2751,0.696,0.8461,0.7609,0.5936,0.6772,0.7182,0.7271,0.7227,0.8751,0.8758,0.8755
1.7,0.2684,0.7004,0.8374,0.7624,0.5928,0.6776,0.7225,0.7231,0.7228,0.8682,0.8601,0.8642
1.8,0.2574,0.702,0.8237,0.7612,0.5897,0.6755,0.7231,0.7162,0.7196,0.8579,0.8409,0.8494
1.9,0.2441,0.7015,0.8061,0.7578,0.5847,0.6713,0.7209,0.7068,0.7138,0.8453,0.8193,0.8323
2,0.2301,0.6992,0.7858,0.753,0.5778,0.6654,0.7165,0.6957,0.7061,0.8311,0.796,0.8136
2.1,0.2165,0.6956,0.7639,0.7472,0.5696,0.6584,0.7105,0.6834,0.697,0.8161,0.772,0.7941
2.2,0.2038,0.6913,0.7416,0.741,0.5609,0.6509,0.7033,0.6707,0.687,0.8006,0.7478,0.7742
2.3,0.192,0.687,0.7197,0.7349,0.553,0.644,0.6951,0.6583,0.6767,0.7848,0.7243,0.7545
2.4,0.1812,0.6834,0.6989,0.7294,0.5471,0.6383,0.6864,0.647,0.6667,0.7691,0.702,0.7355
2.5,0.1714,0.6809,0.6796,0.7249,0.5435,0.6342,0.6774,0.6371,0.6572,0.7539,0.6817,0.7178
2.6,0.1626,0.6795,0.6624,0.7218,0.5421,0.6319,0.6682,0.6286,0.6484,0.7393,0.6635,0.7014
2.7,0.1544,0.679,0.6479,0.7202,0.5426,0.6314,0.659,0.6217,0.6404,0.7254,0.6476,0.6865
2.8,0.146,0.6792,0.6364,0.72,0.5451,0.6325,0.6501,0.6168,0.6334,0.7122,0.6342,0.6732
2.9,0.1367,0.6799,0.6279,0.7207,0.5493,0.635,0.6415,0.6139,0.6277,0.6997,0.6237,0.6617
3,0.1261,0.6808,0.6227,0.7217,0.5551,0.6384,0.6334,0.6133,0.6234,0.6882,0.6165,0.6524
3.1,0.1147,0.6818,0.6207,0.7222,0.562,0.6421,0.6259,0.6145,0.6202,0.6781,0.6127,0.6454
3.2,0.1029,0.6828,0.6216,0.7219,0.5697,0.6458,0.619,0.6171,0.618,0.6693,0.6123,0.6408
3.3,0.0909,0.684,0.6252,0.7208,0.578,0.6494,0.6124,0.621,0.6167,0.6615,0.6147,0.6381
3.4,0.0789,0.6856,0.631,0.7193,0.5873,0.6533,0.6063,0.6267,0.6165,0.6544,0.6199,0.6371
3.5,0.0674,0.6874,0.6387,0.7175,0.5974,0.6575,0.6005,0.6343,0.6174,0.6478,0.6274,0.6376
3.6,0.0568,0.6888,0.6477,0.7155,0.6077,0.6616,0.5948,0.6437,0.6193,0.6416,0.6367,0.6392
3.7,0.0473,0.689,0.6575,0.7127,0.617,0.6648,0.5893,0.6543,0.6218,0.6358,0.647,0.6414
3.8,0.0385,0.6873,0.6673,0.7083,0.6243,0.6663,0.5839,0.6653,0.6246,0.6302,0.6576,0.6439
3.9,0.0298,0.6835,0.6762,0.7024,0.6294,0.6659,0.5785,0.676,0.6272,0.6251,0.6678,0.6465
4,0.0208,0.6776,0.6841,0.6951,0.6325,0.6638,0.5734,0.6863,0.6299,0.6207,0.6777,0.6492
4.1,0.0117,0.6703,0.6907,0.6871,0.6341,0.6606,0.5692,0.696,0.6326,0.6175,0.6871,0.6523
4.2,0.0031,0.6616,0.6957,0.6785,0.6343,0.6564,0.5663,0.7046,0.6355,0.6156,0.6957,0.6556
4.3,-0.0047,0.6519,0.6983,0.6693,0.6331,0.6512,0.5647,0.7112,0.638,0.6149,0.703,0.659
4.4,-0.0113,0.6412,0.698,0.6593,0.6303,0.6448,0.5643,0.7148,0.6395,0.6157,0.7088,0.6622
4.5,-0.0162,0.63,0.6948,0.6487,0.6259,0.6373,0.5648,0.7147,0.6397,0.6179,0.7128,0.6654
4.6,-0.0194,0.6189,0.6884,0.6375,0.6201,0.6288,0.5661,0.7106,0.6383,0.6212,0.7154,0.6683
4.7,-0.0212,0.6086,0.6789,0.6264,0.6136,0.62,0.568,0.7031,0.6356,0.625,0.7166,0.6708
