Time,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010,ANZ Everyday Banking Couples E010
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1081,0.7227,0.7037,0.582,0.6643,0.6232,0.809,0.7742,0.7916,0.8744,0.7094,0.7919
0.1,-0.0892,0.7178,0.6874,0.5876,0.6692,0.6284,0.8065,0.7723,0.7894,0.8733,0.7084,0.7909
0.2,-0.074,0.7172,0.6742,0.5976,0.6785,0.6381,0.8045,0.7729,0.7887,0.872,0.7082,0.7901
0.3,-0.0607,0.7202,0.6652,0.6117,0.6912,0.6514,0.803,0.7764,0.7897,0.8702,0.7087,0.7894
0.4,-0.048,0.7256,0.6608,0.6293,0.706,0.6677,0.8021,0.7829,0.7925,0.8677,0.71,0.7888
0.5,-0.0351,0.7327,0.6606,0.6498,0.7217,0.6858,0.802,0.792,0.797,0.8641,0.7123,0.7882
0.6,-0.0215,0.7408,0.6643,0.6722,0.7373,0.7048,0.8026,0.8028,0.8027,0.8594,0.7159,0.7877
0.7,-0.0075,0.7495,0.671,0.6959,0.7519,0.7239,0.804,0.8141,0.809,0.8539,0.7208,0.7874
0.8,0.0066,0.7585,0.6804,0.7202,0.7653,0.7427,0.8061,0.8254,0.8157,0.848,0.7271,0.7876
0.9,0.021,0.7679,0.6923,0.7447,0.7773,0.761,0.8088,0.8365,0.8227,0.8421,0.7348,0.7885
1,0.0359,0.7776,0.7063,0.7694,0.7883,0.7789,0.8125,0.8474,0.83,0.8369,0.7442,0.7906
1.1,0.0516,0.7875,0.7214,0.7942,0.7985,0.7963,0.8167,0.8577,0.8372,0.8324,0.7554,0.7939
1.2,0.0676,0.7973,0.7365,0.8182,0.8076,0.8129,0.821,0.8663,0.8436,0.8282,0.768,0.7981
1.3,0.0834,0.8064,0.7502,0.8408,0.8152,0.828,0.8244,0.8721,0.8483,0.8239,0.7812,0.8026
1.4,0.0987,0.8143,0.7614,0.8609,0.8205,0.8407,0.8259,0.8744,0.8501,0.819,0.7941,0.8065
1.5,0.1146,0.8206,0.7691,0.8783,0.8228,0.8506,0.8246,0.8729,0.8487,0.813,0.806,0.8095
1.6,0.1317,0.8249,0.7732,0.8928,0.8221,0.8574,0.8205,0.8678,0.8441,0.8055,0.8169,0.8112
1.7,0.1501,0.8268,0.7736,0.904,0.8182,0.8611,0.8135,0.8596,0.8366,0.7963,0.8267,0.8115
1.8,0.1693,0.8261,0.7705,0.9113,0.8114,0.8613,0.8036,0.8487,0.8262,0.7848,0.8354,0.8101
1.9,0.1884,0.823,0.7646,0.9144,0.8014,0.8579,0.7903,0.8354,0.8128,0.7711,0.843,0.807
2,0.207,0.8176,0.7567,0.9132,0.7885,0.8509,0.7735,0.8199,0.7967,0.7554,0.8493,0.8024
