Time,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS,ANZ Chef TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0364,0.4634,0.4634,0.4355,0.4276,0.4315,0.4622,0.4945,0.4784,0.5096,0.5144,0.512
0.1,0.0422,0.4592,0.4642,0.4362,0.4241,0.4301,0.4618,0.4926,0.4772,0.5119,0.5152,0.5136
0.2,0.0478,0.456,0.4647,0.4377,0.422,0.4299,0.4619,0.491,0.4764,0.5134,0.5153,0.5143
0.3,0.0531,0.454,0.465,0.4404,0.4218,0.4311,0.4627,0.4898,0.4763,0.5144,0.5149,0.5146
0.4,0.0582,0.4535,0.465,0.4443,0.4233,0.4338,0.4644,0.4896,0.477,0.5152,0.5143,0.5147
0.5,0.0629,0.4543,0.465,0.4495,0.4267,0.4381,0.4673,0.4906,0.479,0.5161,0.5136,0.5149
0.6,0.0669,0.4567,0.4652,0.4563,0.4321,0.4442,0.4714,0.493,0.4822,0.5172,0.5131,0.5151
0.7,0.0703,0.4607,0.4659,0.4649,0.4394,0.4521,0.4768,0.4968,0.4868,0.5183,0.5128,0.5155
0.8,0.0731,0.4661,0.4672,0.4749,0.4485,0.4617,0.4833,0.5019,0.4926,0.5194,0.5128,0.5161
0.9,0.0754,0.4727,0.4691,0.4857,0.459,0.4724,0.4906,0.508,0.4993,0.5205,0.5133,0.5169
1,0.077,0.4801,0.4715,0.4966,0.4705,0.4835,0.4984,0.5148,0.5066,0.5217,0.5143,0.518
1.1,0.0775,0.4881,0.4744,0.5068,0.4823,0.4946,0.5064,0.522,0.5142,0.5229,0.5157,0.5193
1.2,0.0764,0.4964,0.478,0.5164,0.4943,0.5053,0.5143,0.5295,0.5219,0.5243,0.5176,0.521
1.3,0.0736,0.5048,0.4825,0.5252,0.5058,0.5155,0.5222,0.5374,0.5298,0.526,0.5202,0.5231
1.4,0.069,0.5131,0.4879,0.5333,0.5166,0.525,0.5298,0.5456,0.5377,0.528,0.5234,0.5257
1.5,0.063,0.5211,0.494,0.5407,0.5263,0.5335,0.5368,0.554,0.5454,0.5302,0.5271,0.5287
1.6,0.0558,0.5287,0.5008,0.5472,0.535,0.5411,0.543,0.5621,0.5525,0.5325,0.531,0.5318
1.7,0.0476,0.536,0.5079,0.5527,0.5427,0.5477,0.548,0.5694,0.5587,0.5344,0.535,0.5347
1.8,0.039,0.5429,0.5152,0.5572,0.5496,0.5534,0.5521,0.5756,0.5638,0.5357,0.5388,0.5372
1.9,0.0304,0.549,0.5223,0.5606,0.5554,0.558,0.5552,0.5805,0.5678,0.5364,0.5424,0.5394
2,0.0225,0.5542,0.5292,0.5627,0.5601,0.5614,0.5574,0.5841,0.5707,0.5363,0.5457,0.541
2.1,0.0156,0.5582,0.5356,0.5637,0.5635,0.5636,0.5586,0.5861,0.5724,0.5356,0.5486,0.5421
2.2,0.0101,0.5613,0.5416,0.5638,0.5661,0.5649,0.559,0.5868,0.5729,0.5341,0.5507,0.5424
2.3,0.0059,0.5635,0.5471,0.5631,0.5683,0.5657,0.5582,0.5862,0.5722,0.5317,0.552,0.5418
2.4,0.0029,0.565,0.552,0.562,0.5708,0.5664,0.5564,0.5845,0.5705,0.5283,0.5522,0.5403
2.5,0.001,0.5658,0.5562,0.5607,0.5736,0.5671,0.5535,0.582,0.5678,0.5241,0.5517,0.5379
2.6,0,0.5657,0.5596,0.559,0.5765,0.5678,0.5497,0.5787,0.5642,0.5191,0.5506,0.5348
2.7,-0.0002,0.5649,0.5622,0.5573,0.5793,0.5683,0.5451,0.5749,0.56,0.5134,0.5493,0.5314
2.8,0,0.5635,0.564,0.5555,0.5819,0.5687,0.5397,0.5707,0.5552,0.5072,0.5481,0.5276
2.9,0.0004,0.5615,0.565,0.5534,0.5844,0.5689,0.5336,0.5662,0.5499,0.5004,0.5469,0.5236
3,0.0011,0.5589,0.565,0.5512,0.5867,0.5689,0.527,0.5617,0.5443,0.4933,0.5458,0.5195
3.1,0.002,0.5558,0.564,0.5486,0.5889,0.5688,0.52,0.5572,0.5386,0.4862,0.5449,0.5156
3.2,0.0034,0.5524,0.5621,0.546,0.5912,0.5686,0.5128,0.5528,0.5328,0.4794,0.5445,0.512
3.3,0.0049,0.5493,0.5594,0.5437,0.5938,0.5687,0.5059,0.5487,0.5273,0.4735,0.5444,0.5089
3.4,0.0061,0.5469,0.5559,0.5419,0.597,0.5694,0.4994,0.5448,0.5221,0.4685,0.5448,0.5066
3.5,0.0067,0.5451,0.5517,0.5408,0.6007,0.5708,0.4934,0.5411,0.5173,0.4645,0.5454,0.505
3.6,0.0066,0.544,0.5472,0.5405,0.605,0.5727,0.488,0.5379,0.5129,0.4616,0.5464,0.504
3.7,0.0056,0.5438,0.5424,0.541,0.6096,0.5753,0.4834,0.5352,0.5093,0.4599,0.5476,0.5037
3.8,0.0038,0.5446,0.5377,0.5425,0.6146,0.5786,0.48,0.5333,0.5067,0.4592,0.549,0.5041
3.9,0.0011,0.5466,0.5334,0.5452,0.62,0.5826,0.4782,0.532,0.5051,0.4597,0.5506,0.5051
4,-0.0026,0.5497,0.5294,0.549,0.6256,0.5873,0.4781,0.5311,0.5046,0.4613,0.5522,0.5067
4.1,-0.0068,0.5539,0.5258,0.5536,0.6312,0.5924,0.4797,0.5304,0.5051,0.4638,0.554,0.5089
4.2,-0.0115,0.5586,0.5227,0.5585,0.6365,0.5975,0.4827,0.5299,0.5063,0.4671,0.5559,0.5115
4.3,-0.0164,0.5638,0.5202,0.5634,0.6415,0.6025,0.487,0.5298,0.5084,0.471,0.5579,0.5145
4.4,-0.0211,0.5692,0.5184,0.5684,0.6461,0.6073,0.4924,0.5301,0.5113,0.4756,0.5602,0.5179
4.5,-0.0256,0.5745,0.5176,0.5735,0.6503,0.6119,0.4989,0.531,0.5149,0.4807,0.5623,0.5215
4.6,-0.0296,0.5794,0.5178,0.5788,0.6536,0.6162,0.5061,0.5321,0.5191,0.4862,0.5642,0.5252
4.7,-0.0335,0.5834,0.5189,0.5837,0.656,0.6199,0.5137,0.5331,0.5234,0.4918,0.5655,0.5287
4.8,-0.0374,0.5858,0.5204,0.5878,0.6571,0.6225,0.5211,0.5338,0.5274,0.497,0.5659,0.5315
4.9,-0.0412,0.5863,0.522,0.5905,0.6566,0.6236,0.528,0.5338,0.5309,0.5015,0.5653,0.5334
5,-0.0448,0.5847,0.5238,0.5916,0.6546,0.6231,0.5341,0.5332,0.5337,0.5053,0.5637,0.5345
5.1,-0.0477,0.581,0.5256,0.5908,0.6511,0.621,0.5394,0.5322,0.5358,0.5083,0.5612,0.5347
5.2,-0.0499,0.5752,0.5273,0.5883,0.6459,0.6171,0.5438,0.5306,0.5372,0.5105,0.5578,0.5342
5.3,-0.0513,0.5674,0.5288,0.5843,0.6392,0.6118,0.5474,0.5284,0.5379,0.5123,0.5536,0.5329
5.4,-0.0521,0.558,0.5299,0.5789,0.6311,0.605,0.5501,0.5255,0.5378,0.5136,0.5484,0.531
5.5,-0.0524,0.5475,0.5307,0.5725,0.622,0.5973,0.5519,0.5222,0.5371,0.5146,0.5424,0.5285
5.6,-0.0522,0.5367,0.5311,0.5656,0.6124,0.589,0.5531,0.5185,0.5358,0.5151,0.5358,0.5254
5.7,-0.0513,0.5261,0.5309,0.5585,0.6026,0.5806,0.5537,0.5144,0.534,0.5151,0.5286,0.5219
5.8,-0.0497,0.516,0.5299,0.5514,0.5929,0.5721,0.5538,0.5098,0.5318,0.5146,0.5212,0.5179
5.9,-0.0475,0.5069,0.5281,0.5444,0.5832,0.5638,0.5537,0.5048,0.5292,0.5137,0.5138,0.5137
6,-0.0448,0.4992,0.5253,0.5379,0.574,0.5559,0.5534,0.4995,0.5264,0.5125,0.5065,0.5095
6.1,-0.0419,0.4931,0.5217,0.5322,0.5654,0.5488,0.5531,0.4942,0.5236,0.5112,0.4995,0.5054
6.2,-0.0388,0.489,0.5176,0.5278,0.5581,0.5429,0.5528,0.4894,0.5211,0.51,0.4929,0.5014
6.3,-0.0354,0.4869,0.513,0.5249,0.5524,0.5387,0.5527,0.4854,0.519,0.5091,0.4867,0.4979
6.4,-0.0317,0.4871,0.5081,0.524,0.5485,0.5363,0.5529,0.4823,0.5176,0.5087,0.4813,0.495
6.5,-0.0279,0.4897,0.5033,0.525,0.5469,0.5359,0.5534,0.4803,0.5168,0.5088,0.4768,0.4928
6.6,-0.0247,0.4948,0.4986,0.5276,0.5475,0.5376,0.5542,0.4793,0.5168,0.5094,0.4734,0.4914
6.7,-0.0224,0.502,0.4942,0.5317,0.5501,0.5409,0.5554,0.4794,0.5174,0.5104,0.4707,0.4905
6.8,-0.0213,0.5107,0.4901,0.5368,0.5543,0.5456,0.5566,0.4804,0.5185,0.5114,0.4686,0.49
6.9,-0.0213,0.5204,0.4861,0.5427,0.5597,0.5512,0.5579,0.4821,0.52,0.5124,0.4669,0.4896
7,-0.0219,0.5307,0.4826,0.549,0.566,0.5575,0.5593,0.4845,0.5219,0.5134,0.4657,0.4895
7.1,-0.0227,0.5416,0.4796,0.5559,0.573,0.5644,0.5608,0.4877,0.5242,0.5147,0.4653,0.49
7.2,-0.0234,0.5532,0.4774,0.5631,0.5801,0.5716,0.5625,0.4915,0.527,0.5165,0.4658,0.4912
7.3,-0.024,0.565,0.476,0.5703,0.5869,0.5786,0.5643,0.4956,0.5299,0.5186,0.4673,0.493
7.4,-0.0244,0.5765,0.4754,0.5769,0.5929,0.5849,0.5658,0.4996,0.5327,0.5207,0.4696,0.4952
7.5,-0.0244,0.587,0.4755,0.5825,0.5978,0.5901,0.5669,0.5032,0.535,0.5222,0.4724,0.4973
7.6,-0.0239,0.5963,0.4761,0.5869,0.6015,0.5942,0.5669,0.5063,0.5366,0.5229,0.4753,0.4991
7.7,-0.0228,0.6041,0.477,0.5901,0.6041,0.5971,0.5658,0.5087,0.5373,0.5224,0.4779,0.5001
7.8,-0.0209,0.6104,0.4781,0.592,0.6055,0.5987,0.5632,0.5105,0.5369,0.5208,0.4801,0.5004
