Time,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC,ANZ3674 - ATM Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0937,0.6522,0.6322,0.42,0.5389,0.4795,0.6257,0.8277,0.7267,0.4708,0.4721,0.4714
0.1,-0.1525,0.6466,0.6466,0.3793,0.5277,0.4535,0.6255,0.8139,0.7197,0.4726,0.47,0.4713
0.2,-0.2081,0.6427,0.6564,0.346,0.5174,0.4317,0.6256,0.7977,0.7116,0.4736,0.4666,0.4701
0.3,-0.2584,0.6405,0.6615,0.3218,0.5078,0.4148,0.6256,0.7794,0.7025,0.4738,0.4623,0.468
0.4,-0.3016,0.6395,0.6622,0.3074,0.499,0.4032,0.6253,0.7591,0.6922,0.4731,0.4571,0.4651
0.5,-0.337,0.639,0.6596,0.3022,0.4918,0.397,0.6244,0.7376,0.681,0.4716,0.4514,0.4615
0.6,-0.3644,0.6379,0.6553,0.3041,0.4871,0.3956,0.6227,0.7155,0.6691,0.4699,0.446,0.458
0.7,-0.3837,0.6356,0.6504,0.3109,0.4848,0.3979,0.6198,0.6936,0.6567,0.4691,0.4421,0.4556
0.8,-0.3941,0.632,0.6454,0.3212,0.4837,0.4025,0.6156,0.6721,0.6439,0.4697,0.4402,0.4549
0.9,-0.3948,0.6272,0.6408,0.3345,0.4829,0.4087,0.6103,0.6513,0.6308,0.4718,0.4406,0.4562
1,-0.3853,0.6217,0.6371,0.3506,0.4822,0.4164,0.6043,0.6314,0.6179,0.4753,0.4434,0.4593
1.1,-0.3675,0.6159,0.6347,0.3691,0.4821,0.4256,0.5973,0.613,0.6051,0.4795,0.4481,0.4638
1.2,-0.3444,0.6097,0.6337,0.3885,0.4828,0.4357,0.5884,0.5965,0.5925,0.4845,0.4548,0.4697
1.3,-0.3176,0.6028,0.6338,0.4072,0.4841,0.4456,0.5776,0.5823,0.58,0.4908,0.4635,0.4771
1.4,-0.2873,0.5947,0.6344,0.4245,0.4855,0.455,0.5658,0.5699,0.5679,0.4985,0.4744,0.4864
1.5,-0.2537,0.5852,0.6352,0.4403,0.4872,0.4638,0.5544,0.5588,0.5566,0.5074,0.4869,0.4972
1.6,-0.2177,0.5748,0.6359,0.4547,0.4896,0.4722,0.5443,0.5485,0.5464,0.517,0.5005,0.5087
1.7,-0.1809,0.564,0.6368,0.4677,0.4934,0.4806,0.5357,0.5389,0.5373,0.5268,0.5145,0.5207
1.8,-0.1443,0.5529,0.6383,0.4787,0.4989,0.4888,0.5285,0.5302,0.5294,0.5367,0.5291,0.5329
1.9,-0.1092,0.5413,0.6404,0.4867,0.5057,0.4962,0.5228,0.5227,0.5228,0.5469,0.5438,0.5454
2,-0.0766,0.5293,0.6423,0.4912,0.5124,0.5018,0.5186,0.5161,0.5173,0.5571,0.5579,0.5575
2.1,-0.0469,0.5176,0.6434,0.4925,0.518,0.5052,0.516,0.5098,0.5129,0.5666,0.5698,0.5682
2.2,-0.0202,0.5068,0.6433,0.4908,0.5223,0.5066,0.5154,0.5031,0.5092,0.5747,0.5786,0.5766
2.3,0.004,0.497,0.6421,0.4865,0.5258,0.5062,0.5163,0.4955,0.5059,0.5808,0.5834,0.5821
2.4,0.0264,0.4879,0.6402,0.4796,0.5288,0.5042,0.5182,0.4868,0.5025,0.5845,0.5843,0.5844
2.5,0.0475,0.4789,0.6377,0.4702,0.5309,0.5006,0.5205,0.4768,0.4986,0.5858,0.5815,0.5837
2.6,0.0659,0.4697,0.6345,0.4584,0.5323,0.4954,0.5225,0.4656,0.4941,0.5845,0.5755,0.58
