Time,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC,ANZ3674 - Ninja Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1535,0.6845,0.3988,0.643,0.6617,0.6524,0.5397,0.6818,0.6108,0.4666,0.8255,0.646
0.1,0.204,0.6897,0.4007,0.6569,0.6571,0.657,0.5395,0.6771,0.6083,0.4629,0.8222,0.6426
0.2,0.2483,0.694,0.4072,0.6702,0.6519,0.6611,0.5411,0.6745,0.6078,0.4605,0.8187,0.6396
0.3,0.2858,0.6973,0.4179,0.6829,0.6463,0.6646,0.5442,0.6735,0.6088,0.4599,0.8151,0.6375
0.4,0.3156,0.6996,0.4324,0.695,0.641,0.668,0.5487,0.6745,0.6116,0.4617,0.812,0.6369
0.5,0.3368,0.7009,0.4504,0.7062,0.6367,0.6714,0.5551,0.6784,0.6167,0.4667,0.8102,0.6384
0.6,0.3489,0.7012,0.4711,0.7157,0.6338,0.6748,0.5638,0.6851,0.6244,0.4749,0.8097,0.6423
0.7,0.3522,0.7002,0.4936,0.7226,0.6327,0.6776,0.5752,0.6938,0.6345,0.4862,0.8102,0.6482
0.8,0.3467,0.6981,0.5172,0.7263,0.6337,0.68,0.5888,0.7031,0.646,0.5004,0.8112,0.6558
0.9,0.3322,0.6951,0.5411,0.7271,0.6375,0.6823,0.6038,0.7124,0.6581,0.5172,0.8121,0.6646
1,0.3091,0.6919,0.565,0.7261,0.6444,0.6852,0.619,0.7216,0.6703,0.5364,0.8126,0.6745
1.1,0.2787,0.6896,0.5887,0.7241,0.6544,0.6892,0.6334,0.7308,0.6821,0.5576,0.8126,0.6851
1.2,0.2435,0.6889,0.6118,0.7214,0.6668,0.6941,0.6465,0.7397,0.6931,0.5806,0.8114,0.696
1.3,0.2062,0.6902,0.6334,0.7188,0.6808,0.6998,0.6578,0.7478,0.7028,0.6051,0.8086,0.7069
1.4,0.169,0.6936,0.6525,0.7172,0.6965,0.7068,0.6675,0.7549,0.7112,0.6312,0.8039,0.7175
1.5,0.1335,0.6994,0.6687,0.7178,0.7141,0.7159,0.6759,0.7614,0.7186,0.6587,0.7969,0.7278
1.6,0.1003,0.7077,0.6822,0.721,0.734,0.7275,0.6834,0.7675,0.7254,0.6875,0.7878,0.7376
1.7,0.0696,0.7186,0.6933,0.7262,0.7561,0.7411,0.6904,0.7736,0.732,0.717,0.7769,0.747
1.8,0.041,0.7319,0.7026,0.7321,0.7796,0.7558,0.6969,0.7794,0.7382,0.7471,0.7646,0.7559
1.9,0.0141,0.7469,0.7105,0.7378,0.8037,0.7708,0.7023,0.7848,0.7436,0.7774,0.7515,0.7645
2,-0.0106,0.7625,0.7172,0.7432,0.8277,0.7855,0.7064,0.7899,0.7482,0.8073,0.7385,0.7729
2.1,-0.0321,0.7781,0.7228,0.7486,0.851,0.7998,0.7095,0.795,0.7522,0.8358,0.7263,0.781
2.2,-0.0483,0.793,0.7273,0.7545,0.8725,0.8135,0.7119,0.7999,0.7559,0.8618,0.7154,0.7886
2.3,-0.0577,0.8066,0.731,0.7609,0.8903,0.8256,0.7135,0.8045,0.759,0.8847,0.7063,0.7955
2.4,-0.0596,0.8181,0.7345,0.7671,0.9026,0.8348,0.714,0.8082,0.7611,0.9038,0.6988,0.8013
2.5,-0.0545,0.8266,0.7381,0.7726,0.908,0.8403,0.7127,0.8113,0.762,0.9188,0.6931,0.8059
2.6,-0.0441,0.8312,0.7423,0.7772,0.9063,0.8418,0.71,0.8138,0.7619,0.9296,0.689,0.8093
2.7,-0.0295,0.8318,0.7477,0.781,0.8984,0.8397,0.7074,0.8166,0.762,0.9364,0.6868,0.8116
2.8,-0.0116,0.8285,0.7541,0.7843,0.8848,0.8346,0.7062,0.8202,0.7632,0.9395,0.6869,0.8132
2.9,0.0088,0.8215,0.7615,0.7872,0.8659,0.8266,0.707,0.8246,0.7658,0.939,0.6892,0.8141
3,0.0309,0.811,0.7692,0.7897,0.8417,0.8157,0.7099,0.8297,0.7698,0.9353,0.6937,0.8145
3.1,0.0535,0.797,0.777,0.7919,0.8128,0.8023,0.7153,0.8358,0.7755,0.929,0.7004,0.8147
3.2,0.0754,0.7797,0.7848,0.7941,0.7807,0.7874,0.7238,0.8431,0.7835,0.9208,0.7094,0.8151
3.3,0.0963,0.759,0.793,0.7961,0.7475,0.7718,0.7361,0.8519,0.794,0.9118,0.7209,0.8164
3.4,0.1165,0.7351,0.8019,0.7975,0.7152,0.7563,0.7521,0.8614,0.8067,0.9026,0.7347,0.8187
3.5,0.1368,0.7085,0.8111,0.7979,0.6847,0.7413,0.7717,0.871,0.8214,0.894,0.7505,0.8223
3.6,0.1575,0.6802,0.8204,0.7976,0.657,0.7273,0.7947,0.8809,0.8378,0.8869,0.7682,0.8276
