Time,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30,ANZ Plus - Gym Client TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1794,0.5798,0.7443,0.484,0.8065,0.6452,0.6823,0.6797,0.681,0.779,0.801,0.79
0.1,-0.157,0.6266,0.7396,0.5298,0.8099,0.6698,0.7021,0.6924,0.6973,0.7903,0.8057,0.798
0.2,-0.1285,0.6705,0.7359,0.576,0.8082,0.6921,0.7207,0.7021,0.7114,0.8026,0.8103,0.8065
0.3,-0.0962,0.7103,0.7321,0.6208,0.8023,0.7115,0.7376,0.7087,0.7231,0.8157,0.8149,0.8153
0.4,-0.0631,0.7452,0.7276,0.6628,0.7931,0.7279,0.7526,0.712,0.7323,0.8292,0.8196,0.8244
0.5,-0.0314,0.7746,0.7216,0.7011,0.782,0.7416,0.7657,0.7122,0.739,0.8426,0.824,0.8333
0.6,-0.0017,0.7983,0.7136,0.7353,0.77,0.7526,0.7774,0.7096,0.7435,0.8552,0.8276,0.8414
0.7,0.0268,0.8159,0.7039,0.7648,0.7577,0.7612,0.788,0.7052,0.7466,0.8658,0.8298,0.8478
0.8,0.0546,0.8274,0.693,0.7893,0.745,0.7672,0.7978,0.7,0.7489,0.8739,0.8311,0.8525
0.9,0.0817,0.833,0.6816,0.8086,0.7321,0.7703,0.8071,0.6949,0.751,0.879,0.8318,0.8554
1,0.107,0.833,0.6697,0.8226,0.7192,0.7709,0.8156,0.6902,0.7529,0.8811,0.8325,0.8568
1.1,0.1292,0.8277,0.6575,0.8316,0.7069,0.7692,0.8235,0.6861,0.7548,0.8804,0.8331,0.8568
1.2,0.147,0.8174,0.6455,0.8356,0.6952,0.7654,0.8305,0.6826,0.7566,0.8776,0.8339,0.8557
1.3,0.1593,0.8028,0.635,0.8346,0.6841,0.7593,0.8361,0.6798,0.758,0.8733,0.835,0.8541
1.4,0.1657,0.7845,0.6277,0.8286,0.6727,0.7507,0.84,0.6775,0.7588,0.8685,0.8376,0.853
1.5,0.1664,0.7637,0.6243,0.8185,0.6607,0.7396,0.8422,0.6759,0.759,0.8645,0.8429,0.8537
1.6,0.1621,0.7412,0.6247,0.8051,0.6474,0.7262,0.8431,0.6751,0.7591,0.8625,0.8518,0.8571
1.7,0.154,0.7176,0.6287,0.7898,0.6325,0.7111,0.8435,0.6754,0.7595,0.8634,0.8651,0.8642
1.8,0.1433,0.6932,0.6357,0.7735,0.616,0.6948,0.8441,0.6775,0.7608,0.8677,0.8828,0.8752
1.9,0.1307,0.6686,0.6452,0.7572,0.5982,0.6777,0.8453,0.6813,0.7633,0.8754,0.9045,0.89
2,0.1166,0.6441,0.6567,0.742,0.5794,0.6607,0.8469,0.6863,0.7666,0.8862,0.9293,0.9078
2.1,0.1013,0.6203,0.6694,0.7285,0.5606,0.6446,0.8487,0.6917,0.7702,0.8995,0.9563,0.9279
2.2,0.0858,0.5973,0.6824,0.7172,0.5426,0.6299,0.8503,0.6967,0.7735,0.9147,0.9844,0.9495
2.3,0.0715,0.5752,0.6948,0.708,0.5256,0.6168,0.8512,0.7008,0.776,0.9313,1.0128,0.972
2.4,0.06,0.5541,0.7062,0.7007,0.5098,0.6052,0.8508,0.7039,0.7774,0.9486,1.0404,0.9945
2.5,0.0525,0.5343,0.7164,0.6955,0.4952,0.5954,0.8492,0.7063,0.7778,0.9663,1.0662,1.0163
2.6,0.0498,0.5168,0.7258,0.6926,0.4825,0.5876,0.8467,0.7082,0.7775,0.9844,1.0893,1.0368
2.7,0.0522,0.5026,0.7344,0.6924,0.4725,0.5825,0.8439,0.71,0.7769,1.0025,1.1091,1.0558
2.8,0.0595,0.4926,0.7423,0.6951,0.4659,0.5805,0.8413,0.7118,0.7765,1.0202,1.1257,1.073
2.9,0.0712,0.4873,0.7502,0.7003,0.463,0.5816,0.8394,0.7138,0.7766,1.0372,1.139,1.0881
3,0.0862,0.4864,0.7588,0.7074,0.4634,0.5854,0.8381,0.7157,0.7769,1.0528,1.1487,1.1008
3.1,0.1028,0.4889,0.7682,0.715,0.4664,0.5907,0.8371,0.7167,0.7769,1.0661,1.1542,1.1102
3.2,0.1194,0.4937,0.7777,0.7219,0.4711,0.5965,0.8353,0.7161,0.7757,1.0764,1.1547,1.1155
3.3,0.1352,0.5,0.7861,0.7268,0.4761,0.6015,0.8318,0.7132,0.7725,1.083,1.1498,1.1164
3.4,0.1498,0.5069,0.7924,0.7289,0.4805,0.6047,0.826,0.7077,0.7669,1.0852,1.1397,1.1124
3.5,0.1632,0.5135,0.7963,0.7276,0.4834,0.6055,0.8182,0.6997,0.759,1.0826,1.1244,1.1035
3.6,0.1748,0.5194,0.7976,0.7227,0.4847,0.6037,0.8092,0.6899,0.7495,1.0751,1.1041,1.0896
