Time,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC,Apia Insurance TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0265,0.5854,0.6342,0.5901,0.4986,0.5443,0.6686,0.5444,0.6065,0.6557,0.553,0.6044
0.1,-0.0371,0.6108,0.6454,0.6221,0.5268,0.5744,0.6871,0.5656,0.6263,0.662,0.5668,0.6144
0.2,-0.0466,0.6354,0.6552,0.6524,0.5548,0.6036,0.7064,0.5869,0.6466,0.6683,0.5814,0.6248
0.3,-0.054,0.658,0.6626,0.6801,0.5817,0.6309,0.7263,0.6078,0.6671,0.674,0.5961,0.6351
0.4,-0.0589,0.6777,0.6664,0.7042,0.6058,0.655,0.7458,0.6273,0.6866,0.6777,0.6101,0.6439
0.5,-0.061,0.6932,0.6656,0.7237,0.6258,0.6747,0.7632,0.6445,0.7038,0.6784,0.6223,0.6503
0.6,-0.0603,0.7038,0.6603,0.7381,0.6411,0.6896,0.7775,0.6585,0.718,0.6759,0.632,0.6539
0.7,-0.057,0.7094,0.651,0.748,0.6517,0.6998,0.7886,0.6693,0.7289,0.6705,0.6388,0.6547
0.8,-0.0512,0.7104,0.6386,0.7537,0.6577,0.7057,0.7964,0.6767,0.7365,0.6625,0.6426,0.6526
0.9,-0.0437,0.707,0.6236,0.7555,0.659,0.7072,0.8007,0.6805,0.7406,0.6517,0.6434,0.6475
1,-0.0355,0.6997,0.606,0.7534,0.6555,0.7044,0.8014,0.6805,0.7409,0.6379,0.6412,0.6395
1.1,-0.0277,0.6886,0.5862,0.7476,0.6474,0.6975,0.798,0.6767,0.7374,0.6211,0.6363,0.6287
1.2,-0.0208,0.6741,0.5646,0.7387,0.6353,0.687,0.7909,0.6696,0.7302,0.6019,0.629,0.6155
