Time,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30,ANZ Plus - Vinyls Client TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1119,0.681,0.4933,0.7899,0.763,0.7765,0.8039,0.7047,0.7543,0.4135,0.2844,0.3489
0.1,-0.1138,0.6788,0.4727,0.7681,0.7504,0.7593,0.8027,0.703,0.7529,0.3899,0.2917,0.3408
0.2,-0.1193,0.6778,0.4487,0.7434,0.7384,0.7409,0.7971,0.6957,0.7464,0.3631,0.2973,0.3302
0.3,-0.1291,0.6778,0.4225,0.7161,0.727,0.7216,0.7873,0.6827,0.735,0.3341,0.3011,0.3176
0.4,-0.143,0.6784,0.3957,0.6865,0.716,0.7012,0.7737,0.6646,0.7191,0.3044,0.3035,0.3039
0.5,-0.1597,0.6792,0.3698,0.655,0.7054,0.6802,0.7567,0.6427,0.6997,0.2748,0.3046,0.2897
0.6,-0.1776,0.6801,0.346,0.6228,0.6954,0.6591,0.7368,0.6186,0.6777,0.2461,0.3044,0.2753
0.7,-0.1954,0.6813,0.3244,0.5911,0.686,0.6385,0.7141,0.5935,0.6538,0.2194,0.3034,0.2614
0.8,-0.2124,0.683,0.3052,0.5608,0.6769,0.6188,0.6888,0.568,0.6284,0.1957,0.3022,0.249
0.9,-0.2285,0.6856,0.2885,0.5325,0.6683,0.6004,0.6611,0.5421,0.6016,0.1763,0.3017,0.239
1,-0.2431,0.6891,0.2746,0.507,0.6602,0.5836,0.6315,0.5163,0.5739,0.1621,0.3022,0.2322
1.1,-0.2554,0.6933,0.2634,0.4845,0.6535,0.569,0.601,0.4914,0.5462,0.1531,0.3039,0.2285
1.2,-0.2643,0.6984,0.2546,0.4656,0.6487,0.5571,0.5704,0.4684,0.5194,0.1493,0.3067,0.228
1.3,-0.2687,0.7042,0.2484,0.4508,0.646,0.5484,0.5405,0.4482,0.4943,0.1503,0.3106,0.2304
1.4,-0.2678,0.7103,0.245,0.4406,0.6448,0.5427,0.5116,0.4311,0.4714,0.1563,0.3161,0.2362
1.5,-0.2609,0.7157,0.2445,0.4356,0.6439,0.5398,0.4837,0.417,0.4503,0.1667,0.3234,0.2451
1.6,-0.2487,0.7199,0.2464,0.436,0.6422,0.5391,0.4571,0.4052,0.4312,0.1806,0.3325,0.2566
1.7,-0.2322,0.7225,0.2499,0.4417,0.6392,0.5404,0.4322,0.3954,0.4138,0.1967,0.3426,0.2697
1.8,-0.2127,0.7237,0.2545,0.4523,0.6347,0.5435,0.4094,0.3878,0.3986,0.2136,0.353,0.2833
1.9,-0.19,0.7239,0.2601,0.4674,0.6287,0.548,0.3886,0.3824,0.3855,0.2304,0.363,0.2967
2,-0.164,0.7235,0.2667,0.486,0.6206,0.5533,0.3694,0.3793,0.3743,0.2462,0.3719,0.3091
2.1,-0.1347,0.722,0.2738,0.5071,0.6102,0.5586,0.3514,0.3781,0.3648,0.2603,0.379,0.3197
2.2,-0.1027,0.7191,0.2809,0.5289,0.5975,0.5632,0.3349,0.3787,0.3568,0.2724,0.3835,0.3279
2.3,-0.0686,0.7147,0.2871,0.5498,0.5829,0.5663,0.3205,0.381,0.3508,0.2824,0.3847,0.3336
2.4,-0.0329,0.7092,0.2917,0.5684,0.5669,0.5676,0.309,0.3852,0.3471,0.2907,0.3825,0.3366
2.5,0.0039,0.703,0.2949,0.584,0.5502,0.5671,0.3004,0.3913,0.3459,0.2978,0.3768,0.3373
2.6,0.0422,0.6962,0.297,0.5966,0.533,0.5648,0.2945,0.3989,0.3467,0.3038,0.368,0.3359
2.7,0.0819,0.6885,0.2983,0.6064,0.5154,0.5609,0.2906,0.4072,0.3489,0.3088,0.3562,0.3325
2.8,0.1228,0.6794,0.299,0.6135,0.4977,0.5556,0.2885,0.4159,0.3522,0.3126,0.3413,0.327
2.9,0.1638,0.6688,0.2991,0.6182,0.4799,0.549,0.2884,0.4249,0.3567,0.3151,0.3238,0.3195
3,0.2032,0.6568,0.2992,0.6205,0.4625,0.5415,0.2907,0.4346,0.3626,0.3163,0.3045,0.3104
3.1,0.239,0.6438,0.2997,0.6213,0.4459,0.5336,0.2956,0.4446,0.3701,0.3165,0.2848,0.3007
3.2,0.2702,0.6306,0.3014,0.621,0.4308,0.5259,0.3026,0.4544,0.3785,0.3167,0.2664,0.2915
3.3,0.2962,0.6177,0.3046,0.6202,0.418,0.5191,0.3117,0.4633,0.3875,0.3177,0.2505,0.2841
3.4,0.3167,0.606,0.3096,0.6194,0.408,0.5137,0.323,0.4712,0.3971,0.3206,0.2381,0.2793
3.5,0.3321,0.5958,0.3163,0.6185,0.4009,0.5097,0.3372,0.4784,0.4078,0.3257,0.23,0.2778
3.6,0.343,0.5874,0.3246,0.6176,0.3963,0.5069,0.3547,0.4857,0.4202,0.3331,0.2263,0.2797
3.7,0.3501,0.581,0.3341,0.6168,0.3938,0.5053,0.3756,0.4936,0.4346,0.3427,0.2268,0.2848
3.8,0.354,0.5766,0.3443,0.6165,0.393,0.5048,0.3993,0.502,0.4507,0.3544,0.2313,0.2929
3.9,0.3546,0.5743,0.355,0.617,0.3936,0.5053,0.4256,0.5105,0.468,0.3683,0.2397,0.304
4,0.3511,0.5739,0.3657,0.6184,0.3952,0.5068,0.454,0.5181,0.4861,0.3851,0.2517,0.3184
4.1,0.342,0.5758,0.3764,0.6207,0.3979,0.5093,0.484,0.5242,0.5041,0.4048,0.2676,0.3362
4.2,0.3262,0.5799,0.3876,0.6239,0.4018,0.5128,0.5151,0.5281,0.5216,0.4276,0.2878,0.3577
4.3,0.3041,0.5861,0.3998,0.6282,0.4077,0.5179,0.5473,0.5302,0.5387,0.4536,0.3128,0.3832
4.4,0.2769,0.5942,0.414,0.6336,0.4163,0.525,0.58,0.5313,0.5557,0.4824,0.3426,0.4125
4.5,0.2465,0.6032,0.4309,0.6397,0.4277,0.5337,0.6129,0.5321,0.5725,0.5135,0.3765,0.445
4.6,0.2147,0.612,0.4508,0.6458,0.4411,0.5434,0.6445,0.5326,0.5886,0.5457,0.4137,0.4797
4.7,0.1831,0.6194,0.4737,0.6509,0.455,0.553,0.6736,0.5325,0.603,0.578,0.4535,0.5158
4.8,0.1529,0.6249,0.4987,0.655,0.4682,0.5616,0.6989,0.5318,0.6154,0.6099,0.4951,0.5525
4.9,0.125,0.6288,0.5253,0.6583,0.4806,0.5694,0.7204,0.5308,0.6256,0.6405,0.5377,0.5891
5,0.0998,0.6319,0.5531,0.6613,0.4928,0.577,0.7382,0.5306,0.6344,0.6696,0.5801,0.6248
5.1,0.0775,0.6349,0.582,0.6643,0.5056,0.585,0.7525,0.5324,0.6425,0.6964,0.6211,0.6587
5.2,0.0585,0.6379,0.6113,0.6669,0.5194,0.5931,0.7632,0.5368,0.65,0.7204,0.6593,0.6899
5.3,0.0435,0.6408,0.6393,0.6687,0.5336,0.6011,0.7694,0.5437,0.6565,0.7415,0.6936,0.7175
5.4,0.0327,0.6429,0.6641,0.6694,0.5478,0.6086,0.771,0.5522,0.6616,0.7593,0.723,0.7412
5.5,0.0263,0.6443,0.6845,0.6694,0.562,0.6157,0.7684,0.5619,0.6652,0.7735,0.7474,0.7604
5.6,0.0241,0.6448,0.7,0.6688,0.5763,0.6225,0.7624,0.5721,0.6672,0.7838,0.7666,0.7752
5.7,0.0256,0.6439,0.7108,0.6673,0.5903,0.6288,0.754,0.5817,0.6679,0.7902,0.7809,0.7855
5.8,0.0303,0.6413,0.7178,0.6648,0.6032,0.634,0.7435,0.5902,0.6668,0.793,0.7907,0.7918
5.9,0.0374,0.6368,0.7213,0.6611,0.6141,0.6376,0.7311,0.5966,0.6639,0.7926,0.7965,0.7946
6,0.0466,0.6304,0.7214,0.6564,0.6219,0.6392,0.7172,0.6003,0.6588,0.7893,0.7988,0.794
6.1,0.0573,0.6224,0.7185,0.6512,0.626,0.6386,0.7024,0.6009,0.6517,0.7835,0.798,0.7908
6.2,0.069,0.6132,0.7133,0.6453,0.6263,0.6358,0.6873,0.5987,0.643,0.7758,0.795,0.7854
6.3,0.0807,0.6031,0.706,0.6386,0.6228,0.6307,0.6721,0.5936,0.6328,0.7669,0.7907,0.7788
6.4,0.0916,0.5924,0.6968,0.6309,0.6154,0.6231,0.6563,0.5857,0.621,0.7575,0.7857,0.7716
6.5,0.1009,0.5816,0.6852,0.6224,0.6042,0.6133,0.6393,0.5744,0.6068,0.7475,0.7797,0.7636
6.6,0.1086,0.5711,0.6712,0.6137,0.5899,0.6018,0.6211,0.559,0.59,0.7367,0.7719,0.7543
6.7,0.1148,0.5611,0.655,0.6053,0.5728,0.589,0.6021,0.5394,0.5707,0.7248,0.7615,0.7432
6.8,0.1199,0.5518,0.6373,0.5977,0.5536,0.5756,0.5828,0.5168,0.5498,0.712,0.7481,0.7301
6.9,0.124,0.5441,0.6185,0.5916,0.5333,0.5625,0.5641,0.4929,0.5285,0.6987,0.7319,0.7153
7,0.1264,0.5389,0.5991,0.5879,0.5136,0.5507,0.5465,0.4692,0.5078,0.6854,0.7134,0.6994
7.1,0.1256,0.5366,0.5796,0.5869,0.4958,0.5414,0.5304,0.4469,0.4887,0.6728,0.6933,0.6831
7.2,0.1199,0.5373,0.5611,0.5882,0.4812,0.5347,0.5159,0.4268,0.4713,0.6611,0.6723,0.6667
7.3,0.108,0.5404,0.5452,0.5904,0.4706,0.5305,0.503,0.4094,0.4562,0.6508,0.651,0.6509
7.4,0.0902,0.5454,0.5334,0.5926,0.4643,0.5285,0.4916,0.3958,0.4437,0.642,0.63,0.636
7.5,0.0677,0.5524,0.5269,0.5942,0.4625,0.5283,0.4819,0.3867,0.4343,0.6346,0.6099,0.6222
7.6,0.0431,0.5611,0.5259,0.5951,0.4651,0.5301,0.4741,0.3828,0.4285,0.6278,0.5906,0.6092
7.7,0.0187,0.5713,0.5298,0.5952,0.472,0.5336,0.4684,0.384,0.4262,0.621,0.5721,0.5965
7.8,-0.0036,0.5828,0.5371,0.5943,0.4824,0.5383,0.465,0.3896,0.4273,0.6139,0.554,0.584
7.9,-0.0223,0.5952,0.5463,0.5918,0.4955,0.5437,0.4636,0.3986,0.4311,0.6066,0.5362,0.5714
8,-0.0365,0.6087,0.5561,0.588,0.5106,0.5493,0.464,0.4106,0.4373,0.5993,0.5185,0.5589
8.1,-0.0457,0.6235,0.5661,0.5833,0.5275,0.5554,0.4659,0.4253,0.4456,0.5921,0.5013,0.5467
8.2,-0.0504,0.6395,0.5766,0.5781,0.5459,0.562,0.4694,0.4427,0.456,0.5854,0.4848,0.5351
8.3,-0.0516,0.6561,0.5879,0.5723,0.5654,0.5688,0.4745,0.4625,0.4685,0.5792,0.4695,0.5244
8.4,-0.0504,0.6722,0.6002,0.5648,0.585,0.5749,0.4813,0.4841,0.4827,0.5734,0.4554,0.5144
8.5,-0.0479,0.6865,0.6128,0.5549,0.6039,0.5794,0.4892,0.5064,0.4978,0.5676,0.4426,0.5051
8.6,-0.0446,0.6984,0.6245,0.5423,0.6215,0.5819,0.4976,0.5286,0.5131,0.5612,0.4312,0.4962
8.7,-0.0409,0.7075,0.6348,0.5278,0.6379,0.5829,0.5064,0.5502,0.5283,0.5538,0.4213,0.4875
8.8,-0.0377,0.7139,0.6436,0.5124,0.6535,0.583,0.5158,0.5707,0.5433,0.5453,0.4131,0.4792
8.9,-0.0362,0.7174,0.651,0.4971,0.6684,0.5828,0.5262,0.5899,0.558,0.5361,0.4069,0.4715
9,-0.037,0.7181,0.6571,0.4823,0.6826,0.5824,0.5374,0.6071,0.5723,0.5262,0.4024,0.4643
9.1,-0.0403,0.7159,0.6617,0.4686,0.6958,0.5822,0.5488,0.6217,0.5853,0.5157,0.3996,0.4576
9.2,-0.0456,0.7118,0.6646,0.4568,0.7081,0.5824,0.5601,0.6334,0.5968,0.5047,0.3982,0.4514
9.3,-0.0519,0.7066,0.6652,0.4479,0.7195,0.5837,0.5706,0.6423,0.6064,0.4934,0.3983,0.4458
9.4,-0.0576,0.7013,0.6632,0.4427,0.7302,0.5865,0.5802,0.6484,0.6143,0.4822,0.4,0.4411
9.5,-0.0615,0.696,0.6579,0.441,0.7401,0.5906,0.5882,0.6523,0.6202,0.4716,0.4029,0.4373
9.6,-0.0634,0.691,0.649,0.4423,0.7494,0.5958,0.594,0.6542,0.6241,0.4614,0.4061,0.4338
9.7,-0.0637,0.6869,0.6363,0.4459,0.7581,0.602,0.5966,0.6542,0.6254,0.451,0.4086,0.4298
9.8,-0.0641,0.684,0.6206,0.4512,0.7665,0.6088,0.5958,0.6526,0.6242,0.4404,0.4098,0.4251
9.9,-0.0659,0.6822,0.6033,0.4579,0.7746,0.6162,0.5919,0.6497,0.6208,0.4304,0.4102,0.4203
10,-0.0699,0.6809,0.5862,0.4652,0.7821,0.6237,0.5861,0.6465,0.6163,0.4225,0.4109,0.4167
