Time,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC,Arnotts Savoy 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.6374,0.7614,0.3745,0.4111,1.0084,0.7098,0.2313,0.4506,0.3409,0.5311,0.5838,0.5575
0.1,-0.6598,0.7451,0.39,0.3945,0.9905,0.6925,0.2387,0.4643,0.3515,0.5305,0.5788,0.5546
0.2,-0.6768,0.7252,0.4061,0.3771,0.9674,0.6722,0.2498,0.4806,0.3652,0.5324,0.5753,0.5538
0.3,-0.6869,0.7019,0.4229,0.3604,0.9389,0.6496,0.2645,0.4994,0.3819,0.5363,0.5737,0.555
0.4,-0.6883,0.6759,0.4405,0.3453,0.9056,0.6254,0.2815,0.5197,0.4006,0.5419,0.5743,0.5581
0.5,-0.6801,0.6481,0.4586,0.3326,0.8694,0.601,0.2993,0.5404,0.4198,0.5481,0.5764,0.5623
0.6,-0.6625,0.6201,0.4765,0.3227,0.833,0.5778,0.316,0.5607,0.4384,0.5543,0.5792,0.5667
0.7,-0.6371,0.5931,0.4933,0.3155,0.798,0.5568,0.3309,0.5803,0.4556,0.5598,0.5815,0.5706
0.8,-0.6058,0.5679,0.5079,0.3106,0.7652,0.5379,0.3436,0.5989,0.4712,0.5646,0.5823,0.5734
0.9,-0.5711,0.545,0.5197,0.3074,0.7343,0.5209,0.3545,0.6158,0.4851,0.569,0.5816,0.5753
1,-0.5356,0.5243,0.5278,0.3052,0.7053,0.5053,0.3633,0.6298,0.4966,0.5734,0.5796,0.5765
1.1,-0.5007,0.5059,0.532,0.3035,0.6783,0.4909,0.37,0.64,0.505,0.5778,0.5767,0.5772
1.2,-0.4672,0.4899,0.5332,0.3024,0.6539,0.4781,0.3744,0.6469,0.5107,0.5825,0.5735,0.578
1.3,-0.4352,0.4762,0.5325,0.3024,0.632,0.4672,0.3773,0.6513,0.5143,0.5878,0.5704,0.5791
