Time,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC,Audible Listen More 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0819,0.3252,0.0789,0.4421,0.2768,0.3595,0.7663,0.3955,0.5809,0.1993,0.2153,0.2073
0.1,0.0556,0.327,0.1136,0.4652,0.2845,0.3748,0.7768,0.4034,0.5901,0.2111,0.2286,0.2198
0.2,0.0297,0.3329,0.148,0.488,0.295,0.3915,0.7849,0.4127,0.5988,0.2263,0.2474,0.2368
0.3,0.0045,0.3437,0.1814,0.5107,0.3095,0.4101,0.7898,0.424,0.6069,0.2444,0.2719,0.2582
0.4,-0.0195,0.3596,0.2135,0.5334,0.3285,0.4309,0.791,0.4375,0.6143,0.2652,0.3028,0.284
0.5,-0.042,0.3801,0.2442,0.5557,0.352,0.4538,0.7881,0.4533,0.6207,0.2886,0.3404,0.3145
0.6,-0.0622,0.4043,0.272,0.5768,0.3796,0.4782,0.7813,0.4701,0.6257,0.3138,0.3818,0.3478
0.7,-0.0792,0.4315,0.295,0.5962,0.4111,0.5037,0.771,0.4866,0.6288,0.3398,0.425,0.3824
0.8,-0.0923,0.4609,0.3122,0.6131,0.4457,0.5294,0.7577,0.5011,0.6294,0.3654,0.4683,0.4169
0.9,-0.1022,0.4916,0.3242,0.6272,0.4824,0.5548,0.742,0.5133,0.6277,0.3896,0.5101,0.4499
1,-0.111,0.5226,0.3323,0.639,0.5198,0.5794,0.7244,0.5233,0.6238,0.4113,0.5495,0.4804
1.1,-0.1213,0.553,0.3373,0.6486,0.557,0.6028,0.7053,0.5313,0.6183,0.4302,0.5855,0.5078
1.2,-0.1352,0.5823,0.3389,0.6568,0.5935,0.6251,0.6857,0.5371,0.6114,0.4459,0.6166,0.5313
1.3,-0.1535,0.6104,0.3364,0.6643,0.6292,0.6468,0.6666,0.5399,0.6033,0.4583,0.6412,0.5497
1.4,-0.1763,0.6375,0.3292,0.6721,0.6642,0.6681,0.6488,0.5387,0.5938,0.4672,0.6581,0.5626
1.5,-0.203,0.6634,0.3171,0.6807,0.6979,0.6893,0.6324,0.5326,0.5825,0.4723,0.6675,0.5699
1.6,-0.2334,0.6876,0.3011,0.6899,0.7293,0.7096,0.6173,0.5214,0.5693,0.4736,0.6708,0.5722
1.7,-0.2667,0.7092,0.2825,0.6991,0.7572,0.7281,0.6036,0.5058,0.5547,0.4717,0.6697,0.5707
1.8,-0.3017,0.7282,0.2628,0.708,0.7811,0.7445,0.5915,0.4872,0.5394,0.4677,0.6659,0.5668
1.9,-0.3367,0.7446,0.2431,0.7169,0.8009,0.7589,0.5814,0.4668,0.5241,0.463,0.6602,0.5616
2,-0.3704,0.759,0.2242,0.7266,0.8168,0.7717,0.573,0.4453,0.5091,0.458,0.6524,0.5552
2.1,-0.4018,0.7717,0.2064,0.7374,0.8293,0.7834,0.5659,0.4232,0.4946,0.4527,0.6424,0.5475
2.2,-0.4301,0.7829,0.1897,0.7491,0.8389,0.794,0.5599,0.4013,0.4806,0.4463,0.6303,0.5383
2.3,-0.4546,0.7926,0.1743,0.7612,0.8456,0.8034,0.5553,0.3806,0.468,0.4388,0.6166,0.5277
2.4,-0.4748,0.8009,0.1598,0.7734,0.8489,0.8111,0.5532,0.3624,0.4578,0.4308,0.6025,0.5166
2.5,-0.4899,0.8075,0.1459,0.7852,0.848,0.8166,0.554,0.3476,0.4508,0.4232,0.5887,0.5059
2.6,-0.4984,0.812,0.133,0.7972,0.8416,0.8194,0.5577,0.336,0.4468,0.4171,0.5759,0.4965
2.7,-0.4987,0.814,0.1222,0.8091,0.8287,0.8189,0.5635,0.3275,0.4455,0.4129,0.565,0.4889
2.8,-0.4899,0.8134,0.115,0.8206,0.8088,0.8147,0.5705,0.3219,0.4462,0.4103,0.5565,0.4834
2.9,-0.4705,0.8103,0.1125,0.8307,0.7815,0.8061,0.5781,0.3189,0.4485,0.4086,0.5507,0.4796
3,-0.4389,0.8043,0.1154,0.8384,0.7471,0.7927,0.5866,0.3185,0.4525,0.4073,0.5471,0.4772
3.1,-0.395,0.795,0.1235,0.8424,0.706,0.7742,0.5961,0.3205,0.4583,0.4061,0.5451,0.4756
3.2,-0.3396,0.7819,0.1362,0.8416,0.6591,0.7503,0.6067,0.3246,0.4657,0.4046,0.5443,0.4745
3.3,-0.2732,0.765,0.1527,0.8352,0.6077,0.7214,0.6182,0.3302,0.4742,0.4028,0.5446,0.4737
3.4,-0.1958,0.7451,0.1719,0.8234,0.5539,0.6886,0.6303,0.3369,0.4836,0.4007,0.5459,0.4733
3.5,-0.1074,0.7234,0.193,0.8072,0.5004,0.6538,0.6431,0.3439,0.4935,0.3982,0.5479,0.4731
3.6,-0.0102,0.7011,0.2153,0.788,0.4494,0.6187,0.6565,0.3505,0.5035,0.3953,0.5501,0.4727
3.7,0.0913,0.6783,0.2385,0.7664,0.4025,0.5845,0.6701,0.356,0.513,0.3919,0.5522,0.472
3.8,0.1918,0.6552,0.2623,0.7428,0.3606,0.5517,0.6832,0.3602,0.5217,0.3885,0.5541,0.4713
3.9,0.2855,0.6324,0.2862,0.7176,0.3251,0.5213,0.6955,0.3632,0.5294,0.3855,0.5559,0.4707
4,0.3673,0.6109,0.3095,0.6922,0.2966,0.4944,0.7069,0.3651,0.536,0.383,0.5576,0.4703
4.1,0.4335,0.5918,0.3313,0.6681,0.2753,0.4717,0.7174,0.3657,0.5416,0.3809,0.5591,0.47
4.2,0.4827,0.5754,0.3509,0.6459,0.2603,0.4531,0.727,0.3646,0.5458,0.3793,0.56,0.4697
4.3,0.5159,0.5615,0.3682,0.6257,0.2504,0.4381,0.7353,0.3612,0.5483,0.3785,0.5602,0.4694
4.4,0.5353,0.5497,0.3831,0.6073,0.2447,0.426,0.7417,0.3555,0.5486,0.3789,0.5599,0.4694
4.5,0.5437,0.5401,0.3957,0.5903,0.2426,0.4164,0.7456,0.3477,0.5466,0.3808,0.5595,0.4701
4.6,0.5434,0.5331,0.4061,0.5746,0.2432,0.4089,0.7466,0.3379,0.5423,0.384,0.559,0.4715
4.7,0.5366,0.5283,0.4147,0.5602,0.2454,0.4028,0.7446,0.3262,0.5354,0.3877,0.5585,0.4731
4.8,0.5258,0.5247,0.4225,0.5468,0.248,0.3974,0.7393,0.3129,0.5261,0.3913,0.558,0.4747
4.9,0.5134,0.5214,0.4303,0.5343,0.2498,0.3921,0.7304,0.2985,0.5144,0.3947,0.5578,0.4762
5,0.5013,0.518,0.4385,0.5229,0.2504,0.3866,0.7178,0.2841,0.5009,0.3976,0.558,0.4778
5.1,0.4908,0.515,0.4475,0.5128,0.2496,0.3812,0.7018,0.2709,0.4863,0.3999,0.5586,0.4792
5.2,0.4836,0.513,0.4569,0.505,0.2476,0.3763,0.6834,0.2597,0.4716,0.4012,0.5589,0.48
5.3,0.4815,0.5123,0.4664,0.4998,0.2444,0.3721,0.6639,0.2512,0.4575,0.4012,0.5584,0.4798
5.4,0.4855,0.5133,0.4754,0.497,0.2404,0.3687,0.6443,0.2455,0.4449,0.3993,0.5566,0.4779
5.5,0.4955,0.5157,0.4827,0.4964,0.2357,0.366,0.6249,0.2427,0.4338,0.3954,0.5535,0.4744
5.6,0.5107,0.5194,0.4873,0.4976,0.2305,0.364,0.6059,0.2426,0.4242,0.3894,0.5497,0.4696
5.7,0.5305,0.5239,0.4892,0.5004,0.2246,0.3625,0.5875,0.2453,0.4164,0.3819,0.5458,0.4639
5.8,0.5551,0.5292,0.489,0.5048,0.2176,0.3612,0.5705,0.251,0.4108,0.3734,0.5422,0.4578
5.9,0.585,0.5356,0.4881,0.5111,0.2091,0.3601,0.5556,0.2599,0.4078,0.3644,0.5386,0.4515
6,0.6207,0.5434,0.4877,0.5197,0.1993,0.3595,0.5429,0.272,0.4075,0.3549,0.5345,0.4447
6.1,0.6606,0.5531,0.4882,0.5303,0.1885,0.3594,0.5324,0.2867,0.4096,0.3449,0.5294,0.4372
6.2,0.7015,0.5644,0.4883,0.543,0.1769,0.3599,0.5242,0.3029,0.4136,0.3347,0.5229,0.4288
6.3,0.7398,0.5768,0.4865,0.5579,0.1643,0.3611,0.5191,0.3199,0.4195,0.3251,0.515,0.4201
6.4,0.7724,0.5895,0.4822,0.5753,0.1506,0.3629,0.5185,0.3373,0.4279,0.3175,0.5064,0.412
6.5,0.7969,0.6022,0.475,0.5948,0.1355,0.3652,0.5228,0.3552,0.439,0.3132,0.4982,0.4057
6.6,0.8117,0.6157,0.465,0.6166,0.1193,0.368,0.5322,0.3735,0.4529,0.3126,0.4914,0.402
6.7,0.8156,0.6311,0.453,0.6409,0.1026,0.3717,0.5457,0.3922,0.469,0.3156,0.4867,0.4012
6.8,0.8076,0.6493,0.4403,0.668,0.0861,0.377,0.5627,0.4113,0.487,0.3218,0.4844,0.4031
6.9,0.7869,0.6707,0.4282,0.6982,0.0704,0.3843,0.5829,0.4309,0.5069,0.3315,0.4845,0.408
7,0.7539,0.6944,0.4181,0.7317,0.056,0.3939,0.606,0.4513,0.5287,0.3455,0.4873,0.4164
7.1,0.7107,0.7193,0.4103,0.7684,0.0429,0.4056,0.6314,0.4727,0.5521,0.3638,0.4929,0.4284
7.2,0.6614,0.7441,0.4046,0.8076,0.031,0.4193,0.6585,0.4945,0.5765,0.3858,0.5007,0.4432
7.3,0.6112,0.7677,0.4001,0.8488,0.0197,0.4343,0.6863,0.5159,0.6011,0.4101,0.5098,0.4599
7.4,0.5656,0.7895,0.3959,0.8906,0.0088,0.4497,0.7142,0.5356,0.6249,0.4355,0.5193,0.4774
7.5,0.5288,0.8088,0.3909,0.9309,-0.0022,0.4643,0.7419,0.5524,0.6472,0.461,0.5284,0.4947
7.6,0.5025,0.8252,0.3846,0.9676,-0.0136,0.477,0.7683,0.5659,0.6671,0.4859,0.537,0.5114
7.7,0.486,0.8383,0.377,0.9988,-0.0247,0.487,0.7927,0.576,0.6844,0.5099,0.545,0.5275
7.8,0.4768,0.8481,0.3689,1.0238,-0.0344,0.4947,0.8144,0.5833,0.6989,0.5328,0.5528,0.5428
7.9,0.4725,0.8546,0.361,1.0427,-0.0419,0.5004,0.8329,0.5883,0.7106,0.5543,0.5603,0.5573
8,0.4713,0.8578,0.3542,1.0554,-0.0465,0.5045,0.8481,0.5914,0.7197,0.5742,0.5678,0.571
8.1,0.4723,0.8577,0.3487,1.0618,-0.0476,0.5071,0.8601,0.5922,0.7262,0.5927,0.5753,0.584
8.2,0.4745,0.8546,0.3439,1.0617,-0.0447,0.5085,0.8684,0.5904,0.7294,0.61,0.583,0.5965
8.3,0.4769,0.8488,0.3392,1.0553,-0.037,0.5091,0.8719,0.5852,0.7285,0.6261,0.5913,0.6087
8.4,0.4778,0.8406,0.3341,1.0436,-0.0242,0.5097,0.8697,0.5765,0.7231,0.6411,0.6003,0.6207
8.5,0.4762,0.8305,0.3291,1.028,-0.0062,0.5109,0.8617,0.5645,0.7131,0.6548,0.6102,0.6325
8.6,0.4717,0.819,0.3247,1.0093,0.0155,0.5124,0.8485,0.5498,0.6991,0.6675,0.6209,0.6442
8.7,0.4641,0.8063,0.3212,0.9887,0.0391,0.5139,0.8313,0.533,0.6821,0.6795,0.6323,0.6559
8.8,0.4532,0.7929,0.3189,0.967,0.0628,0.5149,0.8111,0.5147,0.6629,0.6912,0.6446,0.6679
8.9,0.4388,0.7791,0.318,0.9451,0.0856,0.5154,0.7884,0.4959,0.6421,0.7029,0.6585,0.6807
9,0.4209,0.7656,0.3189,0.9239,0.1077,0.5158,0.7635,0.4778,0.6206,0.7145,0.6747,0.6946
9.1,0.3997,0.7534,0.3218,0.9043,0.1294,0.5168,0.7368,0.4619,0.5994,0.7257,0.6938,0.7098
9.2,0.3752,0.7435,0.3273,0.8869,0.1507,0.5188,0.7095,0.4493,0.5794,0.7365,0.7162,0.7264
9.3,0.3478,0.7362,0.3358,0.8722,0.1718,0.522,0.6826,0.4403,0.5615,0.747,0.7419,0.7444
9.4,0.3177,0.7308,0.3473,0.8604,0.1929,0.5266,0.6567,0.4346,0.5457,0.757,0.7703,0.7636
9.5,0.2853,0.7265,0.3613,0.8507,0.2141,0.5324,0.6322,0.4317,0.5319,0.7663,0.8005,0.7834
9.6,0.2508,0.7226,0.377,0.8427,0.2355,0.5391,0.6097,0.4313,0.5205,0.774,0.8313,0.8027
9.7,0.215,0.7191,0.3937,0.8357,0.2568,0.5463,0.5903,0.4333,0.5118,0.7797,0.8612,0.8204
9.8,0.1783,0.7162,0.4104,0.8296,0.2779,0.5538,0.5743,0.4375,0.5059,0.7831,0.8884,0.8358
9.9,0.1411,0.7142,0.4265,0.824,0.2989,0.5614,0.5614,0.4437,0.5025,0.7841,0.9112,0.8477
10,0.1042,0.7127,0.4412,0.8184,0.3197,0.569,0.5514,0.4512,0.5013,0.7823,0.9281,0.8552
10.1,0.0683,0.711,0.4542,0.8119,0.3403,0.5761,0.544,0.4597,0.5019,0.7778,0.9381,0.8579
10.2,0.0337,0.7083,0.4655,0.8037,0.36,0.5819,0.54,0.469,0.5045,0.7711,0.9409,0.856
10.3,0.0006,0.7038,0.475,0.793,0.3782,0.5856,0.5403,0.4789,0.5096,0.763,0.9374,0.8502
10.4,-0.0304,0.6976,0.482,0.7792,0.3946,0.5869,0.5452,0.4893,0.5173,0.7539,0.9287,0.8413
10.5,-0.0585,0.6895,0.4858,0.7619,0.4096,0.5858,0.5539,0.4997,0.5268,0.7438,0.9154,0.8296
10.6,-0.0825,0.6796,0.4852,0.7409,0.4233,0.5821,0.5654,0.5094,0.5374,0.7328,0.8977,0.8152
10.7,-0.1013,0.668,0.4789,0.7161,0.4355,0.5758,0.5788,0.5177,0.5482,0.721,0.8761,0.7986
10.8,-0.1144,0.6546,0.4665,0.6877,0.4458,0.5667,0.5936,0.5245,0.5591,0.709,0.8512,0.7801
10.9,-0.122,0.6394,0.4483,0.6561,0.4534,0.5547,0.6092,0.5299,0.5696,0.697,0.8238,0.7604
11,-0.1244,0.6225,0.4248,0.6227,0.4576,0.5402,0.6249,0.5341,0.5795,0.6856,0.7949,0.7402
11.1,-0.1221,0.6041,0.3977,0.5893,0.4586,0.5239,0.6399,0.537,0.5884,0.6751,0.7656,0.7204
11.2,-0.1145,0.5851,0.3695,0.5577,0.4565,0.5071,0.6538,0.5387,0.5963,0.6659,0.7375,0.7017
11.3,-0.1013,0.5662,0.3431,0.5294,0.4514,0.4904,0.6666,0.5391,0.6028,0.658,0.7119,0.6849
