Time,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC,Aus Govt - ReMade in Australia 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1784,0.3734,0.5285,0.3381,0.2921,0.3151,0.589,0.5689,0.579,0.2118,0.1302,0.171
0.1,-0.1742,0.3795,0.5525,0.338,0.3115,0.3248,0.5763,0.5738,0.575,0.2259,0.1261,0.176
0.2,-0.1681,0.3868,0.5791,0.342,0.3342,0.3381,0.5697,0.5823,0.576,0.2447,0.1307,0.1877
0.3,-0.1601,0.3949,0.6069,0.3496,0.3585,0.3541,0.5685,0.5943,0.5814,0.2668,0.1434,0.2051
0.4,-0.1503,0.4039,0.6351,0.3601,0.3835,0.3718,0.5713,0.6094,0.5903,0.2911,0.1639,0.2275
0.5,-0.1392,0.4138,0.6632,0.3726,0.4088,0.3907,0.5771,0.6271,0.6021,0.3177,0.1919,0.2548
0.6,-0.1275,0.4249,0.6915,0.3865,0.4343,0.4104,0.5852,0.6467,0.6159,0.3464,0.2267,0.2866
0.7,-0.1157,0.4367,0.7196,0.4015,0.4596,0.4305,0.595,0.6677,0.6313,0.3766,0.2677,0.3221
0.8,-0.1037,0.449,0.7465,0.4177,0.4838,0.4508,0.606,0.6895,0.6477,0.4073,0.3135,0.3604
0.9,-0.0914,0.4614,0.7714,0.435,0.5062,0.4706,0.6184,0.7118,0.6651,0.4382,0.3627,0.4005
1,-0.0797,0.4744,0.7938,0.4528,0.5265,0.4896,0.6328,0.7343,0.6835,0.4692,0.4142,0.4417
1.1,-0.0694,0.4883,0.8134,0.4698,0.5452,0.5075,0.6493,0.7569,0.7031,0.5004,0.4672,0.4838
1.2,-0.0606,0.503,0.83,0.4852,0.5625,0.5238,0.6675,0.7795,0.7235,0.5317,0.5207,0.5262
1.3,-0.052,0.5182,0.8435,0.4989,0.5783,0.5386,0.6862,0.8016,0.7439,0.5629,0.574,0.5685
1.4,-0.0418,0.5336,0.8539,0.5114,0.5924,0.5519,0.7045,0.8221,0.7633,0.5936,0.626,0.6098
1.5,-0.0287,0.5492,0.8608,0.5234,0.6048,0.5641,0.722,0.8396,0.7808,0.6233,0.6752,0.6493
1.6,-0.0127,0.5653,0.8641,0.5351,0.6159,0.5755,0.7389,0.8527,0.7958,0.6519,0.7206,0.6863
1.7,0.0057,0.5818,0.8637,0.5461,0.626,0.586,0.7555,0.8605,0.808,0.679,0.7611,0.72
1.8,0.026,0.5983,0.8599,0.5558,0.6352,0.5955,0.7723,0.8627,0.8175,0.7044,0.7963,0.7504
1.9,0.0479,0.6144,0.8532,0.5638,0.6431,0.6035,0.7889,0.8598,0.8243,0.7282,0.8262,0.7772
2,0.0709,0.6296,0.8442,0.57,0.6497,0.6098,0.805,0.8524,0.8287,0.75,0.851,0.8005
2.1,0.0941,0.6439,0.833,0.5739,0.6547,0.6143,0.8202,0.8411,0.8307,0.7692,0.8704,0.8198
2.2,0.1164,0.6566,0.8196,0.5754,0.6583,0.6168,0.8338,0.8263,0.83,0.7848,0.8837,0.8343
2.3,0.1366,0.667,0.8042,0.5742,0.6609,0.6176,0.8451,0.808,0.8266,0.7959,0.8902,0.8431
2.4,0.1543,0.674,0.787,0.5705,0.6627,0.6166,0.8536,0.7866,0.8201,0.8018,0.8898,0.8458
2.5,0.17,0.6768,0.7683,0.5645,0.6636,0.614,0.8589,0.7627,0.8108,0.8021,0.8828,0.8425
2.6,0.1841,0.676,0.7484,0.5568,0.664,0.6104,0.8612,0.7371,0.7991,0.7965,0.8696,0.8331
2.7,0.1957,0.673,0.7279,0.5487,0.665,0.6068,0.8612,0.7103,0.7857,0.7852,0.8508,0.818
2.8,0.2042,0.669,0.7077,0.5416,0.6679,0.6047,0.8593,0.6832,0.7712,0.769,0.8268,0.7979
2.9,0.2098,0.6646,0.6887,0.5363,0.6738,0.6051,0.8557,0.6567,0.7562,0.7489,0.7983,0.7736
3,0.2139,0.6601,0.6719,0.5335,0.683,0.6083,0.8506,0.6321,0.7414,0.7263,0.7662,0.7463
3.1,0.2175,0.6552,0.6582,0.5333,0.6951,0.6142,0.8445,0.6107,0.7276,0.7023,0.732,0.7172
3.2,0.221,0.6502,0.6476,0.5363,0.71,0.6231,0.8376,0.593,0.7153,0.6785,0.6977,0.6881
3.3,0.2241,0.6455,0.6402,0.5432,0.7276,0.6354,0.8301,0.5794,0.7048,0.6559,0.665,0.6605
3.4,0.2269,0.6414,0.6356,0.5546,0.7479,0.6513,0.8218,0.5701,0.6959,0.6357,0.6356,0.6357
3.5,0.2298,0.638,0.6339,0.5704,0.7709,0.6706,0.8122,0.5653,0.6888,0.6185,0.6106,0.6145
3.6,0.2333,0.6353,0.6348,0.59,0.7955,0.6928,0.8014,0.5647,0.683,0.6047,0.5905,0.5976
3.7,0.236,0.6333,0.6379,0.6125,0.8211,0.7168,0.7894,0.5677,0.6786,0.5949,0.5756,0.5852
3.8,0.2352,0.6326,0.6431,0.6374,0.8473,0.7423,0.7767,0.574,0.6754,0.5889,0.5663,0.5776
3.9,0.2285,0.6337,0.6506,0.6646,0.8737,0.7691,0.7638,0.5834,0.6736,0.5866,0.5626,0.5746
4,0.2152,0.6371,0.6608,0.6939,0.8991,0.7965,0.7508,0.5957,0.6732,0.5872,0.5644,0.5758
4.1,0.196,0.6423,0.6734,0.7249,0.9223,0.8236,0.7379,0.6106,0.6742,0.5899,0.5712,0.5805
4.2,0.1721,0.649,0.6874,0.7568,0.9426,0.8497,0.7256,0.6275,0.6765,0.5939,0.5824,0.5882
4.3,0.1441,0.6567,0.7018,0.7882,0.96,0.8741,0.7142,0.6461,0.6801,0.5993,0.5975,0.5984
4.4,0.1129,0.665,0.7155,0.8173,0.9743,0.8958,0.704,0.6655,0.6847,0.6059,0.6159,0.6109
4.5,0.08,0.6725,0.7275,0.8423,0.9845,0.9134,0.6944,0.6848,0.6896,0.6134,0.6373,0.6253
4.6,0.0481,0.6781,0.7373,0.8619,0.9892,0.9255,0.6852,0.7026,0.6939,0.6214,0.6607,0.6411
4.7,0.0196,0.6809,0.7443,0.8751,0.9875,0.9313,0.676,0.7173,0.6966,0.6295,0.6855,0.6575
4.8,-0.0042,0.6805,0.7484,0.8813,0.9789,0.9301,0.6669,0.7278,0.6974,0.6374,0.7104,0.6739
4.9,-0.023,0.677,0.7495,0.8794,0.9633,0.9214,0.6581,0.734,0.6961,0.6452,0.7345,0.6898
5,-0.0375,0.6704,0.7478,0.8679,0.9407,0.9043,0.6495,0.7368,0.6932,0.6525,0.7567,0.7046
5.1,-0.048,0.6608,0.7433,0.8464,0.9114,0.8789,0.641,0.7373,0.6891,0.6587,0.7761,0.7174
5.2,-0.0541,0.6487,0.7362,0.8167,0.8759,0.8463,0.6322,0.7363,0.6842,0.6637,0.7919,0.7278
5.3,-0.0555,0.6352,0.7265,0.7823,0.8355,0.8089,0.6227,0.7341,0.6784,0.6672,0.8032,0.7352
5.4,-0.0516,0.6215,0.715,0.7469,0.7916,0.7692,0.6126,0.7304,0.6715,0.6697,0.8095,0.7396
5.5,-0.0424,0.6084,0.7025,0.7137,0.7458,0.7297,0.6026,0.7256,0.6641,0.6715,0.8102,0.7408
5.6,-0.0278,0.5964,0.6903,0.6854,0.6999,0.6927,0.5934,0.7202,0.6568,0.6728,0.8056,0.7392
5.7,-0.0079,0.5855,0.6789,0.6639,0.6551,0.6595,0.586,0.7146,0.6503,0.6732,0.7961,0.7347
5.8,0.0162,0.576,0.6681,0.65,0.612,0.631,0.5815,0.7093,0.6454,0.6724,0.7821,0.7273
5.9,0.0419,0.5687,0.6575,0.6446,0.5715,0.6081,0.5804,0.7047,0.6425,0.6698,0.7638,0.7168
6,0.0671,0.565,0.6463,0.6488,0.5355,0.5922,0.5826,0.7006,0.6416,0.6646,0.7412,0.7029
6.1,0.0907,0.5657,0.6339,0.6622,0.5056,0.5839,0.5873,0.6966,0.642,0.6562,0.7146,0.6854
6.2,0.113,0.5711,0.6201,0.6827,0.4827,0.5827,0.5938,0.6925,0.6431,0.6446,0.6846,0.6646
6.3,0.135,0.5813,0.6055,0.7074,0.4669,0.5871,0.602,0.6887,0.6453,0.6302,0.6529,0.6416
6.4,0.1567,0.5964,0.5911,0.734,0.4583,0.5962,0.6125,0.686,0.6492,0.614,0.6216,0.6178
6.5,0.177,0.6165,0.5775,0.7609,0.4577,0.6093,0.6257,0.6846,0.6551,0.5968,0.5923,0.5946
6.6,0.1935,0.6417,0.565,0.7868,0.4657,0.6262,0.6409,0.6843,0.6626,0.5792,0.5662,0.5727
6.7,0.2045,0.6711,0.5541,0.8105,0.482,0.6463,0.6571,0.6847,0.6709,0.5615,0.5439,0.5527
6.8,0.2081,0.7033,0.5453,0.8306,0.5056,0.6681,0.6733,0.6851,0.6792,0.5446,0.5259,0.5352
6.9,0.203,0.7367,0.5397,0.8465,0.5352,0.6908,0.6889,0.6853,0.6871,0.5296,0.5125,0.521
7,0.1885,0.7697,0.5381,0.858,0.5697,0.7138,0.7037,0.6854,0.6946,0.5173,0.5041,0.5107
7.1,0.1654,0.8007,0.5403,0.8652,0.6078,0.7365,0.717,0.6852,0.7011,0.5083,0.5008,0.5045
7.2,0.1359,0.8279,0.5457,0.868,0.6469,0.7574,0.7276,0.6849,0.7062,0.5023,0.5025,0.5024
7.3,0.1032,0.8496,0.5535,0.8661,0.6837,0.7749,0.7342,0.6839,0.709,0.4991,0.509,0.5041
7.4,0.0701,0.8645,0.5622,0.8592,0.7152,0.7872,0.736,0.6813,0.7087,0.4986,0.5192,0.5089
7.5,0.0388,0.8722,0.5705,0.8474,0.7396,0.7935,0.7332,0.6766,0.7049,0.5004,0.5322,0.5163
7.6,0.0102,0.8734,0.5773,0.8313,0.7565,0.7939,0.7265,0.6696,0.6981,0.5047,0.5471,0.5259
7.7,-0.015,0.869,0.5821,0.8113,0.7659,0.7886,0.7169,0.6604,0.6887,0.5111,0.5636,0.5374
7.8,-0.0363,0.86,0.5845,0.7877,0.7681,0.7779,0.705,0.649,0.677,0.5195,0.5812,0.5504
7.9,-0.0534,0.8471,0.5848,0.7607,0.7634,0.7621,0.6912,0.6356,0.6634,0.5292,0.5992,0.5642
