Time,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC,Australian Balet Show - Sylvia 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3637,0.6335,0.7029,0.6332,0.6031,0.6181,0.5197,0.4962,0.5079,0.5487,0.5594,0.5541
0.1,0.3446,0.6356,0.7005,0.6229,0.59,0.6065,0.5195,0.4802,0.4998,0.5674,0.5675,0.5675
0.2,0.3255,0.6398,0.697,0.6163,0.5775,0.5969,0.519,0.4658,0.4924,0.5867,0.5761,0.5814
0.3,0.3034,0.6461,0.6909,0.6126,0.5663,0.5894,0.519,0.4524,0.4857,0.6063,0.5851,0.5957
0.4,0.2756,0.6545,0.6807,0.6111,0.5572,0.5842,0.5193,0.4397,0.4795,0.6258,0.5947,0.6102
0.5,0.2397,0.6651,0.6656,0.6109,0.5516,0.5812,0.5189,0.4275,0.4732,0.6447,0.6052,0.6249
0.6,0.195,0.6779,0.6461,0.6116,0.5503,0.581,0.5175,0.4163,0.4669,0.6624,0.6158,0.6391
0.7,0.1425,0.6927,0.6236,0.6135,0.5543,0.5839,0.5152,0.4069,0.461,0.6784,0.6255,0.6519
0.8,0.0848,0.7089,0.5995,0.6173,0.5642,0.5908,0.5126,0.3997,0.4562,0.6927,0.6334,0.6631
0.9,0.0252,0.7258,0.5752,0.6233,0.5805,0.6019,0.5102,0.3952,0.4527,0.7058,0.6396,0.6727
1,-0.0339,0.7429,0.5511,0.6311,0.6032,0.6171,0.5084,0.3939,0.4511,0.7177,0.6444,0.681
1.1,-0.0911,0.7602,0.5281,0.6398,0.6319,0.6359,0.5073,0.3964,0.4518,0.7283,0.6488,0.6885
1.2,-0.1454,0.7777,0.5078,0.6487,0.6662,0.6575,0.507,0.4032,0.4551,0.7374,0.6534,0.6954
1.3,-0.1954,0.7946,0.4912,0.6571,0.7057,0.6814,0.507,0.4138,0.4604,0.745,0.6587,0.7018
1.4,-0.239,0.8098,0.4786,0.6645,0.7494,0.707,0.5068,0.4269,0.4669,0.751,0.6644,0.7077
1.5,-0.2749,0.8226,0.4695,0.6709,0.7956,0.7332,0.506,0.4413,0.4737,0.7554,0.6701,0.7127
1.6,-0.3026,0.833,0.4632,0.6763,0.8421,0.7592,0.5046,0.4566,0.4806,0.7581,0.6753,0.7167
1.7,-0.3224,0.8409,0.4592,0.6811,0.887,0.7841,0.5027,0.4728,0.4878,0.7593,0.6795,0.7194
1.8,-0.3346,0.8463,0.4566,0.6854,0.9292,0.8073,0.5006,0.4896,0.4951,0.7594,0.6824,0.7209
1.9,-0.3393,0.8486,0.4546,0.6895,0.9674,0.8285,0.4988,0.5061,0.5024,0.759,0.6844,0.7217
2,-0.3368,0.847,0.4525,0.6929,1.0004,0.8466,0.4975,0.5211,0.5093,0.7588,0.6857,0.7222
2.1,-0.3279,0.8416,0.4498,0.6953,1.0263,0.8608,0.4969,0.5336,0.5153,0.7589,0.6863,0.7226
2.2,-0.3141,0.8327,0.4472,0.696,1.0441,0.87,0.4961,0.5431,0.5196,0.7596,0.6865,0.723
2.3,-0.2982,0.8213,0.4452,0.6943,1.0537,0.874,0.4941,0.5495,0.5218,0.7607,0.6861,0.7234
2.4,-0.2821,0.8079,0.4446,0.6893,1.0557,0.8725,0.4903,0.5534,0.5219,0.7623,0.6851,0.7237
2.5,-0.2658,0.7923,0.4455,0.6804,1.0503,0.8653,0.4847,0.555,0.5199,0.7636,0.6828,0.7232
2.6,-0.2489,0.7743,0.448,0.6672,1.0378,0.8525,0.478,0.5548,0.5164,0.7639,0.6787,0.7213
2.7,-0.2303,0.7537,0.452,0.6505,1.0189,0.8347,0.471,0.5534,0.5122,0.7621,0.6724,0.7172
2.8,-0.2094,0.731,0.4578,0.6311,0.9943,0.8127,0.4639,0.552,0.5079,0.7579,0.6639,0.7109
2.9,-0.1854,0.7064,0.4655,0.6094,0.9649,0.7872,0.4571,0.5509,0.504,0.7518,0.6534,0.7026
3,-0.1589,0.6812,0.4749,0.586,0.9317,0.7588,0.4511,0.5504,0.5008,0.7447,0.6412,0.6929
3.1,-0.131,0.6562,0.4856,0.5614,0.8959,0.7287,0.4467,0.5508,0.4988,0.7375,0.6285,0.683
3.2,-0.1035,0.6325,0.4972,0.5365,0.859,0.6978,0.4444,0.5524,0.4984,0.7312,0.6166,0.6739
3.3,-0.078,0.611,0.5092,0.5127,0.8221,0.6674,0.4445,0.5555,0.5,0.7265,0.6066,0.6665
3.4,-0.0558,0.5922,0.5208,0.4913,0.7862,0.6387,0.447,0.5598,0.5034,0.7237,0.5985,0.6611
3.5,-0.0372,0.5763,0.531,0.4726,0.7526,0.6126,0.4523,0.5651,0.5087,0.7227,0.5919,0.6573
3.6,-0.0222,0.5637,0.539,0.4568,0.7226,0.5897,0.4604,0.5706,0.5155,0.7232,0.5857,0.6545
3.7,-0.0109,0.5544,0.5439,0.4436,0.6972,0.5704,0.4715,0.576,0.5237,0.725,0.5798,0.6524
3.8,-0.0026,0.5485,0.5457,0.4333,0.6775,0.5554,0.4853,0.5811,0.5332,0.728,0.5741,0.6511
3.9,0.0044,0.5456,0.5447,0.4261,0.6635,0.5448,0.5013,0.586,0.5436,0.7325,0.5688,0.6507
4,0.0118,0.5453,0.5412,0.4225,0.6547,0.5386,0.5192,0.5903,0.5547,0.7383,0.5633,0.6508
4.1,0.0204,0.5469,0.5349,0.4222,0.6504,0.5363,0.5391,0.5936,0.5664,0.7451,0.5574,0.6513
4.2,0.0303,0.5501,0.5256,0.4248,0.6495,0.5372,0.5608,0.5955,0.5782,0.7529,0.5513,0.6521
4.3,0.0411,0.5546,0.5134,0.4295,0.6509,0.5402,0.584,0.5957,0.5899,0.7616,0.5456,0.6536
