Time,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC,Aus Tourism - Hame needs a Holiday 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1904,0.84,0.5317,0.5756,0.621,0.5983,0.5754,0.4125,0.494,0.7353,0.6275,0.6814
0.1,0.22,0.8228,0.5582,0.6116,0.599,0.6053,0.6179,0.4214,0.5196,0.7346,0.6269,0.6807
0.2,0.2536,0.798,0.5811,0.6402,0.5751,0.6077,0.6567,0.431,0.5439,0.7293,0.6275,0.6784
0.3,0.2936,0.7656,0.5996,0.6625,0.5507,0.6066,0.6908,0.4422,0.5665,0.7205,0.6299,0.6752
0.4,0.3417,0.7272,0.6132,0.68,0.5276,0.6038,0.7214,0.4552,0.5883,0.7101,0.6347,0.6724
0.5,0.3975,0.6849,0.6223,0.6939,0.5068,0.6004,0.7498,0.4702,0.61,0.7004,0.6428,0.6716
0.6,0.4588,0.6408,0.6277,0.7046,0.489,0.5968,0.7769,0.4865,0.6317,0.693,0.6549,0.674
0.7,0.5216,0.5966,0.6295,0.7126,0.4743,0.5935,0.8025,0.5036,0.6531,0.6884,0.6715,0.68
0.8,0.5809,0.5544,0.6276,0.7196,0.4636,0.5916,0.8263,0.5208,0.6736,0.6866,0.692,0.6893
0.9,0.632,0.5164,0.6224,0.7274,0.458,0.5927,0.8478,0.5378,0.6928,0.6872,0.7151,0.7011
1,0.6713,0.4841,0.6143,0.7373,0.4586,0.598,0.8671,0.554,0.7106,0.6904,0.7395,0.7149
1.1,0.6982,0.4586,0.6042,0.7494,0.4653,0.6074,0.8843,0.5687,0.7265,0.6963,0.7642,0.7303
