Time,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC,Audi Clowns TV Advert - Extended Cut TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2153,0.7064,0.9504,0.7475,0.7018,0.7246,0.9696,0.9126,0.9411,0.9293,0.8638,0.8966
0.1,0.2327,0.7375,0.9744,0.7957,0.7416,0.7687,0.9966,0.9303,0.9634,0.9494,0.87,0.9097
0.2,0.242,0.767,0.9976,0.8404,0.7811,0.8108,1.0213,0.9467,0.984,0.9676,0.8754,0.9215
0.3,0.2438,0.795,1.0195,0.8811,0.82,0.8505,1.0436,0.9616,1.0026,0.9843,0.8801,0.9322
0.4,0.2387,0.8211,1.0399,0.9171,0.8582,0.8877,1.0635,0.975,1.0192,0.9997,0.8844,0.942
0.5,0.2274,0.8454,1.0587,0.9483,0.8956,0.9219,1.0808,0.9869,1.0338,1.0144,0.8886,0.9515
0.6,0.2103,0.8676,1.0753,0.974,0.9317,0.9528,1.0952,0.997,1.0461,1.0284,0.893,0.9607
0.7,0.1879,0.8876,1.0887,0.9931,0.9659,0.9795,1.1061,1.0043,1.0552,1.0415,0.8969,0.9692
0.8,0.1602,0.9053,1.0982,1.005,0.9975,1.0013,1.1128,1.0082,1.0605,1.0531,0.9002,0.9767
0.9,0.1273,0.9208,1.1035,1.0103,1.0267,1.0185,1.1154,1.0093,1.0624,1.0629,0.9029,0.9829
1,0.0893,0.9344,1.1045,1.0096,1.054,1.0318,1.1141,1.0081,1.0611,1.0704,0.9051,0.9877
1.1,0.0468,0.9459,1.1013,1.0032,1.0789,1.041,1.1087,1.0044,1.0565,1.0751,0.9068,0.991
1.2,0.001,0.9547,1.0937,0.9911,1.1009,1.046,1.0989,0.9976,1.0483,1.0767,0.908,0.9924
1.3,-0.0461,0.9609,1.0819,0.9743,1.1193,1.0468,1.0849,0.9873,1.0361,1.075,0.9087,0.9918
1.4,-0.0916,0.9649,1.0661,0.9542,1.1337,1.0439,1.0672,0.9737,1.0204,1.0701,0.9086,0.9894
1.5,-0.1331,0.967,1.0465,0.9324,1.1433,1.0379,1.0461,0.9571,1.0016,1.062,0.9078,0.9849
1.6,-0.1701,0.967,1.0236,0.9097,1.1476,1.0287,1.0224,0.9385,0.9804,1.0509,0.9062,0.9786
1.7,-0.2021,0.9648,0.998,0.8869,1.1459,1.0164,0.9967,0.9186,0.9576,1.0371,0.9037,0.9704
1.8,-0.2282,0.9602,0.9701,0.8649,1.1378,1.0014,0.9698,0.8982,0.934,1.0211,0.9004,0.9607
