Time,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC,Bacardi - Dance Floor 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1816,0.54,0.7743,0.7204,0.5754,0.6479,0.6826,0.7089,0.6958,0.718,0.6992,0.7086
0.1,0.1739,0.5465,0.7781,0.7243,0.5776,0.651,0.6968,0.6999,0.6983,0.7265,0.6993,0.7129
0.2,0.1609,0.5523,0.7794,0.7255,0.5784,0.652,0.7089,0.6884,0.6987,0.7314,0.6974,0.7144
0.3,0.1422,0.5574,0.7788,0.7242,0.5783,0.6513,0.719,0.6751,0.697,0.7328,0.6939,0.7133
0.4,0.1177,0.5615,0.7762,0.7202,0.5772,0.6487,0.7264,0.6599,0.6931,0.7307,0.6889,0.7098
0.5,0.0891,0.5641,0.7711,0.7132,0.5748,0.644,0.7302,0.6425,0.6863,0.7251,0.6825,0.7038
0.6,0.0587,0.5646,0.7629,0.7026,0.5706,0.6366,0.7295,0.6228,0.6762,0.7163,0.6747,0.6955
0.7,0.0285,0.5628,0.7516,0.6887,0.5643,0.6265,0.724,0.6013,0.6626,0.7045,0.6657,0.6851
0.8,0.0002,0.5591,0.7379,0.6719,0.556,0.614,0.7141,0.5784,0.6462,0.6905,0.6555,0.673
0.9,-0.025,0.5544,0.7224,0.653,0.5462,0.5996,0.7004,0.5547,0.6275,0.6748,0.6444,0.6596
1,-0.046,0.5496,0.7055,0.6326,0.5354,0.584,0.6837,0.5304,0.6071,0.6579,0.6326,0.6453
1.1,-0.0618,0.5454,0.6881,0.6108,0.5242,0.5675,0.6647,0.5065,0.5856,0.6406,0.6205,0.6306
1.2,-0.0726,0.5417,0.6707,0.5876,0.5127,0.5502,0.644,0.4838,0.5639,0.6233,0.608,0.6156
1.3,-0.0799,0.5385,0.6534,0.5631,0.5011,0.5321,0.6222,0.4634,0.5428,0.6066,0.5952,0.6009
1.4,-0.0846,0.5362,0.6365,0.5375,0.4898,0.5137,0.6,0.4455,0.5227,0.5912,0.5828,0.587
1.5,-0.087,0.5355,0.6204,0.512,0.4793,0.4956,0.5782,0.4306,0.5044,0.5785,0.5719,0.5752
1.6,-0.0862,0.5365,0.6059,0.4876,0.4699,0.4788,0.5577,0.4193,0.4885,0.5698,0.5633,0.5665
1.7,-0.0816,0.5389,0.5941,0.4651,0.4621,0.4636,0.5394,0.412,0.4757,0.5659,0.5573,0.5616
1.8,-0.073,0.542,0.5851,0.4444,0.4559,0.4501,0.5239,0.4093,0.4666,0.5671,0.5537,0.5604
1.9,-0.061,0.5453,0.579,0.4251,0.4511,0.4381,0.5121,0.4112,0.4616,0.5733,0.5522,0.5628
2,-0.0456,0.5486,0.5755,0.4073,0.4477,0.4275,0.5044,0.4172,0.4608,0.5843,0.5526,0.5684
2.1,-0.027,0.5519,0.5742,0.391,0.4455,0.4183,0.5013,0.4268,0.464,0.5992,0.5544,0.5768
2.2,-0.0052,0.555,0.5745,0.3767,0.4444,0.4105,0.5024,0.439,0.4707,0.6173,0.557,0.5871
2.3,0.0196,0.5577,0.5759,0.3647,0.4441,0.4044,0.5074,0.4535,0.4804,0.6373,0.5599,0.5986
2.4,0.0469,0.5598,0.5776,0.3555,0.4449,0.4002,0.5156,0.4696,0.4926,0.6578,0.5627,0.6103
2.5,0.0767,0.5615,0.579,0.3497,0.4469,0.3983,0.5266,0.4869,0.5067,0.6773,0.5647,0.621
2.6,0.1083,0.5632,0.5796,0.3477,0.4504,0.399,0.5401,0.5045,0.5223,0.6939,0.5653,0.6296
2.7,0.1406,0.5649,0.5794,0.3491,0.4551,0.4021,0.5553,0.5218,0.5385,0.707,0.564,0.6355
2.8,0.1724,0.5663,0.5784,0.3532,0.4604,0.4068,0.5717,0.538,0.5549,0.7164,0.5607,0.6386
2.9,0.2021,0.567,0.5771,0.359,0.4661,0.4125,0.5887,0.5533,0.571,0.7229,0.5558,0.6393
3,0.2284,0.5669,0.5759,0.3663,0.4719,0.4191,0.6061,0.5677,0.5869,0.7266,0.5497,0.6382
3.1,0.2501,0.5657,0.5746,0.3745,0.4777,0.4261,0.6231,0.5811,0.6021,0.7276,0.5425,0.6351
3.2,0.2671,0.5636,0.5731,0.3834,0.483,0.4332,0.6388,0.5932,0.616,0.7259,0.5343,0.6301
3.3,0.2803,0.5607,0.5713,0.3929,0.4871,0.44,0.6528,0.6033,0.6281,0.7221,0.5256,0.6238
3.4,0.2912,0.5572,0.5696,0.4026,0.4897,0.4462,0.665,0.6114,0.6382,0.7171,0.5172,0.6171
3.5,0.3008,0.5534,0.5689,0.4122,0.4908,0.4515,0.6758,0.6176,0.6467,0.7115,0.5101,0.6108
3.6,0.3094,0.5494,0.57,0.4212,0.4905,0.4558,0.6853,0.6222,0.6538,0.7054,0.5049,0.6051
3.7,0.3172,0.5453,0.573,0.429,0.4888,0.4589,0.6933,0.6251,0.6592,0.6988,0.5015,0.6001
3.8,0.3241,0.541,0.5773,0.4352,0.4858,0.4605,0.6991,0.6264,0.6628,0.6917,0.4997,0.5957
3.9,0.3305,0.5367,0.5826,0.4395,0.4816,0.4605,0.7027,0.6259,0.6643,0.6844,0.4992,0.5918
