Time,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC,Bakers Delight - Fakery or an actual Bakery 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0554,0.4139,0.8142,0.4898,0.485,0.4874,0.786,0.6677,0.7268,0.9538,0.7572,0.8555
0.1,-0.0467,0.3948,0.8005,0.5007,0.4485,0.4746,0.8054,0.6625,0.734,0.9563,0.7642,0.8603
0.2,-0.03,0.3747,0.7829,0.5114,0.4077,0.4596,0.8165,0.6538,0.7351,0.9528,0.7644,0.8586
0.3,-0.0045,0.3549,0.7612,0.523,0.3633,0.4432,0.8192,0.6407,0.7299,0.9439,0.7591,0.8515
0.4,0.0296,0.3366,0.7357,0.5358,0.3163,0.4261,0.8133,0.623,0.7181,0.9304,0.7499,0.8401
0.5,0.0704,0.3211,0.7072,0.5496,0.2693,0.4094,0.7984,0.6008,0.6996,0.913,0.7376,0.8253
0.6,0.1136,0.3088,0.6761,0.5632,0.2256,0.3944,0.7742,0.5748,0.6745,0.8918,0.7226,0.8072
0.7,0.1544,0.3004,0.6423,0.5754,0.1886,0.382,0.7415,0.5457,0.6436,0.867,0.7052,0.7861
0.8,0.1902,0.2964,0.6057,0.5859,0.1604,0.3731,0.7021,0.5144,0.6082,0.8395,0.6862,0.7628
0.9,0.2196,0.2969,0.567,0.5953,0.142,0.3687,0.6586,0.4825,0.5705,0.8107,0.6668,0.7388
