Time,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS,Bananas TVC - TS
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0409,0.465,0.5415,0.4552,0.4877,0.4714,0.4638,0.5277,0.4958,0.4897,0.5211,0.5054
0.1,-0.0285,0.4658,0.5378,0.4572,0.4886,0.4729,0.463,0.5237,0.4934,0.4925,0.5243,0.5084
0.2,-0.0174,0.4666,0.5338,0.4594,0.4896,0.4745,0.4622,0.5198,0.491,0.4954,0.5273,0.5114
0.3,-0.0078,0.4676,0.5298,0.462,0.4906,0.4763,0.4617,0.5164,0.489,0.4983,0.5302,0.5143
0.4,0.0003,0.4691,0.5259,0.4651,0.4919,0.4785,0.4618,0.5137,0.4877,0.5015,0.5329,0.5172
0.5,0.0067,0.4713,0.5223,0.4686,0.4935,0.4811,0.4626,0.5118,0.4872,0.505,0.5356,0.5203
0.6,0.0114,0.4741,0.5192,0.4727,0.4953,0.484,0.4642,0.5107,0.4874,0.5089,0.5383,0.5236
0.7,0.0143,0.4772,0.5165,0.477,0.4973,0.4872,0.4664,0.5102,0.4883,0.513,0.541,0.527
0.8,0.0155,0.4803,0.5145,0.4815,0.4993,0.4904,0.4692,0.5101,0.4897,0.517,0.5436,0.5303
0.9,0.0154,0.4833,0.513,0.4863,0.5009,0.4936,0.4723,0.5104,0.4913,0.5207,0.546,0.5334
1,0.0144,0.4862,0.5121,0.4911,0.5019,0.4965,0.4756,0.5108,0.4932,0.5239,0.5481,0.536
1.1,0.0127,0.4888,0.5116,0.4958,0.502,0.4989,0.479,0.5112,0.4951,0.5267,0.5498,0.5383
1.2,0.0108,0.4908,0.5115,0.5002,0.5009,0.5006,0.4823,0.5117,0.497,0.5292,0.5513,0.5403
1.3,0.009,0.4922,0.5119,0.5042,0.4988,0.5015,0.4854,0.5123,0.4989,0.5316,0.5525,0.5421
1.4,0.0079,0.4928,0.5126,0.5079,0.4959,0.5019,0.4886,0.5133,0.501,0.5341,0.5536,0.5439
1.5,0.0079,0.4928,0.5137,0.5114,0.4922,0.5018,0.4921,0.5149,0.5035,0.5368,0.5546,0.5457
1.6,0.0091,0.4922,0.5153,0.515,0.4878,0.5014,0.496,0.517,0.5065,0.5397,0.5555,0.5476
1.7,0.0115,0.491,0.5175,0.5185,0.4828,0.5006,0.5004,0.5198,0.5101,0.5431,0.5565,0.5498
1.8,0.0153,0.4888,0.52,0.5216,0.477,0.4993,0.5052,0.5233,0.5142,0.5467,0.5576,0.5522
1.9,0.0204,0.4858,0.5226,0.5242,0.4708,0.4975,0.5103,0.5272,0.5188,0.5505,0.559,0.5547
2,0.0263,0.4819,0.5254,0.526,0.4642,0.4951,0.5158,0.5315,0.5236,0.554,0.5607,0.5573
2.1,0.0323,0.4777,0.5283,0.5272,0.4577,0.4924,0.5216,0.536,0.5288,0.5574,0.5626,0.56
2.2,0.0377,0.4737,0.5316,0.5275,0.4515,0.4895,0.5278,0.541,0.5344,0.5605,0.5649,0.5627
