Time,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC,Bendigo Bank - The Better Big Bank 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.5724,0.7544,0.407,0.6935,0.6111,0.6523,0.9692,0.6981,0.8336,0.788,0.8545,0.8213
0.1,0.6192,0.751,0.4026,0.6736,0.5937,0.6336,0.9548,0.6847,0.8198,0.8046,0.859,0.8318
0.2,0.6679,0.7488,0.4011,0.6531,0.5759,0.6145,0.9403,0.6706,0.8055,0.8206,0.8603,0.8404
0.3,0.7159,0.7475,0.4016,0.632,0.5572,0.5946,0.9281,0.656,0.7921,0.8358,0.8587,0.8472
0.4,0.7617,0.7469,0.4035,0.6096,0.5373,0.5734,0.9196,0.6411,0.7804,0.8498,0.855,0.8524
0.5,0.8046,0.7465,0.4065,0.5848,0.5156,0.5502,0.9146,0.6257,0.7701,0.8627,0.8501,0.8564
0.6,0.8435,0.7454,0.4109,0.5572,0.4924,0.5248,0.9114,0.6098,0.7606,0.8739,0.8443,0.8591
0.7,0.8766,0.7429,0.417,0.5272,0.4679,0.4975,0.9088,0.5939,0.7514,0.8829,0.8378,0.8604
0.8,0.9028,0.7384,0.4249,0.4963,0.4431,0.4697,0.9068,0.5792,0.743,0.8894,0.8306,0.86
0.9,0.9218,0.7321,0.4347,0.4669,0.4197,0.4433,0.9061,0.5667,0.7364,0.8932,0.8229,0.858
1,0.9335,0.7244,0.4461,0.4411,0.3988,0.42,0.9067,0.5571,0.7319,0.8949,0.8152,0.8551
1.1,0.9369,0.7157,0.4594,0.4197,0.3817,0.4007,0.9076,0.5504,0.729,0.895,0.808,0.8515
1.2,0.9302,0.7061,0.4748,0.4027,0.3687,0.3857,0.9071,0.5462,0.7266,0.8937,0.8018,0.8478
1.3,0.9128,0.6953,0.4924,0.3892,0.3593,0.3743,0.9036,0.544,0.7238,0.8914,0.7971,0.8442
1.4,0.8844,0.6832,0.5124,0.3785,0.3533,0.3659,0.8964,0.5439,0.7202,0.8881,0.7942,0.8411
1.5,0.8459,0.6699,0.5351,0.3707,0.3504,0.3605,0.8855,0.5458,0.7157,0.8841,0.7934,0.8388
1.6,0.7988,0.6563,0.561,0.3664,0.3508,0.3586,0.8706,0.5505,0.7106,0.8796,0.7949,0.8373
1.7,0.7454,0.6433,0.5901,0.3663,0.3547,0.3605,0.8516,0.5586,0.7051,0.875,0.7987,0.8369
1.8,0.6891,0.6315,0.622,0.3703,0.3618,0.3661,0.8291,0.5704,0.6998,0.8706,0.8052,0.8379
1.9,0.6331,0.6209,0.6556,0.378,0.3713,0.3746,0.8042,0.586,0.6951,0.8668,0.8147,0.8407
2,0.5801,0.6113,0.6903,0.3886,0.3821,0.3853,0.7787,0.6053,0.692,0.8644,0.8276,0.846
2.1,0.5322,0.6027,0.7259,0.4015,0.3936,0.3976,0.7538,0.6283,0.691,0.8641,0.8443,0.8542
2.2,0.4905,0.5954,0.7619,0.4166,0.4055,0.411,0.7301,0.6553,0.6927,0.8662,0.8657,0.8659
2.3,0.4564,0.5901,0.7963,0.4339,0.4174,0.4257,0.7081,0.6858,0.6969,0.8704,0.8913,0.8808
2.4,0.4313,0.587,0.8273,0.4534,0.429,0.4412,0.6879,0.7187,0.7033,0.876,0.9199,0.8979
2.5,0.4155,0.5859,0.8541,0.4747,0.4399,0.4573,0.6701,0.7522,0.7111,0.8821,0.9497,0.9159
2.6,0.4079,0.5864,0.8769,0.4971,0.4493,0.4732,0.6556,0.7848,0.7202,0.8878,0.9791,0.9334
2.7,0.4058,0.5875,0.8962,0.5195,0.4565,0.488,0.6447,0.8156,0.7301,0.8925,1.0073,0.9499
2.8,0.406,0.5888,0.9122,0.5409,0.4612,0.501,0.6375,0.8438,0.7407,0.8964,1.0342,0.9653
