Time,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC,Best and Less - Mother's Day 2022 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1926,0.2736,0.5031,0.4266,0.5424,0.4845,0.4819,0.7452,0.6136,0.4321,0.4436,0.4379
0.1,0.1976,0.2906,0.5154,0.4484,0.564,0.5062,0.5148,0.7485,0.6317,0.4455,0.4717,0.4586
0.2,0.1971,0.3094,0.5264,0.4708,0.5863,0.5285,0.5481,0.753,0.6506,0.458,0.4972,0.4776
0.3,0.191,0.3285,0.5362,0.4918,0.6078,0.5498,0.5812,0.7586,0.6699,0.4694,0.52,0.4947
0.4,0.1829,0.3464,0.545,0.5101,0.6263,0.5682,0.6133,0.7651,0.6892,0.4798,0.5405,0.5102
0.5,0.1772,0.3617,0.5536,0.5255,0.6396,0.5826,0.6438,0.7714,0.7076,0.4897,0.5588,0.5243
0.6,0.1762,0.3737,0.5629,0.5383,0.6471,0.5927,0.6723,0.7771,0.7247,0.4993,0.5751,0.5372
0.7,0.1789,0.3826,0.5736,0.549,0.6498,0.5994,0.6983,0.782,0.7402,0.5082,0.5895,0.5488
0.8,0.1825,0.3892,0.5861,0.5579,0.6488,0.6034,0.7206,0.7864,0.7535,0.5161,0.6022,0.5591
0.9,0.1854,0.3939,0.6004,0.5655,0.6444,0.6049,0.7387,0.7902,0.7645,0.5234,0.6137,0.5686
1,0.1887,0.3974,0.6161,0.5721,0.6364,0.6042,0.7523,0.7927,0.7725,0.5304,0.6241,0.5773
1.1,0.1944,0.3996,0.6321,0.5783,0.6236,0.601,0.7611,0.7928,0.7769,0.5367,0.6331,0.5849
