Time,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30,Berocca TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0652,0.5625,0.5989,0.6331,0.6403,0.6367,0.6134,0.64,0.6267,0.631,0.6325,0.6318
0.1,0.0728,0.5452,0.5933,0.6113,0.6228,0.6171,0.5947,0.6229,0.6088,0.6189,0.6186,0.6187
0.2,0.0798,0.5302,0.5878,0.5893,0.6048,0.5971,0.576,0.6054,0.5907,0.6075,0.6043,0.6059
0.3,0.0861,0.5178,0.582,0.5672,0.5863,0.5768,0.5572,0.587,0.5721,0.5966,0.59,0.5933
0.4,0.0918,0.5085,0.5756,0.5458,0.5674,0.5566,0.5385,0.5672,0.5529,0.5862,0.5757,0.5809
0.5,0.0973,0.5023,0.5684,0.5261,0.5487,0.5374,0.5206,0.5463,0.5334,0.5764,0.5615,0.569
0.6,0.1029,0.4995,0.5605,0.5094,0.5306,0.52,0.5038,0.5248,0.5143,0.5677,0.5478,0.5577
0.7,0.109,0.4999,0.5521,0.4967,0.5141,0.5054,0.4884,0.5032,0.4958,0.5601,0.5346,0.5474
0.8,0.116,0.5039,0.5434,0.4886,0.4999,0.4942,0.4748,0.4818,0.4783,0.5535,0.5224,0.5379
0.9,0.1234,0.5115,0.5343,0.4855,0.4891,0.4873,0.4631,0.4611,0.4621,0.5476,0.5113,0.5295
1,0.1302,0.5222,0.5251,0.4872,0.4819,0.4846,0.4537,0.4417,0.4477,0.5422,0.5019,0.5221
1.1,0.1361,0.5355,0.5161,0.4935,0.4786,0.486,0.4469,0.4245,0.4357,0.5373,0.4949,0.5161
1.2,0.1406,0.5504,0.5077,0.5039,0.4787,0.4913,0.4425,0.4105,0.4265,0.5333,0.4906,0.5119
1.3,0.1441,0.5662,0.5001,0.5183,0.482,0.5001,0.4404,0.4001,0.4203,0.5302,0.4891,0.5097
1.4,0.1475,0.582,0.4931,0.536,0.4876,0.5118,0.4401,0.3929,0.4165,0.5278,0.4901,0.509
1.5,0.1512,0.5968,0.4866,0.556,0.4949,0.5254,0.441,0.3886,0.4148,0.5258,0.4934,0.5096
1.6,0.1544,0.6098,0.4803,0.577,0.5032,0.5401,0.443,0.3866,0.4148,0.5245,0.4988,0.5116
1.7,0.1557,0.62,0.4747,0.5972,0.5121,0.5547,0.446,0.3867,0.4163,0.5237,0.5062,0.515
1.8,0.1539,0.6274,0.4697,0.6153,0.5214,0.5684,0.4495,0.3887,0.4191,0.5234,0.5154,0.5194
1.9,0.1487,0.6325,0.4652,0.631,0.531,0.581,0.4536,0.3922,0.4229,0.5233,0.5258,0.5246
2,0.1404,0.636,0.4607,0.644,0.5411,0.5926,0.4581,0.397,0.4275,0.5237,0.5369,0.5303
2.1,0.1293,0.6382,0.4558,0.6545,0.5516,0.603,0.4631,0.4026,0.4329,0.5242,0.5478,0.536
2.2,0.1157,0.6392,0.4503,0.6626,0.5623,0.6124,0.4687,0.409,0.4389,0.5246,0.5579,0.5412
2.3,0.1002,0.6391,0.4444,0.6683,0.5733,0.6208,0.475,0.4165,0.4458,0.5246,0.5666,0.5456
2.4,0.0834,0.6383,0.4386,0.6722,0.5849,0.6286,0.4819,0.4251,0.4535,0.5241,0.5735,0.5488
2.5,0.066,0.6375,0.4334,0.6747,0.5972,0.6359,0.4893,0.4344,0.4618,0.5231,0.5783,0.5507
2.6,0.0493,0.6371,0.4291,0.6762,0.6101,0.6431,0.4968,0.4438,0.4703,0.5217,0.5811,0.5514
2.7,0.0346,0.6371,0.4257,0.6767,0.6236,0.6502,0.5043,0.4526,0.4785,0.5201,0.5819,0.551
2.8,0.023,0.6373,0.4228,0.6766,0.6375,0.657,0.5118,0.4605,0.4861,0.5185,0.5806,0.5495
2.9,0.0153,0.638,0.4202,0.6761,0.6516,0.6639,0.519,0.4672,0.4931,0.5166,0.5767,0.5466
3,0.0109,0.6396,0.4176,0.6759,0.6659,0.6709,0.5259,0.4727,0.4993,0.5142,0.5699,0.542
