Time,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC,BHP - Think copper TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.253,0.6465,0.5049,0.5996,0.4863,0.543,0.6169,0.6386,0.6277,0.4006,0.462,0.4313
0.1,0.2566,0.6564,0.5051,0.6167,0.489,0.5529,0.5918,0.6251,0.6084,0.3798,0.4456,0.4127
0.2,0.2585,0.6605,0.5029,0.6301,0.4903,0.5602,0.5669,0.6088,0.5878,0.3579,0.4303,0.3941
0.3,0.2576,0.6589,0.4983,0.6396,0.4903,0.565,0.542,0.5901,0.566,0.3352,0.4161,0.3756
0.4,0.2523,0.651,0.4912,0.6444,0.4891,0.5667,0.5166,0.5693,0.543,0.3116,0.4027,0.3572
0.5,0.2415,0.6363,0.4815,0.6432,0.4864,0.5648,0.4903,0.5463,0.5183,0.288,0.3902,0.3391
0.6,0.225,0.6148,0.4696,0.6353,0.4821,0.5587,0.4631,0.5213,0.4922,0.2654,0.3785,0.322
0.7,0.2047,0.5876,0.4566,0.6212,0.4766,0.5489,0.4358,0.4947,0.4653,0.2446,0.3675,0.306
0.8,0.1833,0.5571,0.4436,0.603,0.4705,0.5368,0.4095,0.4674,0.4384,0.2259,0.3572,0.2916
0.9,0.1633,0.5256,0.4313,0.5834,0.4641,0.5238,0.385,0.4403,0.4126,0.2094,0.3477,0.2785
1,0.146,0.4948,0.4199,0.5645,0.4575,0.511,0.3627,0.4146,0.3887,0.1956,0.3387,0.2672
1.1,0.1316,0.4661,0.4097,0.5474,0.451,0.4992,0.3435,0.3912,0.3673,0.185,0.3303,0.2577
1.2,0.1206,0.4404,0.4012,0.5329,0.4455,0.4892,0.3277,0.371,0.3494,0.1782,0.3229,0.2505
1.3,0.1127,0.4187,0.3947,0.5211,0.4417,0.4814,0.3158,0.3542,0.335,0.1754,0.3166,0.246
1.4,0.1079,0.4019,0.3908,0.5125,0.4399,0.4762,0.3076,0.341,0.3243,0.1761,0.3117,0.2439
1.5,0.1061,0.3898,0.3892,0.5072,0.4393,0.4732,0.3029,0.3311,0.317,0.1792,0.3081,0.2437
1.6,0.1077,0.382,0.3892,0.5045,0.4388,0.4717,0.3014,0.3243,0.3128,0.1836,0.3055,0.2445
1.7,0.1131,0.3779,0.3896,0.5036,0.438,0.4708,0.3025,0.3199,0.3112,0.1881,0.3033,0.2457
1.8,0.1224,0.3769,0.3894,0.5038,0.437,0.4704,0.3057,0.3175,0.3116,0.1922,0.3012,0.2467
1.9,0.1344,0.3786,0.3881,0.5046,0.4359,0.4703,0.3105,0.3166,0.3136,0.1958,0.2995,0.2476
