Time,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC,Belong Australia - AUS First Carbon Neutral Telco Finger Mountain 60 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0965,0.558,0.7626,0.6385,0.6557,0.6471,0.4665,0.7002,0.5834,0.7744,0.8545,0.8145
0.1,-0.0814,0.5578,0.7769,0.641,0.6397,0.6403,0.4658,0.6805,0.5732,0.753,0.8435,0.7982
0.2,-0.0683,0.558,0.7872,0.6412,0.6232,0.6322,0.466,0.6583,0.5621,0.7277,0.829,0.7783
0.3,-0.0574,0.5584,0.7931,0.6394,0.6064,0.6229,0.4671,0.6341,0.5506,0.6996,0.8111,0.7553
0.4,-0.0491,0.5591,0.7944,0.6356,0.5893,0.6124,0.4692,0.6087,0.5389,0.6698,0.79,0.7299
0.5,-0.0439,0.5597,0.7906,0.63,0.5724,0.6012,0.4722,0.5829,0.5276,0.6388,0.7659,0.7024
0.6,-0.0421,0.5599,0.7816,0.6229,0.556,0.5895,0.4761,0.5577,0.5169,0.6071,0.739,0.6731
0.7,-0.0439,0.5597,0.7666,0.6148,0.5406,0.5777,0.4806,0.5332,0.5069,0.5748,0.7099,0.6423
0.8,-0.0489,0.5591,0.7456,0.6062,0.5261,0.5661,0.4853,0.5099,0.4976,0.542,0.6784,0.6102
0.9,-0.0566,0.5585,0.7192,0.5976,0.5128,0.5552,0.49,0.488,0.489,0.5092,0.6448,0.577
1,-0.0666,0.5581,0.6892,0.5893,0.5012,0.5453,0.495,0.4685,0.4817,0.4774,0.6103,0.5438
1.1,-0.0783,0.5576,0.6573,0.5811,0.4913,0.5362,0.5003,0.452,0.4762,0.448,0.576,0.512
1.2,-0.0906,0.557,0.625,0.5726,0.4832,0.5279,0.5063,0.4395,0.4729,0.4226,0.5434,0.483
1.3,-0.1018,0.5568,0.5931,0.564,0.477,0.5205,0.5136,0.4316,0.4726,0.4019,0.5134,0.4576
1.4,-0.1107,0.5576,0.5629,0.5559,0.4729,0.5144,0.5224,0.429,0.4757,0.3859,0.4864,0.4362
1.5,-0.1166,0.56,0.5354,0.5489,0.4708,0.5098,0.5328,0.4316,0.4822,0.3743,0.4629,0.4186
1.6,-0.1194,0.5635,0.5119,0.5423,0.4702,0.5063,0.5446,0.4387,0.4917,0.3668,0.4432,0.405
1.7,-0.119,0.5676,0.4929,0.5358,0.4705,0.5032,0.5573,0.4493,0.5033,0.3634,0.4277,0.3956
1.8,-0.1151,0.5717,0.4786,0.5288,0.4711,0.5,0.5708,0.4621,0.5165,0.3637,0.4167,0.3902
1.9,-0.1081,0.5759,0.4692,0.521,0.4719,0.4964,0.5857,0.4761,0.5309,0.3674,0.4104,0.3889
2,-0.0983,0.5806,0.4646,0.5124,0.4733,0.4929,0.6025,0.4906,0.5465,0.3741,0.4087,0.3914
2.1,-0.0867,0.5862,0.4641,0.5037,0.476,0.4898,0.6217,0.5048,0.5633,0.3834,0.4111,0.3973
2.2,-0.0732,0.5929,0.4667,0.4953,0.4801,0.4877,0.6431,0.5188,0.5809,0.3948,0.4169,0.4058
2.3,-0.0574,0.6006,0.4712,0.4879,0.4855,0.4867,0.6663,0.5324,0.5993,0.4075,0.4251,0.4163
2.4,-0.0381,0.6091,0.4765,0.4828,0.4918,0.4873,0.6913,0.5458,0.6186,0.4207,0.4347,0.4277
2.5,-0.0147,0.6186,0.4818,0.481,0.4992,0.4901,0.7179,0.559,0.6384,0.4332,0.4449,0.4391
2.6,0.0131,0.6293,0.4865,0.4831,0.5077,0.4954,0.7455,0.5717,0.6586,0.4442,0.4551,0.4497
2.7,0.0447,0.6409,0.4908,0.4886,0.5176,0.5031,0.7735,0.5836,0.6786,0.4531,0.4649,0.459
2.8,0.0796,0.6528,0.4948,0.4965,0.5281,0.5123,0.8009,0.5946,0.6978,0.4599,0.474,0.467
2.9,0.1169,0.6645,0.4985,0.5054,0.5385,0.522,0.8266,0.6044,0.7155,0.4646,0.4825,0.4736
3,0.1546,0.6754,0.5018,0.5142,0.5479,0.531,0.8497,0.6128,0.7313,0.4675,0.4902,0.4788
3.1,0.1906,0.6851,0.5047,0.5219,0.556,0.539,0.8696,0.6197,0.7447,0.4689,0.497,0.4829
3.2,0.2235,0.6934,0.5075,0.5284,0.5633,0.5458,0.8859,0.6252,0.7555,0.4694,0.5033,0.4864
3.3,0.253,0.7007,0.5106,0.5341,0.5697,0.5519,0.8987,0.6291,0.7639,0.4699,0.5093,0.4896
3.4,0.2799,0.707,0.5145,0.5396,0.5748,0.5572,0.9081,0.6315,0.7698,0.4707,0.5153,0.493
3.5,0.3053,0.7119,0.5198,0.5453,0.5781,0.5617,0.914,0.6324,0.7732,0.4718,0.5215,0.4966
3.6,0.3294,0.7149,0.5265,0.5505,0.579,0.5648,0.9161,0.6315,0.7738,0.4728,0.5277,0.5002
3.7,0.3518,0.7159,0.5346,0.5546,0.5774,0.566,0.9139,0.6286,0.7712,0.4736,0.5337,0.5037
3.8,0.372,0.7149,0.5438,0.5569,0.5735,0.5652,0.9074,0.6234,0.7654,0.4744,0.5394,0.5069
3.9,0.3896,0.712,0.554,0.5574,0.5677,0.5626,0.8967,0.6161,0.7564,0.4752,0.5448,0.51
4,0.4039,0.7071,0.5651,0.5563,0.5609,0.5586,0.8821,0.607,0.7445,0.4765,0.5503,0.5134
4.1,0.4146,0.7005,0.5771,0.5534,0.5534,0.5534,0.8639,0.5969,0.7304,0.4788,0.5562,0.5175
4.2,0.4206,0.6919,0.5904,0.5487,0.5461,0.5474,0.8424,0.5869,0.7147,0.4824,0.5627,0.5225
4.3,0.4213,0.6816,0.605,0.5418,0.5392,0.5405,0.8185,0.5779,0.6982,0.4877,0.5702,0.5289
4.4,0.4165,0.6695,0.621,0.5327,0.5329,0.5328,0.7929,0.5704,0.6816,0.4949,0.579,0.5369
4.5,0.4074,0.6562,0.6382,0.522,0.5272,0.5246,0.7663,0.5646,0.6654,0.5041,0.5892,0.5466
4.6,0.396,0.642,0.656,0.5104,0.5224,0.5164,0.739,0.5604,0.6497,0.5145,0.6009,0.5577
4.7,0.3839,0.6277,0.6739,0.4993,0.5189,0.5091,0.7111,0.558,0.6345,0.5251,0.6138,0.5695
4.8,0.3713,0.6136,0.6919,0.4894,0.5171,0.5032,0.6823,0.5577,0.62,0.5348,0.6272,0.581
4.9,0.358,0.6,0.7097,0.4808,0.517,0.4989,0.6528,0.5592,0.606,0.5427,0.6405,0.5916
5,0.3438,0.5865,0.7268,0.4737,0.5181,0.4959,0.6235,0.5623,0.5929,0.5479,0.6532,0.6006
5.1,0.3295,0.5732,0.7421,0.4684,0.52,0.4942,0.5952,0.5665,0.5808,0.5495,0.6647,0.6071
5.2,0.3163,0.5604,0.7549,0.4654,0.5229,0.4941,0.5687,0.5717,0.5702,0.5469,0.6743,0.6106
5.3,0.3049,0.5488,0.7651,0.4654,0.527,0.4962,0.5446,0.5779,0.5612,0.5397,0.6811,0.6104
5.4,0.2959,0.5392,0.7729,0.4688,0.5326,0.5007,0.5229,0.5852,0.554,0.5285,0.6852,0.6068
5.5,0.2896,0.5317,0.7786,0.4753,0.5396,0.5075,0.5035,0.5933,0.5484,0.5145,0.6868,0.6006
5.6,0.2858,0.5255,0.7823,0.4839,0.5468,0.5154,0.4858,0.6016,0.5437,0.4987,0.6867,0.5927
5.7,0.2837,0.5198,0.7839,0.4933,0.5531,0.5232,0.4695,0.6091,0.5393,0.4822,0.6855,0.5839
5.8,0.2829,0.5142,0.783,0.5024,0.5575,0.53,0.4542,0.615,0.5346,0.4663,0.6839,0.5751
5.9,0.2824,0.5089,0.78,0.5104,0.5595,0.535,0.44,0.6186,0.5293,0.4515,0.6825,0.567
6,0.2819,0.5038,0.775,0.5166,0.5584,0.5375,0.4267,0.6193,0.523,0.4386,0.6813,0.56
6.1,0.2814,0.4986,0.7679,0.5205,0.5535,0.537,0.4141,0.6163,0.5152,0.4287,0.6808,0.5548
6.2,0.2803,0.4926,0.7588,0.522,0.5445,0.5332,0.4025,0.6093,0.5059,0.4226,0.6811,0.5519
6.3,0.2783,0.4855,0.7474,0.5214,0.5313,0.5264,0.3921,0.5984,0.4953,0.421,0.6828,0.5519
6.4,0.2747,0.4775,0.7343,0.5194,0.5149,0.5171,0.3836,0.5842,0.4839,0.424,0.6862,0.5551
6.5,0.2697,0.4692,0.7204,0.5168,0.496,0.5064,0.3778,0.5677,0.4727,0.4315,0.6914,0.5614
6.6,0.2643,0.4609,0.7066,0.5139,0.4757,0.4948,0.3756,0.5499,0.4627,0.443,0.698,0.5705
6.7,0.2597,0.4525,0.6937,0.511,0.4544,0.4827,0.3772,0.5318,0.4545,0.4583,0.7056,0.582
6.8,0.2564,0.4437,0.682,0.5079,0.4328,0.4704,0.3825,0.514,0.4483,0.4768,0.7134,0.5951
6.9,0.2543,0.4341,0.6712,0.5047,0.4113,0.458,0.3911,0.4972,0.4442,0.4977,0.7209,0.6093
7,0.252,0.4243,0.6614,0.5012,0.3907,0.446,0.4026,0.482,0.4423,0.5208,0.7276,0.6242
7.1,0.2491,0.4146,0.6524,0.4976,0.3718,0.4347,0.4164,0.469,0.4427,0.5455,0.7331,0.6393
7.2,0.2457,0.405,0.6444,0.494,0.3548,0.4244,0.4321,0.4587,0.4454,0.5713,0.7373,0.6543
7.3,0.2424,0.3948,0.6374,0.4904,0.3398,0.4151,0.4484,0.4513,0.4499,0.5973,0.7399,0.6686
7.4,0.2396,0.3837,0.6314,0.4866,0.3264,0.4065,0.4641,0.447,0.4556,0.6223,0.7404,0.6813
7.5,0.2373,0.3718,0.6263,0.4826,0.3142,0.3984,0.4784,0.4456,0.462,0.6456,0.7383,0.6919
7.6,0.2357,0.3598,0.6217,0.4786,0.3031,0.3908,0.4907,0.4467,0.4687,0.6668,0.7335,0.7001
7.7,0.2353,0.3482,0.6169,0.4749,0.293,0.384,0.5005,0.45,0.4752,0.6855,0.7257,0.7056
7.8,0.2368,0.3373,0.6115,0.472,0.2843,0.3781,0.5069,0.4549,0.4809,0.7013,0.7149,0.7081
7.9,0.2412,0.3268,0.6053,0.4704,0.2774,0.3739,0.5092,0.4612,0.4852,0.7131,0.7011,0.7071
8,0.2489,0.3169,0.5982,0.4708,0.2727,0.3717,0.5069,0.4688,0.4878,0.7206,0.684,0.7023
8.1,0.2587,0.3077,0.5902,0.473,0.2709,0.3719,0.5005,0.4778,0.4891,0.7236,0.6639,0.6937
8.2,0.2685,0.2993,0.5811,0.4766,0.2724,0.3745,0.4907,0.4879,0.4893,0.7222,0.6411,0.6817
8.3,0.276,0.2919,0.5706,0.4812,0.2777,0.3794,0.4783,0.4985,0.4884,0.717,0.6165,0.6668
8.4,0.2794,0.285,0.5586,0.4861,0.2867,0.3864,0.4638,0.509,0.4864,0.7086,0.5906,0.6496
8.5,0.2777,0.2788,0.545,0.4911,0.2994,0.3953,0.4473,0.5189,0.4831,0.6973,0.5641,0.6307
8.6,0.2704,0.2734,0.5301,0.4956,0.3155,0.4056,0.429,0.5276,0.4783,0.6839,0.5375,0.6107
8.7,0.2575,0.2689,0.5144,0.4996,0.3344,0.417,0.4097,0.5351,0.4724,0.6688,0.5115,0.5902
8.8,0.2387,0.2655,0.4979,0.5025,0.355,0.4288,0.39,0.541,0.4655,0.6525,0.4868,0.5697
8.9,0.2138,0.2628,0.4804,0.504,0.3761,0.44,0.3703,0.545,0.4577,0.6353,0.464,0.5497
9,0.1826,0.2606,0.4617,0.5032,0.3965,0.4499,0.3509,0.5468,0.4489,0.6169,0.4432,0.53
9.1,0.146,0.2589,0.4425,0.5001,0.4153,0.4577,0.3319,0.5464,0.4392,0.5974,0.4246,0.511
9.2,0.1054,0.2584,0.4234,0.4951,0.4319,0.4635,0.3138,0.5442,0.429,0.5771,0.4084,0.4928
9.3,0.0627,0.2596,0.405,0.4889,0.4465,0.4677,0.2972,0.5405,0.4189,0.5566,0.3949,0.4757
9.4,0.0196,0.263,0.3878,0.4824,0.4594,0.4709,0.2826,0.5361,0.4094,0.5364,0.384,0.4602
9.5,-0.0228,0.2686,0.372,0.4761,0.4714,0.4738,0.2704,0.5317,0.4011,0.5172,0.3758,0.4465
9.6,-0.0636,0.2765,0.3583,0.4704,0.4829,0.4766,0.2613,0.5283,0.3948,0.4993,0.3703,0.4348
9.7,-0.101,0.2867,0.3476,0.4658,0.494,0.4799,0.2556,0.5265,0.3911,0.4829,0.3679,0.4254
9.8,-0.1321,0.2994,0.34,0.4631,0.5044,0.4837,0.254,0.5266,0.3903,0.468,0.3685,0.4182
9.9,-0.1541,0.3143,0.3349,0.4629,0.5138,0.4883,0.2566,0.5284,0.3925,0.4544,0.3716,0.413
10,-0.1656,0.331,0.3314,0.465,0.5218,0.4934,0.2632,0.5311,0.3971,0.442,0.3768,0.4094
10.1,-0.1671,0.3487,0.329,0.4686,0.5283,0.4985,0.2735,0.5342,0.4038,0.4307,0.3832,0.4069
10.2,-0.1612,0.367,0.3275,0.473,0.5333,0.5031,0.287,0.5371,0.412,0.4207,0.3901,0.4054
10.3,-0.1501,0.3855,0.327,0.4777,0.537,0.5073,0.3033,0.5398,0.4215,0.4123,0.3976,0.4049
10.4,-0.1355,0.4041,0.3279,0.4829,0.5399,0.5114,0.3224,0.5422,0.4323,0.4062,0.406,0.4061
10.5,-0.1176,0.4228,0.3307,0.4894,0.5425,0.5159,0.3444,0.5445,0.4445,0.4032,0.4162,0.4097
10.6,-0.0968,0.4412,0.3355,0.4977,0.5453,0.5215,0.3686,0.5468,0.4577,0.4037,0.4284,0.416
