Time,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC,Big W - More Celebration for Less 15 Client TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1873,0.7459,0.558,0.8827,0.8963,0.8895,0.7423,0.6374,0.6899,1.1514,0.7436,0.9475
0.1,-0.2019,0.7552,0.6003,0.8907,0.925,0.9079,0.7392,0.6463,0.6927,1.1479,0.7852,0.9666
0.2,-0.2203,0.7613,0.6453,0.8907,0.9527,0.9217,0.7324,0.6549,0.6937,1.1382,0.8176,0.9779
0.3,-0.2414,0.7647,0.6909,0.8833,0.9784,0.9309,0.7231,0.6635,0.6933,1.1226,0.8404,0.9815
0.4,-0.2642,0.7662,0.7355,0.8703,1.0017,0.936,0.7129,0.6717,0.6923,1.1016,0.8537,0.9776
0.5,-0.2874,0.7666,0.7776,0.8537,1.023,0.9384,0.703,0.6789,0.691,1.0759,0.8583,0.9671
0.6,-0.3101,0.7662,0.8155,0.8359,1.0427,0.9393,0.6942,0.6844,0.6893,1.0456,0.8558,0.9507
0.7,-0.3314,0.7652,0.8474,0.8182,1.0603,0.9392,0.6865,0.6876,0.6871,1.011,0.8479,0.9294
0.8,-0.3509,0.7634,0.8721,0.8016,1.0755,0.9386,0.6803,0.689,0.6847,0.9733,0.8359,0.9046
0.9,-0.3685,0.7608,0.8893,0.7866,1.0885,0.9375,0.6757,0.689,0.6823,0.9339,0.821,0.8775
1,-0.3842,0.7571,0.8989,0.773,1.0995,0.9362,0.6725,0.6875,0.68,0.8945,0.8034,0.849
1.1,-0.3981,0.7521,0.9016,0.7606,1.1087,0.9346,0.6704,0.6844,0.6774,0.8564,0.7839,0.8201
1.2,-0.41,0.7455,0.8983,0.7494,1.1161,0.9328,0.6689,0.6798,0.6743,0.8211,0.7631,0.7921
1.3,-0.4196,0.7377,0.8898,0.7399,1.1216,0.9307,0.668,0.6742,0.6711,0.7895,0.742,0.7657
1.4,-0.4267,0.7291,0.8769,0.7324,1.1251,0.9287,0.6683,0.6687,0.6685,0.7623,0.7213,0.7418
1.5,-0.4311,0.72,0.8606,0.727,1.1264,0.9267,0.6704,0.6639,0.6671,0.7399,0.7017,0.7208
