Time,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC,Big W - Ghost 30 Client Semi Finished TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0969,0.3021,0.4003,0.3812,0.5986,0.4899,0.5154,0.4283,0.4719,0.5706,0.4523,0.5114
0.1,-0.09,0.3042,0.3725,0.3628,0.5925,0.4777,0.5063,0.4187,0.4625,0.5639,0.4552,0.5096
0.2,-0.0851,0.3061,0.3424,0.3418,0.5875,0.4647,0.4959,0.41,0.453,0.5573,0.4574,0.5073
0.3,-0.083,0.3087,0.3103,0.3202,0.584,0.4521,0.4848,0.4034,0.4441,0.5511,0.4588,0.505
0.4,-0.0836,0.3126,0.277,0.2994,0.5825,0.4409,0.4731,0.3991,0.4361,0.5462,0.4596,0.5029
0.5,-0.0866,0.3177,0.2435,0.2803,0.5829,0.4316,0.4611,0.3971,0.4291,0.5427,0.4598,0.5012
0.6,-0.0915,0.3234,0.2112,0.2637,0.5844,0.424,0.4486,0.3969,0.4227,0.5403,0.4596,0.4999
0.7,-0.097,0.3284,0.1817,0.2497,0.5856,0.4177,0.4356,0.3981,0.4168,0.5387,0.459,0.4989
0.8,-0.1015,0.3319,0.1563,0.2389,0.5862,0.4126,0.4224,0.4006,0.4115,0.5375,0.458,0.4978
0.9,-0.1045,0.3342,0.1356,0.2319,0.5867,0.4093,0.4096,0.4046,0.4071,0.5363,0.4565,0.4964
1,-0.1063,0.3359,0.1186,0.2293,0.5879,0.4086,0.3975,0.4104,0.404,0.5346,0.4545,0.4945
1.1,-0.1069,0.3378,0.1043,0.2314,0.5905,0.411,0.3864,0.4176,0.402,0.5317,0.4523,0.492
1.2,-0.1049,0.3393,0.0927,0.2387,0.5943,0.4165,0.3758,0.4253,0.4006,0.5273,0.45,0.4887
1.3,-0.0978,0.3397,0.0839,0.2513,0.5978,0.4245,0.3647,0.4323,0.3985,0.521,0.4478,0.4844
1.4,-0.0838,0.3377,0.0779,0.2689,0.5995,0.4342,0.3517,0.4374,0.3945,0.5128,0.4456,0.4792
1.5,-0.0631,0.3329,0.0749,0.2916,0.5986,0.4451,0.3365,0.4401,0.3883,0.5029,0.4437,0.4733
1.6,-0.0377,0.3253,0.0746,0.3193,0.5954,0.4574,0.3197,0.4407,0.3802,0.4913,0.4427,0.467
1.7,-0.0098,0.3161,0.0767,0.3527,0.5902,0.4714,0.3022,0.4394,0.3708,0.4785,0.4432,0.4609
1.8,0.0195,0.3061,0.0806,0.3917,0.5832,0.4874,0.2849,0.4366,0.3608,0.4647,0.4454,0.4551
1.9,0.0498,0.296,0.0859,0.4356,0.5737,0.5046,0.2684,0.4323,0.3503,0.4499,0.4492,0.4495
2,0.0814,0.286,0.0921,0.4826,0.5609,0.5218,0.2529,0.4259,0.3394,0.434,0.4544,0.4442
2.1,0.1137,0.276,0.0991,0.5304,0.5443,0.5374,0.2389,0.417,0.3279,0.4174,0.4612,0.4393
2.2,0.1455,0.2663,0.1066,0.5764,0.5237,0.5501,0.227,0.4059,0.3165,0.4009,0.4697,0.4353
2.3,0.176,0.257,0.1152,0.6182,0.4991,0.5586,0.2181,0.3932,0.3056,0.3858,0.4805,0.4331
2.4,0.2044,0.2485,0.1252,0.6541,0.4706,0.5624,0.2131,0.3798,0.2965,0.3736,0.494,0.4338
2.5,0.2297,0.2411,0.1375,0.683,0.4394,0.5612,0.2132,0.3672,0.2902,0.3662,0.5104,0.4383
2.6,0.2515,0.2352,0.1525,0.7041,0.4064,0.5553,0.2191,0.3563,0.2877,0.3646,0.53,0.4473
2.7,0.2697,0.2307,0.1703,0.7169,0.3732,0.545,0.2307,0.3479,0.2893,0.3689,0.5524,0.4607
2.8,0.2847,0.2277,0.1902,0.7221,0.341,0.5316,0.2475,0.3426,0.2951,0.3783,0.5763,0.4773
2.9,0.2979,0.2264,0.2109,0.7205,0.3108,0.5157,0.2684,0.3407,0.3046,0.3915,0.5997,0.4956
3,0.3103,0.227,0.2313,0.7124,0.2832,0.4978,0.2926,0.342,0.3173,0.4075,0.6212,0.5143
3.1,0.3218,0.2294,0.2506,0.6983,0.2587,0.4785,0.3194,0.3469,0.3331,0.4259,0.6398,0.5329
3.2,0.3315,0.2336,0.2687,0.6799,0.2381,0.459,0.3489,0.3562,0.3525,0.4465,0.6555,0.551
3.3,0.3385,0.2392,0.2858,0.659,0.2216,0.4403,0.3809,0.3707,0.3758,0.4686,0.6685,0.5686
3.4,0.3429,0.2456,0.3018,0.637,0.2093,0.4231,0.4152,0.3905,0.4028,0.4912,0.6789,0.5851
3.5,0.3455,0.2525,0.3164,0.6153,0.201,0.4081,0.451,0.4148,0.4329,0.5135,0.6861,0.5998
3.6,0.3468,0.2595,0.33,0.5944,0.1963,0.3954,0.4877,0.443,0.4653,0.5341,0.6899,0.612
3.7,0.3473,0.2664,0.3431,0.5745,0.1951,0.3848,0.5243,0.4743,0.4993,0.5523,0.6903,0.6213
3.8,0.3473,0.2729,0.356,0.5556,0.197,0.3763,0.5599,0.5074,0.5336,0.5671,0.6875,0.6273
3.9,0.3464,0.2785,0.3682,0.538,0.2017,0.3699,0.5932,0.5412,0.5672,0.5771,0.6814,0.6293
4,0.3444,0.2837,0.3796,0.5225,0.209,0.3657,0.6233,0.5748,0.599,0.5815,0.6715,0.6265
4.1,0.3417,0.2892,0.3911,0.5097,0.2189,0.3643,0.6496,0.608,0.6288,0.5799,0.6577,0.6188
4.2,0.3387,0.2963,0.4035,0.5008,0.232,0.3664,0.672,0.641,0.6565,0.573,0.6405,0.6068
4.3,0.3351,0.3053,0.4172,0.4962,0.2483,0.3723,0.6905,0.6738,0.6822,0.5616,0.6205,0.591
4.4,0.3304,0.3155,0.4318,0.4958,0.2673,0.3815,0.7045,0.7056,0.705,0.5463,0.5985,0.5724
4.5,0.3235,0.3251,0.4465,0.499,0.2869,0.3929,0.7133,0.7347,0.724,0.5275,0.5752,0.5513
4.6,0.3132,0.3325,0.4605,0.5048,0.3054,0.4051,0.7161,0.7598,0.7379,0.506,0.551,0.5285
4.7,0.2984,0.3372,0.473,0.5121,0.3216,0.4168,0.7124,0.7802,0.7463,0.4823,0.5264,0.5044
4.8,0.2777,0.3395,0.4834,0.5196,0.3357,0.4277,0.7029,0.7958,0.7493,0.4574,0.5021,0.4797
4.9,0.2502,0.3405,0.4917,0.526,0.3489,0.4375,0.6883,0.8068,0.7476,0.4319,0.4784,0.4551
5,0.2151,0.3413,0.4981,0.5305,0.3623,0.4464,0.6686,0.8134,0.741,0.4058,0.4559,0.4308
5.1,0.1731,0.3424,0.503,0.5325,0.3764,0.4545,0.6429,0.8153,0.7291,0.3789,0.4349,0.4069
5.2,0.1264,0.3441,0.5069,0.5322,0.3912,0.4617,0.6103,0.812,0.7112,0.3512,0.4156,0.3834
