Time,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2,Big W - Ghost Gifter 30 Client TVC Viewing 2
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3003,0.8672,0.597,0.984,1.0334,1.0087,0.4851,0.7903,0.6377,0.1465,0.1054,0.1259
0.1,-0.2872,0.8411,0.5814,0.9604,0.9948,0.9776,0.4895,0.7712,0.6304,0.1785,0.1345,0.1565
0.2,-0.2706,0.8171,0.5616,0.9337,0.9559,0.9448,0.4952,0.748,0.6216,0.2169,0.1648,0.1909
0.3,-0.2518,0.7947,0.538,0.9039,0.9158,0.9099,0.5017,0.7211,0.6114,0.2592,0.1949,0.2271
0.4,-0.2304,0.7735,0.5111,0.8703,0.874,0.8722,0.5084,0.6907,0.5996,0.3023,0.2234,0.2628
0.5,-0.2056,0.7525,0.4814,0.8318,0.8307,0.8312,0.5151,0.6568,0.5859,0.344,0.2492,0.2966
0.6,-0.1776,0.7309,0.4502,0.7883,0.7867,0.7875,0.5219,0.62,0.571,0.383,0.2719,0.3274
0.7,-0.1474,0.7081,0.4193,0.7418,0.7434,0.7426,0.5294,0.5818,0.5556,0.4182,0.2912,0.3547
0.8,-0.1165,0.6848,0.3909,0.6956,0.702,0.6988,0.5375,0.5443,0.5409,0.4483,0.3072,0.3778
0.9,-0.0861,0.662,0.3664,0.6536,0.6638,0.6587,0.5457,0.5094,0.5275,0.4721,0.3204,0.3963
1,-0.0572,0.6407,0.3463,0.6183,0.6298,0.624,0.5526,0.4782,0.5154,0.4891,0.3311,0.4101
1.1,-0.0311,0.6208,0.3307,0.5902,0.6002,0.5952,0.5573,0.4508,0.504,0.4994,0.34,0.4197
1.2,-0.008,0.6017,0.3197,0.5684,0.5744,0.5714,0.559,0.427,0.493,0.5036,0.3471,0.4253
1.3,0.0123,0.5826,0.3132,0.5511,0.5512,0.5511,0.5575,0.4065,0.482,0.5019,0.3519,0.4269
1.4,0.0289,0.563,0.3106,0.5371,0.5301,0.5336,0.5532,0.3888,0.471,0.4944,0.3534,0.4239
1.5,0.0411,0.5431,0.3103,0.5259,0.5113,0.5186,0.5468,0.3734,0.4601,0.4819,0.3509,0.4164
1.6,0.0491,0.523,0.3114,0.5172,0.4953,0.5063,0.5388,0.3601,0.4494,0.4652,0.3441,0.4047
1.7,0.0538,0.5031,0.3133,0.5106,0.4817,0.4962,0.529,0.3485,0.4388,0.4449,0.3332,0.389
1.8,0.0562,0.4831,0.3158,0.5057,0.4693,0.4875,0.5175,0.3384,0.4279,0.4216,0.3181,0.3699
1.9,0.0577,0.4628,0.3186,0.5021,0.4561,0.4791,0.5047,0.3293,0.417,0.3962,0.2988,0.3475
2,0.0577,0.4418,0.3214,0.4994,0.4408,0.4701,0.4913,0.3211,0.4062,0.3695,0.2753,0.3224
