Time,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty,Big W - Think Big - Beauty
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2759,0.4288,0.5226,0.2646,0.5217,0.3932,0.5129,0.6593,0.5861,0.5888,0.6789,0.6338
0.1,0.2636,0.4097,0.5112,0.2418,0.5049,0.3733,0.5099,0.6663,0.5881,0.5719,0.6775,0.6247
0.2,0.2431,0.3907,0.499,0.2189,0.4878,0.3533,0.5068,0.6709,0.5889,0.5551,0.6773,0.6162
0.3,0.2138,0.3726,0.4865,0.1969,0.4709,0.3339,0.5037,0.6731,0.5884,0.5388,0.6781,0.6084
0.4,0.1762,0.3568,0.4744,0.1771,0.4552,0.3162,0.5011,0.673,0.5871,0.5236,0.6797,0.6017
0.5,0.1313,0.3445,0.4636,0.1609,0.4417,0.3013,0.4995,0.6714,0.5855,0.5105,0.682,0.5963
0.6,0.0805,0.3368,0.4547,0.1494,0.4311,0.2903,0.4996,0.6687,0.5841,0.5001,0.6849,0.5925
0.7,0.0261,0.3339,0.4481,0.1432,0.4235,0.2834,0.5012,0.665,0.5831,0.4929,0.6887,0.5908
0.8,-0.0295,0.3352,0.4436,0.1421,0.4186,0.2803,0.5042,0.6598,0.582,0.4891,0.6936,0.5914
0.9,-0.0836,0.3404,0.4413,0.1455,0.4162,0.2809,0.5084,0.6528,0.5806,0.489,0.6997,0.5943
1,-0.1338,0.349,0.4416,0.1531,0.4164,0.2847,0.5133,0.6446,0.579,0.4927,0.7063,0.5995
1.1,-0.1779,0.3611,0.4447,0.1647,0.4196,0.2922,0.5187,0.6361,0.5774,0.4998,0.7124,0.6061
1.2,-0.2136,0.3767,0.4504,0.1801,0.4261,0.3031,0.5243,0.6279,0.5761,0.5093,0.7167,0.613
1.3,-0.2394,0.3955,0.4584,0.1985,0.4356,0.317,0.53,0.6211,0.5755,0.5203,0.7186,0.6194
