Time,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home,Big W - Think Big - Home
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1734,0.5074,0.4579,0.4444,0.3801,0.4122,0.2919,0.4044,0.3481,0.6373,0.4267,0.532
0.1,0.1595,0.4918,0.4556,0.4421,0.3831,0.4126,0.3025,0.4048,0.3536,0.6554,0.4446,0.55
0.2,0.141,0.4784,0.4557,0.4402,0.3877,0.414,0.3123,0.4058,0.359,0.6683,0.4607,0.5645
0.3,0.1195,0.467,0.4585,0.4384,0.3936,0.416,0.3212,0.407,0.3641,0.6764,0.4754,0.5759
0.4,0.0962,0.4575,0.4635,0.4364,0.4004,0.4184,0.3288,0.4085,0.3686,0.6806,0.489,0.5848
0.5,0.0718,0.4497,0.4703,0.4341,0.4082,0.4212,0.3351,0.4105,0.3728,0.6818,0.5017,0.5918
0.6,0.0471,0.4437,0.4785,0.4325,0.4172,0.4248,0.3407,0.414,0.3774,0.6803,0.5134,0.5969
0.7,0.024,0.44,0.4877,0.4325,0.4278,0.4301,0.3468,0.4196,0.3832,0.6763,0.5245,0.6004
0.8,0.0046,0.4386,0.4977,0.4346,0.4399,0.4373,0.3545,0.4276,0.391,0.6703,0.5348,0.6026
0.9,-0.0097,0.4394,0.5077,0.439,0.4536,0.4463,0.3643,0.4374,0.4008,0.6633,0.544,0.6037
1,-0.0193,0.4422,0.5174,0.4453,0.4685,0.4569,0.3761,0.4486,0.4124,0.6562,0.5516,0.6039
1.1,-0.0253,0.4471,0.5269,0.4532,0.4848,0.469,0.3895,0.4611,0.4253,0.65,0.5571,0.6035
1.2,-0.0288,0.4539,0.5366,0.4621,0.5023,0.4822,0.404,0.4748,0.4394,0.6457,0.5608,0.6033
