Time,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC,Bonds - Fathers Day Package 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1654,0.632,0.5927,0.8699,0.6905,0.7802,0.6409,0.6001,0.6205,0.5802,0.6427,0.6115
0.1,0.1217,0.6638,0.5815,0.8858,0.6999,0.7928,0.6442,0.6021,0.6231,0.5734,0.6361,0.6048
0.2,0.0775,0.6948,0.5667,0.8993,0.7098,0.8046,0.647,0.602,0.6245,0.5646,0.624,0.5943
0.3,0.0346,0.7244,0.5498,0.9097,0.7206,0.8151,0.6494,0.6,0.6247,0.5547,0.6078,0.5813
0.4,-0.0058,0.7512,0.5329,0.9163,0.7322,0.8243,0.6512,0.5962,0.6237,0.5448,0.5894,0.5671
0.5,-0.0429,0.7744,0.517,0.9188,0.7441,0.8315,0.6519,0.5912,0.6215,0.5352,0.57,0.5526
0.6,-0.0754,0.7936,0.502,0.9174,0.7557,0.8365,0.6514,0.5851,0.6183,0.5259,0.5504,0.5382
0.7,-0.1023,0.8095,0.4876,0.9121,0.7663,0.8392,0.6499,0.5783,0.6141,0.5172,0.5314,0.5243
0.8,-0.123,0.8225,0.4732,0.9037,0.7761,0.8399,0.6476,0.5708,0.6092,0.5095,0.5131,0.5113
0.9,-0.137,0.8329,0.4591,0.8934,0.7854,0.8394,0.6445,0.5626,0.6036,0.5031,0.4958,0.4995
1,-0.1451,0.8412,0.446,0.8826,0.7948,0.8387,0.6408,0.5543,0.5975,0.4983,0.4798,0.4891
1.1,-0.1485,0.8473,0.4348,0.8717,0.8045,0.8381,0.6364,0.5465,0.5915,0.4951,0.4658,0.4804
1.2,-0.1484,0.8514,0.4262,0.8608,0.8142,0.8375,0.6319,0.5402,0.586,0.4935,0.4545,0.474
1.3,-0.1451,0.8534,0.421,0.8496,0.8231,0.8363,0.6275,0.536,0.5818,0.4943,0.4467,0.4705
1.4,-0.1392,0.853,0.4199,0.8382,0.83,0.8341,0.6235,0.5344,0.5789,0.498,0.4431,0.4705
1.5,-0.1317,0.8497,0.4228,0.8268,0.8339,0.8303,0.6197,0.5351,0.5774,0.5044,0.4433,0.4738
1.6,-0.1233,0.843,0.4287,0.8152,0.8336,0.8244,0.6158,0.5372,0.5765,0.5127,0.4467,0.4797
1.7,-0.1139,0.8332,0.4364,0.8039,0.8283,0.8161,0.6114,0.5398,0.5756,0.522,0.4528,0.4874
1.8,-0.1028,0.821,0.445,0.793,0.8175,0.8053,0.6068,0.5415,0.5742,0.5314,0.4608,0.4961
1.9,-0.0894,0.8069,0.454,0.7828,0.8016,0.7922,0.6023,0.5411,0.5717,0.5408,0.4707,0.5058
2,-0.0738,0.7913,0.4627,0.7726,0.7815,0.7771,0.5984,0.5382,0.5683,0.55,0.4826,0.5163
2.1,-0.0574,0.774,0.4708,0.7615,0.758,0.7598,0.5951,0.5336,0.5643,0.5586,0.4963,0.5275
2.2,-0.0414,0.7552,0.4785,0.7483,0.732,0.7402,0.5922,0.5281,0.5601,0.566,0.5107,0.5383
2.3,-0.0259,0.7351,0.4861,0.7328,0.7039,0.7184,0.5891,0.522,0.5555,0.571,0.5244,0.5477
2.4,-0.0105,0.7141,0.4937,0.7153,0.6746,0.6949,0.5855,0.5154,0.5505,0.5727,0.5363,0.5545
2.5,0.005,0.6925,0.5007,0.6961,0.6451,0.6706,0.5814,0.5081,0.5448,0.5706,0.5456,0.5581
2.6,0.0198,0.6706,0.5067,0.6754,0.6161,0.6458,0.5768,0.5002,0.5385,0.5648,0.5517,0.5583
2.7,0.0329,0.6486,0.5115,0.6531,0.5881,0.6206,0.5718,0.4919,0.5319,0.5559,0.5544,0.5552
2.8,0.044,0.6269,0.5148,0.629,0.5613,0.5952,0.5668,0.4833,0.525,0.5448,0.5534,0.5491
2.9,0.0533,0.6057,0.5163,0.6035,0.5356,0.5695,0.5617,0.474,0.5179,0.5322,0.5486,0.5404
