Time,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC,BINGE - We're for the Bingers 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.219,0.4995,0.5883,0.6902,0.7763,0.7332,0.6049,0.9558,0.7804,0.8814,0.614,0.7477
0.1,-0.2031,0.5234,0.5925,0.7161,0.8076,0.7618,0.6338,0.9626,0.7982,0.8814,0.6098,0.7456
0.2,-0.18,0.5452,0.5942,0.7413,0.8323,0.7868,0.6627,0.9623,0.8125,0.8782,0.6066,0.7424
0.3,-0.1497,0.5643,0.5938,0.7649,0.8479,0.8064,0.6909,0.9537,0.8223,0.8723,0.6052,0.7387
0.4,-0.1121,0.5799,0.5923,0.7854,0.8522,0.8188,0.7187,0.9362,0.8275,0.8644,0.6064,0.7354
0.5,-0.0672,0.5917,0.5908,0.8019,0.8437,0.8228,0.7474,0.9108,0.8291,0.8553,0.6106,0.733
0.6,-0.0157,0.5994,0.5891,0.8136,0.8225,0.8181,0.777,0.8789,0.828,0.8453,0.6171,0.7312
0.7,0.04,0.6031,0.5861,0.8204,0.7895,0.8049,0.8049,0.8415,0.8232,0.8342,0.6242,0.7292
0.8,0.0956,0.6029,0.5807,0.8212,0.7459,0.7836,0.827,0.7995,0.8133,0.8215,0.6298,0.7256
0.9,0.1458,0.5986,0.5725,0.815,0.6936,0.7543,0.8407,0.755,0.7978,0.8068,0.6335,0.7201
1,0.1855,0.5904,0.5621,0.801,0.6349,0.718,0.8455,0.7107,0.7781,0.7903,0.6358,0.7131
1.1,0.2131,0.5789,0.5498,0.7794,0.573,0.6762,0.8425,0.6695,0.756,0.7722,0.6374,0.7048
1.2,0.2294,0.5646,0.5351,0.7515,0.5103,0.6309,0.8325,0.6329,0.7327,0.7526,0.6383,0.6954
1.3,0.2354,0.548,0.5172,0.7185,0.4492,0.5838,0.8161,0.6012,0.7087,0.7315,0.6382,0.6849
1.4,0.2317,0.5295,0.4964,0.6819,0.3917,0.5368,0.7945,0.5747,0.6846,0.7092,0.6371,0.6732
1.5,0.2194,0.5094,0.4741,0.6433,0.3395,0.4914,0.7694,0.554,0.6617,0.686,0.635,0.6605
1.6,0.2005,0.4878,0.4518,0.6043,0.2938,0.4491,0.7434,0.5392,0.6413,0.6621,0.6318,0.6469
1.7,0.1763,0.4654,0.4302,0.5663,0.255,0.4107,0.7188,0.5298,0.6243,0.6379,0.6278,0.6329
1.8,0.1473,0.4434,0.4099,0.5309,0.2228,0.3768,0.6972,0.5246,0.6109,0.6144,0.6239,0.6191
1.9,0.1138,0.4231,0.3916,0.4986,0.1969,0.3477,0.6793,0.5227,0.601,0.5925,0.6208,0.6067
2,0.0759,0.4058,0.3762,0.4697,0.1769,0.3233,0.6646,0.5234,0.594,0.5729,0.6191,0.596
2.1,0.0353,0.3919,0.3643,0.4441,0.163,0.3036,0.6519,0.5262,0.5891,0.5557,0.6184,0.5871
2.2,-0.0051,0.3814,0.3555,0.4218,0.155,0.2884,0.6394,0.5299,0.5847,0.5401,0.6181,0.5791
2.3,-0.0431,0.3739,0.349,0.4032,0.1521,0.2777,0.6257,0.533,0.5794,0.5254,0.6172,0.5713
2.4,-0.0776,0.3688,0.3436,0.3886,0.1531,0.2708,0.6105,0.5345,0.5725,0.5111,0.615,0.563
2.5,-0.1092,0.3661,0.3384,0.3781,0.1573,0.2677,0.5942,0.5344,0.5643,0.4974,0.6114,0.5544
2.6,-0.1393,0.366,0.3331,0.3714,0.1649,0.2682,0.5775,0.5333,0.5554,0.4847,0.6067,0.5457
2.7,-0.1687,0.3676,0.3279,0.3677,0.1761,0.2719,0.5608,0.532,0.5464,0.4732,0.6012,0.5372
2.8,-0.1967,0.3692,0.3231,0.3647,0.1906,0.2777,0.5437,0.5305,0.5371,0.4629,0.5957,0.5293
2.9,-0.2227,0.3687,0.3186,0.3606,0.207,0.2838,0.5249,0.5284,0.5267,0.4534,0.5904,0.5219
3,-0.2467,0.365,0.3145,0.3542,0.2236,0.2889,0.5036,0.525,0.5143,0.4449,0.5853,0.5151
3.1,-0.2683,0.3583,0.3109,0.346,0.2391,0.2926,0.4798,0.5203,0.5001,0.4377,0.5805,0.5091
3.2,-0.2863,0.349,0.3086,0.3373,0.2525,0.2949,0.4544,0.515,0.4847,0.4321,0.5765,0.5043
3.3,-0.2998,0.3375,0.3077,0.329,0.2628,0.2959,0.428,0.51,0.469,0.4283,0.5736,0.501
3.4,-0.3095,0.3241,0.3076,0.321,0.2693,0.2951,0.4009,0.5061,0.4535,0.4258,0.5718,0.4988
3.5,-0.3186,0.3093,0.3076,0.3123,0.2718,0.2921,0.3732,0.5042,0.4387,0.4235,0.5702,0.4969
3.6,-0.3297,0.2933,0.3074,0.3016,0.2708,0.2862,0.3453,0.5046,0.425,0.4209,0.5679,0.4944
3.7,-0.3436,0.2765,0.3072,0.2884,0.2668,0.2776,0.3174,0.5076,0.4125,0.4177,0.5644,0.491
3.8,-0.359,0.2588,0.3074,0.2729,0.2603,0.2666,0.2898,0.513,0.4014,0.4139,0.5594,0.4867
3.9,-0.3736,0.2407,0.3082,0.2564,0.2513,0.2539,0.2631,0.5204,0.3917,0.4097,0.5531,0.4814
4,-0.3864,0.2222,0.3096,0.2403,0.2406,0.2405,0.2374,0.5294,0.3834,0.4048,0.5459,0.4754
4.1,-0.3971,0.2038,0.3115,0.2259,0.229,0.2274,0.2132,0.5391,0.3761,0.3995,0.5379,0.4687
4.2,-0.4062,0.186,0.3141,0.2139,0.2175,0.2157,0.1912,0.5486,0.3699,0.3941,0.5294,0.4617
4.3,-0.4136,0.1693,0.3176,0.2048,0.2075,0.2061,0.1716,0.5566,0.3641,0.389,0.5211,0.455
4.4,-0.4186,0.1543,0.3219,0.1989,0.2,0.1994,0.1544,0.5626,0.3585,0.3846,0.5136,0.4491
4.5,-0.4201,0.1415,0.3264,0.1964,0.1955,0.1959,0.14,0.5662,0.3531,0.3806,0.5071,0.4439
4.6,-0.4178,0.131,0.3299,0.1975,0.1937,0.1956,0.129,0.5676,0.3483,0.3768,0.5013,0.4391
4.7,-0.4125,0.1229,0.3318,0.2022,0.1942,0.1982,0.1214,0.5667,0.3441,0.3731,0.4962,0.4347
4.8,-0.4046,0.1175,0.3327,0.2101,0.1963,0.2032,0.1168,0.5637,0.3403,0.37,0.4923,0.4311
4.9,-0.394,0.1152,0.333,0.2209,0.1994,0.2101,0.1141,0.5588,0.3365,0.3676,0.4902,0.4289
5,-0.3811,0.117,0.3325,0.2343,0.2035,0.2189,0.1126,0.5524,0.3325,0.3661,0.4897,0.4279
