Time,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles,Brand Power - Coon Nibbles
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2008,0.5717,0.4956,0.5404,0.5261,0.5332,0.4674,0.478,0.4727,0.4948,0.4899,0.4923
0.1,0.1799,0.5675,0.4911,0.5366,0.5254,0.531,0.4643,0.4792,0.4717,0.4908,0.4835,0.4872
0.2,0.1583,0.5657,0.4906,0.5352,0.5285,0.5318,0.4632,0.484,0.4736,0.4887,0.4796,0.4841
0.3,0.136,0.5658,0.4943,0.5357,0.5349,0.5353,0.4641,0.4921,0.4781,0.4883,0.4781,0.4832
0.4,0.1129,0.5672,0.5018,0.5378,0.5441,0.5409,0.4667,0.5032,0.4849,0.4892,0.479,0.4841
0.5,0.0895,0.5695,0.5126,0.5412,0.5557,0.5485,0.471,0.5167,0.4939,0.4915,0.4822,0.4869
0.6,0.067,0.5725,0.5262,0.5459,0.5691,0.5575,0.477,0.5322,0.5046,0.4953,0.4874,0.4913
0.7,0.0464,0.5765,0.5419,0.5516,0.5838,0.5677,0.4846,0.5491,0.5168,0.5006,0.4947,0.4976
0.8,0.028,0.5816,0.5593,0.5581,0.5989,0.5785,0.4936,0.5666,0.5301,0.5073,0.5039,0.5056
0.9,0.0122,0.5882,0.5777,0.5653,0.6138,0.5895,0.5035,0.5843,0.5439,0.5153,0.5146,0.5149
1,-0.0013,0.5963,0.5963,0.5735,0.6279,0.6007,0.5141,0.6018,0.558,0.5241,0.5263,0.5252
1.1,-0.0123,0.6058,0.6145,0.5828,0.6411,0.6119,0.5251,0.6185,0.5718,0.5333,0.5387,0.536
1.2,-0.0205,0.6164,0.6313,0.5928,0.6531,0.623,0.536,0.6341,0.5851,0.5426,0.5514,0.547
1.3,-0.0259,0.6277,0.6461,0.6033,0.6636,0.6334,0.5466,0.6481,0.5974,0.5519,0.5639,0.5579
1.4,-0.0287,0.6395,0.6587,0.6136,0.6724,0.643,0.5565,0.6602,0.6083,0.5605,0.5758,0.5682
1.5,-0.0294,0.6513,0.6687,0.6235,0.6793,0.6514,0.565,0.6701,0.6175,0.5682,0.5866,0.5774
1.6,-0.0286,0.6626,0.6756,0.6323,0.6841,0.6582,0.5719,0.6775,0.6247,0.5743,0.5959,0.5851
1.7,-0.0269,0.6727,0.6794,0.6394,0.6867,0.663,0.5769,0.6822,0.6295,0.5789,0.6035,0.5912
1.8,-0.0251,0.681,0.6801,0.6441,0.6868,0.6654,0.5799,0.6842,0.632,0.5818,0.6093,0.5955
1.9,-0.0235,0.6874,0.678,0.646,0.6843,0.6651,0.581,0.6833,0.6322,0.5829,0.6132,0.5981
2,-0.0226,0.6918,0.6734,0.645,0.679,0.662,0.5801,0.6798,0.6299,0.5824,0.615,0.5987
2.1,-0.0225,0.6941,0.6668,0.6414,0.6712,0.6563,0.5773,0.6737,0.6255,0.5805,0.6149,0.5977
2.2,-0.023,0.6942,0.6585,0.6357,0.6616,0.6487,0.5731,0.6654,0.6192,0.5775,0.6129,0.5952
2.3,-0.0236,0.6924,0.6489,0.6285,0.651,0.6398,0.5679,0.6553,0.6116,0.5739,0.6095,0.5917
2.4,-0.0235,0.689,0.6386,0.6205,0.64,0.6303,0.5624,0.6442,0.6033,0.5702,0.6052,0.5877
2.5,-0.022,0.6844,0.6282,0.6123,0.6293,0.6208,0.5567,0.6324,0.5945,0.5667,0.6004,0.5836
2.6,-0.0189,0.679,0.6182,0.6042,0.6194,0.6118,0.5511,0.6206,0.5859,0.5638,0.5956,0.5797
2.7,-0.0145,0.6732,0.6091,0.5969,0.6108,0.6038,0.5459,0.6095,0.5777,0.5618,0.5909,0.5764
2.8,-0.0093,0.6668,0.6009,0.5905,0.6037,0.5971,0.5411,0.5995,0.5703,0.5609,0.5865,0.5737
2.9,-0.0034,0.6598,0.594,0.585,0.5983,0.5916,0.5369,0.5908,0.5639,0.5611,0.5826,0.5719
3,0.0033,0.6525,0.5886,0.5804,0.5946,0.5875,0.5336,0.5837,0.5587,0.5625,0.5794,0.571
3.1,0.011,0.6453,0.5853,0.577,0.5932,0.5851,0.5314,0.5787,0.555,0.5653,0.5774,0.5714
3.2,0.0202,0.6386,0.5842,0.5751,0.5946,0.5849,0.5306,0.5762,0.5534,0.5698,0.577,0.5734
3.3,0.0308,0.6328,0.5856,0.5751,0.5991,0.5871,0.5317,0.5766,0.5541,0.5761,0.5785,0.5773
3.4,0.0423,0.6279,0.5891,0.5767,0.6067,0.5917,0.5346,0.5797,0.5572,0.5841,0.5819,0.583
3.5,0.0539,0.6234,0.5944,0.5792,0.6167,0.598,0.5392,0.5852,0.5622,0.5934,0.5871,0.5902
3.6,0.0649,0.6192,0.6013,0.5819,0.6285,0.6052,0.5447,0.5928,0.5687,0.6033,0.5937,0.5985
3.7,0.0747,0.6151,0.6097,0.5844,0.6415,0.6129,0.5508,0.602,0.5764,0.6135,0.6018,0.6076
3.8,0.0832,0.6118,0.6193,0.5868,0.6555,0.6212,0.5574,0.6128,0.5851,0.6239,0.6112,0.6175
3.9,0.0905,0.6095,0.6303,0.5895,0.6705,0.63,0.5645,0.625,0.5947,0.6346,0.622,0.6283
4,0.0969,0.6089,0.6423,0.5923,0.6862,0.6393,0.5719,0.6383,0.6051,0.6454,0.6341,0.6398
4.1,0.1022,0.6101,0.655,0.5953,0.7021,0.6487,0.579,0.6522,0.6156,0.6557,0.6468,0.6513
4.2,0.106,0.613,0.6676,0.5983,0.7176,0.658,0.5853,0.6662,0.6257,0.6647,0.6597,0.6622
4.3,0.1079,0.6172,0.6794,0.6011,0.732,0.6666,0.5904,0.6797,0.635,0.6719,0.672,0.672
4.4,0.1076,0.6221,0.6897,0.6033,0.7447,0.674,0.594,0.6919,0.643,0.6772,0.6834,0.6803
4.5,0.105,0.6272,0.6978,0.6045,0.7549,0.6797,0.5959,0.7024,0.6491,0.6803,0.6934,0.6869
4.6,0.1003,0.632,0.7038,0.6044,0.7621,0.6833,0.596,0.7107,0.6534,0.6813,0.702,0.6916
4.7,0.0934,0.6359,0.7076,0.6032,0.766,0.6846,0.5944,0.7168,0.6556,0.6804,0.709,0.6947
4.8,0.0844,0.6386,0.7093,0.6008,0.7665,0.6837,0.5912,0.7205,0.6559,0.6777,0.7144,0.6961
4.9,0.0736,0.6398,0.7089,0.5975,0.7637,0.6806,0.5868,0.7217,0.6542,0.6736,0.7182,0.6959
5,0.0615,0.639,0.7061,0.5933,0.7576,0.6755,0.5814,0.7202,0.6508,0.6683,0.7203,0.6943
5.1,0.049,0.6362,0.701,0.5886,0.7482,0.6684,0.5756,0.7158,0.6457,0.6621,0.7205,0.6913
5.2,0.0373,0.6318,0.6936,0.584,0.736,0.66,0.5698,0.7091,0.6394,0.6553,0.719,0.6872
5.3,0.0276,0.6263,0.6845,0.5805,0.7216,0.651,0.5646,0.7006,0.6326,0.6483,0.7163,0.6823
5.4,0.021,0.6198,0.6739,0.5785,0.7054,0.642,0.5607,0.6908,0.6257,0.6414,0.7123,0.6769
5.5,0.018,0.6126,0.6621,0.5784,0.6883,0.6333,0.5581,0.6803,0.6192,0.6345,0.7072,0.6709
5.6,0.0183,0.6047,0.6495,0.5801,0.6708,0.6254,0.557,0.6693,0.6132,0.6277,0.701,0.6643
5.7,0.0214,0.5962,0.6369,0.5834,0.6534,0.6184,0.5573,0.6584,0.6079,0.621,0.6941,0.6576
5.8,0.0265,0.5877,0.625,0.5881,0.6367,0.6124,0.5588,0.6483,0.6036,0.6148,0.6871,0.651
5.9,0.0327,0.5796,0.6145,0.5941,0.6211,0.6076,0.5613,0.6397,0.6005,0.6093,0.6804,0.6448
6,0.0394,0.572,0.6056,0.6012,0.607,0.6041,0.5645,0.6327,0.5986,0.6041,0.6739,0.639
6.1,0.0462,0.565,0.5981,0.6092,0.5944,0.6018,0.5679,0.6273,0.5976,0.5992,0.6676,0.6334
6.2,0.0531,0.5587,0.5923,0.6178,0.5835,0.6006,0.5714,0.6233,0.5974,0.5943,0.6617,0.628
6.3,0.0606,0.5534,0.5883,0.6272,0.5742,0.6007,0.5752,0.6209,0.598,0.5901,0.6565,0.6233
6.4,0.0685,0.5498,0.5864,0.6373,0.5672,0.6022,0.5792,0.6206,0.5999,0.5872,0.6525,0.6198
6.5,0.0763,0.5484,0.5864,0.648,0.5626,0.6053,0.5837,0.6224,0.603,0.5858,0.6499,0.6179
6.6,0.083,0.5494,0.5878,0.659,0.5605,0.6097,0.5884,0.6258,0.6071,0.5858,0.6483,0.6171
6.7,0.0879,0.5525,0.5898,0.6695,0.5603,0.6149,0.593,0.63,0.6115,0.5866,0.6471,0.6169
6.8,0.091,0.557,0.5919,0.6791,0.5613,0.6202,0.5971,0.6344,0.6158,0.5875,0.6459,0.6167
6.9,0.0928,0.5623,0.5938,0.6874,0.5629,0.6251,0.6006,0.6385,0.6195,0.5884,0.6448,0.6166
7,0.0935,0.5677,0.5952,0.6939,0.5647,0.6293,0.6033,0.6421,0.6227,0.5894,0.6437,0.6166
7.1,0.0933,0.5727,0.5959,0.6985,0.5662,0.6323,0.6052,0.645,0.6251,0.5904,0.6428,0.6166
