Time,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints,British Paints
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0314,0.7902,0.7764,0.7341,0.8048,0.7695,0.6871,0.7393,0.7132,0.6868,0.7332,0.71
0.1,-0.034,0.803,0.7955,0.7545,0.8187,0.7866,0.6979,0.7521,0.725,0.7007,0.7451,0.7229
0.2,-0.0388,0.8106,0.8119,0.77,0.8287,0.7993,0.7054,0.7625,0.734,0.7127,0.7547,0.7337
0.3,-0.0455,0.8134,0.8254,0.7807,0.8347,0.8077,0.7098,0.7706,0.7402,0.7228,0.7617,0.7423
0.4,-0.0531,0.8123,0.8361,0.7873,0.8373,0.8123,0.7115,0.7764,0.744,0.731,0.7665,0.7487
0.5,-0.061,0.808,0.8439,0.7905,0.8369,0.8137,0.7111,0.78,0.7456,0.7373,0.7689,0.7531
0.6,-0.0692,0.8012,0.8487,0.7907,0.8341,0.8124,0.7089,0.7815,0.7452,0.7419,0.7693,0.7556
0.7,-0.0778,0.7922,0.85,0.7883,0.8289,0.8086,0.705,0.7806,0.7428,0.7448,0.7674,0.7561
0.8,-0.0869,0.7814,0.8475,0.7834,0.8217,0.8026,0.6998,0.7775,0.7387,0.7456,0.7634,0.7545
0.9,-0.0963,0.7693,0.8412,0.7765,0.8131,0.7948,0.6936,0.7723,0.733,0.7445,0.7575,0.751
1,-0.1058,0.7567,0.8315,0.7684,0.8039,0.7862,0.6867,0.765,0.7259,0.7413,0.7499,0.7456
1.1,-0.115,0.744,0.8189,0.7597,0.7948,0.7772,0.6793,0.7557,0.7175,0.736,0.7408,0.7384
1.2,-0.1235,0.7314,0.8038,0.7507,0.7859,0.7683,0.6716,0.7445,0.708,0.7284,0.7302,0.7293
1.3,-0.1309,0.7187,0.7866,0.7414,0.7772,0.7593,0.6637,0.7316,0.6977,0.719,0.7184,0.7187
1.4,-0.1369,0.7059,0.7677,0.7316,0.7685,0.7501,0.6562,0.7174,0.6868,0.7079,0.7053,0.7066
1.5,-0.1412,0.6932,0.7474,0.7217,0.7598,0.7407,0.6491,0.7025,0.6758,0.6956,0.6914,0.6935
1.6,-0.1435,0.6806,0.7266,0.7116,0.751,0.7313,0.6425,0.6874,0.665,0.6827,0.6772,0.6799
1.7,-0.1441,0.6681,0.7057,0.7013,0.7421,0.7217,0.636,0.6725,0.6543,0.6693,0.6629,0.6661
1.8,-0.1433,0.6555,0.685,0.6902,0.7325,0.7114,0.6291,0.6577,0.6434,0.6554,0.6483,0.6518
1.9,-0.1417,0.6427,0.6643,0.678,0.7218,0.6999,0.6215,0.6426,0.6321,0.6409,0.6335,0.6372
2,-0.1396,0.63,0.6437,0.6643,0.71,0.6871,0.6129,0.6273,0.6201,0.6259,0.6183,0.6221
2.1,-0.1368,0.6178,0.6233,0.6493,0.6971,0.6732,0.6032,0.6119,0.6076,0.6106,0.603,0.6068
2.2,-0.1331,0.6064,0.6037,0.6328,0.6836,0.6582,0.5923,0.5969,0.5946,0.5955,0.5881,0.5918
2.3,-0.1286,0.5956,0.5854,0.6149,0.6696,0.6422,0.5799,0.5827,0.5813,0.5809,0.5742,0.5775
2.4,-0.1238,0.585,0.5688,0.5955,0.655,0.6252,0.5661,0.5694,0.5678,0.5674,0.5616,0.5645
2.5,-0.1194,0.5743,0.5544,0.5748,0.64,0.6074,0.5511,0.5572,0.5542,0.5554,0.5507,0.553
2.6,-0.1156,0.5635,0.5423,0.5533,0.625,0.5891,0.5352,0.5462,0.5407,0.5451,0.5415,0.5433
2.7,-0.1125,0.5529,0.5328,0.5317,0.6102,0.5709,0.5188,0.5363,0.5275,0.5366,0.534,0.5353
2.8,-0.1102,0.543,0.5259,0.5106,0.5961,0.5534,0.5022,0.5278,0.515,0.5298,0.5279,0.5289
2.9,-0.1088,0.5339,0.5211,0.4905,0.583,0.5367,0.486,0.5205,0.5033,0.5247,0.5231,0.5239
3,-0.1088,0.5255,0.5177,0.4715,0.5706,0.5211,0.4704,0.5144,0.4924,0.521,0.5195,0.5202
3.1,-0.1102,0.5176,0.5152,0.4535,0.559,0.5062,0.4557,0.5093,0.4825,0.5184,0.5168,0.5176
3.2,-0.1129,0.5098,0.5133,0.4365,0.5478,0.4921,0.4419,0.5049,0.4734,0.5168,0.515,0.5159
3.3,-0.1167,0.502,0.512,0.4204,0.537,0.4787,0.4294,0.5014,0.4654,0.5164,0.5142,0.5153
3.4,-0.1213,0.4941,0.5116,0.4058,0.5264,0.4661,0.4187,0.4986,0.4587,0.5172,0.5148,0.516
3.5,-0.1263,0.4865,0.5121,0.393,0.5163,0.4546,0.4106,0.4969,0.4537,0.5194,0.5172,0.5183
3.6,-0.1316,0.4795,0.5139,0.3825,0.5069,0.4447,0.4057,0.4963,0.451,0.5233,0.5215,0.5224
3.7,-0.1368,0.4735,0.5171,0.3746,0.4986,0.4366,0.4043,0.4971,0.4507,0.529,0.528,0.5285
3.8,-0.1418,0.4686,0.5217,0.3694,0.4911,0.4303,0.4067,0.4996,0.4531,0.5364,0.5366,0.5365
3.9,-0.1466,0.4647,0.5279,0.367,0.4845,0.4258,0.4129,0.5038,0.4584,0.5454,0.5471,0.5462
4,-0.1512,0.4617,0.5352,0.3673,0.4787,0.423,0.4226,0.5097,0.4662,0.5555,0.5592,0.5574
4.1,-0.1556,0.4596,0.5436,0.3699,0.4737,0.4218,0.4354,0.5169,0.4761,0.5662,0.5724,0.5693
4.2,-0.1594,0.4582,0.5526,0.3747,0.4696,0.4221,0.4504,0.525,0.4877,0.5769,0.5863,0.5816
4.3,-0.1623,0.4575,0.5618,0.3816,0.4663,0.424,0.467,0.5337,0.5004,0.5873,0.6002,0.5938
4.4,-0.1641,0.4578,0.5709,0.3909,0.4639,0.4274,0.4845,0.5426,0.5136,0.597,0.6138,0.6054
4.5,-0.1647,0.4591,0.5795,0.402,0.4621,0.4321,0.5023,0.5513,0.5268,0.6058,0.6266,0.6162
4.6,-0.1645,0.4613,0.5871,0.4145,0.4608,0.4377,0.5199,0.5594,0.5397,0.6135,0.6383,0.6259
4.7,-0.1637,0.4645,0.5932,0.4277,0.4599,0.4438,0.5367,0.5665,0.5516,0.6201,0.6485,0.6343
4.8,-0.1621,0.4686,0.5976,0.441,0.4595,0.4502,0.552,0.5724,0.5622,0.6254,0.6573,0.6414
4.9,-0.1597,0.474,0.6002,0.4544,0.46,0.4572,0.5656,0.577,0.5713,0.6296,0.6648,0.6472
5,-0.1562,0.4807,0.601,0.468,0.4615,0.4648,0.577,0.5802,0.5786,0.6328,0.671,0.6519
5.1,-0.1516,0.4891,0.6,0.4817,0.464,0.4729,0.5864,0.5822,0.5843,0.635,0.6757,0.6554
5.2,-0.1458,0.4988,0.5973,0.4951,0.4675,0.4813,0.5938,0.5829,0.5883,0.6362,0.6791,0.6576
5.3,-0.139,0.5094,0.5931,0.5081,0.4723,0.4902,0.5993,0.5825,0.5909,0.6364,0.6811,0.6588
5.4,-0.1316,0.5206,0.588,0.5204,0.4786,0.4995,0.6031,0.5816,0.5923,0.6359,0.6819,0.6589
5.5,-0.1243,0.532,0.5827,0.5318,0.4868,0.5093,0.6054,0.5806,0.593,0.6351,0.6817,0.6584
5.6,-0.1179,0.5436,0.5777,0.5421,0.4973,0.5197,0.6064,0.5799,0.5931,0.6343,0.681,0.6576
5.7,-0.1128,0.5551,0.5733,0.5509,0.5099,0.5304,0.6062,0.5798,0.593,0.6336,0.6799,0.6567
5.8,-0.1089,0.566,0.5699,0.5584,0.5241,0.5413,0.6052,0.5805,0.5928,0.6332,0.6788,0.656
5.9,-0.1055,0.5763,0.5675,0.5647,0.5396,0.5522,0.6037,0.582,0.5929,0.6333,0.6778,0.6556
6,-0.1022,0.5861,0.5664,0.5703,0.5562,0.5633,0.6025,0.5846,0.5935,0.6343,0.6772,0.6557
6.1,-0.0988,0.5952,0.5665,0.5755,0.5736,0.5745,0.602,0.5883,0.5951,0.6361,0.677,0.6566
6.2,-0.0953,0.6034,0.568,0.58,0.5911,0.5855,0.6022,0.593,0.5976,0.6388,0.6775,0.6582
6.3,-0.0924,0.6103,0.5708,0.5833,0.6075,0.5954,0.603,0.5987,0.6009,0.6422,0.6789,0.6606
6.4,-0.0904,0.6154,0.5748,0.5854,0.622,0.6037,0.6043,0.6051,0.6047,0.6464,0.6813,0.6638
6.5,-0.0896,0.6186,0.5805,0.5864,0.6339,0.6101,0.6066,0.6122,0.6094,0.6516,0.6848,0.6682
6.6,-0.0899,0.6204,0.588,0.5867,0.6432,0.6149,0.6103,0.6201,0.6152,0.658,0.6896,0.6738
6.7,-0.0906,0.6211,0.5976,0.5867,0.6499,0.6183,0.6161,0.6288,0.6224,0.6655,0.6955,0.6805
6.8,-0.0912,0.621,0.609,0.5869,0.654,0.6205,0.6238,0.6378,0.6308,0.6738,0.7026,0.6882
6.9,-0.0912,0.6205,0.6218,0.5872,0.6555,0.6214,0.6329,0.6467,0.6398,0.6826,0.7104,0.6965
7,-0.0905,0.6202,0.6355,0.5877,0.6545,0.6211,0.643,0.6551,0.6491,0.6912,0.7182,0.7047
7.1,-0.0894,0.6208,0.6493,0.5888,0.6513,0.62,0.6536,0.6626,0.6581,0.699,0.7255,0.7123
7.2,-0.0876,0.6228,0.6627,0.5905,0.6466,0.6186,0.6641,0.6688,0.6665,0.7055,0.7317,0.7186
7.3,-0.0845,0.6261,0.6754,0.5931,0.6411,0.6171,0.6743,0.6738,0.674,0.7103,0.7368,0.7236
7.4,-0.0797,0.6305,0.6869,0.5965,0.6352,0.6158,0.6838,0.6774,0.6806,0.7131,0.7407,0.7269
7.5,-0.073,0.6354,0.6972,0.6006,0.6292,0.6149,0.6924,0.6799,0.6861,0.7138,0.743,0.7284
7.6,-0.0649,0.6403,0.7059,0.6053,0.6232,0.6142,0.6995,0.6812,0.6904,0.7123,0.7436,0.728
7.7,-0.0558,0.6444,0.713,0.61,0.6169,0.6135,0.7046,0.6813,0.6929,0.7087,0.7421,0.7254
7.8,-0.0464,0.6473,0.7183,0.6143,0.6104,0.6123,0.7073,0.6801,0.6937,0.7032,0.7387,0.721
7.9,-0.0368,0.6488,0.722,0.618,0.6037,0.6109,0.7075,0.6779,0.6927,0.6964,0.7341,0.7152
8,-0.0273,0.6492,0.7244,0.6215,0.5974,0.6094,0.7054,0.675,0.6902,0.6888,0.7285,0.7086
8.1,-0.0181,0.6488,0.7257,0.625,0.5918,0.6084,0.7014,0.6718,0.6866,0.6808,0.7223,0.7015
8.2,-0.0092,0.6476,0.7262,0.6289,0.5872,0.6081,0.6958,0.6686,0.6822,0.6727,0.7157,0.6942
8.3,-0.0005,0.6457,0.726,0.6333,0.5836,0.6084,0.6888,0.6656,0.6772,0.665,0.7089,0.6869
8.4,0.0079,0.6426,0.7251,0.6377,0.5808,0.6093,0.6806,0.6629,0.6718,0.6579,0.7021,0.68
8.5,0.0155,0.6383,0.7238,0.642,0.5785,0.6103,0.6716,0.6603,0.666,0.6515,0.6953,0.6734
8.6,0.022,0.6326,0.7221,0.6457,0.5765,0.6111,0.6619,0.6579,0.6599,0.6458,0.6885,0.6671
8.7,0.0269,0.6257,0.7201,0.6489,0.575,0.612,0.652,0.6557,0.6538,0.6408,0.6814,0.6611
8.8,0.0305,0.6181,0.7178,0.6516,0.5742,0.6129,0.6421,0.6536,0.6479,0.6367,0.6743,0.6555
8.9,0.0334,0.61,0.7152,0.654,0.574,0.614,0.6327,0.6518,0.6423,0.6337,0.6673,0.6505
9,0.036,0.6014,0.712,0.656,0.5739,0.6149,0.6242,0.6499,0.6371,0.6319,0.661,0.6464
9.1,0.0389,0.5923,0.7082,0.6578,0.5734,0.6156,0.617,0.648,0.6325,0.6315,0.6555,0.6435
9.2,0.0423,0.5834,0.704,0.6597,0.5728,0.6162,0.6116,0.6459,0.6288,0.6326,0.6509,0.6417
9.3,0.0461,0.5752,0.6996,0.662,0.5723,0.6171,0.6085,0.6439,0.6262,0.6349,0.6474,0.6412
9.4,0.0497,0.5684,0.6954,0.6647,0.5722,0.6184,0.6075,0.6423,0.6249,0.6384,0.6449,0.6417
9.5,0.0526,0.5633,0.6912,0.6671,0.5725,0.6198,0.6082,0.6411,0.6247,0.6426,0.6434,0.643
9.6,0.0544,0.5601,0.6872,0.6687,0.5729,0.6208,0.61,0.6402,0.6251,0.647,0.6426,0.6448
9.7,0.0551,0.559,0.6832,0.6691,0.5732,0.6211,0.6126,0.6393,0.626,0.651,0.6425,0.6468
9.8,0.0546,0.5603,0.6794,0.6684,0.5736,0.621,0.6159,0.6386,0.6272,0.6546,0.6429,0.6488
9.9,0.0533,0.564,0.676,0.6671,0.5746,0.6209,0.6196,0.638,0.6288,0.6577,0.644,0.6509
10,0.0515,0.5698,0.6734,0.6649,0.5764,0.6207,0.6236,0.6377,0.6306,0.6602,0.646,0.6531
10.1,0.0497,0.5775,0.6715,0.6621,0.5787,0.6204,0.6273,0.6377,0.6325,0.6618,0.6487,0.6553
10.2,0.0482,0.5864,0.6705,0.6588,0.5813,0.6201,0.6306,0.638,0.6343,0.6626,0.6523,0.6575
10.3,0.0466,0.596,0.6703,0.6551,0.5842,0.6197,0.6334,0.6388,0.6361,0.6628,0.6563,0.6596
10.4,0.045,0.606,0.6709,0.6515,0.5875,0.6195,0.636,0.64,0.638,0.6625,0.6607,0.6616
10.5,0.0434,0.6158,0.6724,0.6482,0.5913,0.6197,0.6386,0.6418,0.6402,0.6619,0.6655,0.6637
10.6,0.0422,0.6251,0.6747,0.6452,0.5953,0.6203,0.6409,0.644,0.6425,0.6614,0.6707,0.6661
10.7,0.0412,0.6333,0.6773,0.6425,0.5992,0.6209,0.6425,0.6462,0.6443,0.6609,0.6758,0.6683
10.8,0.0397,0.6402,0.6798,0.6399,0.6025,0.6212,0.6428,0.6479,0.6454,0.6599,0.6803,0.6701
10.9,0.0371,0.6456,0.6817,0.6371,0.6052,0.6211,0.6418,0.6488,0.6453,0.6583,0.6835,0.6709
11,0.033,0.6494,0.6827,0.6341,0.6072,0.6207,0.6396,0.6485,0.644,0.6562,0.6854,0.6708
11.1,0.0275,0.6518,0.6832,0.6309,0.6089,0.6199,0.6366,0.6472,0.6419,0.6539,0.6862,0.6701
11.2,0.0211,0.6531,0.6833,0.6273,0.6103,0.6188,0.6332,0.6452,0.6392,0.6514,0.6862,0.6688
11.3,0.0142,0.6532,0.6831,0.6237,0.6116,0.6176,0.6296,0.6426,0.6361,0.6487,0.6851,0.6669
11.4,0.0073,0.6522,0.6826,0.62,0.6124,0.6162,0.6259,0.6393,0.6326,0.6453,0.6826,0.664
11.5,0.0008,0.65,0.6814,0.6164,0.6124,0.6144,0.6222,0.6354,0.6288,0.641,0.6786,0.6598
11.6,-0.005,0.6467,0.6794,0.6128,0.6111,0.6119,0.6186,0.6308,0.6247,0.6358,0.6729,0.6544
11.7,-0.0095,0.6422,0.6763,0.6092,0.6082,0.6087,0.6152,0.6255,0.6204,0.6294,0.6655,0.6474
11.8,-0.0132,0.6369,0.6722,0.6053,0.6035,0.6044,0.6121,0.6197,0.6159,0.6217,0.6564,0.639
11.9,-0.0165,0.6312,0.6674,0.6012,0.5972,0.5992,0.6093,0.6137,0.6115,0.6126,0.6456,0.6291
12,-0.0192,0.6252,0.6619,0.5969,0.5897,0.5933,0.607,0.6076,0.6073,0.6022,0.6335,0.6178
12.1,-0.0208,0.6188,0.656,0.5925,0.5811,0.5868,0.6048,0.6015,0.6031,0.5907,0.6204,0.6055
12.2,-0.0213,0.6118,0.6495,0.5877,0.5713,0.5795,0.6026,0.5954,0.599,0.5782,0.607,0.5926
12.3,-0.0208,0.6041,0.6427,0.5821,0.5601,0.5711,0.6001,0.5893,0.5947,0.5653,0.5936,0.5794
12.4,-0.02,0.5959,0.6356,0.5755,0.548,0.5617,0.5975,0.5834,0.5904,0.5521,0.5807,0.5664
12.5,-0.0194,0.5874,0.6288,0.5679,0.5354,0.5517,0.5948,0.5781,0.5864,0.539,0.5685,0.5537
12.6,-0.0194,0.579,0.6225,0.5595,0.5229,0.5412,0.592,0.5737,0.5828,0.526,0.5572,0.5416
