Time,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC,Bunnings Warehouse - DIY July (New Style Ad) 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2341,0.6617,0.3585,0.8643,0.6687,0.7665,0.3507,0.5299,0.4403,0.4798,0.5956,0.5377
0.1,0.2571,0.653,0.3619,0.8665,0.6207,0.7436,0.381,0.5223,0.4517,0.5015,0.6029,0.5522
0.2,0.2775,0.6403,0.3679,0.8619,0.5751,0.7185,0.4074,0.5137,0.4605,0.5217,0.6105,0.5661
0.3,0.2956,0.6238,0.375,0.8501,0.5333,0.6917,0.4282,0.5034,0.4658,0.539,0.6177,0.5783
0.4,0.3115,0.6046,0.3821,0.8321,0.4965,0.6643,0.4434,0.492,0.4677,0.5526,0.6241,0.5884
0.5,0.3254,0.5838,0.3889,0.8089,0.4656,0.6372,0.4538,0.4811,0.4674,0.5626,0.6295,0.5961
0.6,0.3375,0.5621,0.3952,0.7809,0.4405,0.6107,0.4604,0.4715,0.466,0.5693,0.6337,0.6015
0.7,0.3478,0.5393,0.4012,0.7484,0.421,0.5847,0.4648,0.4636,0.4642,0.573,0.6367,0.6049
0.8,0.3558,0.5156,0.4076,0.7123,0.4065,0.5594,0.4685,0.457,0.4627,0.5743,0.6387,0.6065
0.9,0.3612,0.4916,0.4148,0.6747,0.3961,0.5354,0.4723,0.4513,0.4618,0.5733,0.6394,0.6063
1,0.3637,0.4688,0.4234,0.6382,0.3893,0.5137,0.4766,0.4464,0.4615,0.5696,0.6386,0.6041
1.1,0.364,0.4486,0.4334,0.6044,0.3854,0.4949,0.4808,0.4423,0.4615,0.5629,0.636,0.5994
1.2,0.3629,0.4317,0.4446,0.5741,0.3843,0.4792,0.4845,0.4391,0.4618,0.5532,0.6316,0.5924
1.3,0.3617,0.4181,0.4567,0.5471,0.3859,0.4665,0.4878,0.4366,0.4622,0.5412,0.6253,0.5833
1.4,0.3608,0.4065,0.4689,0.5227,0.3897,0.4562,0.4903,0.4344,0.4623,0.5275,0.6172,0.5724
1.5,0.3599,0.3959,0.4806,0.5005,0.3956,0.448,0.4919,0.432,0.4619,0.5122,0.6068,0.5595
1.6,0.3588,0.3864,0.4914,0.4806,0.4041,0.4424,0.4921,0.4293,0.4607,0.4952,0.5941,0.5446
1.7,0.358,0.3787,0.5014,0.4643,0.416,0.4401,0.4909,0.4265,0.4587,0.4763,0.5788,0.5275
1.8,0.3578,0.3733,0.5105,0.4528,0.4322,0.4425,0.4881,0.4238,0.456,0.4558,0.561,0.5084
1.9,0.3583,0.3705,0.5187,0.4471,0.4528,0.45,0.4833,0.4209,0.4521,0.4343,0.5409,0.4876
2,0.3578,0.3697,0.5258,0.4467,0.4775,0.4621,0.4762,0.4172,0.4467,0.4122,0.5188,0.4655
2.1,0.3548,0.37,0.5316,0.4499,0.5058,0.4778,0.4662,0.4123,0.4392,0.3899,0.4954,0.4427
2.2,0.3482,0.3703,0.5362,0.4556,0.5366,0.4961,0.4531,0.4063,0.4297,0.3677,0.4716,0.4196
2.3,0.3382,0.37,0.5393,0.4632,0.5692,0.5162,0.4376,0.3994,0.4185,0.3462,0.4485,0.3974
2.4,0.3248,0.3689,0.5404,0.4728,0.6028,0.5378,0.4205,0.3918,0.4062,0.3266,0.4274,0.377
2.5,0.3083,0.3669,0.5395,0.4844,0.6367,0.5606,0.4023,0.3836,0.393,0.3099,0.4094,0.3597
2.6,0.2886,0.3639,0.5368,0.4979,0.6706,0.5842,0.3833,0.3747,0.379,0.2972,0.396,0.3466
2.7,0.2655,0.3599,0.5326,0.5122,0.7041,0.6081,0.3638,0.3655,0.3646,0.2893,0.3884,0.3389
2.8,0.2388,0.3549,0.5276,0.5264,0.737,0.6317,0.3444,0.3564,0.3504,0.2872,0.3875,0.3374
2.9,0.2095,0.3492,0.5216,0.5404,0.7691,0.6547,0.3262,0.3482,0.3372,0.2914,0.3941,0.3428
3,0.1791,0.3438,0.5146,0.5541,0.8,0.677,0.3102,0.3411,0.3257,0.3025,0.4084,0.3554
3.1,0.1491,0.3393,0.5063,0.5681,0.8289,0.6985,0.2974,0.3353,0.3164,0.3205,0.4307,0.3756
3.2,0.1206,0.3364,0.4972,0.5828,0.8552,0.719,0.2883,0.3309,0.3096,0.3458,0.461,0.4034
3.3,0.0945,0.3355,0.4874,0.5983,0.8783,0.7383,0.2824,0.3277,0.3051,0.3781,0.4982,0.4382
3.4,0.0716,0.3366,0.4766,0.6141,0.8976,0.7559,0.279,0.3254,0.3022,0.4167,0.5401,0.4784
3.5,0.0536,0.3393,0.464,0.6302,0.9128,0.7715,0.2772,0.3234,0.3003,0.4598,0.5838,0.5218
3.6,0.041,0.3435,0.4489,0.6468,0.9246,0.7857,0.2765,0.3213,0.2989,0.5054,0.6273,0.5664
3.7,0.0342,0.3496,0.4317,0.6646,0.9336,0.7991,0.2775,0.319,0.2982,0.5525,0.6695,0.611
3.8,0.0334,0.358,0.413,0.6837,0.9407,0.8122,0.2809,0.3165,0.2987,0.6003,0.7097,0.655
3.9,0.0395,0.3693,0.3937,0.7041,0.946,0.8251,0.2871,0.3137,0.3004,0.6484,0.7471,0.6977
4,0.053,0.3838,0.3747,0.7259,0.9497,0.8378,0.2965,0.3104,0.3035,0.6954,0.7812,0.7383
4.1,0.0739,0.4019,0.3576,0.7495,0.9519,0.8507,0.3093,0.307,0.3082,0.7397,0.8116,0.7757
4.2,0.1009,0.4243,0.3447,0.7762,0.9531,0.8646,0.3253,0.3043,0.3148,0.7795,0.8386,0.8091
4.3,0.1321,0.4513,0.3379,0.8068,0.954,0.8804,0.3438,0.3032,0.3235,0.8135,0.8621,0.8378
4.4,0.1658,0.4827,0.3381,0.842,0.9555,0.8987,0.3638,0.3043,0.3341,0.841,0.8826,0.8618
4.5,0.2018,0.5173,0.345,0.8813,0.958,0.9197,0.3833,0.3078,0.3456,0.8622,0.8999,0.8811
4.6,0.2398,0.5535,0.3582,0.9235,0.9615,0.9425,0.3999,0.3133,0.3566,0.8773,0.9136,0.8955
4.7,0.2785,0.5903,0.3776,0.9667,0.966,0.9664,0.4117,0.3204,0.3661,0.8865,0.9241,0.9053
4.8,0.3147,0.6271,0.4033,1.0092,0.9715,0.9904,0.4178,0.3293,0.3735,0.8903,0.9317,0.911
4.9,0.3451,0.6638,0.4351,1.0492,0.9779,1.0135,0.4185,0.3405,0.3795,0.8887,0.9368,0.9128
5,0.3668,0.6996,0.472,1.0841,0.9848,1.0344,0.4152,0.3545,0.3848,0.8826,0.9397,0.9111
5.1,0.3782,0.7332,0.5113,1.1119,0.9914,1.0516,0.4092,0.3711,0.3902,0.8731,0.9408,0.907
5.2,0.3789,0.763,0.5506,1.131,0.9967,1.0638,0.4018,0.3898,0.3958,0.8619,0.9413,0.9016
5.3,0.3688,0.7879,0.5884,1.1414,0.9998,1.0706,0.3936,0.4098,0.4017,0.8497,0.9418,0.8957
5.4,0.3492,0.8077,0.6237,1.1439,0.9997,1.0718,0.3857,0.4308,0.4082,0.8368,0.9427,0.8897
5.5,0.3218,0.8222,0.6555,1.1394,0.9958,1.0676,0.38,0.4522,0.4161,0.8234,0.9444,0.8839
5.6,0.2884,0.8311,0.6829,1.1283,0.9868,1.0576,0.3784,0.4736,0.426,0.8104,0.947,0.8787
5.7,0.2502,0.8347,0.7052,1.1115,0.9715,1.0415,0.3821,0.494,0.438,0.7992,0.9501,0.8746
5.8,0.2086,0.8334,0.7218,1.0899,0.9492,1.0195,0.3905,0.5124,0.4514,0.7908,0.9525,0.8716
5.9,0.1654,0.8279,0.7319,1.0652,0.9195,0.9923,0.4018,0.528,0.4649,0.7854,0.9524,0.8689
6,0.1236,0.8186,0.7351,1.0392,0.8828,0.961,0.4142,0.5398,0.477,0.7824,0.9479,0.8651
6.1,0.0868,0.8054,0.7316,1.0128,0.8398,0.9263,0.4266,0.5473,0.4869,0.7805,0.9382,0.8594
