Time,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC,BWS Whatever Floats Your Boots 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.6589,0.7346,0.8234,0.5356,0.774,0.6548,0.7818,0.8029,0.7924,0.6736,0.678,0.6758
0.1,-0.656,0.7562,0.8257,0.5054,0.7581,0.6317,0.789,0.7792,0.7841,0.6656,0.6609,0.6633
0.2,-0.6462,0.7776,0.8282,0.4825,0.742,0.6122,0.7949,0.7591,0.777,0.6552,0.6421,0.6486
0.3,-0.6291,0.7981,0.831,0.4671,0.726,0.5966,0.7993,0.7421,0.7707,0.6432,0.6223,0.6328
0.4,-0.6049,0.8175,0.8335,0.4589,0.7107,0.5848,0.8018,0.7281,0.7649,0.6299,0.6018,0.6159
0.5,-0.5738,0.8355,0.8351,0.4569,0.6969,0.5769,0.8018,0.7172,0.7595,0.615,0.5808,0.5979
0.6,-0.536,0.8522,0.8353,0.4607,0.6853,0.573,0.7997,0.7094,0.7546,0.599,0.5594,0.5792
0.7,-0.4923,0.8673,0.8343,0.4694,0.676,0.5727,0.7959,0.7044,0.7501,0.5824,0.5384,0.5604
0.8,-0.4447,0.8805,0.8315,0.4826,0.6689,0.5757,0.7902,0.7018,0.746,0.5658,0.5185,0.5422
0.9,-0.3953,0.8912,0.8267,0.5,0.6634,0.5817,0.7832,0.7013,0.7422,0.5497,0.5006,0.5252
1,-0.346,0.8988,0.8197,0.5215,0.6596,0.5905,0.7757,0.7034,0.7396,0.535,0.4854,0.5102
1.1,-0.2976,0.9026,0.8111,0.5469,0.658,0.6025,0.7697,0.7086,0.7391,0.5226,0.474,0.4983
1.2,-0.2511,0.9018,0.8018,0.5756,0.6586,0.6171,0.7664,0.7177,0.742,0.5134,0.4671,0.4902
1.3,-0.2088,0.8963,0.7925,0.6063,0.6605,0.6334,0.7663,0.7308,0.7485,0.5074,0.4644,0.4859
1.4,-0.1731,0.8863,0.7838,0.6379,0.6629,0.6504,0.7687,0.7476,0.7582,0.5041,0.465,0.4845
1.5,-0.145,0.8726,0.776,0.6699,0.6656,0.6678,0.7732,0.7673,0.7703,0.5026,0.4678,0.4852
1.6,-0.124,0.8567,0.7696,0.7025,0.669,0.6857,0.7802,0.789,0.7846,0.502,0.4721,0.4871
1.7,-0.1095,0.8398,0.7647,0.7352,0.6728,0.704,0.7898,0.8118,0.8008,0.5016,0.4773,0.4895
1.8,-0.1015,0.8225,0.7599,0.767,0.6756,0.7213,0.8013,0.8345,0.8179,0.5007,0.4827,0.4917
1.9,-0.0996,0.8044,0.7538,0.7965,0.6753,0.7359,0.8135,0.8555,0.8345,0.4989,0.4874,0.4932
2,-0.1013,0.7848,0.7455,0.8223,0.6703,0.7463,0.8258,0.8734,0.8496,0.4962,0.4916,0.4939
2.1,-0.1036,0.7634,0.7345,0.8432,0.6601,0.7516,0.8386,0.8871,0.8628,0.4931,0.4957,0.4944
2.2,-0.104,0.7404,0.7209,0.8579,0.645,0.7514,0.8525,0.8963,0.8744,0.49,0.5003,0.4951
2.3,-0.1023,0.7163,0.7054,0.8657,0.6263,0.746,0.8675,0.9012,0.8844,0.4872,0.5052,0.4962
2.4,-0.0999,0.6922,0.6893,0.867,0.606,0.7365,0.8823,0.9026,0.8925,0.4849,0.5106,0.4978
2.5,-0.0983,0.6689,0.6738,0.8627,0.5865,0.7246,0.8954,0.9012,0.8983,0.4833,0.5162,0.4997
2.6,-0.0975,0.6467,0.6602,0.8536,0.5701,0.7119,0.9058,0.8975,0.9017,0.4823,0.522,0.5021
2.7,-0.0963,0.6248,0.6493,0.8407,0.5581,0.6994,0.9133,0.8919,0.9026,0.4826,0.5281,0.5053
2.8,-0.0935,0.6022,0.6419,0.8243,0.5503,0.6873,0.9178,0.8852,0.9015,0.4843,0.5353,0.5098
