Time,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good,Hyundai Drive For Good
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0569,0.6802,0.722,0.7364,0.5846,0.6605,0.5434,0.5507,0.5471,0.3234,0.5529,0.4382
0.1,0.028,0.6883,0.7426,0.7458,0.5966,0.6712,0.5458,0.5602,0.553,0.3563,0.5759,0.4661
0.2,-0.0032,0.6945,0.7565,0.7515,0.6055,0.6785,0.5447,0.5689,0.5568,0.3884,0.5967,0.4926
0.3,-0.0344,0.699,0.7652,0.754,0.6112,0.6826,0.5411,0.5768,0.5589,0.42,0.6156,0.5178
0.4,-0.0639,0.7023,0.7699,0.7538,0.6141,0.6839,0.5359,0.5838,0.5598,0.4514,0.6331,0.5423
0.5,-0.0902,0.7046,0.7716,0.7513,0.6146,0.683,0.5291,0.5897,0.5594,0.4826,0.649,0.5658
0.6,-0.1118,0.7058,0.7699,0.7467,0.6131,0.6799,0.5202,0.594,0.5571,0.513,0.6624,0.5877
0.7,-0.1273,0.7059,0.7646,0.7402,0.6091,0.6747,0.5085,0.5964,0.5524,0.542,0.6723,0.6072
0.8,-0.1365,0.7047,0.7563,0.7317,0.6023,0.667,0.4943,0.5969,0.5456,0.5693,0.6789,0.6241
0.9,-0.1397,0.702,0.7468,0.7209,0.5925,0.6567,0.479,0.5963,0.5377,0.5958,0.683,0.6394
1,-0.1374,0.6976,0.7373,0.7075,0.5793,0.6434,0.4646,0.5957,0.5302,0.6221,0.6856,0.6538
1.1,-0.1296,0.6913,0.7282,0.6915,0.5625,0.627,0.4527,0.5957,0.5242,0.6488,0.6871,0.6679
1.2,-0.1157,0.6836,0.7192,0.6731,0.5421,0.6076,0.4442,0.5962,0.5202,0.6757,0.6872,0.6814
1.3,-0.0955,0.675,0.7108,0.6531,0.5189,0.586,0.4387,0.5968,0.5178,0.7018,0.6856,0.6937
1.4,-0.0689,0.6664,0.7036,0.6328,0.4938,0.5633,0.4358,0.5967,0.5162,0.7263,0.6819,0.7041
1.5,-0.0366,0.6586,0.6983,0.6134,0.4675,0.5404,0.4353,0.5961,0.5157,0.7483,0.676,0.7122
1.6,0.0009,0.652,0.6957,0.596,0.4407,0.5184,0.4379,0.5957,0.5168,0.7678,0.6689,0.7184
1.7,0.044,0.6473,0.6963,0.5819,0.4149,0.4984,0.4447,0.5961,0.5204,0.7849,0.6618,0.7234
1.8,0.0932,0.6453,0.7005,0.5724,0.3916,0.482,0.4558,0.5973,0.5266,0.7999,0.6557,0.7278
1.9,0.1488,0.6461,0.7085,0.5683,0.3722,0.4702,0.4706,0.5991,0.5349,0.8124,0.6511,0.7317
2,0.2106,0.6501,0.72,0.5704,0.3568,0.4636,0.4873,0.6013,0.5443,0.8219,0.6478,0.7348
2.1,0.2779,0.6572,0.734,0.579,0.3452,0.4621,0.5047,0.6039,0.5543,0.8283,0.6454,0.7369
2.2,0.3499,0.6669,0.7494,0.594,0.3372,0.4656,0.5216,0.6069,0.5642,0.8317,0.6441,0.7379
2.3,0.4248,0.6784,0.7654,0.6149,0.3328,0.4739,0.5372,0.6104,0.5738,0.8322,0.6442,0.7382
2.4,0.5002,0.6905,0.7809,0.64,0.3317,0.4858,0.5508,0.6143,0.5825,0.8297,0.6461,0.7379
2.5,0.5739,0.7019,0.795,0.6671,0.3331,0.5001,0.5618,0.6183,0.5901,0.8241,0.6497,0.7369
2.6,0.644,0.7117,0.8065,0.6947,0.3363,0.5155,0.5701,0.6224,0.5963,0.8156,0.6549,0.7353
2.7,0.7085,0.7197,0.8148,0.7215,0.3413,0.5314,0.5764,0.6263,0.6014,0.8048,0.6612,0.733
2.8,0.7652,0.7263,0.8197,0.7464,0.3479,0.5472,0.5813,0.6296,0.6055,0.7921,0.6679,0.73
2.9,0.8125,0.7316,0.8213,0.7684,0.3564,0.5624,0.5854,0.632,0.6087,0.7777,0.6744,0.7261
3,0.8496,0.7353,0.8199,0.786,0.3661,0.576,0.589,0.6328,0.6109,0.762,0.6796,0.7208
3.1,0.8759,0.7366,0.8155,0.7972,0.376,0.5866,0.5922,0.6315,0.6118,0.7454,0.6826,0.714
