Time,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC,Hyundai - The All New Kona 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3804,0.8709,0.8074,0.5949,0.7514,0.6731,0.7449,0.9403,0.8426,0.7729,0.977,0.8749
0.1,-0.3412,0.8772,0.7992,0.6077,0.7365,0.6721,0.7266,0.932,0.8293,0.7956,0.9708,0.8832
0.2,-0.2957,0.8819,0.7864,0.6223,0.7176,0.67,0.7083,0.9231,0.8157,0.8136,0.9566,0.8851
0.3,-0.2439,0.8851,0.7697,0.6398,0.6945,0.6672,0.6902,0.914,0.8021,0.8274,0.9355,0.8814
0.4,-0.1864,0.887,0.7501,0.6603,0.6674,0.6638,0.6735,0.9051,0.7893,0.838,0.9091,0.8735
0.5,-0.1239,0.8868,0.7288,0.6827,0.6365,0.6596,0.659,0.8967,0.7779,0.8459,0.8785,0.8622
0.6,-0.058,0.8835,0.7072,0.7056,0.6022,0.6539,0.6474,0.8891,0.7682,0.8511,0.8443,0.8477
0.7,0.0104,0.8763,0.6867,0.728,0.5653,0.6466,0.6393,0.8827,0.761,0.8531,0.807,0.8301
0.8,0.0808,0.8651,0.6687,0.7499,0.5273,0.6386,0.6353,0.8779,0.7566,0.8521,0.7678,0.8099
0.9,0.1537,0.8497,0.6536,0.7715,0.4901,0.6308,0.6358,0.8745,0.7551,0.8487,0.7279,0.7883
1,0.2278,0.8297,0.6414,0.791,0.4555,0.6232,0.6404,0.8722,0.7563,0.8438,0.689,0.7664
1.1,0.3019,0.8044,0.6318,0.8055,0.4251,0.6153,0.6489,0.8701,0.7595,0.8378,0.6524,0.7451
1.2,0.3747,0.7737,0.6243,0.8127,0.3994,0.606,0.6601,0.8673,0.7637,0.8312,0.6189,0.7251
1.3,0.4462,0.7381,0.6181,0.812,0.3783,0.5952,0.6725,0.8629,0.7677,0.8243,0.5892,0.7067
1.4,0.5166,0.6988,0.6126,0.8043,0.3614,0.5828,0.685,0.8557,0.7703,0.8176,0.5637,0.6907
1.5,0.5855,0.6573,0.6074,0.7907,0.3485,0.5696,0.6962,0.8447,0.7705,0.812,0.543,0.6775
1.6,0.6509,0.6151,0.6026,0.7724,0.3396,0.556,0.7055,0.8295,0.7675,0.8078,0.5274,0.6676
1.7,0.7084,0.5743,0.5987,0.7508,0.3357,0.5433,0.7131,0.8105,0.7618,0.8054,0.5179,0.6617
1.8,0.7533,0.5369,0.596,0.7275,0.3378,0.5327,0.719,0.7885,0.7538,0.8052,0.5147,0.6599
1.9,0.7829,0.5049,0.5946,0.7043,0.3461,0.5252,0.7231,0.7647,0.7439,0.8074,0.5177,0.6625
2,0.7969,0.4784,0.594,0.6816,0.3594,0.5205,0.7247,0.7402,0.7324,0.8124,0.5264,0.6694
2.1,0.7967,0.4571,0.5932,0.6588,0.376,0.5174,0.723,0.716,0.7195,0.8199,0.5397,0.6798
2.2,0.7846,0.4404,0.5918,0.6357,0.3947,0.5152,0.7175,0.6931,0.7053,0.8287,0.5566,0.6926
2.3,0.7626,0.4281,0.5894,0.6128,0.4149,0.5138,0.7084,0.6721,0.6902,0.8375,0.5762,0.7068
2.4,0.7322,0.4203,0.5858,0.5906,0.4363,0.5134,0.6965,0.6532,0.6748,0.8454,0.598,0.7217
