Time,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC,Industry Super Fund 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5023,0.5667,0.615,0.2647,0.8337,0.5492,0.7451,0.608,0.6765,0.8796,0.9768,0.9282
0.1,-0.4419,0.5601,0.6218,0.3093,0.8246,0.5669,0.7409,0.5984,0.6697,0.9052,0.9676,0.9364
0.2,-0.3903,0.5575,0.6332,0.3507,0.8181,0.5844,0.7397,0.5911,0.6654,0.9318,0.9607,0.9463
0.3,-0.3462,0.5588,0.6482,0.3891,0.8141,0.6016,0.7407,0.5863,0.6635,0.9591,0.9548,0.9569
0.4,-0.3079,0.5631,0.6663,0.4243,0.8121,0.6182,0.7429,0.5836,0.6633,0.9855,0.9485,0.967
0.5,-0.274,0.5692,0.6864,0.4551,0.811,0.6331,0.7457,0.5823,0.664,1.0096,0.9417,0.9756
0.6,-0.243,0.5754,0.7079,0.4803,0.8095,0.6449,0.7488,0.5816,0.6652,1.0306,0.9347,0.9827
0.7,-0.2143,0.5813,0.7302,0.4988,0.8064,0.6526,0.7523,0.5811,0.6667,1.0489,0.9275,0.9882
0.8,-0.187,0.587,0.7523,0.5107,0.8008,0.6557,0.7563,0.5809,0.6686,1.0649,0.9198,0.9923
0.9,-0.1602,0.5924,0.7732,0.5165,0.792,0.6542,0.7597,0.5808,0.6703,1.0786,0.9113,0.995
1,-0.1332,0.5967,0.7917,0.5166,0.7791,0.6478,0.7609,0.5802,0.6706,1.0887,0.9011,0.9949
1.1,-0.1045,0.5975,0.8068,0.5102,0.7604,0.6353,0.7584,0.5778,0.6681,1.0936,0.8883,0.991
1.2,-0.0724,0.5928,0.8178,0.4956,0.7345,0.6151,0.7516,0.5726,0.6621,1.0937,0.8725,0.9831
1.3,-0.0364,0.5818,0.8247,0.4721,0.7005,0.5863,0.7413,0.5643,0.6528,1.0902,0.854,0.9721
1.4,0.0022,0.5652,0.8273,0.4405,0.6594,0.55,0.7283,0.553,0.6407,1.0845,0.8337,0.9591
1.5,0.0407,0.5442,0.8254,0.4025,0.613,0.5077,0.7129,0.5384,0.6257,1.077,0.8124,0.9447
1.6,0.0763,0.5191,0.8184,0.3587,0.5633,0.461,0.6947,0.5205,0.6076,1.0676,0.7905,0.929
1.7,0.1075,0.4897,0.8062,0.3097,0.5115,0.4106,0.6734,0.4996,0.5865,1.0555,0.7678,0.9116
1.8,0.134,0.456,0.7894,0.2557,0.4586,0.3571,0.6491,0.4768,0.5629,1.0404,0.7445,0.8925
1.9,0.1564,0.4192,0.7687,0.1977,0.4047,0.3012,0.6221,0.4529,0.5375,1.022,0.7211,0.8716
2,0.1752,0.3803,0.7446,0.1383,0.3498,0.244,0.5926,0.4287,0.5106,1,0.6983,0.8492
2.1,0.1912,0.3407,0.7173,0.0802,0.2939,0.1871,0.5601,0.4041,0.4821,0.9746,0.6766,0.8256
2.2,0.2046,0.3007,0.6874,0.0262,0.2377,0.1319,0.5246,0.3793,0.452,0.9465,0.6558,0.8012
2.3,0.2158,0.2612,0.6552,-0.0209,0.182,0.0805,0.4862,0.3544,0.4203,0.9163,0.636,0.7761
2.4,0.2256,0.2238,0.6215,-0.0589,0.1285,0.0348,0.4458,0.3301,0.388,0.8847,0.6171,0.7509
2.5,0.2351,0.1909,0.5868,-0.0859,0.0793,-0.0033,0.4047,0.3067,0.3557,0.8526,0.5995,0.7261
2.6,0.2448,0.1638,0.5518,-0.1015,0.0357,-0.0329,0.364,0.2844,0.3242,0.8213,0.5834,0.7023
2.7,0.2551,0.1426,0.5174,-0.1069,-0.0014,-0.0541,0.3248,0.2634,0.2941,0.7915,0.5691,0.6803
2.8,0.2656,0.1267,0.4845,-0.104,-0.032,-0.068,0.2887,0.2439,0.2663,0.7634,0.5569,0.6602
2.9,0.2759,0.1158,0.4539,-0.0944,-0.0561,-0.0753,0.2563,0.2261,0.2412,0.7371,0.5467,0.6419
3,0.2862,0.1101,0.4257,-0.0794,-0.0732,-0.0763,0.2284,0.2097,0.2191,0.7128,0.5383,0.6255
3.1,0.2959,0.11,0.3997,-0.0599,-0.0827,-0.0713,0.2058,0.1948,0.2003,0.691,0.5311,0.611
3.2,0.3043,0.1155,0.3759,-0.0371,-0.0843,-0.0607,0.1895,0.1817,0.1856,0.6726,0.5245,0.5986
3.3,0.3098,0.126,0.3545,-0.0124,-0.0775,-0.045,0.1803,0.1711,0.1757,0.6579,0.5181,0.588
3.4,0.3112,0.1409,0.336,0.0134,-0.0624,-0.0245,0.1783,0.1635,0.1709,0.6464,0.5115,0.579
3.5,0.3078,0.1597,0.3201,0.0401,-0.0391,0.0005,0.182,0.1591,0.1705,0.6366,0.5042,0.5704
3.6,0.2993,0.1817,0.3063,0.0668,-0.0088,0.029,0.189,0.1578,0.1734,0.6269,0.4959,0.5614
3.7,0.2854,0.2056,0.2942,0.0924,0.0275,0.06,0.1972,0.1594,0.1783,0.6167,0.4861,0.5514
3.8,0.2661,0.2302,0.2834,0.1158,0.0686,0.0922,0.2059,0.1636,0.1847,0.6059,0.4751,0.5405
3.9,0.2424,0.2549,0.2742,0.1372,0.1141,0.1257,0.216,0.1706,0.1933,0.5958,0.4641,0.5299
4,0.2157,0.2798,0.2672,0.1578,0.164,0.1609,0.2292,0.1812,0.2052,0.5876,0.4542,0.5209
4.1,0.1882,0.305,0.2627,0.1789,0.218,0.1985,0.246,0.1954,0.2207,0.5825,0.4462,0.5144
4.2,0.1616,0.3294,0.2609,0.2008,0.2749,0.2379,0.266,0.2128,0.2394,0.5808,0.4407,0.5107
4.3,0.1381,0.3516,0.2623,0.2228,0.3323,0.2775,0.2878,0.2322,0.26,0.5825,0.438,0.5102
4.4,0.1192,0.3705,0.267,0.2441,0.3882,0.3162,0.3108,0.2524,0.2816,0.5876,0.4387,0.5131
4.5,0.106,0.3862,0.2747,0.2646,0.4417,0.3532,0.3351,0.2723,0.3037,0.5965,0.4431,0.5198
4.6,0.098,0.3994,0.2853,0.2845,0.4923,0.3884,0.361,0.2911,0.326,0.6095,0.4516,0.5306
4.7,0.0939,0.4111,0.2991,0.304,0.5396,0.4218,0.3885,0.3084,0.3484,0.6268,0.4643,0.5455
4.8,0.0926,0.4211,0.316,0.3225,0.5825,0.4525,0.4172,0.3241,0.3706,0.6473,0.4809,0.5641
4.9,0.0943,0.4283,0.3358,0.3389,0.6195,0.4792,0.4463,0.3382,0.3922,0.6693,0.501,0.5852
5,0.0999,0.4321,0.3583,0.3523,0.6486,0.5005,0.4748,0.3504,0.4126,0.6912,0.5239,0.6075
5.1,0.1101,0.4328,0.3833,0.3628,0.669,0.5159,0.5013,0.3602,0.4308,0.7116,0.5484,0.63
5.2,0.1246,0.4312,0.4108,0.3704,0.6801,0.5252,0.5243,0.3675,0.4459,0.7292,0.5737,0.6514
5.3,0.1419,0.428,0.4407,0.3751,0.6815,0.5283,0.5427,0.3721,0.4574,0.743,0.599,0.671
5.4,0.16,0.4234,0.4723,0.3766,0.6737,0.5252,0.5557,0.3741,0.4649,0.7528,0.6234,0.6881
5.5,0.1767,0.4174,0.5053,0.3746,0.6578,0.5162,0.5636,0.3739,0.4687,0.7592,0.6464,0.7028
5.6,0.1906,0.4107,0.539,0.3699,0.6358,0.5029,0.5672,0.3721,0.4696,0.7629,0.6677,0.7153
5.7,0.2006,0.4049,0.5721,0.3638,0.6105,0.4872,0.5676,0.3691,0.4683,0.7646,0.687,0.7258
5.8,0.206,0.401,0.6031,0.3574,0.5844,0.4709,0.5653,0.365,0.4652,0.7645,0.7042,0.7344
5.9,0.2063,0.3991,0.631,0.3512,0.5595,0.4553,0.5608,0.3597,0.4603,0.7631,0.7194,0.7412
6,0.201,0.3984,0.655,0.3455,0.5369,0.4412,0.5544,0.3527,0.4535,0.7604,0.7323,0.7463
6.1,0.1905,0.3983,0.6748,0.3403,0.5175,0.4289,0.5466,0.3435,0.4451,0.7562,0.7429,0.7495
6.2,0.1753,0.3983,0.6901,0.3357,0.5016,0.4186,0.5381,0.332,0.435,0.7502,0.751,0.7506
6.3,0.1555,0.3986,0.7,0.3313,0.4899,0.4106,0.5289,0.3186,0.4237,0.7421,0.7565,0.7493
6.4,0.1309,0.3993,0.7042,0.3269,0.4824,0.4046,0.5194,0.3042,0.4118,0.7319,0.7591,0.7455
6.5,0.1017,0.4004,0.7027,0.3224,0.4789,0.4007,0.5102,0.2899,0.4,0.7205,0.7589,0.7397
6.6,0.0692,0.4018,0.6962,0.3187,0.479,0.3988,0.502,0.2766,0.3893,0.7089,0.7561,0.7325
6.7,0.0352,0.4038,0.6857,0.3165,0.482,0.3993,0.4949,0.2645,0.3797,0.6972,0.7511,0.7242
6.8,0.0015,0.4066,0.6717,0.3166,0.487,0.4018,0.4883,0.2534,0.3708,0.6847,0.7447,0.7147
6.9,-0.0307,0.4099,0.6541,0.3189,0.4929,0.4059,0.481,0.2431,0.362,0.6709,0.7374,0.7041
7,-0.061,0.4128,0.6327,0.3224,0.4986,0.4105,0.4727,0.2338,0.3532,0.6557,0.7295,0.6926
7.1,-0.0885,0.4145,0.6081,0.3265,0.5033,0.4149,0.4639,0.2261,0.345,0.6398,0.7213,0.6806
7.2,-0.1116,0.4148,0.5813,0.3312,0.5065,0.4189,0.4556,0.2204,0.338,0.6239,0.7128,0.6684
7.3,-0.1285,0.4135,0.5533,0.3373,0.5079,0.4226,0.4484,0.2173,0.3328,0.6085,0.7043,0.6564
7.4,-0.1378,0.4107,0.5251,0.3452,0.5072,0.4262,0.4422,0.2171,0.3296,0.5938,0.6958,0.6448
7.5,-0.1392,0.4065,0.4972,0.3546,0.5043,0.4295,0.4362,0.2199,0.328,0.5796,0.6869,0.6332
7.6,-0.1335,0.401,0.4706,0.3649,0.4994,0.4322,0.4302,0.2256,0.3279,0.5661,0.6773,0.6217
7.7,-0.1217,0.3954,0.4463,0.3763,0.4932,0.4348,0.4247,0.2342,0.3295,0.5535,0.6671,0.6103
7.8,-0.1053,0.3913,0.425,0.3892,0.4868,0.438,0.4206,0.2456,0.3331,0.5422,0.6566,0.5994
7.9,-0.0858,0.3896,0.407,0.4036,0.4808,0.4422,0.4182,0.2592,0.3387,0.5322,0.6462,0.5892
8,-0.0642,0.3908,0.3928,0.4191,0.4754,0.4473,0.4176,0.2743,0.346,0.5241,0.6363,0.5802
8.1,-0.0411,0.3948,0.3834,0.435,0.4708,0.4529,0.419,0.2905,0.3547,0.5189,0.6277,0.5733
8.2,-0.0165,0.4022,0.3793,0.4516,0.4671,0.4594,0.4231,0.3078,0.3654,0.5172,0.6213,0.5692
8.3,0.0095,0.4134,0.3808,0.4694,0.465,0.4672,0.4307,0.326,0.3783,0.5189,0.6171,0.568
8.4,0.037,0.4291,0.3877,0.4891,0.4647,0.4769,0.4419,0.3449,0.3934,0.5232,0.6153,0.5692
8.5,0.0651,0.4491,0.3994,0.5105,0.4667,0.4886,0.456,0.3643,0.4101,0.5299,0.6158,0.5728
8.6,0.0927,0.4726,0.4152,0.5328,0.4711,0.5019,0.4724,0.3839,0.4281,0.5394,0.6185,0.579
8.7,0.119,0.4984,0.4336,0.5552,0.4783,0.5167,0.4908,0.4032,0.447,0.5516,0.6233,0.5874
8.8,0.143,0.5256,0.4528,0.5771,0.4885,0.5328,0.5108,0.4216,0.4662,0.5661,0.6295,0.5978
8.9,0.163,0.5536,0.4721,0.5984,0.5017,0.5501,0.5318,0.4387,0.4853,0.5826,0.6375,0.61
9,0.178,0.5822,0.4913,0.6193,0.5184,0.5688,0.5533,0.4546,0.5039,0.6011,0.6482,0.6246
9.1,0.1872,0.611,0.5103,0.6403,0.5386,0.5895,0.5746,0.4698,0.5222,0.6219,0.6619,0.6419
9.2,0.1897,0.6392,0.529,0.6611,0.5624,0.6117,0.5948,0.4845,0.5397,0.6449,0.6784,0.6616
9.3,0.1847,0.6655,0.5463,0.6806,0.589,0.6348,0.6126,0.498,0.5553,0.6693,0.6966,0.683
9.4,0.1719,0.6884,0.5611,0.6969,0.6176,0.6572,0.6268,0.5094,0.5681,0.6941,0.7157,0.7049
9.5,0.1521,0.7066,0.5731,0.7086,0.6471,0.6778,0.6364,0.5181,0.5772,0.7191,0.7352,0.7271
9.6,0.1258,0.7193,0.5824,0.7149,0.6762,0.6956,0.6411,0.5241,0.5826,0.7439,0.7548,0.7493
9.7,0.0944,0.7255,0.5893,0.7158,0.704,0.7099,0.6407,0.5278,0.5843,0.768,0.7744,0.7712
9.8,0.0588,0.7248,0.5945,0.712,0.7298,0.7209,0.6356,0.5296,0.5826,0.7909,0.7937,0.7923
9.9,0.0199,0.7172,0.5985,0.7049,0.7534,0.7291,0.6261,0.5298,0.578,0.8122,0.8122,0.8122
10,-0.0217,0.7029,0.6017,0.6957,0.7738,0.7347,0.6126,0.5288,0.5707,0.8315,0.8296,0.8305
10.1,-0.0653,0.6817,0.6032,0.6848,0.7894,0.7371,0.5953,0.5265,0.5609,0.8481,0.8455,0.8468
10.2,-0.1092,0.6533,0.6021,0.672,0.798,0.735,0.5747,0.5225,0.5486,0.862,0.8595,0.8608
10.3,-0.1513,0.6177,0.5974,0.6572,0.7983,0.7277,0.5514,0.5164,0.5339,0.8737,0.8717,0.8727
10.4,-0.1895,0.5757,0.5888,0.6403,0.7901,0.7152,0.5263,0.5082,0.5173,0.8841,0.8821,0.8831
10.5,-0.2219,0.5295,0.5768,0.6216,0.7739,0.6978,0.5,0.4977,0.4988,0.894,0.8912,0.8926
10.6,-0.2478,0.4816,0.562,0.6017,0.7508,0.6762,0.4726,0.4848,0.4787,0.904,0.8999,0.902
10.7,-0.2675,0.4349,0.5456,0.5809,0.7224,0.6517,0.4447,0.4701,0.4574,0.9143,0.9085,0.9114
10.8,-0.2819,0.3917,0.5287,0.5596,0.6914,0.6255,0.4176,0.4542,0.4359,0.9247,0.917,0.9208
10.9,-0.2917,0.3537,0.5125,0.5383,0.6603,0.5993,0.3929,0.4379,0.4154,0.935,0.9252,0.9301
11,-0.2967,0.3218,0.4975,0.5167,0.6309,0.5738,0.3718,0.4218,0.3968,0.9447,0.9327,0.9387
11.1,-0.2971,0.2967,0.4843,0.4946,0.6039,0.5493,0.3553,0.4062,0.3808,0.9528,0.9385,0.9457
11.2,-0.2936,0.2787,0.4731,0.472,0.5802,0.5261,0.344,0.3914,0.3677,0.9581,0.9414,0.9498
11.3,-0.2869,0.2679,0.4649,0.45,0.5612,0.5056,0.3388,0.3782,0.3585,0.9597,0.9401,0.9499
11.4,-0.2774,0.2642,0.4602,0.4302,0.5491,0.4896,0.3412,0.3679,0.3546,0.9574,0.9346,0.946
11.5,-0.2646,0.2677,0.4597,0.4145,0.5444,0.4795,0.3515,0.3623,0.3569,0.9514,0.9252,0.9383
11.6,-0.2483,0.2781,0.4634,0.4035,0.5459,0.4747,0.3682,0.3623,0.3652,0.9418,0.9122,0.927
11.7,-0.2282,0.2941,0.4703,0.3966,0.5511,0.4738,0.3891,0.367,0.378,0.928,0.8954,0.9117
11.8,-0.2038,0.3144,0.4798,0.3935,0.5582,0.4759,0.4116,0.3751,0.3933,0.9102,0.8743,0.8922
11.9,-0.1752,0.3374,0.4913,0.3942,0.5669,0.4805,0.4338,0.3852,0.4095,0.8887,0.8497,0.8692
12,-0.1432,0.3617,0.5046,0.3983,0.5769,0.4876,0.4544,0.3965,0.4254,0.8639,0.8221,0.843
12.1,-0.1093,0.3863,0.519,0.405,0.5881,0.4965,0.472,0.4081,0.4401,0.8361,0.7927,0.8144
12.2,-0.0747,0.4104,0.5343,0.4137,0.5997,0.5067,0.4859,0.42,0.4529,0.8058,0.7633,0.7845
12.3,-0.0407,0.4326,0.5507,0.4243,0.6113,0.5178,0.4959,0.4317,0.4638,0.7746,0.7358,0.7552
12.4,-0.0078,0.4516,0.5679,0.4365,0.6226,0.5296,0.5018,0.4427,0.4723,0.7434,0.7106,0.727
12.5,0.0231,0.4659,0.585,0.4498,0.6335,0.5417,0.5033,0.4521,0.4777,0.712,0.6865,0.6992
12.6,0.051,0.4743,0.6004,0.4635,0.6433,0.5534,0.5,0.4589,0.4794,0.6794,0.6622,0.6708
12.7,0.0745,0.476,0.6125,0.4767,0.6513,0.564,0.492,0.4627,0.4773,0.6454,0.638,0.6417
12.8,0.0926,0.4715,0.6216,0.4897,0.6577,0.5737,0.48,0.4641,0.472,0.6111,0.6151,0.6131
12.9,0.1051,0.4624,0.6284,0.5036,0.6629,0.5833,0.4647,0.4637,0.4642,0.5773,0.5953,0.5863
13,0.1118,0.4507,0.6334,0.5195,0.6675,0.5935,0.4467,0.4619,0.4543,0.5444,0.5792,0.5618
13.1,0.1133,0.4379,0.6367,0.5376,0.6718,0.6047,0.4257,0.4586,0.4422,0.5121,0.567,0.5395
13.2,0.1097,0.4253,0.6378,0.5573,0.6759,0.6166,0.4017,0.454,0.4278,0.4804,0.5581,0.5192
13.3,0.1011,0.4135,0.6361,0.5779,0.6798,0.6288,0.3752,0.4481,0.4117,0.4493,0.5525,0.5009
13.4,0.089,0.403,0.6307,0.5978,0.6833,0.6405,0.3475,0.4409,0.3942,0.4196,0.5501,0.4848
13.5,0.0752,0.3942,0.6213,0.6157,0.6869,0.6513,0.3198,0.4321,0.3759,0.3913,0.5503,0.4708
13.6,0.0615,0.3875,0.6079,0.6311,0.6913,0.6612,0.2928,0.4218,0.3573,0.3639,0.5524,0.4581
13.7,0.0483,0.3837,0.5911,0.6437,0.6971,0.6704,0.2668,0.4102,0.3385,0.3365,0.5555,0.446
13.8,0.0357,0.3834,0.572,0.654,0.7045,0.6793,0.2415,0.398,0.3197,0.3081,0.5591,0.4336
13.9,0.0239,0.3867,0.552,0.6622,0.7132,0.6877,0.2172,0.3856,0.3014,0.2776,0.5621,0.4199
14,0.0139,0.3932,0.5323,0.6689,0.7223,0.6956,0.1948,0.3737,0.2843,0.2445,0.5637,0.4041
14.1,0.0071,0.4027,0.5143,0.6747,0.731,0.7028,0.1756,0.3631,0.2694,0.2087,0.5629,0.3858
14.2,0.0042,0.4147,0.4985,0.6801,0.7382,0.7092,0.1607,0.3548,0.2577,0.1707,0.5588,0.3648
14.3,0.0041,0.4286,0.4846,0.6846,0.7434,0.714,0.1507,0.3488,0.2498,0.1312,0.5511,0.3411
14.4,0.005,0.4435,0.4728,0.6874,0.7462,0.7168,0.1455,0.3448,0.2452,0.091,0.5391,0.315
14.5,0.005,0.459,0.4635,0.6879,0.7471,0.7175,0.1441,0.3427,0.2434,0.0508,0.5224,0.2866
14.6,0.0037,0.4742,0.4572,0.6857,0.7469,0.7163,0.1461,0.3423,0.2442,0.0117,0.5008,0.2563
14.7,0.0017,0.4884,0.4542,0.681,0.7455,0.7132,0.1517,0.3441,0.2479,-0.0247,0.4747,0.225
14.8,-0.0008,0.5007,0.4535,0.6732,0.7423,0.7078,0.1612,0.3487,0.2549,-0.0563,0.4459,0.1948
14.9,-0.0041,0.5107,0.4545,0.662,0.7371,0.6995,0.1746,0.356,0.2653,-0.081,0.4159,0.1674
