Time,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15,Hungry Jacks Stacker Range TVC 15
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0401,0.511,0.6035,0.5655,0.4826,0.5241,0.3117,0.3986,0.3552,0.2192,0.2931,0.2561
0.1,0.0308,0.4977,0.5843,0.5353,0.4655,0.5004,0.3017,0.3756,0.3386,0.2266,0.2969,0.2618
0.2,0.0251,0.4854,0.5671,0.5055,0.4492,0.4774,0.2957,0.3572,0.3264,0.2378,0.3055,0.2716
0.3,0.023,0.4748,0.5515,0.4772,0.4344,0.4558,0.2933,0.3433,0.3183,0.2524,0.3183,0.2854
0.4,0.0236,0.4664,0.538,0.4515,0.4215,0.4365,0.2944,0.3341,0.3143,0.2704,0.3352,0.3028
0.5,0.0256,0.4605,0.5275,0.429,0.4109,0.4199,0.2988,0.33,0.3144,0.2912,0.356,0.3236
0.6,0.0283,0.4568,0.5204,0.4098,0.4023,0.4061,0.306,0.3306,0.3183,0.3139,0.3794,0.3466
0.7,0.0312,0.455,0.5166,0.3936,0.3958,0.3947,0.3151,0.3352,0.3252,0.3372,0.4044,0.3708
0.8,0.034,0.4547,0.5156,0.3807,0.3914,0.386,0.3256,0.3436,0.3346,0.3607,0.4302,0.3954
0.9,0.0359,0.4563,0.5172,0.3714,0.3896,0.3805,0.3374,0.3555,0.3464,0.3843,0.4568,0.4205
1,0.0363,0.4603,0.5213,0.3667,0.3911,0.3789,0.3508,0.3713,0.3611,0.4084,0.4843,0.4463
1.1,0.0348,0.4668,0.5279,0.3671,0.396,0.3815,0.3666,0.3911,0.3788,0.4334,0.5124,0.4729
1.2,0.032,0.4756,0.5367,0.3722,0.404,0.3881,0.3849,0.4144,0.3997,0.459,0.5407,0.4998
1.3,0.029,0.4862,0.5471,0.3813,0.4142,0.3978,0.4053,0.4402,0.4227,0.4842,0.568,0.5261
1.4,0.0268,0.4979,0.5583,0.3938,0.426,0.4099,0.4269,0.4674,0.4472,0.5083,0.5934,0.5509
1.5,0.0258,0.5105,0.5698,0.4091,0.4391,0.4241,0.4491,0.4953,0.4722,0.5309,0.6165,0.5737
1.6,0.026,0.5238,0.5814,0.4267,0.4531,0.4399,0.4714,0.5233,0.4974,0.5522,0.6374,0.5948
1.7,0.0278,0.5373,0.5933,0.4462,0.4679,0.457,0.4939,0.5509,0.5224,0.5723,0.6563,0.6143
1.8,0.0313,0.5502,0.6055,0.4669,0.4829,0.4749,0.5164,0.5772,0.5468,0.5916,0.6736,0.6326
1.9,0.0368,0.5622,0.6177,0.4883,0.4981,0.4932,0.539,0.6016,0.5703,0.6102,0.6893,0.6498
2,0.044,0.5734,0.6296,0.5102,0.5133,0.5117,0.5613,0.6235,0.5924,0.6283,0.7037,0.666
2.1,0.0529,0.584,0.6409,0.5322,0.5283,0.5302,0.5833,0.6428,0.613,0.6458,0.7172,0.6815
2.2,0.0631,0.5937,0.6514,0.5539,0.5429,0.5484,0.6045,0.6594,0.6319,0.6625,0.73,0.6962
2.3,0.0746,0.6024,0.6609,0.5749,0.5569,0.5659,0.6245,0.6732,0.6488,0.6778,0.7421,0.71
2.4,0.0869,0.61,0.6692,0.5947,0.5699,0.5823,0.6429,0.6843,0.6636,0.6917,0.7535,0.7226
2.5,0.0997,0.6167,0.6767,0.6133,0.5822,0.5977,0.6602,0.693,0.6766,0.7044,0.764,0.7342
2.6,0.1127,0.623,0.6837,0.6308,0.5938,0.6123,0.6767,0.6997,0.6882,0.7162,0.7736,0.7449
2.7,0.1263,0.6293,0.6905,0.6474,0.605,0.6262,0.6928,0.7052,0.699,0.7278,0.7825,0.7551
2.8,0.1404,0.6358,0.6969,0.6631,0.6159,0.6395,0.7081,0.7097,0.7089,0.739,0.7904,0.7647
2.9,0.1546,0.642,0.7025,0.6776,0.6264,0.652,0.722,0.7133,0.7176,0.7496,0.7968,0.7732
3,0.1677,0.6476,0.707,0.6906,0.6364,0.6635,0.734,0.7158,0.7249,0.7592,0.8015,0.7804
3.1,0.1787,0.6527,0.7103,0.7016,0.6458,0.6737,0.7438,0.7175,0.7306,0.7678,0.8045,0.7861
3.2,0.1867,0.6573,0.7126,0.7109,0.6548,0.6829,0.7516,0.7185,0.735,0.7756,0.8058,0.7907
3.3,0.1915,0.6614,0.7139,0.7187,0.6634,0.691,0.7576,0.719,0.7383,0.7825,0.8053,0.7939
3.4,0.1931,0.6652,0.7142,0.7249,0.6715,0.6982,0.762,0.719,0.7405,0.7886,0.8031,0.7959
3.5,0.1911,0.6687,0.7134,0.7296,0.6794,0.7045,0.7646,0.7187,0.7417,0.7938,0.7994,0.7966
3.6,0.1856,0.6722,0.7115,0.7331,0.6872,0.7102,0.7656,0.7183,0.742,0.7978,0.7943,0.796
3.7,0.1766,0.6761,0.709,0.7357,0.6948,0.7153,0.7651,0.7179,0.7415,0.8003,0.788,0.7941
3.8,0.1643,0.6799,0.7058,0.7373,0.7017,0.7195,0.7629,0.7176,0.7403,0.8007,0.7803,0.7905
3.9,0.1489,0.6831,0.7017,0.7373,0.7074,0.7223,0.7585,0.7168,0.7377,0.7982,0.7708,0.7845
4,0.1304,0.6849,0.6963,0.7353,0.7114,0.7234,0.7513,0.7152,0.7332,0.7925,0.7594,0.776
4.1,0.1094,0.6851,0.6893,0.7317,0.7139,0.7228,0.7411,0.7126,0.7269,0.7833,0.7465,0.7649
4.2,0.0865,0.6838,0.681,0.7274,0.7149,0.7212,0.7287,0.7095,0.7191,0.7713,0.7325,0.7519
4.3,0.0624,0.6811,0.6719,0.7232,0.7145,0.7188,0.7147,0.7064,0.7105,0.7569,0.7179,0.7374
4.4,0.0378,0.6771,0.6622,0.7192,0.7125,0.7158,0.6993,0.7032,0.7012,0.7404,0.7028,0.7216
4.5,0.0136,0.6717,0.6521,0.7152,0.7085,0.7119,0.6824,0.6995,0.691,0.7219,0.6875,0.7047
4.6,-0.0093,0.6644,0.6413,0.7107,0.7022,0.7065,0.6639,0.6949,0.6794,0.702,0.6722,0.6871
4.7,-0.03,0.6549,0.6299,0.7054,0.6934,0.6994,0.644,0.6891,0.6665,0.6814,0.6575,0.6694
4.8,-0.0478,0.6431,0.6181,0.6994,0.6822,0.6908,0.6234,0.6823,0.6528,0.6612,0.6442,0.6527
4.9,-0.0621,0.6291,0.6064,0.6927,0.6689,0.6808,0.6032,0.6749,0.639,0.6427,0.633,0.6378
5,-0.0725,0.6133,0.5954,0.6854,0.6539,0.6696,0.5845,0.667,0.6258,0.627,0.6246,0.6258
5.1,-0.0783,0.5962,0.5853,0.6775,0.6378,0.6577,0.5682,0.6589,0.6135,0.6148,0.6188,0.6168
5.2,-0.0795,0.5786,0.5758,0.6693,0.6213,0.6453,0.5544,0.6506,0.6025,0.6061,0.6153,0.6107
5.3,-0.0762,0.5614,0.5664,0.6609,0.6052,0.633,0.5433,0.6426,0.593,0.6008,0.6136,0.6072
5.4,-0.069,0.5452,0.5571,0.6524,0.59,0.6212,0.5348,0.6353,0.5851,0.5984,0.6132,0.6058
5.5,-0.0583,0.5302,0.5477,0.6438,0.5763,0.61,0.529,0.629,0.579,0.5989,0.6141,0.6065
5.6,-0.0446,0.5166,0.5386,0.6351,0.564,0.5996,0.526,0.6238,0.5749,0.6024,0.6164,0.6094
5.7,-0.0283,0.5044,0.5301,0.6263,0.5534,0.5898,0.5258,0.6199,0.5729,0.6085,0.6202,0.6143
5.8,-0.0105,0.4939,0.5224,0.6172,0.5448,0.581,0.5284,0.6173,0.5728,0.6171,0.6253,0.6212
5.9,0.0072,0.4854,0.516,0.6079,0.5386,0.5732,0.5331,0.6161,0.5746,0.6277,0.6316,0.6297
6,0.0238,0.4793,0.5112,0.5985,0.5349,0.5667,0.5396,0.6164,0.578,0.6397,0.6388,0.6393
6.1,0.0392,0.4755,0.5077,0.5891,0.5331,0.5611,0.5469,0.6177,0.5823,0.6521,0.6461,0.6491
6.2,0.0531,0.4739,0.5053,0.5796,0.5326,0.5561,0.554,0.6196,0.5868,0.6635,0.6529,0.6582
6.3,0.0654,0.4742,0.5042,0.5703,0.5329,0.5516,0.5607,0.6214,0.591,0.6728,0.659,0.6659
6.4,0.0766,0.4765,0.5045,0.5618,0.534,0.5479,0.567,0.6229,0.595,0.6793,0.6639,0.6716
6.5,0.0871,0.4808,0.5067,0.5549,0.5364,0.5457,0.5732,0.6243,0.5987,0.683,0.6673,0.6751
6.6,0.0978,0.4871,0.5107,0.5505,0.54,0.5452,0.5793,0.6257,0.6025,0.6838,0.6687,0.6762
6.7,0.1089,0.4947,0.5165,0.5485,0.5442,0.5463,0.5851,0.6272,0.6062,0.6811,0.6679,0.6745
6.8,0.12,0.5032,0.5241,0.5482,0.5485,0.5484,0.5903,0.6285,0.6094,0.6749,0.6647,0.6698
6.9,0.1299,0.5122,0.5335,0.5493,0.5528,0.5511,0.5947,0.6295,0.6121,0.6648,0.6591,0.6619
7,0.1378,0.5214,0.5449,0.5517,0.557,0.5544,0.5983,0.6302,0.6143,0.6512,0.6512,0.6512
7.1,0.1437,0.5304,0.5578,0.5553,0.5613,0.5583,0.6011,0.6306,0.6159,0.6347,0.641,0.6378
7.2,0.1478,0.5388,0.5715,0.5599,0.5656,0.5627,0.6032,0.6305,0.6169,0.6157,0.6287,0.6222
7.3,0.1502,0.5465,0.585,0.5655,0.5699,0.5677,0.6047,0.6297,0.6172,0.5953,0.6151,0.6052
7.4,0.1507,0.5538,0.5979,0.5725,0.5748,0.5736,0.6061,0.6286,0.6173,0.5745,0.601,0.5878
7.5,0.1494,0.5612,0.6102,0.5812,0.5809,0.581,0.6079,0.6274,0.6176,0.5545,0.5875,0.571
7.6,0.1466,0.5691,0.6213,0.5916,0.5884,0.59,0.6099,0.6263,0.6181,0.536,0.5748,0.5554
7.7,0.1423,0.5776,0.6303,0.6028,0.5969,0.5998,0.6117,0.6247,0.6182,0.5192,0.563,0.5411
7.8,0.137,0.5863,0.6364,0.6138,0.6054,0.6096,0.6129,0.6222,0.6175,0.5043,0.5523,0.5283
7.9,0.1312,0.5947,0.6391,0.624,0.6132,0.6186,0.6133,0.6186,0.616,0.4917,0.5432,0.5174
8,0.1259,0.6025,0.6381,0.6332,0.62,0.6266,0.6134,0.6145,0.6139,0.4817,0.5359,0.5088
8.1,0.1218,0.6095,0.6333,0.6415,0.6258,0.6337,0.6135,0.61,0.6117,0.4742,0.5301,0.5021
8.2,0.1193,0.616,0.6245,0.6488,0.6309,0.6399,0.6135,0.6053,0.6094,0.4689,0.5253,0.4971
8.3,0.1182,0.6225,0.6117,0.6551,0.6356,0.6453,0.6134,0.6005,0.6069,0.4654,0.5211,0.4932
8.4,0.1187,0.6297,0.5956,0.6602,0.64,0.6501,0.6129,0.5955,0.6042,0.4634,0.5172,0.4903
8.5,0.1203,0.6378,0.5768,0.664,0.6442,0.6541,0.6118,0.5909,0.6014,0.4624,0.5138,0.4881
8.6,0.1229,0.6465,0.5565,0.6662,0.6479,0.657,0.6105,0.587,0.5987,0.4624,0.5109,0.4866
8.7,0.1261,0.6554,0.5359,0.6668,0.6507,0.6588,0.6091,0.5838,0.5964,0.4633,0.5086,0.486
8.8,0.1303,0.6646,0.5163,0.666,0.6527,0.6593,0.6078,0.5812,0.5945,0.4652,0.5072,0.4862
8.9,0.1359,0.6741,0.4991,0.6645,0.6539,0.6592,0.6071,0.5791,0.5931,0.4681,0.5067,0.4874
9,0.143,0.6841,0.4851,0.663,0.655,0.659,0.6075,0.5777,0.5926,0.4718,0.5068,0.4893
9.1,0.1511,0.6944,0.4747,0.6619,0.6561,0.659,0.6089,0.5769,0.5929,0.4757,0.507,0.4913
9.2,0.1595,0.7045,0.4675,0.6608,0.6573,0.659,0.611,0.5762,0.5936,0.4788,0.5064,0.4926
9.3,0.1678,0.7138,0.4627,0.6596,0.6581,0.6588,0.613,0.5748,0.5939,0.4806,0.5042,0.4924
9.4,0.1761,0.7218,0.4596,0.6582,0.6585,0.6583,0.6142,0.5718,0.593,0.4808,0.4998,0.4903
9.5,0.1845,0.7282,0.4577,0.657,0.6582,0.6576,0.6144,0.567,0.5907,0.4792,0.4931,0.4861
9.6,0.1929,0.7329,0.4571,0.6561,0.6575,0.6568,0.6134,0.5602,0.5868,0.476,0.4844,0.4802
9.7,0.2007,0.7357,0.4574,0.6552,0.657,0.6561,0.6111,0.5517,0.5814,0.4712,0.4738,0.4725
9.8,0.2076,0.7362,0.4579,0.654,0.6568,0.6554,0.6073,0.5418,0.5746,0.4648,0.4611,0.4629
9.9,0.2131,0.734,0.4582,0.6519,0.6568,0.6543,0.6018,0.5308,0.5663,0.4568,0.446,0.4514
10,0.2166,0.7286,0.4581,0.6482,0.6568,0.6525,0.5944,0.5192,0.5568,0.4475,0.4287,0.4381
10.1,0.2174,0.72,0.4582,0.6426,0.6571,0.6498,0.5856,0.5076,0.5466,0.4374,0.4101,0.4238
10.2,0.2152,0.7089,0.4595,0.6356,0.6582,0.6469,0.5762,0.4969,0.5365,0.4272,0.3913,0.4092
10.3,0.2103,0.6963,0.4627,0.6281,0.6609,0.6445,0.5667,0.4878,0.5272,0.4174,0.3733,0.3953
10.4,0.2034,0.6828,0.4682,0.6208,0.6655,0.6431,0.5577,0.4809,0.5193,0.4086,0.3569,0.3827
10.5,0.1954,0.6684,0.4756,0.6136,0.6712,0.6424,0.5493,0.4761,0.5127,0.4009,0.3427,0.3718
10.6,0.1872,0.6525,0.4844,0.6064,0.6771,0.6417,0.5415,0.4732,0.5073,0.3943,0.331,0.3626
10.7,0.179,0.6353,0.4946,0.5986,0.6821,0.6404,0.5342,0.4721,0.5031,0.3884,0.3219,0.3551
10.8,0.1707,0.6171,0.506,0.5901,0.6858,0.638,0.527,0.4726,0.4998,0.3827,0.3152,0.349
10.9,0.1624,0.5986,0.5186,0.5807,0.688,0.6344,0.5199,0.4747,0.4973,0.3772,0.3108,0.344
11,0.1543,0.5808,0.5319,0.571,0.6884,0.6297,0.5129,0.478,0.4955,0.3715,0.3082,0.3399
11.1,0.1469,0.5644,0.5457,0.5613,0.6871,0.6242,0.5065,0.4829,0.4947,0.3661,0.3076,0.3368
11.2,0.1404,0.5501,0.5598,0.5525,0.6841,0.6183,0.5017,0.4899,0.4958,0.3612,0.3089,0.335
11.3,0.1352,0.5383,0.5742,0.5452,0.6799,0.6126,0.4988,0.4988,0.4988,0.357,0.3121,0.3345
11.4,0.1319,0.529,0.5882,0.5394,0.6746,0.607,0.4977,0.5092,0.5034,0.3532,0.3166,0.3349
11.5,0.1305,0.5224,0.6009,0.535,0.668,0.6015,0.4976,0.5198,0.5087,0.3496,0.3218,0.3357
11.6,0.131,0.5188,0.6116,0.5319,0.6601,0.596,0.4982,0.5298,0.514,0.3462,0.3272,0.3367
11.7,0.1334,0.5185,0.6203,0.5305,0.651,0.5908,0.4996,0.5395,0.5195,0.3432,0.333,0.3381
11.8,0.1377,0.5217,0.6273,0.5313,0.6412,0.5862,0.5023,0.549,0.5256,0.3411,0.3394,0.3403
11.9,0.1438,0.5282,0.633,0.5343,0.631,0.5826,0.5062,0.5584,0.5323,0.34,0.3462,0.3431
12,0.1521,0.5372,0.6371,0.5393,0.6205,0.5799,0.5111,0.5672,0.5391,0.3399,0.353,0.3464
12.1,0.1627,0.5478,0.639,0.5458,0.6099,0.5778,0.5161,0.5745,0.5453,0.3405,0.3593,0.3499
12.2,0.1754,0.5594,0.6381,0.553,0.599,0.576,0.5209,0.5798,0.5503,0.3416,0.3648,0.3532
12.3,0.1898,0.5716,0.6338,0.5606,0.5882,0.5744,0.5252,0.5832,0.5542,0.3428,0.369,0.3559
12.4,0.2051,0.5843,0.6263,0.5678,0.5776,0.5727,0.5289,0.5852,0.557,0.344,0.3719,0.358
