Time,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours,Hungry Jacks - Opposing Flavours
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0642,0.6252,0.4421,0.5438,0.7782,0.661,0.524,0.6581,0.5911,0.6742,0.6211,0.6476
0.1,-0.0835,0.6184,0.4541,0.5207,0.7724,0.6466,0.539,0.6637,0.6013,0.6809,0.6272,0.654
0.2,-0.1017,0.6123,0.4652,0.498,0.7659,0.6319,0.5543,0.6684,0.6113,0.6852,0.6315,0.6583
0.3,-0.1175,0.6076,0.4754,0.4766,0.7592,0.6179,0.5691,0.6725,0.6208,0.6872,0.634,0.6606
0.4,-0.1299,0.605,0.4848,0.4577,0.7528,0.6053,0.5832,0.6763,0.6297,0.6872,0.635,0.6611
0.5,-0.1373,0.6046,0.4934,0.442,0.747,0.5945,0.5968,0.6802,0.6385,0.686,0.6351,0.6605
0.6,-0.1375,0.6058,0.5014,0.4299,0.7415,0.5857,0.6106,0.6844,0.6475,0.6839,0.6345,0.6592
0.7,-0.1275,0.6073,0.5087,0.4217,0.7358,0.5788,0.6251,0.6885,0.6568,0.6812,0.6331,0.6571
0.8,-0.1057,0.6077,0.5153,0.4171,0.729,0.5731,0.6402,0.6924,0.6663,0.6778,0.6307,0.6543
0.9,-0.0725,0.6058,0.5211,0.416,0.72,0.568,0.6557,0.6957,0.6757,0.6735,0.6272,0.6503
1,-0.0301,0.601,0.5263,0.4179,0.7082,0.563,0.6709,0.6987,0.6848,0.668,0.6226,0.6453
1.1,0.0186,0.5934,0.5309,0.4228,0.6933,0.558,0.6856,0.7018,0.6937,0.6615,0.6177,0.6396
1.2,0.0712,0.5832,0.5355,0.4305,0.6757,0.5531,0.6999,0.7054,0.7026,0.6542,0.6128,0.6335
1.3,0.1258,0.5709,0.5405,0.4409,0.6562,0.5485,0.7137,0.7098,0.7117,0.6465,0.6086,0.6276
1.4,0.1809,0.5574,0.5465,0.4535,0.6357,0.5446,0.7266,0.7147,0.7206,0.6387,0.6054,0.6221
1.5,0.2353,0.5431,0.5532,0.4682,0.6148,0.5415,0.7377,0.7199,0.7288,0.6314,0.6031,0.6172
1.6,0.2884,0.5285,0.5603,0.4849,0.594,0.5394,0.7464,0.7253,0.7358,0.6252,0.6017,0.6134
1.7,0.3392,0.5139,0.5677,0.5035,0.5739,0.5387,0.7529,0.7309,0.7419,0.6208,0.6014,0.6111
1.8,0.3858,0.5004,0.5759,0.5238,0.5554,0.5396,0.7577,0.7372,0.7475,0.619,0.6026,0.6108
1.9,0.4254,0.4887,0.5861,0.5452,0.5397,0.5425,0.7613,0.7445,0.7529,0.6202,0.6062,0.6132
2,0.4545,0.4793,0.5993,0.566,0.5273,0.5466,0.7635,0.7528,0.7582,0.6249,0.6125,0.6187
2.1,0.4699,0.472,0.6151,0.5845,0.5179,0.5512,0.7641,0.7618,0.7629,0.6329,0.6216,0.6273
2.2,0.4696,0.4669,0.6322,0.5995,0.5114,0.5555,0.7629,0.7708,0.7669,0.6437,0.6327,0.6382
2.3,0.4536,0.4647,0.6485,0.6112,0.5075,0.5593,0.7606,0.7788,0.7697,0.6559,0.6448,0.6504
2.4,0.424,0.4665,0.6619,0.6203,0.5059,0.5631,0.7576,0.7845,0.771,0.668,0.6568,0.6624
2.5,0.3844,0.4727,0.6713,0.6278,0.5061,0.5669,0.7543,0.7872,0.7707,0.6784,0.6678,0.6731
2.6,0.3392,0.4832,0.6768,0.634,0.5073,0.5706,0.7511,0.7871,0.7691,0.6866,0.6774,0.682
2.7,0.2926,0.4968,0.6794,0.6392,0.5089,0.5741,0.7484,0.7854,0.7669,0.6924,0.6855,0.6889
2.8,0.2481,0.5124,0.6802,0.6435,0.5108,0.5771,0.7473,0.7835,0.7654,0.6966,0.6924,0.6945
2.9,0.2084,0.5289,0.6803,0.6475,0.5124,0.5799,0.7482,0.7824,0.7653,0.7,0.6986,0.6993
3,0.1755,0.5454,0.6802,0.6518,0.5132,0.5825,0.7515,0.7819,0.7667,0.703,0.7043,0.7037
3.1,0.1505,0.5611,0.6801,0.6568,0.5131,0.585,0.7567,0.7816,0.7691,0.7059,0.7096,0.7077
3.2,0.1334,0.5757,0.6803,0.6624,0.5123,0.5873,0.7634,0.7811,0.7722,0.7085,0.7142,0.7114
3.3,0.1235,0.589,0.681,0.6686,0.5115,0.5901,0.7715,0.7805,0.776,0.7107,0.7182,0.7145
3.4,0.1198,0.6014,0.6825,0.6754,0.5121,0.5938,0.781,0.7803,0.7807,0.7128,0.7217,0.7172
3.5,0.1208,0.6132,0.685,0.6829,0.5149,0.5989,0.7918,0.7809,0.7863,0.715,0.7249,0.72
3.6,0.1252,0.6243,0.6882,0.6908,0.5199,0.6053,0.803,0.7819,0.7925,0.7173,0.7278,0.7225
3.7,0.1326,0.6342,0.6918,0.6982,0.5265,0.6123,0.8136,0.7827,0.7982,0.7193,0.7297,0.7245
3.8,0.1425,0.6419,0.6951,0.7041,0.5336,0.6189,0.8225,0.7826,0.8025,0.7202,0.7302,0.7252
3.9,0.1542,0.6469,0.6978,0.7078,0.5404,0.6241,0.8287,0.7813,0.805,0.7199,0.7288,0.7243
4,0.1659,0.6493,0.6996,0.7091,0.5465,0.6278,0.8317,0.7787,0.8052,0.7188,0.7259,0.7224
4.1,0.1751,0.6494,0.7005,0.7082,0.5519,0.63,0.8314,0.7751,0.8033,0.7178,0.7224,0.7201
4.2,0.1797,0.6479,0.7011,0.7053,0.5565,0.6309,0.8285,0.7708,0.7997,0.7175,0.7193,0.7184
4.3,0.1786,0.6452,0.7019,0.7007,0.5604,0.6305,0.8237,0.7663,0.795,0.7182,0.7173,0.7178
4.4,0.1721,0.6414,0.7036,0.694,0.5636,0.6288,0.8178,0.7616,0.7897,0.72,0.7168,0.7184
4.5,0.1615,0.6366,0.7063,0.6853,0.5659,0.6256,0.8109,0.7566,0.7837,0.723,0.7174,0.7202
4.6,0.148,0.6309,0.7098,0.6746,0.5672,0.6209,0.8027,0.7502,0.7764,0.7269,0.7183,0.7226
4.7,0.1325,0.6245,0.7133,0.6624,0.5669,0.6146,0.7927,0.7419,0.7673,0.7313,0.7189,0.7251
4.8,0.115,0.6176,0.7164,0.6488,0.5643,0.6065,0.7811,0.7318,0.7564,0.7356,0.7188,0.7272
4.9,0.0952,0.6099,0.7183,0.6337,0.5589,0.5963,0.7682,0.72,0.7441,0.7392,0.7177,0.7285
5,0.0728,0.601,0.7186,0.6171,0.5502,0.5837,0.7542,0.7071,0.7306,0.7417,0.7159,0.7288
5.1,0.0477,0.5913,0.7176,0.5994,0.5385,0.5689,0.7399,0.6933,0.7166,0.7428,0.7138,0.7283
5.2,0.0201,0.5813,0.7162,0.5811,0.5244,0.5527,0.726,0.6794,0.7027,0.7429,0.7119,0.7274
5.3,-0.0088,0.5721,0.715,0.5628,0.5091,0.5359,0.7134,0.666,0.6897,0.7423,0.7104,0.7264
5.4,-0.0377,0.5641,0.7148,0.5452,0.4933,0.5192,0.7029,0.6542,0.6786,0.7419,0.7096,0.7258
5.5,-0.0652,0.558,0.7162,0.5294,0.4782,0.5038,0.6952,0.645,0.6701,0.7424,0.7096,0.726
5.6,-0.0896,0.5546,0.7194,0.5164,0.4653,0.4908,0.6901,0.6391,0.6646,0.7441,0.7108,0.7275
5.7,-0.1089,0.5545,0.7239,0.5069,0.4555,0.4812,0.6871,0.6363,0.6617,0.7473,0.7131,0.7302
5.8,-0.1219,0.5576,0.7296,0.501,0.4491,0.475,0.6856,0.6364,0.661,0.7518,0.7166,0.7342
5.9,-0.1285,0.5631,0.7364,0.4982,0.4461,0.4721,0.685,0.6394,0.6622,0.757,0.721,0.739
6,-0.1301,0.5697,0.7446,0.4981,0.4464,0.4722,0.6849,0.6452,0.665,0.7625,0.7259,0.7442
6.1,-0.1285,0.5763,0.754,0.5001,0.4503,0.4752,0.6845,0.6534,0.669,0.7676,0.731,0.7493
6.2,-0.1251,0.5823,0.764,0.504,0.4583,0.4811,0.6833,0.6633,0.6733,0.7717,0.7357,0.7537
6.3,-0.121,0.5873,0.7738,0.509,0.4705,0.4897,0.6808,0.6742,0.6775,0.7742,0.7392,0.7567
6.4,-0.1178,0.5915,0.7829,0.5146,0.487,0.5008,0.677,0.686,0.6815,0.775,0.7408,0.7579
6.5,-0.1173,0.5957,0.7908,0.5205,0.5083,0.5144,0.6728,0.6991,0.686,0.7737,0.7403,0.757
6.6,-0.1208,0.6007,0.7977,0.5263,0.534,0.5302,0.6686,0.7138,0.6912,0.7707,0.7377,0.7542
6.7,-0.1289,0.6073,0.8034,0.5318,0.5635,0.5477,0.6649,0.7299,0.6974,0.7663,0.7335,0.7499
6.8,-0.141,0.615,0.8073,0.5364,0.595,0.5657,0.6617,0.7468,0.7042,0.7607,0.7277,0.7442
6.9,-0.1563,0.6236,0.8086,0.5394,0.6265,0.5829,0.6585,0.7637,0.7111,0.7539,0.72,0.7369
7,-0.1736,0.6327,0.807,0.5402,0.6561,0.5981,0.6554,0.7798,0.7176,0.7455,0.7097,0.7276
7.1,-0.1922,0.6422,0.8026,0.5387,0.6829,0.6108,0.6525,0.7946,0.7236,0.7355,0.6966,0.716
7.2,-0.212,0.6527,0.7959,0.5353,0.707,0.6211,0.6504,0.8076,0.729,0.7243,0.681,0.7027
7.3,-0.2336,0.6647,0.7873,0.5307,0.7288,0.6298,0.6499,0.8186,0.7342,0.7128,0.6643,0.6885
7.4,-0.2564,0.6789,0.7774,0.5257,0.7493,0.6375,0.6516,0.8273,0.7395,0.7018,0.6473,0.6746
7.5,-0.2782,0.6955,0.7667,0.5206,0.7684,0.6445,0.6559,0.8338,0.7448,0.6915,0.6308,0.6611
7.6,-0.2961,0.7142,0.7555,0.5153,0.7855,0.6504,0.6623,0.8378,0.75,0.6818,0.6146,0.6482
7.7,-0.3085,0.7342,0.7439,0.5098,0.8001,0.655,0.6697,0.8391,0.7544,0.6727,0.5985,0.6356
7.8,-0.315,0.7551,0.7315,0.5046,0.8116,0.6581,0.6768,0.8374,0.7571,0.6648,0.5825,0.6237
7.9,-0.3166,0.777,0.7184,0.5003,0.8204,0.6603,0.6827,0.8325,0.7576,0.6593,0.567,0.6131
8,-0.3146,0.7996,0.7047,0.4972,0.8263,0.6618,0.687,0.8248,0.7559,0.6567,0.5527,0.6047
8.1,-0.3101,0.8218,0.6906,0.4944,0.8293,0.6618,0.6892,0.8147,0.752,0.6568,0.5401,0.5984
8.2,-0.3046,0.8423,0.6768,0.4902,0.8288,0.6595,0.6898,0.8029,0.7463,0.659,0.5295,0.5942
8.3,-0.2996,0.8599,0.6639,0.4841,0.8251,0.6546,0.6892,0.7901,0.7396,0.6635,0.5215,0.5925
8.4,-0.296,0.8743,0.6528,0.4771,0.8193,0.6482,0.6886,0.7769,0.7327,0.6715,0.5169,0.5942
8.5,-0.2935,0.8855,0.6446,0.4708,0.8131,0.642,0.6892,0.7638,0.7265,0.684,0.5164,0.6002
8.6,-0.2912,0.8934,0.6402,0.4663,0.8073,0.6368,0.6915,0.7514,0.7215,0.7006,0.5204,0.6105
8.7,-0.2892,0.8977,0.6401,0.4636,0.8018,0.6327,0.6954,0.7399,0.7176,0.7205,0.5287,0.6246
8.8,-0.2882,0.8977,0.6446,0.4624,0.7953,0.6288,0.6996,0.7295,0.7146,0.7421,0.5406,0.6414
8.9,-0.2893,0.8926,0.6522,0.462,0.7866,0.6243,0.7028,0.7197,0.7113,0.764,0.5554,0.6597
9,-0.2932,0.8817,0.661,0.4619,0.7749,0.6184,0.7039,0.7098,0.7069,0.7847,0.5719,0.6783
9.1,-0.3004,0.8651,0.6688,0.4618,0.7604,0.6111,0.7028,0.699,0.7009,0.8023,0.5886,0.6955
9.2,-0.3113,0.8432,0.6746,0.4618,0.7436,0.6027,0.6999,0.6871,0.6935,0.8148,0.6044,0.7096
9.3,-0.3261,0.8173,0.6786,0.4623,0.7259,0.5941,0.6961,0.6747,0.6854,0.8214,0.6185,0.7199
9.4,-0.3441,0.7893,0.6814,0.464,0.7086,0.5863,0.692,0.6626,0.6773,0.8225,0.6304,0.7264
9.5,-0.3643,0.7611,0.6833,0.4677,0.6929,0.5803,0.6879,0.6518,0.6698,0.8197,0.6404,0.7301
9.6,-0.3853,0.7343,0.6845,0.4739,0.6793,0.5766,0.6844,0.6429,0.6636,0.8148,0.649,0.7319
9.7,-0.4057,0.7097,0.6849,0.4829,0.6674,0.5751,0.6821,0.6366,0.6594,0.8086,0.6564,0.7325
9.8,-0.4245,0.6879,0.6849,0.4945,0.6567,0.5756,0.6817,0.6332,0.6574,0.8019,0.6626,0.7323
9.9,-0.4404,0.6695,0.6848,0.5087,0.647,0.5779,0.6838,0.6325,0.6581,0.7954,0.6679,0.7316
10,-0.4523,0.6548,0.6845,0.5256,0.6382,0.5819,0.6886,0.634,0.6613,0.7905,0.6726,0.7315
10.1,-0.4592,0.6443,0.6838,0.5454,0.631,0.5882,0.6958,0.6374,0.6666,0.7881,0.6772,0.7326
10.2,-0.4603,0.6381,0.6823,0.5683,0.6264,0.5973,0.7052,0.6421,0.6736,0.7885,0.6815,0.735
