Time,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC,Apple iPhone 12 Fumble 30s TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0286,0.8191,0.3825,0.8342,0.6605,0.7473,0.7626,0.8301,0.7963,0.3681,0.6483,0.5082
0.1,0.0509,0.8198,0.3883,0.8367,0.6498,0.7433,0.7722,0.8066,0.7894,0.4007,0.6688,0.5347
0.2,0.0731,0.8192,0.4015,0.8377,0.6394,0.7385,0.7828,0.7835,0.7831,0.4368,0.6906,0.5637
0.3,0.0958,0.8172,0.4204,0.8374,0.6289,0.7331,0.7937,0.7612,0.7774,0.4742,0.7122,0.5932
0.4,0.1184,0.8135,0.4437,0.836,0.6181,0.7271,0.8045,0.7403,0.7724,0.5108,0.7326,0.6217
0.5,0.1403,0.8074,0.4707,0.8337,0.6066,0.7202,0.8147,0.7213,0.768,0.5453,0.7511,0.6482
0.6,0.1605,0.7987,0.5012,0.8302,0.5945,0.7124,0.8234,0.704,0.7637,0.5766,0.7678,0.6722
0.7,0.1787,0.7871,0.5343,0.8253,0.5821,0.7037,0.8301,0.6884,0.7592,0.6041,0.7822,0.6932
0.8,0.1948,0.7727,0.5684,0.8187,0.5698,0.6942,0.8341,0.6738,0.7539,0.6277,0.7941,0.7109
0.9,0.2095,0.7555,0.6016,0.8105,0.5575,0.684,0.8352,0.6599,0.7476,0.6475,0.8034,0.7254
1,0.2231,0.7355,0.6323,0.8005,0.5451,0.6728,0.8339,0.647,0.7405,0.6633,0.8101,0.7367
1.1,0.2359,0.7126,0.6602,0.7887,0.5326,0.6606,0.8304,0.6354,0.7329,0.6752,0.8139,0.7446
1.2,0.2485,0.6873,0.6852,0.7751,0.5202,0.6476,0.8249,0.6251,0.725,0.6838,0.8148,0.7493
1.3,0.2615,0.6602,0.7072,0.7604,0.5085,0.6344,0.8174,0.6161,0.7168,0.6901,0.8133,0.7517
1.4,0.2752,0.6321,0.7263,0.7456,0.498,0.6218,0.8082,0.6086,0.7084,0.6954,0.8101,0.7528
1.5,0.2902,0.6034,0.7424,0.7323,0.4891,0.6107,0.7974,0.6027,0.7,0.7005,0.806,0.7532
1.6,0.3067,0.5743,0.7556,0.7216,0.4813,0.6015,0.7851,0.5985,0.6918,0.7055,0.8011,0.7533
1.7,0.325,0.5454,0.7657,0.7139,0.4746,0.5943,0.7718,0.5959,0.6838,0.71,0.7953,0.7526
1.8,0.3453,0.5175,0.7725,0.7095,0.4687,0.5891,0.7576,0.5943,0.676,0.7134,0.7879,0.7506
1.9,0.3679,0.4915,0.7755,0.7081,0.4633,0.5857,0.7433,0.5933,0.6683,0.7156,0.7788,0.7472
2,0.3923,0.4683,0.774,0.7099,0.4584,0.5841,0.7297,0.5924,0.6611,0.7172,0.7686,0.7429
2.1,0.4175,0.4483,0.7677,0.7146,0.4537,0.5841,0.7181,0.5917,0.6549,0.7189,0.7582,0.7386
2.2,0.4417,0.4321,0.7561,0.7217,0.449,0.5854,0.7093,0.5912,0.6502,0.7214,0.7482,0.7348
2.3,0.4634,0.4197,0.739,0.7302,0.4446,0.5874,0.7036,0.5906,0.6471,0.7245,0.7382,0.7313
2.4,0.4819,0.411,0.7164,0.7392,0.4404,0.5898,0.7005,0.5893,0.6449,0.7275,0.7275,0.7275
2.5,0.4967,0.4059,0.6888,0.7478,0.4364,0.5921,0.6996,0.5865,0.643,0.7302,0.7159,0.723
2.6,0.507,0.4039,0.657,0.7555,0.4323,0.5939,0.7005,0.5817,0.6411,0.7325,0.7034,0.7179
2.7,0.5121,0.405,0.6216,0.7622,0.4281,0.5951,0.7026,0.5742,0.6384,0.7344,0.6901,0.7122
2.8,0.5118,0.4091,0.5839,0.7681,0.4243,0.5962,0.7051,0.5637,0.6344,0.736,0.6762,0.7061
2.9,0.5065,0.4163,0.5452,0.7737,0.4213,0.5975,0.7072,0.5503,0.6287,0.737,0.6619,0.6995
3,0.4969,0.4268,0.5078,0.7794,0.4199,0.5997,0.7086,0.535,0.6218,0.7373,0.6477,0.6925
3.1,0.4832,0.4403,0.4737,0.7853,0.4205,0.6029,0.7096,0.5196,0.6146,0.737,0.6339,0.6854
3.2,0.465,0.4562,0.4441,0.7915,0.4232,0.6073,0.7107,0.5053,0.608,0.7362,0.621,0.6786
3.3,0.4428,0.4739,0.4191,0.7976,0.4282,0.6129,0.712,0.4927,0.6023,0.7346,0.6091,0.6718
3.4,0.4175,0.4927,0.3981,0.8038,0.4355,0.6196,0.7129,0.482,0.5975,0.7315,0.5979,0.6647
3.5,0.3901,0.5123,0.3808,0.8099,0.4452,0.6276,0.713,0.4736,0.5933,0.7259,0.5872,0.6566
3.6,0.361,0.5323,0.367,0.816,0.4572,0.6366,0.712,0.4678,0.5899,0.7176,0.5769,0.6473
3.7,0.3303,0.5527,0.3569,0.8216,0.4713,0.6465,0.7102,0.465,0.5876,0.7064,0.5671,0.6367
3.8,0.2985,0.5735,0.3502,0.8264,0.4877,0.657,0.708,0.4654,0.5867,0.6926,0.5576,0.6251
3.9,0.2667,0.5948,0.3466,0.83,0.5066,0.6683,0.706,0.4689,0.5875,0.6766,0.5486,0.6126
4,0.2367,0.6166,0.3454,0.8325,0.5281,0.6803,0.7049,0.4749,0.5899,0.6591,0.5399,0.5995
4.1,0.2093,0.6386,0.3462,0.834,0.5518,0.6929,0.7051,0.4833,0.5942,0.6408,0.532,0.5864
4.2,0.185,0.6601,0.3485,0.8341,0.5767,0.7054,0.7075,0.494,0.6007,0.6227,0.5249,0.5738
4.3,0.1637,0.6801,0.3514,0.8327,0.6016,0.7172,0.7122,0.507,0.6096,0.6059,0.5189,0.5624
4.4,0.1456,0.698,0.3545,0.8299,0.6259,0.7279,0.7193,0.5224,0.6208,0.5913,0.514,0.5527
4.5,0.1312,0.7131,0.3571,0.8259,0.6484,0.7372,0.7284,0.5396,0.634,0.5796,0.51,0.5448
4.6,0.1213,0.7247,0.3591,0.8215,0.6686,0.745,0.7385,0.5577,0.6481,0.5707,0.5069,0.5388
4.7,0.1161,0.7327,0.3602,0.8171,0.6858,0.7515,0.7489,0.5755,0.6622,0.5644,0.5045,0.5345
4.8,0.1155,0.7369,0.3604,0.8131,0.6999,0.7565,0.7596,0.5924,0.676,0.5602,0.5026,0.5314
4.9,0.119,0.7377,0.3596,0.81,0.7111,0.7605,0.7709,0.6086,0.6898,0.5572,0.5006,0.5289
5,0.1258,0.7364,0.3579,0.8082,0.7194,0.7638,0.7836,0.6244,0.704,0.5555,0.498,0.5267
5.1,0.1352,0.7339,0.3555,0.8078,0.7247,0.7663,0.7979,0.6402,0.7191,0.5552,0.4946,0.5249
5.2,0.1465,0.7307,0.3522,0.8084,0.7272,0.7678,0.8139,0.656,0.735,0.5569,0.4909,0.5239
5.3,0.158,0.7268,0.3481,0.8094,0.7269,0.7681,0.8311,0.6717,0.7514,0.5605,0.4873,0.5239
5.4,0.1682,0.7223,0.3435,0.8106,0.7246,0.7676,0.8488,0.687,0.7679,0.5657,0.484,0.5248
5.5,0.1758,0.7179,0.3397,0.8125,0.7215,0.767,0.8662,0.7022,0.7842,0.5719,0.4811,0.5265
5.6,0.1805,0.7147,0.3383,0.8159,0.7184,0.7672,0.8827,0.717,0.7999,0.5787,0.4786,0.5287
5.7,0.1829,0.7133,0.3406,0.8211,0.7158,0.7685,0.8977,0.731,0.8144,0.5858,0.4767,0.5313
5.8,0.1835,0.7141,0.3468,0.8283,0.7139,0.7711,0.9106,0.7433,0.827,0.5934,0.4758,0.5346
