Time,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30,iPhone XS XR Optus TVC 30
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2833,0.7037,0.6169,0.8358,0.6613,0.7485,0.5526,0.6113,0.582,0.6001,0.5773,0.5887
0.1,0.2827,0.6758,0.6088,0.7955,0.6481,0.7218,0.5427,0.6116,0.5771,0.575,0.5568,0.5659
0.2,0.2751,0.6472,0.5992,0.7538,0.6363,0.6951,0.5327,0.6125,0.5726,0.5482,0.5349,0.5415
0.3,0.2622,0.619,0.5886,0.7128,0.6262,0.6695,0.5231,0.6143,0.5687,0.5203,0.5113,0.5158
0.4,0.2468,0.5921,0.5774,0.6746,0.6174,0.646,0.5149,0.6173,0.5661,0.4925,0.4863,0.4894
0.5,0.2322,0.5675,0.5662,0.641,0.6098,0.6254,0.5089,0.6214,0.5652,0.4665,0.4606,0.4635
0.6,0.2215,0.5458,0.5557,0.6136,0.6031,0.6083,0.506,0.6268,0.5664,0.4441,0.4352,0.4397
0.7,0.217,0.527,0.5468,0.5928,0.5968,0.5948,0.5064,0.6335,0.57,0.4267,0.4113,0.419
0.8,0.2195,0.5117,0.5403,0.5785,0.5907,0.5846,0.5101,0.6417,0.5759,0.4147,0.3903,0.4025
0.9,0.2295,0.5002,0.537,0.5702,0.5852,0.5777,0.5171,0.6514,0.5842,0.4086,0.3733,0.391
1,0.2466,0.4928,0.5377,0.568,0.5807,0.5744,0.5274,0.6626,0.595,0.4081,0.3612,0.3847
1.1,0.2697,0.4899,0.5433,0.5721,0.5781,0.5751,0.541,0.6755,0.6082,0.4126,0.3541,0.3833
1.2,0.2981,0.4919,0.5543,0.5823,0.5781,0.5802,0.5583,0.6904,0.6243,0.4217,0.3522,0.3869
1.3,0.3309,0.4998,0.5706,0.5985,0.5812,0.5899,0.5795,0.7072,0.6434,0.435,0.3561,0.3955
1.4,0.367,0.5147,0.5916,0.6206,0.5877,0.6042,0.605,0.7256,0.6653,0.452,0.3659,0.4089
1.5,0.4054,0.537,0.6165,0.6489,0.5975,0.6232,0.6346,0.745,0.6898,0.4718,0.3819,0.4268
1.6,0.4451,0.5663,0.6445,0.6833,0.6105,0.6469,0.6677,0.7651,0.7164,0.4938,0.4037,0.4488
1.7,0.4851,0.6013,0.6746,0.7236,0.6264,0.675,0.7031,0.7853,0.7442,0.5173,0.4305,0.4739
1.8,0.5241,0.641,0.7053,0.7689,0.6448,0.7069,0.7395,0.8052,0.7724,0.5419,0.4611,0.5015
1.9,0.5588,0.6843,0.735,0.818,0.6657,0.7418,0.7762,0.8244,0.8003,0.5672,0.4946,0.5309
2,0.5851,0.7304,0.7627,0.8691,0.6895,0.7793,0.8126,0.8428,0.8277,0.5925,0.5291,0.5608
2.1,0.6,0.7781,0.788,0.9204,0.7171,0.8187,0.8477,0.8609,0.8543,0.6167,0.5624,0.5895
2.2,0.6024,0.8266,0.8101,0.9701,0.7487,0.8594,0.8805,0.8784,0.8795,0.6389,0.5926,0.6157
2.3,0.5929,0.8744,0.8277,1.0167,0.7839,0.9003,0.9097,0.8945,0.9021,0.6579,0.6182,0.638
2.4,0.5727,0.9199,0.8395,1.0591,0.8214,0.9403,0.9341,0.9084,0.9213,0.673,0.6384,0.6557
2.5,0.5444,0.9609,0.8449,1.0963,0.8597,0.978,0.9535,0.9194,0.9364,0.684,0.6529,0.6685
2.6,0.5102,0.9956,0.8443,1.1275,0.8972,1.0123,0.9676,0.9274,0.9475,0.6914,0.6627,0.677
2.7,0.4721,1.0231,0.8385,1.1519,0.9332,1.0426,0.9766,0.9323,0.9544,0.6959,0.6686,0.6823
2.8,0.4318,1.043,0.8279,1.1696,0.9664,1.068,0.9808,0.9344,0.9576,0.6984,0.6717,0.685
2.9,0.3912,1.0555,0.8132,1.1806,0.996,1.0883,0.9806,0.9337,0.9572,0.6994,0.6723,0.6859
3,0.3516,1.0613,0.795,1.1857,1.0212,1.1034,0.9768,0.9306,0.9537,0.6996,0.6712,0.6854
3.1,0.3138,1.0611,0.7747,1.1858,1.0421,1.1139,0.9699,0.9256,0.9478,0.6995,0.6687,0.6841
3.2,0.2777,1.056,0.7542,1.182,1.0592,1.1206,0.9609,0.9194,0.9402,0.6997,0.6656,0.6826
3.3,0.2418,1.0468,0.7343,1.1748,1.0731,1.124,0.9511,0.9127,0.9319,0.7005,0.6622,0.6814
3.4,0.2048,1.0337,0.7156,1.1644,1.0841,1.1243,0.9415,0.9059,0.9237,0.702,0.6589,0.6804
3.5,0.1656,1.0172,0.6984,1.1506,1.0923,1.1215,0.9331,0.8992,0.9161,0.7042,0.6554,0.6798
3.6,0.1241,0.9974,0.6828,1.1337,1.0977,1.1157,0.9267,0.8922,0.9094,0.7068,0.6515,0.6792
3.7,0.0807,0.9752,0.6695,1.1137,1.1005,1.1071,0.9228,0.8843,0.9035,0.7101,0.6473,0.6787
3.8,0.0361,0.9508,0.6586,1.0904,1.1006,1.0955,0.9215,0.8753,0.8984,0.7142,0.6433,0.6788
3.9,-0.0088,0.9242,0.6498,1.0634,1.0977,1.0805,0.9226,0.8649,0.8937,0.7196,0.64,0.6798
4,-0.0526,0.895,0.642,1.0317,1.0906,1.0611,0.9254,0.8531,0.8893,0.7257,0.6372,0.6815
4.1,-0.094,0.8626,0.6343,0.9942,1.0781,1.0362,0.929,0.8399,0.8845,0.7313,0.6341,0.6827
4.2,-0.1325,0.8269,0.6263,0.95,1.0595,1.0048,0.9322,0.8247,0.8785,0.7351,0.6299,0.6825
4.3,-0.1688,0.7881,0.6178,0.899,1.0347,0.9668,0.9336,0.8074,0.8705,0.7365,0.624,0.6803
4.4,-0.2035,0.7466,0.6086,0.8416,1.004,0.9228,0.9323,0.7878,0.86,0.7353,0.6165,0.6759
4.5,-0.2376,0.7033,0.5985,0.779,0.9683,0.8736,0.9282,0.7663,0.8473,0.7322,0.6078,0.67
4.6,-0.2713,0.659,0.5874,0.713,0.9284,0.8207,0.9216,0.7437,0.8326,0.7283,0.599,0.6637
4.7,-0.3045,0.6148,0.576,0.646,0.8852,0.7656,0.9128,0.7205,0.8166,0.725,0.5908,0.6579
4.8,-0.3373,0.5722,0.5652,0.5808,0.8404,0.7106,0.9022,0.6972,0.7997,0.7229,0.5836,0.6533
4.9,-0.3696,0.5325,0.5555,0.5198,0.7958,0.6578,0.89,0.6744,0.7822,0.7225,0.5776,0.65
5,-0.4004,0.4967,0.5468,0.4648,0.7534,0.6091,0.8759,0.6525,0.7642,0.7233,0.5727,0.648
5.1,-0.4286,0.4655,0.539,0.4169,0.7152,0.566,0.8596,0.632,0.7458,0.7244,0.5684,0.6464
5.2,-0.4533,0.4396,0.5322,0.3769,0.6825,0.5297,0.841,0.6134,0.7272,0.7249,0.5643,0.6446
