Time,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC,JBHiFi Big Brand Sellout 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.2489,0.8027,0.4844,0.9661,0.9115,0.9388,0.7449,0.5212,0.633,0.8542,1.0789,0.9666
0.1,0.2498,0.8142,0.4856,0.9651,0.9244,0.9448,0.7626,0.5324,0.6475,0.867,1.0554,0.9612
0.2,0.2444,0.8235,0.4921,0.9637,0.9373,0.9505,0.7806,0.5473,0.6639,0.8787,1.0313,0.955
0.3,0.234,0.8306,0.5037,0.9614,0.9488,0.9551,0.7987,0.5651,0.6819,0.8872,1.0082,0.9477
0.4,0.2199,0.8355,0.5198,0.9575,0.9575,0.9575,0.8159,0.5846,0.7002,0.8905,0.9874,0.9389
0.5,0.2036,0.8375,0.5392,0.9508,0.9626,0.9567,0.8308,0.6039,0.7174,0.8877,0.9703,0.929
0.6,0.1867,0.8359,0.5606,0.9407,0.963,0.9519,0.8423,0.6213,0.7318,0.8788,0.9573,0.918
0.7,0.1697,0.8304,0.5826,0.9263,0.9577,0.942,0.8498,0.6358,0.7428,0.864,0.9485,0.9063
0.8,0.153,0.8209,0.6041,0.9066,0.9461,0.9263,0.8531,0.6473,0.7502,0.8444,0.9439,0.8942
0.9,0.1366,0.8077,0.6245,0.881,0.9282,0.9046,0.8528,0.6567,0.7547,0.8219,0.943,0.8824
1,0.121,0.7913,0.6438,0.8501,0.9044,0.8773,0.8492,0.6649,0.757,0.7987,0.9458,0.8723
