Time,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC,Jaguar Epace - Dance Like Everyones Watching 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.1091,0.8335,0.8313,0.7767,0.7897,0.7832,0.7883,0.7137,0.751,0.8434,0.6689,0.7561
0.1,0.0918,0.8302,0.8484,0.7644,0.7825,0.7734,0.7963,0.7167,0.7565,0.8422,0.6677,0.7549
0.2,0.0745,0.8236,0.8644,0.7497,0.7723,0.761,0.8009,0.7177,0.7593,0.84,0.6656,0.7528
0.3,0.0578,0.8146,0.8792,0.7343,0.7598,0.7471,0.8027,0.7176,0.7601,0.8373,0.6631,0.7502
0.4,0.0412,0.804,0.8931,0.7191,0.7461,0.7326,0.8021,0.7173,0.7597,0.8346,0.6611,0.7479
0.5,0.0244,0.7921,0.9057,0.7048,0.7318,0.7183,0.7997,0.7175,0.7586,0.8324,0.6603,0.7464
0.6,0.0076,0.7794,0.9164,0.6917,0.7172,0.7045,0.7957,0.7183,0.757,0.8312,0.6617,0.7464
0.7,-0.0091,0.7662,0.9244,0.6801,0.7025,0.6913,0.7904,0.7197,0.755,0.8312,0.6656,0.7484
0.8,-0.0251,0.7528,0.9295,0.6706,0.6879,0.6792,0.7842,0.7213,0.7528,0.8325,0.6724,0.7524
0.9,-0.0402,0.7394,0.9321,0.6632,0.6736,0.6684,0.7777,0.7234,0.7505,0.8349,0.682,0.7584
1,-0.0548,0.7263,0.9331,0.6576,0.6601,0.6589,0.7714,0.7259,0.7487,0.8383,0.6943,0.7663
1.1,-0.0692,0.7133,0.933,0.6533,0.6475,0.6504,0.7656,0.7287,0.7472,0.8431,0.7093,0.7762
1.2,-0.0837,0.7006,0.9321,0.6501,0.636,0.643,0.7603,0.7317,0.746,0.8489,0.7267,0.7878
1.3,-0.0981,0.6883,0.9306,0.6476,0.6256,0.6366,0.7552,0.7346,0.7449,0.8558,0.746,0.8009
1.4,-0.112,0.6764,0.9291,0.646,0.6164,0.6312,0.7504,0.7372,0.7438,0.8634,0.7668,0.8151
