Time,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC,Kayo - Your Team 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1471,0.4729,0.5657,0.6893,0.3632,0.5263,0.6907,0.6548,0.6727,0.3359,0.6932,0.5145
0.1,-0.1582,0.4687,0.5612,0.6843,0.3691,0.5267,0.6774,0.6477,0.6626,0.3421,0.6829,0.5125
0.2,-0.167,0.4652,0.5604,0.6789,0.3754,0.5271,0.6676,0.6445,0.656,0.3506,0.6745,0.5126
0.3,-0.174,0.4621,0.5637,0.6723,0.3827,0.5275,0.6616,0.646,0.6538,0.3607,0.6682,0.5144
0.4,-0.1795,0.4596,0.5708,0.6644,0.3917,0.5281,0.6591,0.6526,0.6558,0.3715,0.6643,0.5179
0.5,-0.1837,0.4582,0.5808,0.6548,0.4031,0.5289,0.6589,0.6629,0.6609,0.3826,0.663,0.5228
0.6,-0.1866,0.4576,0.5929,0.6429,0.4165,0.5297,0.6598,0.6751,0.6674,0.3937,0.6642,0.529
0.7,-0.1884,0.457,0.606,0.6279,0.4303,0.5291,0.6603,0.6873,0.6738,0.4048,0.6673,0.5361
0.8,-0.1892,0.4555,0.6187,0.6091,0.4432,0.5262,0.6593,0.6981,0.6787,0.415,0.6711,0.543
0.9,-0.1891,0.4526,0.6298,0.5869,0.4547,0.5208,0.6556,0.7061,0.6808,0.4223,0.6738,0.548
1,-0.1883,0.4491,0.6383,0.5626,0.4651,0.5139,0.6488,0.71,0.6794,0.4253,0.6737,0.5495
1.1,-0.1863,0.4461,0.6433,0.5379,0.4753,0.5066,0.6388,0.7098,0.6743,0.4238,0.67,0.5469
1.2,-0.183,0.4448,0.645,0.5144,0.486,0.5002,0.626,0.7054,0.6657,0.4185,0.6627,0.5406
1.3,-0.1781,0.4455,0.6433,0.4927,0.4973,0.495,0.611,0.6969,0.654,0.4107,0.6519,0.5313
1.4,-0.1717,0.4478,0.6384,0.4731,0.5091,0.4911,0.5943,0.6845,0.6394,0.4008,0.6377,0.5192
1.5,-0.164,0.4515,0.6303,0.4556,0.5207,0.4881,0.5761,0.6677,0.6219,0.3893,0.6198,0.5045
1.6,-0.1556,0.4567,0.6191,0.4406,0.5316,0.4861,0.5566,0.6464,0.6015,0.3768,0.598,0.4874
1.7,-0.1461,0.4639,0.6049,0.4287,0.5418,0.4852,0.5361,0.6208,0.5785,0.3637,0.5725,0.4681
1.8,-0.1353,0.4732,0.5884,0.4204,0.5509,0.4856,0.5151,0.5919,0.5535,0.3512,0.5443,0.4478
1.9,-0.1238,0.4846,0.5702,0.4156,0.5589,0.4873,0.4944,0.5609,0.5277,0.3411,0.5148,0.4279
2,-0.1128,0.4979,0.5501,0.4144,0.5653,0.4899,0.4749,0.5288,0.5019,0.3345,0.4854,0.4099
2.1,-0.1029,0.5128,0.528,0.4163,0.57,0.4932,0.4568,0.4961,0.4764,0.3317,0.4568,0.3942
2.2,-0.0937,0.5294,0.5039,0.4214,0.5724,0.4969,0.4403,0.4626,0.4515,0.3321,0.4291,0.3806
2.3,-0.084,0.5478,0.4781,0.4293,0.5723,0.5008,0.4258,0.4286,0.4272,0.3347,0.4025,0.3686
2.4,-0.0731,0.5678,0.4518,0.4397,0.5698,0.5048,0.4135,0.3943,0.4039,0.3384,0.377,0.3577
2.5,-0.0616,0.5888,0.4262,0.4516,0.5652,0.5084,0.4035,0.3604,0.3819,0.3424,0.353,0.3477
2.6,-0.0511,0.6099,0.4027,0.4637,0.5587,0.5112,0.3957,0.3277,0.3617,0.3464,0.3307,0.3385
2.7,-0.0431,0.6302,0.3823,0.4744,0.5512,0.5128,0.3897,0.2977,0.3437,0.3497,0.3097,0.3297
2.8,-0.0383,0.649,0.3666,0.4832,0.5435,0.5133,0.3849,0.272,0.3284,0.352,0.2902,0.3211
2.9,-0.0369,0.6656,0.3572,0.4898,0.5368,0.5133,0.3813,0.2519,0.3166,0.3532,0.2725,0.3128
3,-0.0391,0.6795,0.3558,0.4949,0.5317,0.5133,0.3793,0.2387,0.309,0.354,0.2578,0.3059
3.1,-0.0457,0.6903,0.3633,0.4989,0.5281,0.5135,0.3789,0.2327,0.3058,0.3555,0.2469,0.3012
3.2,-0.0569,0.6973,0.3796,0.5018,0.5256,0.5137,0.3797,0.2337,0.3067,0.358,0.2403,0.2991
3.3,-0.0722,0.7001,0.4036,0.5033,0.5237,0.5135,0.3808,0.2406,0.3107,0.3611,0.2376,0.2993
3.4,-0.0903,0.6983,0.4339,0.5033,0.5223,0.5128,0.382,0.2522,0.3171,0.3644,0.2389,0.3017
3.5,-0.1105,0.6921,0.4682,0.5015,0.5216,0.5115,0.3834,0.2674,0.3254,0.3675,0.2448,0.3061
3.6,-0.1326,0.6819,0.5044,0.4983,0.5216,0.51,0.385,0.2847,0.3348,0.3699,0.255,0.3124
3.7,-0.1561,0.6685,0.5405,0.494,0.5223,0.5081,0.3869,0.3022,0.3445,0.3718,0.2687,0.3203
3.8,-0.1797,0.6528,0.5745,0.4893,0.5232,0.5062,0.3888,0.3181,0.3534,0.3743,0.2847,0.3295
3.9,-0.2016,0.6356,0.6052,0.4852,0.524,0.5046,0.3912,0.331,0.3611,0.3782,0.302,0.3401
4,-0.2201,0.6175,0.632,0.4827,0.5244,0.5036,0.3945,0.3407,0.3676,0.3843,0.32,0.3521
4.1,-0.2344,0.599,0.6544,0.4825,0.5242,0.5033,0.3994,0.3474,0.3734,0.3925,0.3382,0.3654
4.2,-0.2435,0.5806,0.6718,0.4847,0.5229,0.5038,0.4061,0.3513,0.3787,0.4025,0.3559,0.3792
4.3,-0.2464,0.5627,0.6845,0.489,0.5203,0.5047,0.4145,0.3525,0.3835,0.4137,0.3724,0.393
4.4,-0.242,0.5454,0.6935,0.4954,0.5157,0.5056,0.4251,0.3518,0.3885,0.4258,0.3871,0.4064
