Time,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC,Kennard Hire - Ken Oath 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.3769,0.1637,0.7813,0.0956,0.4586,0.2771,0.4191,0.4536,0.4364,0.5272,0.9096,0.7184
0.1,-0.3752,0.173,0.7842,0.0818,0.4613,0.2716,0.4324,0.4748,0.4536,0.4989,0.8678,0.6833
0.2,-0.3701,0.1859,0.7872,0.0713,0.4617,0.2665,0.4442,0.4931,0.4686,0.4699,0.8213,0.6456
0.3,-0.3586,0.2017,0.7896,0.0643,0.4593,0.2618,0.4541,0.5081,0.4811,0.4408,0.7717,0.6062
0.4,-0.3399,0.2197,0.7911,0.061,0.4549,0.2579,0.4622,0.5194,0.4908,0.4125,0.7207,0.5666
0.5,-0.3155,0.2389,0.7919,0.0609,0.4497,0.2553,0.4691,0.5271,0.4981,0.3858,0.6703,0.528
0.6,-0.2873,0.2589,0.7918,0.0643,0.4453,0.2548,0.4755,0.5317,0.5036,0.3612,0.6224,0.4918
0.7,-0.2563,0.2796,0.7906,0.0716,0.4419,0.2567,0.4823,0.534,0.5081,0.3389,0.5783,0.4586
0.8,-0.2222,0.3005,0.7875,0.0824,0.4385,0.2604,0.4892,0.5345,0.5119,0.319,0.5391,0.4291
0.9,-0.1848,0.321,0.782,0.0956,0.4341,0.2649,0.4957,0.5333,0.5145,0.3011,0.5052,0.4032
1,-0.145,0.3404,0.7741,0.1099,0.4286,0.2693,0.5009,0.5304,0.5157,0.2847,0.4768,0.3808
1.1,-0.1046,0.3586,0.7645,0.1241,0.4227,0.2734,0.5044,0.5261,0.5152,0.2694,0.4534,0.3614
1.2,-0.0655,0.3754,0.7535,0.1378,0.4174,0.2776,0.5058,0.5203,0.5131,0.2542,0.4343,0.3442
1.3,-0.0289,0.3907,0.7405,0.1515,0.4137,0.2826,0.5056,0.513,0.5093,0.2384,0.4186,0.3285
1.4,0.0051,0.4043,0.7251,0.1659,0.4116,0.2887,0.5039,0.5042,0.5041,0.2221,0.4059,0.314
1.5,0.0365,0.4158,0.7077,0.1812,0.4109,0.2961,0.5014,0.4942,0.4978,0.2059,0.3963,0.3011
1.6,0.0654,0.4252,0.6892,0.1975,0.4114,0.3045,0.4984,0.4835,0.4909,0.1904,0.3898,0.2901
1.7,0.0922,0.4329,0.6703,0.2148,0.4134,0.3141,0.4952,0.4727,0.484,0.176,0.3861,0.281
1.8,0.1171,0.4391,0.6505,0.2332,0.4167,0.3249,0.4919,0.462,0.477,0.1624,0.384,0.2732
1.9,0.14,0.4437,0.6287,0.2522,0.421,0.3366,0.4881,0.4508,0.4695,0.1495,0.3821,0.2658
2,0.1603,0.4465,0.6042,0.2706,0.4257,0.3482,0.4831,0.4387,0.4609,0.1366,0.3793,0.258
2.1,0.1777,0.4474,0.5767,0.2871,0.4305,0.3588,0.4762,0.4255,0.4508,0.1231,0.3744,0.2488
2.2,0.1915,0.4467,0.5469,0.301,0.4355,0.3683,0.4667,0.4119,0.4393,0.1079,0.3663,0.2371
2.3,0.2015,0.4449,0.5148,0.3125,0.4412,0.3769,0.4545,0.3981,0.4263,0.0902,0.3538,0.222
2.4,0.2081,0.4428,0.4802,0.3219,0.4485,0.3852,0.4396,0.3841,0.4119,0.0699,0.3366,0.2033
2.5,0.2114,0.4412,0.4435,0.3297,0.4576,0.3937,0.4224,0.3694,0.3959,0.048,0.3155,0.1818
2.6,0.2113,0.4403,0.4061,0.3357,0.4686,0.4021,0.403,0.354,0.3785,0.0263,0.2913,0.1588
2.7,0.2077,0.4399,0.3699,0.3394,0.4809,0.4102,0.3811,0.3384,0.3598,0.006,0.2654,0.1357
2.8,0.2015,0.4396,0.3373,0.3403,0.4939,0.4171,0.3566,0.3235,0.3401,-0.0123,0.2387,0.1132
2.9,0.1945,0.4391,0.3097,0.338,0.5069,0.4224,0.3292,0.3094,0.3193,-0.0285,0.2121,0.0918
3,0.1887,0.438,0.2888,0.3319,0.5185,0.4252,0.299,0.2962,0.2976,-0.0423,0.1869,0.0723
3.1,0.1852,0.4354,0.2759,0.3222,0.5277,0.425,0.2671,0.2839,0.2755,-0.0524,0.1648,0.0562
3.2,0.1844,0.4304,0.2723,0.3093,0.5335,0.4214,0.2348,0.2737,0.2543,-0.0575,0.148,0.0452
3.3,0.1858,0.4226,0.2783,0.2942,0.5358,0.415,0.2041,0.2666,0.2353,-0.0567,0.1377,0.0405
3.4,0.1892,0.4125,0.2931,0.2783,0.5348,0.4065,0.1764,0.2633,0.2198,-0.0502,0.1344,0.0421
3.5,0.1952,0.4013,0.3158,0.263,0.5312,0.3971,0.1534,0.264,0.2087,-0.038,0.1387,0.0503
3.6,0.2041,0.3904,0.346,0.2493,0.5261,0.3877,0.137,0.2689,0.2029,-0.0201,0.1512,0.0655
3.7,0.2151,0.3807,0.3831,0.2377,0.5206,0.3791,0.1284,0.2785,0.2035,0.004,0.1723,0.0881
3.8,0.2259,0.3729,0.4257,0.2289,0.5161,0.3725,0.1284,0.2929,0.2107,0.0338,0.2015,0.1176
3.9,0.2345,0.367,0.471,0.2233,0.5136,0.3685,0.1364,0.3114,0.2239,0.0681,0.2363,0.1522
4,0.2399,0.3627,0.5156,0.2212,0.5133,0.3673,0.1508,0.3324,0.2416,0.105,0.274,0.1895
4.1,0.2416,0.3595,0.5567,0.2222,0.5148,0.3685,0.1695,0.3544,0.2619,0.1428,0.3117,0.2272
4.2,0.2385,0.3566,0.5924,0.2258,0.5181,0.372,0.1902,0.3755,0.2829,0.1797,0.3482,0.264
4.3,0.2278,0.3536,0.6221,0.2319,0.524,0.378,0.211,0.3951,0.3031,0.2146,0.3825,0.2986
4.4,0.2068,0.3502,0.6459,0.2412,0.5336,0.3874,0.231,0.4131,0.3221,0.2467,0.4141,0.3304
4.5,0.1748,0.3469,0.6646,0.2547,0.5475,0.4011,0.2501,0.4301,0.3401,0.2757,0.4425,0.3591
4.6,0.1336,0.3441,0.679,0.2728,0.5655,0.4191,0.2684,0.4463,0.3574,0.3021,0.4677,0.3849
4.7,0.086,0.3422,0.6892,0.2949,0.5866,0.4408,0.2863,0.4619,0.3741,0.3261,0.4892,0.4077
4.8,0.0352,0.3417,0.6955,0.3199,0.6098,0.4648,0.3033,0.4767,0.39,0.3473,0.5066,0.4269
4.9,-0.0173,0.3431,0.6982,0.3461,0.6343,0.4902,0.3189,0.4907,0.4048,0.3648,0.519,0.4419
5,-0.0714,0.3467,0.6976,0.3725,0.6596,0.5161,0.333,0.5039,0.4185,0.3778,0.5255,0.4516
5.1,-0.1273,0.3523,0.694,0.3982,0.6851,0.5416,0.3463,0.5163,0.4313,0.3864,0.5259,0.4561
5.2,-0.1845,0.3592,0.6878,0.4221,0.7092,0.5657,0.3597,0.5274,0.4436,0.3915,0.5205,0.456
