Time,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC,Centrum - Benefit Blends 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.094,0.2732,0.6209,0.3624,0.4332,0.3978,0.2864,0.3863,0.3364,0.6739,0.6274,0.6506
0.1,-0.0435,0.2732,0.5918,0.3574,0.4323,0.3949,0.2749,0.3804,0.3276,0.6804,0.616,0.6482
0.2,0.0119,0.2776,0.5641,0.357,0.4309,0.3939,0.2653,0.3758,0.3205,0.6868,0.6076,0.6472
0.3,0.0718,0.2858,0.5393,0.3604,0.4282,0.3943,0.2577,0.372,0.3148,0.6935,0.6029,0.6482
0.4,0.1346,0.2963,0.5185,0.3661,0.4231,0.3946,0.2519,0.3681,0.31,0.7007,0.6023,0.6515
0.5,0.1976,0.3074,0.5014,0.3726,0.4145,0.3935,0.2472,0.3633,0.3052,0.7085,0.6053,0.6569
0.6,0.258,0.318,0.4874,0.3789,0.4016,0.3902,0.2425,0.3569,0.2997,0.7163,0.6108,0.6635
0.7,0.3133,0.3272,0.4763,0.385,0.3835,0.3842,0.237,0.3486,0.2928,0.723,0.6177,0.6703
0.8,0.3616,0.3347,0.4684,0.3906,0.3604,0.3755,0.2306,0.338,0.2843,0.728,0.625,0.6765
0.9,0.4022,0.3408,0.4635,0.3962,0.3336,0.3649,0.2229,0.3246,0.2737,0.7314,0.6324,0.6819
1,0.4359,0.3462,0.4607,0.4025,0.3046,0.3535,0.2134,0.3083,0.2609,0.7337,0.6396,0.6867
1.1,0.4636,0.3516,0.4593,0.4106,0.275,0.3428,0.2026,0.2901,0.2464,0.7356,0.6471,0.6913
1.2,0.4861,0.3576,0.4582,0.421,0.2465,0.3337,0.191,0.2709,0.231,0.737,0.6552,0.6961
1.3,0.5034,0.3641,0.457,0.4331,0.2207,0.3269,0.1794,0.2512,0.2153,0.7375,0.6641,0.7008
1.4,0.515,0.371,0.4554,0.4458,0.199,0.3224,0.1684,0.2313,0.1999,0.7361,0.6734,0.7047
1.5,0.5205,0.3783,0.4536,0.4585,0.1824,0.3204,0.158,0.2121,0.185,0.7321,0.6823,0.7072
1.6,0.5194,0.3857,0.4515,0.4698,0.1709,0.3203,0.1479,0.1941,0.171,0.725,0.6894,0.7072
1.7,0.5122,0.3922,0.4489,0.4786,0.1635,0.321,0.1382,0.1779,0.158,0.7142,0.6931,0.7037
1.8,0.5003,0.3974,0.4452,0.4842,0.1588,0.3215,0.1296,0.1639,0.1467,0.6995,0.6923,0.6959
1.9,0.4856,0.4008,0.4404,0.4858,0.1559,0.3208,0.1232,0.1523,0.1377,0.6808,0.6862,0.6835
2,0.4699,0.4025,0.4348,0.4838,0.1547,0.3193,0.1197,0.1432,0.1315,0.658,0.6741,0.6661
2.1,0.4544,0.4036,0.4286,0.4794,0.1556,0.3175,0.1199,0.1369,0.1284,0.6311,0.6552,0.6432
2.2,0.4382,0.4048,0.4218,0.4739,0.1592,0.3165,0.1239,0.1334,0.1287,0.6001,0.6288,0.6144
2.3,0.4203,0.4072,0.4139,0.468,0.1659,0.317,0.1315,0.1326,0.132,0.5652,0.5944,0.5798
2.4,0.4005,0.4111,0.4042,0.4625,0.1758,0.3192,0.142,0.134,0.138,0.5277,0.5525,0.5401
2.5,0.3796,0.4167,0.3925,0.4579,0.1891,0.3235,0.1545,0.1373,0.1459,0.4891,0.5046,0.4968
2.6,0.3578,0.4233,0.3791,0.4546,0.205,0.3298,0.1679,0.1422,0.155,0.4506,0.4525,0.4516
2.7,0.3352,0.4302,0.3644,0.4524,0.2227,0.3376,0.1817,0.1484,0.165,0.4135,0.3982,0.4058
2.8,0.3119,0.4371,0.3489,0.4509,0.2411,0.346,0.1956,0.1558,0.1757,0.3786,0.344,0.3613
2.9,0.2886,0.4436,0.3332,0.4497,0.2591,0.3544,0.2099,0.1641,0.187,0.347,0.2923,0.3197
3,0.266,0.45,0.3179,0.4491,0.2758,0.3625,0.2249,0.173,0.199,0.32,0.246,0.283
3.1,0.2444,0.4561,0.3039,0.4497,0.2912,0.3705,0.2406,0.1822,0.2114,0.2983,0.2068,0.2525
3.2,0.2235,0.4619,0.2918,0.4518,0.3057,0.3787,0.2566,0.1912,0.2239,0.2815,0.1756,0.2285
3.3,0.2032,0.4675,0.2827,0.4552,0.3195,0.3874,0.2726,0.2001,0.2364,0.2693,0.1529,0.2111
3.4,0.1838,0.4725,0.2771,0.4595,0.3325,0.396,0.2888,0.2091,0.249,0.2625,0.1391,0.2008
3.5,0.1655,0.4768,0.2757,0.4639,0.3443,0.4041,0.3053,0.2185,0.2619,0.2619,0.1347,0.1983
3.6,0.1472,0.4804,0.2791,0.4676,0.3543,0.411,0.3219,0.2279,0.2749,0.2683,0.1398,0.2041
3.7,0.1273,0.4829,0.2878,0.4698,0.362,0.4159,0.3379,0.2375,0.2877,0.2814,0.1538,0.2176
3.8,0.1045,0.4839,0.3022,0.4698,0.367,0.4184,0.3528,0.2475,0.3002,0.3005,0.1755,0.238
3.9,0.0776,0.4835,0.3225,0.4675,0.37,0.4187,0.3665,0.2588,0.3127,0.324,0.2036,0.2638
4,0.0466,0.4827,0.3482,0.4637,0.3723,0.418,0.3797,0.2722,0.3259,0.3507,0.2365,0.2936
4.1,0.0121,0.4826,0.3786,0.4592,0.3757,0.4174,0.3928,0.2877,0.3402,0.3789,0.2719,0.3254
4.2,-0.0243,0.484,0.4125,0.4548,0.3802,0.4175,0.4056,0.3047,0.3552,0.4072,0.3079,0.3576
4.3,-0.0609,0.4866,0.4488,0.4506,0.3851,0.4178,0.4172,0.3222,0.3697,0.4347,0.3434,0.389
4.4,-0.0958,0.4894,0.4862,0.4459,0.3887,0.4173,0.4265,0.3394,0.3829,0.4606,0.3777,0.4191
4.5,-0.1276,0.4913,0.5232,0.4401,0.3904,0.4152,0.4331,0.3558,0.3944,0.4843,0.4106,0.4474
4.6,-0.1555,0.4921,0.5593,0.4329,0.3902,0.4115,0.4373,0.3716,0.4045,0.5055,0.4418,0.4737
4.7,-0.1795,0.4923,0.5943,0.4249,0.389,0.4069,0.4397,0.3872,0.4135,0.524,0.4711,0.4975
4.8,-0.2003,0.4933,0.6286,0.4169,0.3881,0.4025,0.4409,0.4031,0.422,0.5403,0.4979,0.5191
4.9,-0.2187,0.4962,0.6619,0.4105,0.3888,0.3996,0.4414,0.4196,0.4305,0.5552,0.5227,0.539
5,-0.2351,0.5017,0.6932,0.4062,0.3917,0.3989,0.4417,0.4366,0.4391,0.5695,0.5456,0.5576
5.1,-0.2493,0.5102,0.7208,0.4044,0.3971,0.4007,0.4424,0.4537,0.4481,0.5839,0.5673,0.5756
5.2,-0.2603,0.5216,0.7433,0.4052,0.4052,0.4052,0.444,0.4701,0.4571,0.5988,0.5874,0.5931
5.3,-0.2672,0.5358,0.7603,0.409,0.4159,0.4124,0.4469,0.485,0.4659,0.6139,0.6058,0.6099
