Time,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC,Cetaphil - Hero Face The World 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0754,0.6988,0.9623,0.8626,0.6831,0.7728,1.1301,0.9966,1.0634,0.729,0.7063,0.7176
0.1,-0.0365,0.696,0.9548,0.865,0.6882,0.7766,1.1087,1.0047,1.0567,0.7095,0.7219,0.7157
0.2,0.0071,0.6929,0.943,0.8663,0.6905,0.7784,1.0849,1.0065,1.0457,0.6912,0.7346,0.7129
0.3,0.0545,0.6889,0.928,0.8659,0.6902,0.7781,1.0602,1.0037,1.032,0.6751,0.7446,0.7098
0.4,0.1042,0.6831,0.9108,0.8638,0.6878,0.7758,1.0351,0.9982,1.0167,0.6614,0.7519,0.7067
0.5,0.1543,0.675,0.8917,0.8602,0.6842,0.7722,1.0102,0.9915,1.0009,0.6504,0.7567,0.7036
0.6,0.2037,0.664,0.8713,0.8556,0.6808,0.7682,0.9855,0.9847,0.9851,0.6421,0.7592,0.7006
0.7,0.2518,0.6496,0.8501,0.85,0.6783,0.7642,0.9614,0.9784,0.9699,0.6369,0.7597,0.6983
0.8,0.298,0.6311,0.8287,0.843,0.6765,0.7598,0.9386,0.9721,0.9553,0.6345,0.7584,0.6964
0.9,0.3411,0.6082,0.8077,0.8337,0.6745,0.7541,0.9175,0.9653,0.9414,0.6349,0.7555,0.6952
1,0.3791,0.5819,0.7876,0.8221,0.6719,0.747,0.8986,0.9581,0.9283,0.6379,0.7517,0.6948
1.1,0.4101,0.5541,0.769,0.8085,0.6689,0.7387,0.882,0.9509,0.9165,0.6434,0.7476,0.6955
1.2,0.4337,0.5266,0.7523,0.7935,0.6657,0.7296,0.8679,0.9447,0.9063,0.6512,0.7435,0.6974
1.3,0.4504,0.5007,0.7377,0.7781,0.6627,0.7204,0.8565,0.9404,0.8985,0.6607,0.7396,0.7001
1.4,0.4616,0.4773,0.7254,0.7628,0.6605,0.7116,0.8481,0.9384,0.8933,0.6715,0.7353,0.7034
1.5,0.4679,0.457,0.7154,0.7478,0.6592,0.7035,0.8429,0.9382,0.8905,0.6829,0.73,0.7064
1.6,0.47,0.4402,0.7076,0.7334,0.6588,0.6961,0.8408,0.9387,0.8897,0.6943,0.7233,0.7088
1.7,0.4684,0.4271,0.7015,0.7197,0.659,0.6893,0.8416,0.9385,0.89,0.7048,0.7157,0.7102
1.8,0.4639,0.418,0.6963,0.7069,0.6592,0.683,0.845,0.9366,0.8908,0.7138,0.7074,0.7106
1.9,0.4573,0.4128,0.6912,0.6952,0.6592,0.6772,0.851,0.9327,0.8919,0.7211,0.699,0.71
2,0.4481,0.4113,0.6862,0.6848,0.6593,0.6721,0.8599,0.9275,0.8937,0.7266,0.691,0.7088
2.1,0.4362,0.4131,0.6815,0.676,0.6602,0.6681,0.8725,0.922,0.8972,0.7308,0.6839,0.7074
2.2,0.4219,0.4175,0.6773,0.6687,0.6619,0.6653,0.889,0.9168,0.9029,0.734,0.6781,0.7061
2.3,0.4064,0.4237,0.6737,0.6625,0.6642,0.6633,0.9091,0.9121,0.9106,0.7364,0.6736,0.705
2.4,0.3908,0.4308,0.6701,0.6568,0.6668,0.6618,0.9317,0.9081,0.9199,0.7381,0.6703,0.7042
2.5,0.3762,0.4388,0.666,0.6513,0.6699,0.6606,0.9557,0.9043,0.93,0.7392,0.6679,0.7035
2.6,0.363,0.448,0.6607,0.6462,0.6737,0.66,0.9798,0.9002,0.94,0.7399,0.666,0.7029
2.7,0.3514,0.4589,0.6542,0.6421,0.6785,0.6603,1.0024,0.8952,0.9488,0.7401,0.6641,0.7021
2.8,0.3406,0.4716,0.6466,0.6396,0.6844,0.662,1.0221,0.8895,0.9558,0.74,0.662,0.701
2.9,0.3294,0.4855,0.6391,0.6387,0.691,0.6648,1.0381,0.8836,0.9609,0.7405,0.6602,0.7004
3,0.317,0.4993,0.6329,0.639,0.6976,0.6683,1.0498,0.8782,0.964,0.7426,0.6591,0.7009
3.1,0.3027,0.5117,0.6292,0.6393,0.704,0.6717,1.0573,0.8735,0.9654,0.7471,0.6592,0.7031
3.2,0.2864,0.5217,0.6289,0.6389,0.7093,0.6741,1.0604,0.8689,0.9646,0.7541,0.6605,0.7073
3.3,0.268,0.5286,0.6318,0.6371,0.7125,0.6748,1.0589,0.8636,0.9613,0.7635,0.6631,0.7133
3.4,0.2465,0.532,0.6377,0.6331,0.713,0.673,1.0535,0.8574,0.9555,0.7745,0.6667,0.7206
3.5,0.2205,0.5316,0.6462,0.6265,0.7112,0.6689,1.0452,0.8508,0.948,0.7869,0.6716,0.7292
3.6,0.1894,0.5276,0.657,0.6174,0.7079,0.6626,1.0349,0.8442,0.9395,0.8001,0.678,0.7391
3.7,0.1536,0.5208,0.67,0.6058,0.7035,0.6547,1.023,0.8377,0.9303,0.8134,0.6862,0.7498
3.8,0.1141,0.5116,0.6847,0.5921,0.6985,0.6453,1.0091,0.8311,0.9201,0.8257,0.6955,0.7606
3.9,0.0716,0.5009,0.7007,0.5769,0.6926,0.6348,0.993,0.8241,0.9085,0.8358,0.7054,0.7706
4,0.0274,0.4892,0.7178,0.5607,0.6858,0.6233,0.9751,0.8162,0.8956,0.8433,0.7152,0.7793
4.1,-0.0172,0.4771,0.736,0.5438,0.6778,0.6108,0.9559,0.8077,0.8818,0.8485,0.7246,0.7865
4.2,-0.0611,0.4648,0.7552,0.526,0.6689,0.5974,0.9359,0.7992,0.8676,0.8513,0.7331,0.7922
4.3,-0.1032,0.4527,0.7756,0.5077,0.6602,0.5839,0.9157,0.7917,0.8537,0.8514,0.7404,0.7959
4.4,-0.1428,0.4417,0.7972,0.49,0.653,0.5715,0.8959,0.786,0.8409,0.8485,0.7463,0.7974
4.5,-0.1794,0.4323,0.8195,0.4739,0.6485,0.5612,0.8773,0.783,0.8301,0.8428,0.7509,0.7969
4.6,-0.2124,0.4247,0.8418,0.4602,0.6468,0.5535,0.8606,0.7825,0.8215,0.8352,0.7548,0.795
4.7,-0.2413,0.4186,0.8632,0.4494,0.6478,0.5486,0.8459,0.7841,0.815,0.8268,0.7585,0.7926
4.8,-0.2664,0.414,0.8824,0.4405,0.651,0.5457,0.8327,0.7875,0.8101,0.8179,0.7622,0.79
4.9,-0.2881,0.4106,0.8984,0.4329,0.6559,0.5444,0.8203,0.7921,0.8062,0.8082,0.7657,0.7869
5,-0.3068,0.4085,0.9097,0.4264,0.6622,0.5443,0.8081,0.7974,0.8028,0.7973,0.7691,0.7832
5.1,-0.3221,0.4074,0.9159,0.4212,0.669,0.5451,0.796,0.8027,0.7993,0.7851,0.7725,0.7788
5.2,-0.3332,0.4068,0.9168,0.4175,0.6751,0.5463,0.7843,0.8076,0.796,0.7725,0.7759,0.7742
5.3,-0.3391,0.4068,0.9135,0.4154,0.6801,0.5477,0.7738,0.8124,0.7931,0.7605,0.7794,0.7699
5.4,-0.3396,0.4078,0.9069,0.4151,0.6838,0.5494,0.7648,0.8172,0.791,0.7494,0.7829,0.7662
5.5,-0.3348,0.4099,0.8975,0.4163,0.6863,0.5513,0.7569,0.8214,0.7892,0.7392,0.7861,0.7627
5.6,-0.3258,0.413,0.8852,0.419,0.6875,0.5533,0.7496,0.8234,0.7865,0.7296,0.7885,0.759
5.7,-0.3139,0.4169,0.8703,0.4232,0.6873,0.5553,0.742,0.8218,0.7819,0.7202,0.7896,0.7549
5.8,-0.3008,0.4217,0.8532,0.4289,0.6863,0.5576,0.734,0.8161,0.775,0.7109,0.7895,0.7502
5.9,-0.2885,0.4278,0.8352,0.4363,0.6856,0.561,0.7259,0.8076,0.7668,0.7022,0.7883,0.7453
6,-0.2785,0.436,0.8179,0.4459,0.6863,0.5661,0.719,0.7984,0.7587,0.6946,0.7864,0.7405
6.1,-0.2724,0.4461,0.8028,0.4574,0.689,0.5732,0.7141,0.7903,0.7522,0.6887,0.7841,0.7364
6.2,-0.2708,0.4577,0.7909,0.4706,0.6941,0.5823,0.7116,0.7841,0.7478,0.6853,0.7821,0.7337
6.3,-0.2738,0.4704,0.7825,0.4849,0.7014,0.5931,0.7117,0.7802,0.746,0.6852,0.7809,0.7331
6.4,-0.2809,0.4843,0.7773,0.5002,0.7112,0.6057,0.7143,0.7789,0.7466,0.6886,0.781,0.7348
6.5,-0.2918,0.4996,0.7746,0.5167,0.7232,0.62,0.7193,0.7798,0.7495,0.6954,0.7821,0.7388
6.6,-0.3055,0.5166,0.7738,0.5343,0.7369,0.6356,0.7263,0.782,0.7542,0.7051,0.7834,0.7443
6.7,-0.3209,0.5352,0.7743,0.5528,0.7513,0.652,0.7348,0.7851,0.7599,0.7173,0.7843,0.7508
6.8,-0.3369,0.5546,0.7755,0.5715,0.7659,0.6687,0.7442,0.7888,0.7665,0.7317,0.7841,0.7579
6.9,-0.3521,0.5744,0.777,0.5899,0.78,0.6849,0.7536,0.7933,0.7735,0.748,0.7823,0.7652
7,-0.3644,0.5941,0.779,0.6078,0.7931,0.7004,0.7627,0.7988,0.7807,0.766,0.7791,0.7725
7.1,-0.3717,0.6131,0.7814,0.6248,0.8048,0.7148,0.7709,0.8048,0.7879,0.7853,0.7746,0.7799
7.2,-0.3736,0.6305,0.7836,0.6409,0.815,0.728,0.7787,0.8113,0.795,0.8056,0.7691,0.7874
7.3,-0.3714,0.6456,0.7845,0.6553,0.8233,0.7393,0.7863,0.8179,0.8021,0.8262,0.7626,0.7944
7.4,-0.3675,0.6575,0.7832,0.6667,0.8295,0.7481,0.7934,0.8245,0.8089,0.8458,0.7548,0.8003
7.5,-0.3646,0.6656,0.7791,0.6744,0.8333,0.7539,0.7998,0.8301,0.815,0.8638,0.7453,0.8045
7.6,-0.3643,0.6699,0.7718,0.6777,0.8346,0.7561,0.805,0.8338,0.8194,0.8793,0.734,0.8066
7.7,-0.3675,0.6704,0.7613,0.6764,0.8327,0.7546,0.8085,0.8347,0.8216,0.8914,0.7209,0.8062
7.8,-0.3741,0.6672,0.7472,0.6707,0.8269,0.7488,0.8098,0.8322,0.821,0.8999,0.706,0.803
7.9,-0.3826,0.6603,0.7288,0.6605,0.8165,0.7385,0.8085,0.8258,0.8171,0.9047,0.6893,0.797
8,-0.3917,0.6496,0.7052,0.646,0.8012,0.7236,0.8037,0.8153,0.8095,0.9061,0.6704,0.7883
8.1,-0.4004,0.6354,0.6761,0.6274,0.7814,0.7044,0.795,0.8006,0.7978,0.9045,0.6486,0.7765
8.2,-0.4092,0.618,0.6422,0.6044,0.758,0.6812,0.7828,0.782,0.7824,0.8995,0.6238,0.7616
8.3,-0.4186,0.5981,0.6053,0.5775,0.7326,0.6551,0.7682,0.7604,0.7643,0.8911,0.5966,0.7439
8.4,-0.429,0.5763,0.5678,0.5478,0.707,0.6274,0.7527,0.7376,0.7451,0.8802,0.5686,0.7244
8.5,-0.4409,0.5534,0.5324,0.5169,0.6829,0.5999,0.7375,0.7153,0.7264,0.8684,0.541,0.7047
8.6,-0.4542,0.5303,0.5011,0.4867,0.6621,0.5744,0.7232,0.6954,0.7093,0.8569,0.5152,0.6861
8.7,-0.4692,0.5083,0.4751,0.4586,0.646,0.5523,0.7103,0.6791,0.6947,0.8465,0.4927,0.6696
8.8,-0.4864,0.4877,0.4553,0.4333,0.6357,0.5345,0.6986,0.6666,0.6826,0.8368,0.4741,0.6554
8.9,-0.5064,0.4685,0.4418,0.4107,0.6312,0.521,0.688,0.6575,0.6728,0.827,0.4596,0.6433
9,-0.5282,0.451,0.435,0.3917,0.6327,0.5122,0.6789,0.6516,0.6653,0.8173,0.45,0.6336
9.1,-0.5499,0.4358,0.4351,0.3776,0.6407,0.5091,0.6719,0.6491,0.6605,0.8086,0.4454,0.627
9.2,-0.57,0.4241,0.4423,0.3703,0.6554,0.5128,0.6677,0.6504,0.6591,0.8014,0.4459,0.6237
9.3,-0.5878,0.4167,0.4561,0.3705,0.676,0.5233,0.6667,0.6553,0.661,0.796,0.4508,0.6234
9.4,-0.6029,0.414,0.4757,0.3776,0.701,0.5393,0.6688,0.6629,0.6658,0.7917,0.459,0.6254
9.5,-0.614,0.4151,0.4994,0.3898,0.7272,0.5585,0.6735,0.6715,0.6725,0.7877,0.4701,0.6289
9.6,-0.6195,0.4189,0.5257,0.4049,0.7511,0.578,0.68,0.6796,0.6798,0.7828,0.4831,0.633
9.7,-0.6188,0.4251,0.5535,0.4219,0.7705,0.5962,0.6875,0.6867,0.6871,0.7766,0.4975,0.637
9.8,-0.6123,0.4336,0.5816,0.4401,0.7843,0.6122,0.6951,0.6926,0.6938,0.7686,0.5125,0.6405
9.9,-0.6008,0.4437,0.6088,0.4585,0.7914,0.625,0.7019,0.6968,0.6993,0.7584,0.5273,0.6429
10,-0.5842,0.4537,0.6344,0.4756,0.7913,0.6334,0.7076,0.6989,0.7032,0.746,0.5416,0.6438
10.1,-0.5626,0.4624,0.6577,0.4904,0.7843,0.6374,0.7121,0.6992,0.7057,0.7314,0.5551,0.6433
10.2,-0.5378,0.4699,0.6782,0.5028,0.7721,0.6375,0.7157,0.6982,0.707,0.7154,0.568,0.6417
10.3,-0.5121,0.477,0.6952,0.5132,0.7564,0.6348,0.7185,0.696,0.7073,0.6982,0.5799,0.639
10.4,-0.487,0.4843,0.708,0.5217,0.7386,0.6302,0.7206,0.6925,0.7066,0.6797,0.5903,0.635
10.5,-0.4626,0.4915,0.7158,0.5281,0.7193,0.6237,0.7224,0.6876,0.705,0.6604,0.5991,0.6297
10.6,-0.4394,0.4981,0.719,0.5317,0.6985,0.6151,0.7247,0.6818,0.7032,0.6408,0.606,0.6234
10.7,-0.4174,0.5043,0.7179,0.5328,0.6768,0.6048,0.7276,0.6758,0.7017,0.6216,0.6112,0.6164
10.8,-0.3956,0.5109,0.7133,0.5328,0.655,0.5939,0.7317,0.6701,0.7009,0.6042,0.615,0.6096
10.9,-0.3725,0.5189,0.7057,0.5332,0.6343,0.5837,0.7373,0.6649,0.7011,0.59,0.6184,0.6042
11,-0.3468,0.5286,0.6955,0.5347,0.6155,0.5751,0.7442,0.6606,0.7024,0.5803,0.6224,0.6013
11.1,-0.3175,0.5394,0.6829,0.538,0.5998,0.5689,0.7525,0.6576,0.7051,0.576,0.6278,0.6019
11.2,-0.2839,0.5513,0.6684,0.5441,0.5881,0.5661,0.7626,0.6567,0.7096,0.5772,0.6352,0.6062
11.3,-0.2455,0.564,0.6527,0.5541,0.5813,0.5677,0.7748,0.6579,0.7164,0.5836,0.6448,0.6142
11.4,-0.2035,0.5774,0.6363,0.568,0.5797,0.5739,0.7892,0.6611,0.7252,0.5945,0.6565,0.6255
11.5,-0.16,0.5907,0.6202,0.5846,0.5833,0.584,0.8055,0.6658,0.7356,0.6092,0.6707,0.6399
11.6,-0.1179,0.6032,0.6056,0.6021,0.5919,0.597,0.8231,0.6719,0.7475,0.6271,0.6882,0.6576
11.7,-0.0799,0.6139,0.5939,0.619,0.6056,0.6123,0.8412,0.6797,0.7605,0.648,0.7098,0.6789
11.8,-0.046,0.6225,0.5858,0.6349,0.6244,0.6296,0.8588,0.6898,0.7743,0.6715,0.7356,0.7036
11.9,-0.0144,0.6289,0.5817,0.6497,0.6472,0.6485,0.8751,0.7019,0.7885,0.6966,0.7647,0.7306
