Time,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC,Cheer - Bring a Little 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.2115,0.5377,0.787,0.4998,0.6549,0.5773,1.0175,0.8179,0.9177,0.5593,0.7763,0.6678
0.1,-0.2296,0.5403,0.8075,0.4869,0.6722,0.5795,1.0084,0.8312,0.9198,0.587,0.8018,0.6944
0.2,-0.2453,0.5441,0.8239,0.4797,0.6928,0.5863,0.9953,0.8423,0.9188,0.6137,0.8233,0.7185
0.3,-0.2569,0.5491,0.836,0.4782,0.7145,0.5964,0.9785,0.8516,0.915,0.6389,0.8398,0.7394
0.4,-0.2635,0.5548,0.8437,0.481,0.7351,0.608,0.9581,0.8595,0.9088,0.6619,0.8513,0.7566
0.5,-0.2646,0.5614,0.847,0.4866,0.7535,0.62,0.934,0.8668,0.9004,0.6817,0.8579,0.7698
0.6,-0.2605,0.5691,0.8458,0.4939,0.7696,0.6317,0.9065,0.874,0.8903,0.6977,0.8597,0.7787
0.7,-0.2519,0.5777,0.8402,0.5018,0.7824,0.6421,0.8768,0.8812,0.879,0.709,0.8563,0.7826
0.8,-0.2405,0.5865,0.8306,0.5094,0.7907,0.6501,0.8467,0.8888,0.8678,0.7156,0.848,0.7818
0.9,-0.2278,0.595,0.8174,0.5165,0.7944,0.6554,0.8179,0.8976,0.8578,0.7179,0.8352,0.7766
1,-0.2143,0.6032,0.8013,0.5229,0.7951,0.659,0.792,0.9082,0.8501,0.7163,0.8185,0.7674
1.1,-0.2002,0.6111,0.7828,0.5286,0.7945,0.6615,0.7697,0.9206,0.8452,0.7105,0.7978,0.7542
1.2,-0.1854,0.619,0.7628,0.5335,0.7933,0.6634,0.7523,0.9346,0.8434,0.7006,0.7726,0.7366
1.3,-0.1703,0.6269,0.7431,0.5374,0.7923,0.6648,0.7408,0.9501,0.8455,0.6869,0.7433,0.7151
1.4,-0.1559,0.635,0.7255,0.54,0.7921,0.6661,0.7358,0.9669,0.8514,0.6701,0.7101,0.6901
1.5,-0.1431,0.6438,0.711,0.5412,0.7931,0.6672,0.737,0.9846,0.8608,0.6512,0.6741,0.6626
1.6,-0.1314,0.6534,0.7,0.5413,0.795,0.6681,0.7431,1.0027,0.8729,0.6313,0.6364,0.6338
1.7,-0.12,0.6636,0.6931,0.5408,0.797,0.6689,0.7533,1.0207,0.887,0.6116,0.599,0.6053
1.8,-0.1089,0.6737,0.6916,0.5395,0.7985,0.669,0.7678,1.0385,0.9032,0.5932,0.5644,0.5788
1.9,-0.0983,0.6824,0.6972,0.5369,0.7989,0.6679,0.7872,1.056,0.9216,0.5771,0.5347,0.5559
2,-0.0894,0.6886,0.7102,0.5325,0.7981,0.6653,0.8112,1.0716,0.9414,0.5638,0.5107,0.5373
2.1,-0.083,0.6916,0.7293,0.5261,0.7961,0.6611,0.8373,1.083,0.9601,0.5534,0.4924,0.5229
2.2,-0.079,0.6918,0.7526,0.5183,0.7934,0.6558,0.8628,1.0879,0.9753,0.5457,0.4797,0.5127
2.3,-0.077,0.6897,0.779,0.5098,0.7907,0.6503,0.8857,1.0853,0.9855,0.5403,0.4726,0.5065
