Time,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC,Chef Good - Quality Meets Convenience 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0987,0.765,0.723,0.6615,0.5119,0.5867,0.4458,0.3962,0.421,0.6391,0.7362,0.6877
0.1,-0.0962,0.7858,0.7089,0.7051,0.5231,0.6141,0.476,0.4021,0.4391,0.6235,0.7039,0.6637
0.2,-0.0911,0.7999,0.687,0.741,0.5275,0.6343,0.5111,0.4119,0.4615,0.6117,0.6706,0.6411
0.3,-0.084,0.8072,0.6573,0.768,0.5245,0.6463,0.5499,0.4242,0.487,0.6039,0.6375,0.6207
0.4,-0.0749,0.8083,0.6222,0.7867,0.5149,0.6508,0.5911,0.4385,0.5148,0.6006,0.6068,0.6037
0.5,-0.0632,0.8042,0.5854,0.7983,0.5002,0.6492,0.633,0.4547,0.5439,0.6018,0.5804,0.5911
0.6,-0.0491,0.7956,0.5508,0.8038,0.4819,0.6428,0.6744,0.4726,0.5735,0.6074,0.5596,0.5835
0.7,-0.0338,0.7827,0.522,0.8043,0.4606,0.6325,0.7135,0.491,0.6023,0.6174,0.5451,0.5813
0.8,-0.019,0.7661,0.5009,0.8007,0.4373,0.619,0.7487,0.5082,0.6284,0.6319,0.5373,0.5846
0.9,-0.0058,0.7472,0.488,0.7938,0.4136,0.6037,0.7783,0.5233,0.6508,0.6509,0.5362,0.5936
1,0.0058,0.7271,0.483,0.7846,0.3914,0.588,0.8017,0.5364,0.6691,0.6738,0.5415,0.6077
1.1,0.0161,0.7065,0.4853,0.7733,0.3725,0.5729,0.8195,0.5484,0.6839,0.6992,0.5531,0.6262
1.2,0.0249,0.6853,0.4944,0.7597,0.3577,0.5587,0.8325,0.5599,0.6962,0.7255,0.5706,0.648
1.3,0.0316,0.6634,0.5091,0.7435,0.3474,0.5455,0.8416,0.5701,0.7058,0.7512,0.5934,0.6723
1.4,0.0355,0.6413,0.5271,0.7246,0.3421,0.5334,0.8474,0.5779,0.7126,0.7757,0.6206,0.6981
1.5,0.0366,0.6204,0.546,0.7034,0.342,0.5227,0.85,0.5826,0.7163,0.7985,0.6514,0.7249
1.6,0.0348,0.6023,0.5644,0.6809,0.3473,0.5141,0.8497,0.5843,0.717,0.8193,0.6846,0.752
1.7,0.0297,0.5879,0.582,0.6583,0.3583,0.5083,0.8472,0.5841,0.7156,0.8379,0.7192,0.7786
1.8,0.021,0.5772,0.5988,0.6366,0.3747,0.5057,0.8429,0.583,0.7129,0.8541,0.7538,0.8039
1.9,0.0088,0.5697,0.6143,0.6167,0.3963,0.5065,0.8374,0.5814,0.7094,0.8675,0.7865,0.827
2,-0.0054,0.5647,0.6281,0.5994,0.4223,0.5109,0.8308,0.5795,0.7052,0.8777,0.8158,0.8467
2.1,-0.0198,0.5622,0.6393,0.5857,0.4519,0.5188,0.8234,0.5771,0.7002,0.8838,0.8404,0.8621
2.2,-0.0326,0.5625,0.6471,0.5763,0.4845,0.5304,0.815,0.5736,0.6943,0.8853,0.8596,0.8725
2.3,-0.0428,0.5662,0.6514,0.5717,0.5198,0.5458,0.806,0.5689,0.6875,0.8824,0.873,0.8777
2.4,-0.0494,0.5734,0.6518,0.572,0.5581,0.5651,0.7967,0.5629,0.6798,0.8752,0.8809,0.8781
2.5,-0.0507,0.5846,0.648,0.5778,0.5992,0.5885,0.7874,0.5559,0.6716,0.8641,0.8836,0.8739
2.6,-0.0443,0.5994,0.6398,0.59,0.6423,0.6161,0.7781,0.5485,0.6633,0.8494,0.8816,0.8655
2.7,-0.0279,0.6178,0.6274,0.6098,0.6861,0.6479,0.7693,0.5413,0.6553,0.8312,0.8754,0.8533
2.8,-0.0016,0.6388,0.6115,0.6379,0.7288,0.6834,0.7617,0.534,0.6479,0.8098,0.8651,0.8374
2.9,0.0324,0.6614,0.5927,0.6735,0.7694,0.7214,0.7557,0.5257,0.6407,0.7854,0.8507,0.818
3,0.0699,0.6838,0.572,0.7143,0.8063,0.7603,0.751,0.516,0.6335,0.7584,0.8322,0.7953
3.1,0.1069,0.7044,0.5504,0.7578,0.8379,0.7978,0.7474,0.5051,0.6263,0.7296,0.8101,0.7698
3.2,0.1411,0.7218,0.5293,0.8017,0.863,0.8324,0.7447,0.4945,0.6196,0.6998,0.7856,0.7427
3.3,0.1712,0.7349,0.51,0.8438,0.8807,0.8622,0.7432,0.4851,0.6141,0.6697,0.7605,0.7151
3.4,0.1959,0.7433,0.4936,0.8815,0.8903,0.8859,0.7427,0.477,0.6099,0.6406,0.7364,0.6885
3.5,0.2135,0.747,0.4813,0.9126,0.892,0.9023,0.7428,0.47,0.6064,0.6136,0.7153,0.6644
3.6,0.223,0.7467,0.4738,0.9357,0.8863,0.911,0.743,0.4642,0.6036,0.5901,0.6992,0.6447
3.7,0.2255,0.7431,0.4714,0.9513,0.8747,0.913,0.744,0.4609,0.6025,0.5716,0.6894,0.6305
3.8,0.223,0.7367,0.4744,0.9598,0.8583,0.9091,0.7467,0.4611,0.6039,0.5589,0.6865,0.6227
3.9,0.2173,0.728,0.4821,0.9619,0.8375,0.8997,0.7516,0.4648,0.6082,0.5519,0.6899,0.6209
4,0.2096,0.717,0.4932,0.958,0.8119,0.885,0.7591,0.4711,0.6151,0.5509,0.698,0.6244
4.1,0.2013,0.7038,0.5063,0.9492,0.7812,0.8652,0.7688,0.4787,0.6238,0.5556,0.7093,0.6325
4.2,0.1938,0.6891,0.5204,0.9366,0.7455,0.8411,0.7806,0.4877,0.6341,0.5658,0.7226,0.6442
4.3,0.1879,0.674,0.5352,0.9213,0.7057,0.8135,0.7951,0.4984,0.6467,0.5812,0.7373,0.6592
4.4,0.1839,0.6591,0.5512,0.9036,0.6629,0.7832,0.8132,0.5108,0.662,0.6013,0.753,0.6771
4.5,0.181,0.6445,0.5685,0.8834,0.6175,0.7505,0.8347,0.5238,0.6792,0.6254,0.7691,0.6973
4.6,0.1788,0.6304,0.5867,0.8603,0.57,0.7152,0.8584,0.5355,0.6969,0.6529,0.7852,0.7191
4.7,0.1772,0.6167,0.6045,0.8345,0.5208,0.6777,0.8825,0.5448,0.7136,0.6833,0.8006,0.742
4.8,0.1768,0.604,0.6208,0.8069,0.4704,0.6386,0.9053,0.5518,0.7286,0.7163,0.8145,0.7654
4.9,0.1776,0.5929,0.635,0.7785,0.4198,0.5991,0.9258,0.5575,0.7417,0.7515,0.8264,0.7889
5,0.1785,0.5842,0.6474,0.7505,0.3706,0.5606,0.9436,0.5626,0.7531,0.7883,0.8359,0.8121
5.1,0.1777,0.5779,0.6587,0.7237,0.3252,0.5244,0.9589,0.5676,0.7632,0.8262,0.8435,0.8348
5.2,0.1736,0.5747,0.6698,0.6986,0.2857,0.4922,0.9721,0.5727,0.7724,0.8648,0.8498,0.8573
5.3,0.1656,0.5754,0.6808,0.6756,0.2546,0.4651,0.9837,0.5783,0.781,0.9039,0.8553,0.8796
5.4,0.1543,0.5809,0.6912,0.6552,0.2333,0.4443,0.9935,0.5842,0.7889,0.9424,0.8598,0.9011
5.5,0.1406,0.592,0.7002,0.6381,0.2235,0.4308,1.0016,0.5902,0.7959,0.9792,0.8625,0.9208
5.6,0.1256,0.6089,0.7068,0.6251,0.2271,0.4261,1.0078,0.5954,0.8016,1.0126,0.8629,0.9378
5.7,0.1102,0.6306,0.7111,0.6173,0.2456,0.4314,1.0122,0.5995,0.8059,1.0417,0.8607,0.9512
5.8,0.0949,0.6557,0.7129,0.6158,0.2792,0.4475,1.0151,0.6027,0.8089,1.0653,0.8564,0.9608
5.9,0.0803,0.6825,0.7124,0.6216,0.3259,0.4737,1.0166,0.6058,0.8112,1.0826,0.8505,0.9665
6,0.0658,0.7095,0.7099,0.6343,0.3815,0.5079,1.0168,0.6097,0.8133,1.093,0.8436,0.9683
6.1,0.0505,0.7352,0.7058,0.6528,0.4407,0.5468,1.0158,0.615,0.8154,1.0963,0.8362,0.9663
6.2,0.0338,0.7581,0.7007,0.6751,0.4985,0.5868,1.0138,0.6219,0.8178,1.093,0.8289,0.9609
6.3,0.0168,0.7771,0.6947,0.6988,0.5506,0.6247,1.0107,0.6301,0.8204,1.0838,0.8225,0.9532
6.4,0.0017,0.7914,0.6878,0.7218,0.5944,0.6581,1.0066,0.6393,0.8229,1.0697,0.8184,0.9441
6.5,-0.0095,0.8006,0.68,0.7423,0.6292,0.6858,1.0013,0.6488,0.8251,1.052,0.8179,0.9349
6.6,-0.0156,0.8051,0.6714,0.7593,0.656,0.7077,0.9951,0.6579,0.8265,1.0317,0.8219,0.9268
6.7,-0.0166,0.8054,0.6619,0.772,0.6758,0.7239,0.9877,0.6653,0.8265,1.0099,0.8305,0.9202
6.8,-0.0123,0.8022,0.6514,0.78,0.6896,0.7348,0.9795,0.6703,0.8249,0.9869,0.8423,0.9146
6.9,-0.002,0.7962,0.6392,0.7833,0.6977,0.7405,0.9708,0.6727,0.8218,0.9633,0.8556,0.9094
7,0.0153,0.788,0.6247,0.7831,0.7009,0.742,0.9616,0.6723,0.817,0.9397,0.8687,0.9042
7.1,0.0393,0.7787,0.6077,0.7808,0.7,0.7404,0.9519,0.6691,0.8105,0.9168,0.8803,0.8986
7.2,0.0687,0.7689,0.5884,0.7779,0.6959,0.7369,0.9415,0.6628,0.8022,0.895,0.8892,0.8921
7.3,0.1021,0.7594,0.5678,0.7756,0.6888,0.7322,0.9307,0.6533,0.792,0.8743,0.8943,0.8843
7.4,0.1379,0.7511,0.5464,0.775,0.6793,0.7271,0.9197,0.6407,0.7802,0.8547,0.8951,0.8749
7.5,0.1743,0.7448,0.5252,0.7765,0.6687,0.7226,0.9089,0.6261,0.7675,0.8364,0.8915,0.8639
7.6,0.209,0.7413,0.5052,0.7804,0.6589,0.7197,0.8985,0.6102,0.7544,0.8196,0.884,0.8518
7.7,0.24,0.7411,0.4874,0.7865,0.6514,0.719,0.8887,0.5938,0.7412,0.8048,0.8736,0.8392
7.8,0.2663,0.7441,0.4723,0.7944,0.6473,0.7209,0.8795,0.5771,0.7283,0.792,0.8609,0.8265
7.9,0.2877,0.75,0.4599,0.8038,0.647,0.7254,0.8711,0.5606,0.7158,0.7819,0.847,0.8145
8,0.3036,0.7585,0.4499,0.8148,0.6509,0.7328,0.8644,0.5448,0.7046,0.775,0.8328,0.8039
8.1,0.3131,0.7701,0.4426,0.828,0.6603,0.7441,0.8604,0.5307,0.6955,0.7718,0.8194,0.7956
8.2,0.3142,0.7854,0.4389,0.8442,0.677,0.7606,0.86,0.5196,0.6898,0.7723,0.8078,0.7901
8.3,0.3042,0.8052,0.4397,0.8642,0.7026,0.7834,0.8639,0.5127,0.6883,0.7765,0.799,0.7878
8.4,0.2807,0.829,0.4458,0.888,0.7378,0.8129,0.8727,0.5108,0.6917,0.784,0.7937,0.7888
8.5,0.2424,0.856,0.4572,0.9156,0.7817,0.8487,0.8869,0.5147,0.7008,0.7948,0.7917,0.7933
8.6,0.1901,0.8844,0.4732,0.9469,0.8319,0.8894,0.907,0.5245,0.7157,0.8085,0.7929,0.8007
8.7,0.1266,0.9131,0.4925,0.9818,0.8855,0.9337,0.9329,0.54,0.7365,0.8243,0.7961,0.8102
8.8,0.0572,0.9408,0.514,1.0204,0.9393,0.9798,0.964,0.5604,0.7622,0.8417,0.8006,0.8212
8.9,-0.0124,0.9662,0.5368,1.0619,0.99,1.0259,0.9994,0.5846,0.792,0.86,0.8061,0.833
9,-0.0766,0.9873,0.56,1.105,1.0347,1.0698,1.0377,0.6122,0.8249,0.8789,0.8127,0.8458
9.1,-0.1316,1.0026,0.5825,1.1479,1.0714,1.1096,1.0775,0.6424,0.8599,0.8987,0.8208,0.8598
9.2,-0.175,1.0112,0.6039,1.1892,1.0987,1.144,1.1165,0.6747,0.8956,0.9193,0.8305,0.8749
9.3,-0.2053,1.0131,0.6237,1.2277,1.1161,1.1719,1.1526,0.7077,0.9301,0.9403,0.8415,0.8909
9.4,-0.2214,1.0083,0.6422,1.2618,1.1231,1.1924,1.184,0.7397,0.9619,0.9608,0.8536,0.9072
9.5,-0.2227,0.997,0.6592,1.2896,1.1195,1.2045,1.2104,0.7691,0.9897,0.9805,0.8667,0.9236
9.6,-0.2098,0.9798,0.6748,1.31,1.1059,1.2079,1.2317,0.7947,1.0132,0.9993,0.8804,0.9399
9.7,-0.1846,0.9578,0.6881,1.323,1.0834,1.2032,1.2479,0.816,1.0319,1.0173,0.8942,0.9558
9.8,-0.1494,0.9327,0.6985,1.3294,1.0536,1.1915,1.2583,0.8323,1.0453,1.0337,0.9071,0.9704
9.9,-0.1069,0.9065,0.7048,1.3299,1.0178,1.1738,1.2622,0.8435,1.0528,1.0473,0.9176,0.9824
10,-0.0608,0.8801,0.7065,1.3244,0.977,1.1507,1.2587,0.8493,1.054,1.0567,0.9244,0.9906
10.1,-0.0153,0.8538,0.7028,1.312,0.9319,1.1219,1.2475,0.8497,1.0486,1.0611,0.9267,0.9939
10.2,0.0255,0.8278,0.6933,1.2925,0.8834,1.088,1.2286,0.8446,1.0366,1.0596,0.9235,0.9916
10.3,0.0577,0.8021,0.6774,1.2663,0.833,1.0496,1.202,0.8337,1.0179,1.0524,0.9145,0.9834
10.4,0.0779,0.777,0.6549,1.2341,0.7826,1.0083,1.1679,0.817,0.9924,1.0396,0.9,0.9698
10.5,0.0837,0.7528,0.6263,1.1967,0.7345,0.9656,1.1274,0.7946,0.961,1.0218,0.881,0.9514
10.6,0.0739,0.7294,0.5925,1.1551,0.6907,0.9229,1.0828,0.7675,0.9252,0.9994,0.8582,0.9288
10.7,0.0492,0.7069,0.555,1.1101,0.653,0.8815,1.0365,0.7371,0.8868,0.973,0.8325,0.9028
10.8,0.0108,0.6856,0.5153,1.0636,0.623,0.8433,0.9908,0.7046,0.8477,0.9438,0.8051,0.8745
10.9,-0.0396,0.6661,0.4752,1.0179,0.6024,0.8102,0.9473,0.6713,0.8093,0.9136,0.7773,0.8455
11,-0.0988,0.6493,0.4372,0.976,0.5918,0.7839,0.9079,0.6385,0.7732,0.8846,0.7507,0.8177
11.1,-0.1632,0.6359,0.4038,0.94,0.5909,0.7655,0.8737,0.608,0.7408,0.8586,0.7272,0.7929
11.2,-0.2295,0.6264,0.3772,0.9118,0.5989,0.7553,0.8455,0.5814,0.7134,0.837,0.708,0.7725
11.3,-0.2961,0.6215,0.3581,0.8917,0.6146,0.7532,0.8236,0.5598,0.6917,0.8205,0.6942,0.7574
11.4,-0.3612,0.6214,0.3457,0.8797,0.6371,0.7584,0.8078,0.544,0.6759,0.8091,0.6858,0.7474
11.5,-0.4225,0.6258,0.3387,0.8753,0.6645,0.7699,0.7974,0.5339,0.6657,0.802,0.6823,0.7421
11.6,-0.4767,0.6341,0.336,0.8774,0.6946,0.786,0.7918,0.5295,0.6606,0.7985,0.6828,0.7407
