Time,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC,Cheetos - Cant Touch This TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.1988,0.5697,0.1119,0.4513,0.3838,0.4176,0.6466,0.4188,0.5327,0.7189,0.4785,0.5987
0.1,-0.1906,0.5729,0.1036,0.4604,0.4034,0.4319,0.6623,0.4061,0.5342,0.7289,0.4718,0.6003
0.2,-0.1745,0.5772,0.0962,0.4731,0.4271,0.4501,0.676,0.3948,0.5354,0.7359,0.4678,0.6019
0.3,-0.1519,0.5825,0.089,0.4884,0.4538,0.4711,0.6861,0.3839,0.535,0.7386,0.4661,0.6023
0.4,-0.1233,0.589,0.0819,0.5055,0.4819,0.4937,0.6907,0.3728,0.5317,0.7366,0.4661,0.6014
0.5,-0.0886,0.5966,0.0752,0.5235,0.5101,0.5168,0.6884,0.3613,0.5249,0.7302,0.4679,0.5991
0.6,-0.0479,0.6053,0.0692,0.5417,0.5368,0.5393,0.6776,0.3503,0.514,0.72,0.4709,0.5955
0.7,-0.0022,0.6148,0.0644,0.5597,0.5606,0.5602,0.6573,0.3404,0.4989,0.7064,0.4744,0.5904
0.8,0.0467,0.6253,0.0611,0.5776,0.581,0.5793,0.6273,0.3318,0.4795,0.6897,0.4775,0.5836
0.9,0.0964,0.6369,0.0601,0.5956,0.5981,0.5969,0.5886,0.3247,0.4566,0.6711,0.4802,0.5757
1,0.1451,0.6502,0.0627,0.6143,0.613,0.6136,0.5433,0.32,0.4316,0.6517,0.4828,0.5673
1.1,0.1915,0.6653,0.0697,0.6334,0.6265,0.63,0.4941,0.3182,0.4062,0.6327,0.4861,0.5594
1.2,0.2347,0.6819,0.0811,0.6527,0.639,0.6459,0.4442,0.3196,0.3819,0.6149,0.4906,0.5528
1.3,0.2745,0.6993,0.0965,0.6719,0.6506,0.6612,0.3966,0.3242,0.3604,0.599,0.4964,0.5477
1.4,0.3104,0.7168,0.1151,0.691,0.6613,0.6761,0.3537,0.3322,0.343,0.5852,0.5033,0.5442
1.5,0.341,0.7341,0.1364,0.7101,0.6715,0.6908,0.3175,0.3436,0.3305,0.5737,0.511,0.5424
1.6,0.3636,0.7515,0.1606,0.7293,0.6819,0.7056,0.2891,0.3585,0.3238,0.5651,0.5197,0.5424
1.7,0.3749,0.7691,0.1876,0.7486,0.6928,0.7207,0.2693,0.377,0.3231,0.5596,0.5295,0.5446
1.8,0.3727,0.7869,0.2174,0.7678,0.7042,0.736,0.2582,0.3985,0.3284,0.5572,0.5398,0.5485
1.9,0.3566,0.8051,0.2495,0.7874,0.7157,0.7515,0.2559,0.4224,0.3391,0.5573,0.55,0.5537
2,0.3281,0.8233,0.2824,0.8076,0.7274,0.7675,0.2616,0.4474,0.3545,0.5596,0.5591,0.5593
2.1,0.2893,0.8407,0.3152,0.8282,0.7391,0.7836,0.2743,0.4723,0.3733,0.5642,0.5664,0.5653
2.2,0.2428,0.8556,0.3472,0.8478,0.7499,0.7988,0.2927,0.4964,0.3946,0.571,0.572,0.5715
2.3,0.1913,0.867,0.378,0.8651,0.7587,0.8119,0.3156,0.5194,0.4175,0.5797,0.5757,0.5777
2.4,0.1377,0.8745,0.4072,0.8801,0.7649,0.8225,0.3421,0.5408,0.4415,0.5893,0.5776,0.5834
2.5,0.0838,0.8794,0.434,0.8937,0.7688,0.8313,0.3713,0.5604,0.4658,0.599,0.5779,0.5885
2.6,0.0308,0.8832,0.4581,0.9074,0.7711,0.8392,0.402,0.5777,0.4898,0.6082,0.577,0.5926
2.7,-0.0194,0.8862,0.4794,0.9216,0.7716,0.8466,0.4337,0.5925,0.5131,0.6171,0.5751,0.5961
2.8,-0.0641,0.8882,0.4979,0.9366,0.7701,0.8533,0.466,0.6052,0.5356,0.6261,0.5726,0.5994
2.9,-0.1004,0.8893,0.514,0.9524,0.7659,0.8592,0.4982,0.6161,0.5571,0.6357,0.5696,0.6027
3,-0.1269,0.8909,0.5278,0.97,0.7589,0.8645,0.5293,0.6255,0.5774,0.6458,0.566,0.6059
3.1,-0.1438,0.8939,0.5388,0.9898,0.7495,0.8697,0.5587,0.6335,0.5961,0.6561,0.5621,0.6091
3.2,-0.1516,0.8983,0.5462,1.0112,0.7378,0.8745,0.5861,0.6398,0.6129,0.6659,0.5575,0.6117
3.3,-0.1497,0.9029,0.5495,1.0324,0.7233,0.8779,0.6109,0.6434,0.6272,0.6746,0.5519,0.6133
3.4,-0.1364,0.9062,0.5483,1.0521,0.7056,0.8789,0.6331,0.6437,0.6384,0.6821,0.5448,0.6134
3.5,-0.1114,0.9078,0.5429,1.0698,0.6846,0.8772,0.653,0.6406,0.6468,0.6883,0.5363,0.6123
3.6,-0.0766,0.9084,0.5346,1.0853,0.6612,0.8732,0.6712,0.6351,0.6532,0.6935,0.527,0.6103
3.7,-0.036,0.9092,0.5252,1.0987,0.6372,0.868,0.6888,0.6281,0.6584,0.6978,0.5178,0.6078
3.8,0.0066,0.9111,0.516,1.1101,0.6149,0.8625,0.7059,0.6204,0.6632,0.701,0.5089,0.605
3.9,0.0489,0.9145,0.5077,1.1195,0.5963,0.8579,0.7221,0.6125,0.6673,0.7031,0.5005,0.6018
4,0.0899,0.9188,0.5004,1.1273,0.5831,0.8552,0.7368,0.6039,0.6704,0.7038,0.4928,0.5983
4.1,0.1279,0.9236,0.4945,1.1337,0.5764,0.855,0.7499,0.5945,0.6722,0.7027,0.486,0.5944
4.2,0.1612,0.9282,0.4912,1.1385,0.5767,0.8576,0.7618,0.5846,0.6732,0.6997,0.4811,0.5904
4.3,0.1895,0.9317,0.4918,1.1411,0.5834,0.8623,0.7728,0.5758,0.6743,0.6949,0.4787,0.5868
4.4,0.2137,0.9334,0.4966,1.141,0.5952,0.8681,0.7823,0.5697,0.676,0.688,0.4789,0.5835
