Time,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC,Chemist Warehouse - Discounting Prescriptions Everyday 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.3571,0.2344,0.4158,0.4501,0.3425,0.3963,0.6388,0.4464,0.5426,0.8452,0.6854,0.7653
0.1,0.3561,0.2453,0.4235,0.4642,0.3703,0.4173,0.6269,0.4573,0.5421,0.8614,0.7087,0.7851
0.2,0.3492,0.2614,0.4342,0.4772,0.4013,0.4393,0.6123,0.4703,0.5413,0.8722,0.7296,0.8009
0.3,0.3373,0.2825,0.4478,0.4895,0.4347,0.4621,0.5958,0.4848,0.5403,0.8779,0.7479,0.8129
0.4,0.3211,0.3086,0.4645,0.5007,0.4696,0.4852,0.5781,0.5008,0.5394,0.8791,0.7638,0.8215
0.5,0.3014,0.3396,0.485,0.5111,0.506,0.5085,0.56,0.5185,0.5393,0.8765,0.7773,0.8269
0.6,0.2777,0.3753,0.5096,0.5206,0.5439,0.5322,0.5424,0.5382,0.5403,0.8704,0.788,0.8292
0.7,0.25,0.4154,0.5372,0.5295,0.5838,0.5567,0.526,0.5598,0.5429,0.8613,0.7955,0.8284
0.8,0.2191,0.4591,0.5667,0.5385,0.6256,0.582,0.5115,0.5833,0.5474,0.8501,0.8,0.825
0.9,0.1873,0.5051,0.5966,0.548,0.6685,0.6083,0.5004,0.6087,0.5545,0.8381,0.8019,0.82
1,0.1568,0.5521,0.6259,0.5587,0.712,0.6353,0.4937,0.6356,0.5647,0.8263,0.8017,0.814
1.1,0.1291,0.599,0.6536,0.5711,0.7554,0.6632,0.4919,0.6633,0.5776,0.8154,0.7996,0.8075
1.2,0.1055,0.6446,0.6789,0.5854,0.798,0.6917,0.4941,0.6908,0.5924,0.8057,0.7961,0.8009
1.3,0.0868,0.6873,0.7017,0.6012,0.8389,0.7201,0.4988,0.7171,0.6079,0.7971,0.7911,0.7941
1.4,0.0741,0.7261,0.7221,0.6178,0.8775,0.7477,0.5045,0.7421,0.6233,0.7896,0.785,0.7873
1.5,0.0685,0.7612,0.7406,0.6349,0.9135,0.7742,0.5107,0.7662,0.6384,0.7831,0.7778,0.7805
1.6,0.0693,0.7934,0.7578,0.6527,0.9464,0.7996,0.5173,0.7897,0.6535,0.7779,0.7699,0.7739
1.7,0.0741,0.8224,0.7738,0.6709,0.9754,0.8231,0.5247,0.8125,0.6686,0.7746,0.7617,0.7681
1.8,0.0799,0.8472,0.7879,0.6886,0.9985,0.8436,0.5328,0.8337,0.6832,0.7731,0.7533,0.7632
1.9,0.0854,0.8667,0.7995,0.7045,1.0139,0.8592,0.5415,0.8522,0.6968,0.7731,0.7444,0.7588
2,0.0906,0.8802,0.8078,0.7178,1.02,0.8689,0.5499,0.8675,0.7087,0.7741,0.735,0.7546
2.1,0.0965,0.8879,0.8128,0.728,1.0164,0.8722,0.5578,0.8794,0.7186,0.776,0.7248,0.7504
