Time,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC,Coca Cola - What Else havent you tried 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.0644,0.6589,0.6761,0.543,0.8408,0.6919,0.6892,0.8425,0.7659,0.661,0.7003,0.6807
0.1,0.0823,0.6204,0.6766,0.556,0.8234,0.6897,0.6888,0.8314,0.7601,0.6529,0.6971,0.675
0.2,0.0956,0.5803,0.6779,0.5663,0.8029,0.6846,0.6874,0.8174,0.7524,0.6463,0.6953,0.6708
0.3,0.1048,0.5396,0.6798,0.572,0.7796,0.6758,0.6847,0.8003,0.7425,0.641,0.6943,0.6677
0.4,0.1116,0.5,0.6815,0.5728,0.7542,0.6635,0.6803,0.78,0.7302,0.6373,0.6939,0.6656
0.5,0.1173,0.4629,0.6822,0.5696,0.7276,0.6486,0.6743,0.7566,0.7154,0.6353,0.6936,0.6645
0.6,0.1235,0.4291,0.6807,0.5636,0.6998,0.6317,0.6666,0.7299,0.6983,0.6348,0.6924,0.6636
0.7,0.1304,0.3987,0.6765,0.5562,0.6706,0.6134,0.6571,0.7,0.6786,0.6351,0.6894,0.6623
0.8,0.1376,0.3715,0.6689,0.5482,0.6397,0.5939,0.6461,0.6672,0.6567,0.6356,0.6837,0.6597
0.9,0.1447,0.3477,0.658,0.54,0.6076,0.5738,0.634,0.6324,0.6332,0.6361,0.6753,0.6557
