Time,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC,Chobani - Food Made Good 30 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.5583,0.5065,0.4875,0.2494,0.717,0.4832,0.6507,0.7577,0.7042,1.0731,0.949,1.0111
0.1,-0.4702,0.516,0.4843,0.2729,0.717,0.4949,0.6452,0.7806,0.7129,1.0699,0.9284,0.9991
0.2,-0.3819,0.5244,0.4811,0.3019,0.7135,0.5077,0.6349,0.7958,0.7153,1.06,0.9036,0.9818
0.3,-0.2933,0.5321,0.4787,0.3368,0.7073,0.522,0.6215,0.8042,0.7128,1.046,0.877,0.9615
0.4,-0.2044,0.539,0.4768,0.3765,0.6986,0.5376,0.6057,0.806,0.7058,1.03,0.8497,0.9399
0.5,-0.1151,0.5451,0.4747,0.4183,0.688,0.5532,0.5873,0.8012,0.6942,1.0124,0.8216,0.917
0.6,-0.0255,0.5502,0.4724,0.4595,0.6763,0.5679,0.566,0.7905,0.6782,0.9929,0.7923,0.8926
0.7,0.0633,0.5547,0.4703,0.4987,0.6645,0.5816,0.5422,0.7755,0.6588,0.9727,0.7628,0.8677
0.8,0.1505,0.5591,0.4689,0.5364,0.6534,0.5949,0.5173,0.7577,0.6375,0.9538,0.7345,0.8442
0.9,0.2345,0.5637,0.4685,0.5727,0.6431,0.6079,0.4928,0.7381,0.6154,0.9372,0.7088,0.823
1,0.3132,0.5683,0.4693,0.6066,0.6331,0.6199,0.4696,0.7169,0.5932,0.9231,0.6862,0.8047
1.1,0.3842,0.5725,0.4712,0.6365,0.6223,0.6294,0.4482,0.6937,0.571,0.911,0.6668,0.7889
1.2,0.4456,0.5753,0.4743,0.6614,0.6096,0.6355,0.4288,0.6691,0.5489,0.9004,0.6503,0.7753
1.3,0.4957,0.5768,0.4789,0.681,0.5943,0.6377,0.4116,0.6438,0.5277,0.8903,0.6373,0.7638
1.4,0.5331,0.5778,0.4854,0.6964,0.5767,0.6366,0.3972,0.6194,0.5083,0.8806,0.6285,0.7545
1.5,0.5563,0.5792,0.4946,0.7087,0.5584,0.6336,0.3862,0.5971,0.4917,0.8705,0.6244,0.7475
1.6,0.5639,0.5818,0.5068,0.7183,0.5415,0.6299,0.3795,0.5778,0.4787,0.8595,0.6248,0.7421
1.7,0.5565,0.5855,0.5221,0.7253,0.5276,0.6264,0.3774,0.5625,0.4699,0.8468,0.6286,0.7377
