Time,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC,Coca Cola Rugby 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,-0.0571,0.4844,0.6742,0.3766,0.7266,0.5516,0.7031,0.7737,0.7384,0.6803,0.5479,0.6141
0.1,-0.0339,0.4762,0.6608,0.3685,0.7415,0.555,0.702,0.7688,0.7354,0.6899,0.5499,0.6199
0.2,-0.0093,0.4755,0.6518,0.365,0.7571,0.561,0.7016,0.7669,0.7343,0.7001,0.5537,0.6269
0.3,0.0144,0.4826,0.6481,0.3664,0.7731,0.5697,0.7026,0.7674,0.735,0.7107,0.5593,0.635
0.4,0.0355,0.4967,0.6502,0.3732,0.7891,0.5811,0.705,0.7691,0.737,0.7214,0.5666,0.644
0.5,0.0534,0.5166,0.6576,0.386,0.8043,0.5951,0.7085,0.7705,0.7395,0.7323,0.575,0.6536
0.6,0.0693,0.5411,0.6691,0.4051,0.8178,0.6115,0.7129,0.7705,0.7417,0.7431,0.5839,0.6635
0.7,0.0849,0.5694,0.6832,0.4304,0.8292,0.6298,0.7182,0.7683,0.7432,0.7533,0.5926,0.673
0.8,0.1019,0.6009,0.699,0.4624,0.8378,0.6501,0.7245,0.764,0.7443,0.7621,0.6004,0.6813
0.9,0.121,0.6352,0.7152,0.5013,0.8433,0.6723,0.7323,0.7578,0.745,0.7692,0.6071,0.6881
1,0.1422,0.6712,0.7307,0.5468,0.8451,0.6959,0.7413,0.7497,0.7455,0.7745,0.6126,0.6935
1.1,0.1642,0.7078,0.7439,0.5978,0.8426,0.7202,0.7513,0.7393,0.7453,0.7779,0.6171,0.6975
1.2,0.1847,0.7433,0.7533,0.652,0.8358,0.7439,0.7616,0.7267,0.7441,0.7792,0.6207,0.7
1.3,0.201,0.7768,0.758,0.7069,0.8249,0.7659,0.7714,0.7121,0.7418,0.778,0.624,0.701
1.4,0.2099,0.8073,0.758,0.7596,0.8109,0.7852,0.78,0.6963,0.7382,0.7742,0.6274,0.7008
1.5,0.209,0.8337,0.7535,0.8077,0.7947,0.8012,0.7861,0.6799,0.733,0.7678,0.6314,0.6996
