Time,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC,Coles - Pork Roast 15 TVC
,Approach / Withdraw,Engagement,Emotional Intensity,Memory Encoding - Detail,Memory Encoding - Global,Memory Encoding - Composite,General Attention - Detail,General Attention - Global,General Attention - Composite,Visual Attention - Detail,Visual Attention - Global,Visual Attention - Composite
0,0.5921,0.56,0.6112,0.8062,0.3253,0.5657,0.4706,0.4033,0.437,0.4537,0.5483,0.501
0.1,0.6001,0.562,0.5844,0.8065,0.3566,0.5816,0.469,0.391,0.43,0.4403,0.5178,0.4791
0.2,0.6084,0.5671,0.5591,0.8087,0.3911,0.5999,0.4685,0.3826,0.4255,0.4268,0.4889,0.4579
0.3,0.617,0.5755,0.5361,0.8133,0.4283,0.6208,0.469,0.3784,0.4237,0.4138,0.4625,0.4381
0.4,0.624,0.5869,0.5155,0.8195,0.4677,0.6436,0.4706,0.3775,0.4241,0.4022,0.4387,0.4204
0.5,0.6274,0.5999,0.4973,0.8259,0.5085,0.6672,0.4727,0.3786,0.4257,0.3925,0.4171,0.4048
0.6,0.6267,0.6138,0.4818,0.8316,0.5492,0.6904,0.4742,0.381,0.4276,0.3845,0.3972,0.3909
0.7,0.622,0.6281,0.4695,0.8367,0.5893,0.713,0.4739,0.3844,0.4292,0.3777,0.3788,0.3782
0.8,0.6131,0.6427,0.4605,0.8417,0.6283,0.735,0.4716,0.389,0.4303,0.372,0.362,0.367
0.9,0.5991,0.6569,0.4546,0.8466,0.6652,0.7559,0.4677,0.3941,0.4309,0.3677,0.3475,0.3576
1,0.5798,0.6691,0.4508,0.8509,0.6983,0.7746,0.4632,0.3984,0.4308,0.3659,0.3357,0.3508
1.1,0.5566,0.6774,0.448,0.8539,0.726,0.79,0.4588,0.4005,0.4296,0.3674,0.3266,0.347
1.2,0.5327,0.6812,0.445,0.8554,0.7471,0.8013,0.4551,0.3998,0.4274,0.3723,0.3201,0.3462
1.3,0.5103,0.6811,0.4413,0.856,0.7617,0.8089,0.4527,0.3967,0.4247,0.3805,0.3163,0.3484
1.4,0.49,0.678,0.4366,0.8562,0.7704,0.8133,0.4524,0.3918,0.4221,0.3919,0.3156,0.3537
1.5,0.4724,0.6719,0.4313,0.8557,0.7738,0.8147,0.4545,0.3856,0.42,0.4067,0.3182,0.3625
1.6,0.4574,0.6623,0.4261,0.8541,0.7722,0.8132,0.4592,0.378,0.4186,0.4251,0.3241,0.3746
1.7,0.4455,0.6485,0.4213,0.8512,0.766,0.8086,0.467,0.3691,0.418,0.4468,0.3329,0.3898
1.8,0.4366,0.6309,0.4171,0.8471,0.7555,0.8013,0.4784,0.3593,0.4189,0.4708,0.3435,0.4072
1.9,0.4297,0.6101,0.4137,0.8424,0.7415,0.7919,0.4941,0.3489,0.4215,0.4959,0.3555,0.4257
2,0.4231,0.5875,0.4106,0.8368,0.7256,0.7812,0.5137,0.3375,0.4256,0.5207,0.3682,0.4445
2.1,0.4155,0.5645,0.4067,0.8295,0.7087,0.7691,0.5356,0.3249,0.4303,0.5435,0.3805,0.462
2.2,0.4073,0.5419,0.4008,0.8192,0.6912,0.7552,0.5567,0.3112,0.4339,0.5619,0.3907,0.4763
2.3,0.3999,0.5203,0.3929,0.8055,0.6736,0.7395,0.5741,0.2968,0.4355,0.5735,0.3965,0.485
2.4,0.3938,0.5003,0.3838,0.7889,0.6563,0.7226,0.5862,0.2829,0.4346,0.5762,0.3965,0.4863
2.5,0.3877,0.4822,0.3751,0.7704,0.6399,0.7051,0.5915,0.2704,0.4309,0.5697,0.3903,0.48
2.6,0.3796,0.466,0.3676,0.7506,0.6252,0.6879,0.5896,0.2598,0.4247,0.5551,0.3787,0.4669
2.7,0.3682,0.4513,0.3618,0.7292,0.6123,0.6708,0.5805,0.2515,0.416,0.5338,0.3632,0.4485
2.8,0.3526,0.4372,0.3578,0.7058,0.6011,0.6535,0.5649,0.2461,0.4055,0.5072,0.3453,0.4262
2.9,0.3327,0.4229,0.3559,0.6804,0.5913,0.6358,0.5442,0.2446,0.3944,0.4766,0.3268,0.4017
3,0.3084,0.408,0.356,0.6532,0.5825,0.6178,0.5206,0.2476,0.3841,0.4437,0.3088,0.3763
3.1,0.2789,0.3921,0.3578,0.6251,0.5743,0.5997,0.4949,0.2549,0.3749,0.4103,0.292,0.3511
3.2,0.2446,0.375,0.3607,0.5967,0.5661,0.5814,0.4672,0.2658,0.3665,0.3781,0.2762,0.3272
3.3,0.2066,0.3566,0.3645,0.5685,0.5572,0.5628,0.4371,0.279,0.358,0.348,0.2618,0.3049
3.4,0.1663,0.3375,0.3693,0.5412,0.5477,0.5444,0.4048,0.2935,0.3492,0.3197,0.2497,0.2847
3.5,0.1247,0.3186,0.3754,0.516,0.5382,0.5271,0.3717,0.3079,0.3398,0.2932,0.241,0.2671
3.6,0.0821,0.301,0.3823,0.494,0.53,0.512,0.3395,0.3207,0.3301,0.2692,0.2365,0.2528
3.7,0.0388,0.2854,0.3895,0.4757,0.5239,0.4998,0.3095,0.3307,0.3201,0.2484,0.2361,0.2422
3.8,-0.004,0.2724,0.3961,0.461,0.5205,0.4907,0.2823,0.3371,0.3097,0.2315,0.2386,0.2351
3.9,-0.0448,0.2621,0.4018,0.4495,0.5193,0.4844,0.2577,0.3396,0.2987,0.2189,0.2431,0.231
4,-0.0819,0.2542,0.4063,0.441,0.5199,0.4805,0.236,0.3379,0.287,0.2103,0.2488,0.2296
4.1,-0.1138,0.2485,0.4093,0.4357,0.5214,0.4785,0.2174,0.332,0.2747,0.2059,0.2559,0.2309
4.2,-0.1392,0.2444,0.4105,0.4332,0.5222,0.4777,0.2024,0.322,0.2622,0.2058,0.264,0.2349
4.3,-0.1564,0.2407,0.4099,0.4329,0.5204,0.4767,0.1908,0.3081,0.2494,0.2099,0.2726,0.2412
4.4,-0.1644,0.2369,0.4081,0.4342,0.5147,0.4744,0.1823,0.2904,0.2363,0.2172,0.2808,0.249
4.5,-0.1638,0.233,0.4059,0.4369,0.5051,0.471,0.1763,0.2697,0.223,0.2262,0.2878,0.257
